# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	glnE//
go_0000025_7	insI-1//
go_0000027_7	ilvA//narH//rihA//rluD//
go_0000028_7	tdk//
go_0000032_8	aroL//
go_0000041_8	ilvD//
go_0000050_5	gadA//pdxK//iscS//argG//gabD//
go_0000053_5	solA//
go_0000096_5	rhaA//
go_0000101_6	mutT//
go_0000103_5	dmlA//gltX//
go_0000105_6	metB//mngB//glpB//dcd//puuA//aroG//narI//
go_0000160_5	hchA//
go_0000162_7	ascB//sodC//pgaC//rfe//hemH//ampD//torC//manA//surA//
go_0000270_7	pheT//citG//zwf//fabD//ada//pta//acs//guaD//speD//nudC//
go_0000271_6	moeB//
go_0000302_5	prs//
go_0000303_6	malZ//cobC//
go_0000305_5	
go_0000372_11	
go_0000413_9	astB//carA//frdB//dgoK//treA//arnT//srlD//
go_0000453_8	ubiA//fucI//pdxB//aldA//
go_0000455_9	pgl//gcvP//nadD//rluD//mltF//waaS//gloB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	lplA//
go_0000726_7	napC//
go_0000731_7	torC//trmJ//
go_0000737_7	
go_0000738_7	yqhD//hemL//
go_0000746_4	
go_0000820_7	argH//
go_0000902_5	
go_0000910_4	gatZ//glgA//insI-1//
go_0000917_6	
go_0000918_6	
go_0000920_3	ybjI//
go_0000921_6	
go_0000967_10	argF//
go_0001101_4	prmB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	proA//
go_0001510_5	narV//chbF//
go_0001514_8	asd//
go_0001522_7	lysU//ssuE//speC//murQ//
go_0001558_5	
go_0001561_6	rlmC//
go_0001676_6	metC//
go_0001680_11	argE//
go_0001682_11	folX//betB//
go_0001731_7	
go_0001762_6	der//
go_0001887_4	gluQ//fbaA//
go_0001896_5	rne//
go_0002047_6	rnd//glpC//
go_0002097_8	fcl//
go_0002098_9	cysC//sdhA//pgaD//ahr//
go_0002099_9	hisH//waaZ//
go_0002100_9	dmsA//
go_0002101_9	uvrA//
go_0002128_7	umpG//
go_0002131_9	gltD//
go_0002132_9	phnO//
go_0002136_10	ltaE//
go_0002143_9	lipB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	umuC//
go_0002938_8	narG//
go_0002939_7	lipB//
go_0002943_8	aroE//
go_0002949_8	bglB//nudC//cysC//
go_0003333_7	yigL//speE//iaaA//garD//sgbE//waaH//mobA//tsaB//solA//mnaT//rutE//trpE//ldtC//
go_0005975_4	gcvP//proA//allC//mmuM//dcyD//cobB//lpd//argA//rsmA//rne//fabI//trpA//fumC//nudG//yfcG//mhpD//
go_0005976_5	hisF//
go_0005977_6	idnK//
go_0005978_7	waaJ//rsmD//folE//rihC//
go_0005980_7	metL//luxS//trmH//
go_0005986_7	apt//
go_0005990_7	mog//
go_0005992_7	hemB//nanK//
go_0005993_7	mngB//malZ//maa//
go_0005995_7	cmoB//
go_0005998_7	ynfE//
go_0006000_6	coaD//
go_0006001_7	argC//recO//
go_0006002_5	phnJ//yciV//yeaE//
go_0006006_6	kbaZ//murB//yihS//fes//ung//
go_0006007_7	waaG//cpsB//
go_0006011_5	mltC//
go_0006012_6	purN//
go_0006013_6	hemG//
go_0006014_6	srlD//
go_0006015_7	ispB//nirB//
go_0006020_5	plsB//
go_0006044_7	recF//
go_0006046_8	rluC//mutM//
go_0006047_5	glgB//asnA//
go_0006048_6	caiD//thiE//nudC//mog//
go_0006053_8	gcd//
go_0006062_8	fruK//
go_0006071_6	recF//preT//
go_0006072_6	pyrC//
go_0006082_4	ascB//
go_0006083_6	aroF//rpiA//carA//
go_0006086_8	nrdB//nhoA//
go_0006090_8	amiD//bcsA//nhoA//cmoB//yciV//trpE//alkA//
go_0006094_7	rutA//cfa//xdhB//gadB//mdh//galM//treC//ldtB//patA//
go_0006096_6	rffT//def//dsdA//betA//hypF//gldA//nagA//fbaA//rlmH//dapD//moaA//yegS//ribA//
go_0006097_5	hflX//ppc//cysG//rsmC//leuB//
go_0006098_6	ansB//bioH//thiL//argC//ilvI//
go_0006099_4	selA//rluE//glcF//fcl//fucI//nadA//hflX//dhaM//yccX//fkpA//narH//aes//sgbH//
go_0006103_5	sseA//eutB//glk//dld//
go_0006104_6	folE//
go_0006105_5	waaP//
go_0006106_8	yfdR//
go_0006107_8	
go_0006108_8	pabC//mltF//frmA//gadA//
go_0006113_5	mdh//hisH//
go_0006115_6	lgoD//
go_0006124_6	
go_0006144_6	
go_0006145_7	paaA//
go_0006146_8	entF//
go_0006148_9	mcrB//
go_0006149_9	fabG//
go_0006150_9	mazG//
go_0006152_7	rdgB//pgi//oxc//panE//yjhG//
go_0006154_6	carA//
go_0006161_9	thrC//
go_0006163_6	slt//
go_0006164_7	aroD//preA//aroL//rhaB//
go_0006166_6	moaD//
go_0006168_7	pgk//eutB//
go_0006171_9	
go_0006172_9	cysE//
go_0006177_9	insI-2//
go_0006178_7	queA//
go_0006183_9	wzc//
go_0006189_10	lpxD//eutB//
go_0006203_8	pta//mepS//
go_0006206_6	yfaU//galU//dacA//
go_0006207_8	pfkB//nudF//scpC//yggF//ppc//
go_0006208_7	narV//preA//tcdA//caiD//poxB//gloC//
go_0006209_6	sodB//
go_0006210_8	fbp//
go_0006212_6	rutC//hcp//trpA//trpB//thiI//hcaC//dhaM//chbG//pdeR//lpxP//
go_0006217_9	frdC//
go_0006218_9	galU//
go_0006220_6	argA//
go_0006221_7	yfeW//mpaA//aroL//
go_0006222_9	
go_0006225_9	ispG//
go_0006226_9	kdsA//narI//
go_0006227_9	astB//
go_0006231_9	cobS//
go_0006233_9	sdhA//
go_0006235_9	suhB//
go_0006241_9	aroE//
go_0006259_5	csdA//ssuD//recG//
go_0006260_6	thiM//metL//phnL//ubiX//araA//cdd//dgkA//
go_0006261_7	acpS//ynfH//yqaB//
go_0006265_6	ldhA//frdD//
go_0006266_6	pdeH//entD//glpC//
go_0006267_5	
go_0006268_9	upp//folC//
go_0006269_6	pabA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	fadH//trmH//
go_0006281_6	leuD//nrdE//mocA//proC//bcsA//citX//yihX//glgC//mnaT//waaA//folA//murQ//ftsI//frc//acpH//ubiD//waaF//
go_0006283_8	
go_0006284_7	birA//ycaO//acnA//ynfE//mcrB//otsA//
go_0006285_6	yjhH//malZ//waaY//frdB//
go_0006288_8	rsmJ//pyrE//
go_0006289_7	
go_0006298_7	hemH//rlmB//cysE//narY//
go_0006301_7	
go_0006302_7	dacA//bglX//
go_0006307_8	pck//gloC//deoA//gloC//trpC//
go_0006308_6	bioC//yigB//amiD//hmp//
go_0006310_6	aldB//leuA//ldtA//thiC//psuG//
go_0006313_4	dcyD//
go_0006351_6	rfaD//hcaE//
go_0006352_7	
go_0006353_7	
go_0006354_7	lipA//
go_0006355_7	ispA//
go_0006357_8	
go_0006364_9	fruK//fumB//murF//ung//
go_0006378_8	glnA//
go_0006396_7	polA//dmlA//rsmG//dapD//accA//
go_0006397_8	yjcS//
go_0006399_8	lsrK//pgi//
go_0006400_7	kbaZ//rnd//ppsA//dusC//cynT//
go_0006401_6	lipB//nadK//yqhD//truA//ubiG//dhaK//
go_0006402_7	alsE//paaB//trmA//acpS//prmC//fumA//thiM//
go_0006412_6	entE//rlmM//etp//fadI//phnI//
go_0006413_4	folP//
go_0006414_6	
go_0006415_7	paaC//yagE//
go_0006417_7	leuA//fumA//
go_0006418_7	rpiB//rsuA//dam//yfcG//serA//adhE//sdhC//cysS//pykF//ydiO//mnmE//
go_0006419_8	hyi//
go_0006420_8	scpB//
go_0006421_8	hyaA//
go_0006422_8	wzc//
go_0006423_8	nadB//
go_0006424_8	nanK//recO//
go_0006425_8	rfaE//
go_0006427_8	rffM//
go_0006428_8	eptB//
go_0006429_8	trpB//
go_0006430_8	luxS//opgE//
go_0006431_8	ppx//
go_0006432_8	ada//
go_0006433_8	araD//
go_0006434_8	phnM//
go_0006435_8	preT//
go_0006436_8	glpA//
go_0006437_8	gcd//
go_0006438_8	pdxK//
go_0006448_8	
go_0006450_4	pnp//dkgB//citC//garR//umpG//sucA//
go_0006457_3	pdxJ//glgA//prpD//hisF//bioB//yfeW//fadH//
go_0006458_4	
go_0006464_6	lsrG//mraY//umuC//selB//hpt//garD//eutB//sucC//
go_0006465_6	aroH//glgP//udp//
go_0006468_7	uxuB//
go_0006470_7	speC//ppc//prpC//waaQ//dapD//
go_0006473_8	deoA//
go_0006474_6	wecB//rffH//def//
go_0006476_8	nrdE//
go_0006479_5	nadK//rluD//mtlD//folM//lysA//acnB//
go_0006486_5	mnmG//
go_0006490_5	ilvM//
go_0006508_5	rnt//pepD//aroL//abgA//glk//rbsK//glpD//pykA//astC//rsmF//sdaA//csdA//lpxH//cysS//deoB//recO//accA//thiD//acpT//lacZ//dhaM//thrS//bcsA//ulaG//glpA//ppiC//nadC//clsA//hcp//pheT//fabD//fadM//dxr//
go_0006515_7	prmC//paaB//adhE//frc//cyaA//trpD//speA//
