# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	roxA//
go_0000025_7	fucO//
go_0000027_7	sdhD//puuB//dapF//fbp//
go_0000028_7	ada//
go_0000032_8	aspA//
go_0000041_8	rsmE//
go_0000050_5	gapA//gpt//waaU//caiD//spoT//
go_0000053_5	ilvD//
go_0000096_5	cysG//
go_0000101_6	slyD//
go_0000103_5	asnA//lsrG//
go_0000105_6	pdxA//gmd//sbcB//ribE//metF//purB//mhpD//
go_0000160_5	argD//
go_0000162_7	hisH//mtn//citE//speA//accA//arnB//hdhA//ravA//glpA//
go_0000270_7	sgbU//queG//ndk//rsgA//lpxD//rluC//glpC//yfcF//ushA//pgi//
go_0000271_6	btuR//
go_0000302_5	fucK//
go_0000303_6	fruK//allD//
go_0000305_5	
go_0000372_11	
go_0000413_9	rpe//pdxY//yfcF//mnmC//folC//leuB//amyA//
go_0000453_8	ubiF//guaA//rluB//metE//
go_0000455_9	murG//coaD//cobT//waaH//yciA//dxr//ycjU//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	gpmA//
go_0000726_7	mltF//
go_0000731_7	rluD//arnB//
go_0000737_7	
go_0000738_7	argK//maeA//
go_0000746_4	
go_0000820_7	cpdA//
go_0000902_5	
go_0000910_4	fadM//coaA//maa//
go_0000917_6	
go_0000918_6	
go_0000920_3	selA//
go_0000921_6	
go_0000967_10	talB//
go_0001101_4	tpiA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	rdgB//
go_0001510_5	sgbE//fabG//
go_0001514_8	ada//
go_0001522_7	pdeL//yieF//phnO//gshB//
go_0001558_5	
go_0001561_6	narG//
go_0001676_6	menB//
go_0001680_11	ppk//
go_0001682_11	rhaM//pyrF//
go_0001731_7	
go_0001762_6	menF//
go_0001887_4	frmB//dmlA//
go_0001896_5	surA//
go_0002047_6	rbsD//phnI//
go_0002097_8	cysS//
go_0002098_9	adhE//gabD//dcd//epd//
go_0002099_9	nrdA//yihS//
go_0002100_9	narZ//
go_0002101_9	edd//
go_0002128_7	lpxK//
go_0002131_9	ndh//
go_0002132_9	kefF//
go_0002136_10	nth//
go_0002143_9	gph//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	gluQ//
go_0002938_8	hyaA//
go_0002939_7	pdxK//
go_0002943_8	pabB//
go_0002949_8	rsuA//tktA//xylB//
go_0003333_7	panD//yajO//murG//chbG//aspC//scpB//sdhB//bfr//fau//dkgA//puuD//yajO//glxR//
go_0005975_4	carB//garL//solA//hcp//nanA//serA//cdd//nirD//hchA//ldtE//glcD//metH//def//lpxK//cpdB//ymdB//
go_0005976_5	lpxP//
go_0005977_6	lysA//
go_0005978_7	cpsG//queD//psuG//murI//
go_0005980_7	gcd//sbcB//eutD//
go_0005986_7	epmC//
go_0005990_7	pgm//
go_0005992_7	trmO//yihU//
go_0005993_7	yfcG//trmA//ybcF//
go_0005995_7	yjhG//
go_0005998_7	hemA//
go_0006000_6	sodC//
go_0006001_7	thiI//hemE//
go_0006002_5	thiE//galK//mhpD//
go_0006006_6	rsgA//relA//guaB//rluB//chbG//
go_0006007_7	prmC//aroC//
go_0006011_5	chbG//
go_0006012_6	nrdF//
go_0006013_6	thiM//
go_0006014_6	chbF//
go_0006015_7	bioB//srlD//
go_0006020_5	gntK//
go_0006044_7	metB//
go_0006046_8	pinE//pta//
go_0006047_5	gpsA//aroK//
go_0006048_6	waaY//katG//glcF//purN//
go_0006053_8	ung//
go_0006062_8	frc//
go_0006071_6	lpxP//alaA//
go_0006072_6	hyaB//
go_0006082_4	tag//
go_0006083_6	sgbE//yggF//lyxK//
go_0006086_8	paaZ//mhpB//
go_0006090_8	leuD//dnaE//citE//epmC//phnM//rfbB//argG//
go_0006094_7	kdsA//mltD//truC//gph//nth//amiD//pdxH//rbsK//yjjG//
go_0006096_6	paaE//ydfG//thrC//clsA//truD//acs//treF//galU//dbpA//gcvH//gpmM//glpX//ghrB//
go_0006097_5	bioF//rluC//gdhA//queC//mnmA//
go_0006098_6	kbaY//proC//clsC//eptA//ahpC//
go_0006099_4	ldtE//rbsK//csdA//malZ//umuC//dkgA//nth//ispA//carA//trpD//pdxK//fadM//arnA//
go_0006103_5	alaC//frdD//plsC//glgC//
go_0006104_6	dsdA//
go_0006105_5	dgkA//
go_0006106_8	aceF//
go_0006107_8	
go_0006108_8	sbcB//lpoA//citG//leuA//
go_0006113_5	pldB//paaB//
go_0006115_6	hinT//
go_0006124_6	
go_0006144_6	
go_0006145_7	gloB//
go_0006146_8	hemE//
go_0006148_9	menA//
go_0006149_9	menF//
go_0006150_9	umuD//
go_0006152_7	rsmA//cysN//tdcD//argK//preA//
go_0006154_6	mnmG//
go_0006161_9	moeB//
go_0006163_6	yeaE//
go_0006164_7	clsB//narY//ldcC//deoC//
go_0006166_6	argE//
go_0006168_7	argD//avtA//
go_0006171_9	
go_0006172_9	arnB//
go_0006177_9	icd//
go_0006178_7	fucK//
go_0006183_9	puuA//
go_0006189_10	hisD//pfkA//
go_0006203_8	leuB//guaB//
go_0006206_6	fbaA//lipB//preT//
go_0006207_8	lpxM//ispA//napA//fadJ//udk//
go_0006208_7	tdh//paaC//mug//thrB//hchA//glcF//
go_0006209_6	ogt//
go_0006210_8	sgbE//
go_0006212_6	ung//fre//rfbD//truB//putA//yjcS//yegS//waaZ//katE//thrB//
go_0006217_9	cysH//
go_0006218_9	yfdR//
go_0006220_6	hemN//
go_0006221_7	sodC//adeD//frmB//
go_0006222_9	
go_0006225_9	carA//
go_0006226_9	nagA//cysC//
go_0006227_9	nanA//
go_0006231_9	tsaC//
go_0006233_9	rluD//
go_0006235_9	aceA//
go_0006241_9	acs//
go_0006259_5	nfsB//ulaE//murC//
go_0006260_6	waaY//rutC//pabA//hmp//proA//dsdA//pdxH//
go_0006261_7	hflX//gnd//folP//
go_0006265_6	metL//pykA//
go_0006266_6	pfkB//bacA//asd//
go_0006267_5	
go_0006268_9	rnpA//ubiC//
go_0006269_6	kdgK//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	rsmB//prpC//
go_0006281_6	rfaE//accC//fbaA//frdD//guaC//rsmC//uxaA//prpB//proA//rsmB//bioH//narG//thrB//ilvM//patZ//yjiA//nadB//
go_0006283_8	
go_0006284_7	ubiE//hisH//truB//cysC//dfp//rne//
go_0006285_6	garL//mutY//pfkA//torA//
go_0006288_8	rbsK//rfbC//
go_0006289_7	
go_0006298_7	hemH//purA//panD//acpH//
go_0006301_7	
go_0006302_7	entA//rlmE//
go_0006307_8	folX//gatD//yahK//rnt//deoB//
go_0006308_6	yigB//gutQ//psuG//paaE//
go_0006310_6	yihV//mltB//edd//nrdF//eda//
go_0006313_4	metB//
go_0006351_6	kduI//lpd//
go_0006352_7	
go_0006353_7	
go_0006354_7	rlmG//
go_0006355_7	lipA//
go_0006357_8	
go_0006364_9	gcvT//rsgA//etp//pdeL//
go_0006378_8	gutQ//
go_0006396_7	moeB//argE//ghrB//ascB//hisC//
go_0006397_8	dinB//
go_0006399_8	gshB//lysA//
go_0006400_7	tesB//ubiE//sgbH//asnB//ttdB//
go_0006401_6	uidA//ogt//paaF//rne//yqjH//pfkB//
go_0006402_7	sodA//ddlB//aspA//rutD//idnD//glgP//folE//
go_0006412_6	kduI//citG//btuR//frdC//ilvD//
go_0006413_4	dgoD//
go_0006414_6	
go_0006415_7	serB//bcsA//
go_0006417_7	thrS//mepS//
go_0006418_7	gloA//entF//gloB//fumA//yfcF//rlmJ//ligB//trpC//gph//bioB//narG//
go_0006419_8	sdhD//
go_0006420_8	entB//
go_0006421_8	sdaB//
go_0006422_8	gudD//
go_0006423_8	leuA//
go_0006424_8	ribF//waaC//
go_0006425_8	tehB//
go_0006427_8	rluD//
go_0006428_8	gutQ//
go_0006429_8	proA//
go_0006430_8	recG//cysC//
go_0006431_8	aroG//
go_0006432_8	opgE//
go_0006433_8	cmk//
go_0006434_8	nadK//
go_0006435_8	ispG//
go_0006436_8	rfbD//
go_0006437_8	arnB//
go_0006438_8	thrB//
go_0006448_8	
go_0006450_4	allC//ycjU//glnA//sodB//mnaT//cysC//
go_0006457_3	rne//rlmF//rlmI//sdaB//arnT//araA//sodC//
go_0006458_4	
go_0006464_6	argE//queF//serS//phnG//uxaC//yfdR//rlmL//gntK//
go_0006465_6	metH//glgC//galE//
go_0006468_7	sbcB//
go_0006470_7	dapB//rutB//panD//ldtA//gstA//
go_0006473_8	pgpC//
go_0006474_6	waaA//ispH//aspA//
go_0006476_8	lplA//
go_0006479_5	lipA//eutB//gldA//glmU//rfe//pldB//
go_0006486_5	umpH//
go_0006490_5	rfaD//
