# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	icd//
go_0000025_7	pdeF//
go_0000027_7	garR//nrfB//kbaZ//aceA//
go_0000028_7	yjhG//
go_0000032_8	thrS//
go_0000041_8	pdxJ//
go_0000050_5	mmuM//fumA//fabG//cpsB//fau//
go_0000053_5	queF//
go_0000096_5	ydiF//
go_0000101_6	sufS//
go_0000103_5	frdD//malS//
go_0000105_6	lpxM//rlmC//gmd//avtA//arnT//frc//pck//
go_0000160_5	pgaC//
go_0000162_7	folE//fkpB//pabA//dut//coaD//puuE//ldtD//ppiC//cysH//
go_0000270_7	aspC//asnB//rffC//edd//rluF//mltF//treC//tpiA//prpB//hchA//
go_0000271_6	serB//
go_0000302_5	mcrB//
go_0000303_6	acpT//guaB//
go_0000305_5	
go_0000372_11	
go_0000413_9	alsK//lpxD//rsmC//nrdB//cheB//coaA//rutD//
go_0000453_8	recO//deoD//fadJ//murF//
go_0000455_9	hemC//pepD//speA//agp//menA//dusB//fadJ//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	nrdB//
go_0000726_7	pta//
go_0000731_7	gatY//fau//
go_0000737_7	
go_0000738_7	ycjU//aroH//
go_0000746_4	
go_0000820_7	yghU//
go_0000902_5	
go_0000910_4	gloA//malQ//glnE//
go_0000917_6	
go_0000918_6	
go_0000920_3	otsA//
go_0000921_6	
go_0000967_10	leuB//
go_0001101_4	hdhA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	dmsA//
go_0001510_5	aroA//zwf//
go_0001514_8	bglX//
go_0001522_7	sucA//tag//solA//cysI//
go_0001558_5	
go_0001561_6	abgA//
go_0001676_6	suhB//
go_0001680_11	ispA//
go_0001682_11	uxaB//dacC//
go_0001731_7	
go_0001762_6	waaU//
go_0001887_4	mutT//ispG//
go_0001896_5	torZ//
go_0002047_6	aroK//lpxM//
go_0002097_8	ybcF//
go_0002098_9	fadE//ppsA//zwf//frc//
go_0002099_9	nth//nth//
go_0002100_9	moaA//
go_0002101_9	tdk//
go_0002128_7	cysK//
go_0002131_9	mrcA//
go_0002132_9	mocA//
go_0002136_10	ppiC//
go_0002143_9	lpxD//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	glmS//
go_0002938_8	kdsB//
go_0002939_7	yihX//
go_0002943_8	phnN//
go_0002949_8	mtlD//murC//orn//
go_0003333_7	aroE//prpD//lpxP//chbG//yqaB//acnB//purF//torC//umuD//ansA//bglB//rhaD//lgoD//
