# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	acpH//
go_0000025_7	entA//
go_0000027_7	torZ//ppiC//hcaE//cpsB//
go_0000028_7	maa//
go_0000032_8	sgbH//
go_0000041_8	tsaD//
go_0000050_5	gmd//epd//pdxB//nudB//scpC//
go_0000053_5	fruK//
go_0000096_5	ulaG//
go_0000101_6	ilvN//
go_0000103_5	rhaA//hyaC//
go_0000105_6	poxB//recG//asnS//tdk//rlmJ//cysI//plsC//
go_0000160_5	yihX//
go_0000162_7	malP//cfa//rne//guaA//ispF//dcd//prpC//mhpD//glmU//
go_0000270_7	accB//glmS//sseA//pyrD//deoA//trpS//adk//rlmH//codA//frdD//
go_0000271_6	rsmJ//
go_0000302_5	agp//
go_0000303_6	ghrB//uxaC//
go_0000305_5	
go_0000372_11	
go_0000413_9	rhaB//gmd//rffC//mcrB//galM//ispB//uvrB//
go_0000453_8	fklB//eda//folC//leuB//
go_0000455_9	adhP//umuC//wecB//rffC//rlmH//thiH//sad//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	yjiA//
go_0000726_7	lpxT//
go_0000731_7	mmuM//malQ//
go_0000737_7	
go_0000738_7	tdcG//sgbE//
go_0000746_4	
go_0000820_7	trmD//
go_0000902_5	
go_0000910_4	cmoB//yhdH//frmB//
go_0000917_6	
go_0000918_6	
go_0000920_3	wecB//
go_0000921_6	
go_0000967_10	aceB//
go_0001101_4	cdsA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	umpG//
go_0001510_5	glgX//fadE//
go_0001514_8	trpE//
go_0001522_7	rluB//pdeR//cobB//fucO//
go_0001558_5	
go_0001561_6	ubiD//
go_0001676_6	kdsB//
go_0001680_11	purF//
go_0001682_11	yggF//queC//
go_0001731_7	
go_0001762_6	ulaD//
go_0001887_4	citC//nudC//
go_0001896_5	idnK//
go_0002047_6	glgB//gloA//
go_0002097_8	glpA//
go_0002098_9	uxaA//mepS//gloC//yfiC//
go_0002099_9	curA//cyaA//
go_0002100_9	speB//
go_0002101_9	waaA//
go_0002128_7	fadB//
go_0002131_9	glpC//
go_0002132_9	fucO//
go_0002136_10	tehB//
go_0002143_9	folA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rutB//
go_0002938_8	dfp//
go_0002939_7	galM//
go_0002943_8	hisF//
go_0002949_8	nadC//pinE//cysS//
go_0003333_7	phnO//miaA//acnB//gldA//treC//truC//metL//kbaY//epmB//garK//guaB//surA//mepS//
go_0005975_4	fadM//ilvE//ppk//apaH//birA//kdgK//yfdR//fes//deoB//yghU//tpiA//rutC//ilvN//pyrC//rfbB//dosP//
go_0005976_5	dnaE//
go_0005977_6	feaB//
go_0005978_7	gcvH//gldA//alkB//idnD//
go_0005980_7	panB//lysU//allC//
go_0005986_7	uxaB//
go_0005990_7	eptA//
go_0005992_7	etp//surA//
go_0005993_7	xylA//queG//tyrA//
go_0005995_7	hemA//
go_0005998_7	hpt//
go_0006000_6	purC//
go_0006001_7	dkgB//fbp//
go_0006002_5	purF//torC//scpB//
go_0006006_6	ulaF//bioH//yahK//nemA//ttdB//
go_0006007_7	ugd//mtlD//
go_0006011_5	ugd//
go_0006012_6	kdgK//
go_0006013_6	fkpA//
go_0006014_6	dapD//
go_0006015_7	purU//glpD//
go_0006020_5	lsrG//
go_0006044_7	glgB//
go_0006046_8	lgoD//thiE//
go_0006047_5	rpiA//nagB//
go_0006048_6	oxc//thiI//pgpC//trmD//
go_0006053_8	solA//
go_0006062_8	metK//
go_0006071_6	rffM//kefF//
go_0006072_6	pfkA//
go_0006082_4	frdD//
go_0006083_6	recG//aspC//dkgB//
go_0006086_8	hisG//prmB//
go_0006090_8	gmhB//ilvE//tadA//guaB//proA//clsB//sucA//
go_0006094_7	ynfF//roxA//napC//tilS//bglX//yigL//cof//gltX//garD//
go_0006096_6	yfcF//kduI//gmhB//nadD//queD//aphA//aroC//hemB//maeA//rhaA//serS//ubiD//narI//
go_0006097_5	scpC//gpmA//gcd//abgA//cysM//
go_0006098_6	ampH//gcvH//puuD//opgB//umpG//
go_0006099_4	mhpD//birA//aroG//rfaE//speG//thrB//ilvD//scpB//fruK//talB//gor//luxS//glpA//
go_0006103_5	mcrB//purA//pdeL//eda//
go_0006104_6	phnJ//
go_0006105_5	sthA//
go_0006106_8	rsmD//
go_0006107_8	
