# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nirB//
go_0000025_7	ampH//
go_0000027_7	fucK//apt//fabI//dnaE//
go_0000028_7	leuD//
go_0000032_8	yjjX//
go_0000041_8	waaL//
go_0000050_5	cof//sbcB//polB//dadA//mug//
go_0000053_5	mmuM//
go_0000096_5	ruvA//
go_0000101_6	aspA//
go_0000103_5	nadC//cpsB//
go_0000105_6	hpt//phnG//gldA//gatZ//nrdF//nagA//rpiA//
go_0000160_5	proA//
go_0000162_7	gudD//otsA//speA//aroD//acpS//ybjG//dapD//oxc//hemH//
go_0000270_7	araA//trmA//glmM//queF//thrS//ruvA//nudF//aphA//aroD//nagK//
go_0000271_6	glcD//
go_0000302_5	acnB//
go_0000303_6	pphA//pgaD//
go_0000305_5	
go_0000372_11	
go_0000413_9	ruvA//ppc//xdhB//gcd//ldtC//epmB//hisG//
go_0000453_8	rlmL//gadA//fadM//kbaY//
go_0000455_9	kdgK//speB//asnB//araB//pykA//narY//otsB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	eutB//
go_0000726_7	argB//
go_0000731_7	thrS//lacZ//
go_0000737_7	
go_0000738_7	proB//phnM//
go_0000746_4	
go_0000820_7	aspA//
go_0000902_5	
go_0000910_4	uxuA//gabD//amyA//
go_0000917_6	
go_0000918_6	
go_0000920_3	hisB//
go_0000921_6	
go_0000967_10	rlmL//
go_0001101_4	eutD//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	ndh//
go_0001510_5	alsK//ymdB//
go_0001514_8	cmk//
go_0001522_7	metK//queC//appA//ackA//
go_0001558_5	
go_0001561_6	fabG//
go_0001676_6	fadI//
go_0001680_11	polA//
go_0001682_11	pgpA//aspC//
go_0001731_7	
go_0001762_6	rlmC//
go_0001887_4	hisF//yajO//
go_0001896_5	nadE//
go_0002047_6	cysI//ldcC//
go_0002097_8	pdxY//
go_0002098_9	hyaA//pdeL//phnO//dcm//
go_0002099_9	hycB//purU//
go_0002100_9	paaG//
go_0002101_9	gatY//
go_0002128_7	recR//
go_0002131_9	dhaK//
go_0002132_9	menC//
go_0002136_10	rsmB//
go_0002143_9	rlmB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ispB//
go_0002938_8	glgB//
go_0002939_7	oxc//
go_0002943_8	hisG//
go_0002949_8	aldA//alr//patA//
go_0003333_7	panB//dadA//clsC//tsaB//pgk//sthA//menF//metG//fabB//thiG//treA//srlD//murQ//
go_0005975_4	acpS//waaY//ubiI//rfbB//napC//plsC//yfaU//ppiC//sodB//leuC//cobU//wzc//orn//pyrE//panD//gatD//
go_0005976_5	lpoA//
go_0005977_6	cof//
go_0005978_7	ynfF//carB//leuB//gpt//
go_0005980_7	psuG//cobS//acpS//
go_0005986_7	aspC//
go_0005990_7	gcl//
go_0005992_7	glmM//dusB//
go_0005993_7	spoT//mgsA//tmk//
go_0005995_7	ulaD//
go_0005998_7	argI//
go_0006000_6	coaE//
go_0006001_7	gloA//azoR//
go_0006002_5	ftnA//glxR//lldD//
go_0006006_6	pyrD//phnN//ymdB//coaD//rlmM//
go_0006007_7	cobC//puuD//
go_0006011_5	putA//
go_0006012_6	purL//
go_0006013_6	nemA//
go_0006014_6	mrcB//
go_0006015_7	frmB//cheR//
go_0006020_5	pdxB//
go_0006044_7	dgoA//
go_0006046_8	dsdA//napB//
go_0006047_5	citC//thrA//
go_0006048_6	rutA//purF//hycB//nudB//
go_0006053_8	rbn//
go_0006062_8	mnaT//
go_0006071_6	dadA//coaE//
go_0006072_6	lpxL//
go_0006082_4	yqaB//
go_0006083_6	fumC//cdh//fabA//
go_0006086_8	mnmA//recG//
go_0006090_8	lpcA//pdxH//epd//polA//waaC//purU//speG//
go_0006094_7	mraY//aldB//yciA//hchA//yihT//recG//guaB//pyrE//pheT//
go_0006096_6	queC//ispH//folX//murB//polB//add//oxc//ppk//nadK//malZ//ssuE//ugd//alaA//
go_0006097_5	folA//eptA//uidA//pfkB//narV//
go_0006098_6	yhdJ//pyrG//fklB//tmcA//rsmD//
go_0006099_4	garD//fes//argS//purF//dmlA//malZ//miaB//cobS//dusB//malY//plsC//uxuA//fau//
go_0006103_5	selA//menH//coaA//entD//
go_0006104_6	hemE//
go_0006105_5	waaY//
go_0006106_8	frmA//
go_0006107_8	
go_0006108_8	waaO//frc//pnp//yagF//
go_0006113_5	moaA//sucB//
go_0006115_6	waaB//
go_0006124_6	
go_0006144_6	
go_0006145_7	gltB//
go_0006146_8	mpaA//
go_0006148_9	rpiA//
go_0006149_9	cmk//
go_0006150_9	nrdD//
go_0006152_7	thrA//glpK//leuA//recF//guaD//
go_0006154_6	ligA//
go_0006161_9	sdaA//
go_0006163_6	napA//
go_0006164_7	lldD//hcaD//coaE//gatY//
go_0006166_6	ybhA//
go_0006168_7	cysK//pgaD//
go_0006171_9	
go_0006172_9	ybjG//
go_0006177_9	folA//
go_0006178_7	sodB//
go_0006183_9	glpK//
go_0006189_10	waaH//nadE//
go_0006203_8	panE//gstA//
go_0006206_6	rffG//tsaE//iaaA//
go_0006207_8	pdxY//trmH//galK//allD//cdh//
go_0006208_7	putA//allD//rfbC//nrdB//folP//prpC//
go_0006209_6	fucA//
go_0006210_8	ygjK//
go_0006212_6	ilvD//hyaB//selA//treF//ruvA//pyrG//purD//katE//betB//wrbA//
go_0006217_9	recF//
go_0006218_9	dosP//
go_0006220_6	metC//
go_0006221_7	asnS//cysE//abgA//
go_0006222_9	
go_0006225_9	lysU//
go_0006226_9	narV//ubiF//
go_0006227_9	hcaE//
go_0006231_9	udp//
go_0006233_9	waaU//
go_0006235_9	dnaQ//
go_0006241_9	narZ//
go_0006259_5	yieF//asnB//udk//
go_0006260_6	ygeX//argG//purT//phnJ//ilvC//nrdA//paaA//
go_0006261_7	ampD//rsmB//allD//
go_0006265_6	nanK//pyrH//
go_0006266_6	kdsC//eptB//dut//
go_0006267_5	
go_0006268_9	entC//rlmJ//
go_0006269_6	plsB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	wecB//nrdD//
