# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	trmI//
go_0000025_7	rfe//
go_0000027_7	azoR//valS//ispH//fumC//
go_0000028_7	ttdA//
go_0000032_8	deoB//
go_0000041_8	thiD//
go_0000050_5	otsB//thiH//tmcA//hpt//cobT//
go_0000053_5	allD//
go_0000096_5	pykA//
go_0000101_6	gluQ//
go_0000103_5	paaF//metL//
go_0000105_6	yidA//preT//purC//argC//ispU//dld//waaH//
go_0000160_5	dkgB//
go_0000162_7	dinB//glmU//rutA//hisB//solA//hyi//uxaC//aroF//rihA//
go_0000270_7	fabG//mug//ulaG//rlmM//hdhA//ddlA//sucB//torA//lplA//fbaA//
go_0000271_6	slt//
go_0000302_5	trmH//
go_0000303_6	kdsB//ogt//
go_0000305_5	
go_0000372_11	
go_0000413_9	trpD//gatY//polB//sseA//tmk//murF//tdcG//
go_0000453_8	tsaC//rffG//rihA//hyi//
go_0000455_9	uxuB//cmk//ogt//lpxL//ldtC//hemF//cmoB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	dmlA//
go_0000726_7	xylB//
go_0000731_7	malQ//gshB//
go_0000737_7	
go_0000738_7	panC//purC//
go_0000746_4	
go_0000820_7	cdsA//
go_0000902_5	
go_0000910_4	panD//yfeW//yihT//
go_0000917_6	
go_0000918_6	
go_0000920_3	tnaA//
go_0000921_6	
go_0000967_10	narI//
go_0001101_4	napA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pcm//
go_0001510_5	argK//nadE//
go_0001514_8	hemF//
go_0001522_7	yihS//tdh//hcaC//fkpA//
go_0001558_5	
go_0001561_6	ycjU//
go_0001676_6	rluE//
go_0001680_11	tadA//
go_0001682_11	uvrA//udk//
go_0001731_7	
go_0001762_6	hemL//
go_0001887_4	leuA//rlmH//
go_0001896_5	rdgB//
go_0002047_6	selB//galM//
go_0002097_8	mutH//
go_0002098_9	dgkA//garR//tilS//der//
go_0002099_9	wecC//gpt//
go_0002100_9	alkA//
go_0002101_9	folX//
go_0002128_7	lyxK//
go_0002131_9	bioH//
go_0002132_9	pheA//
go_0002136_10	gapA//
go_0002143_9	ribE//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rffC//
go_0002938_8	sdhB//
go_0002939_7	gmhB//
go_0002943_8	tsaE//
go_0002949_8	ddlB//kduI//prpD//
go_0003333_7	rhaA//mazG//dcyD//rlmG//scpB//phnH//mltA//waaF//pheA//yigL//insI-2//tmcA//ycaO//
go_0005975_4	selB//hcaB//trpE//leuA//bcsA//abgA//ushA//thrS//rlmL//mog//allC//fucO//poxB//ushA//lpd//dgoA//
go_0005976_5	nth//
go_0005977_6	menH//
go_0005978_7	nadK//lpoB//folP//yegS//
go_0005980_7	pphB//ilvD//ilvD//
go_0005986_7	cfa//
go_0005990_7	asd//
go_0005992_7	rlmD//entH//
go_0005993_7	gph//hemD//yigB//
go_0005995_7	fadH//
go_0005998_7	hisF//
go_0006000_6	dgoK//
go_0006001_7	tmcA//nrfC//
go_0006002_5	mmuM//dkgB//scpB//
go_0006006_6	menD//dgoD//fadA//araD//ybhA//
go_0006007_7	fucI//wcaJ//
go_0006011_5	yrfG//
go_0006012_6	yfaU//
go_0006013_6	ilvM//
go_0006014_6	yqjH//
go_0006015_7	murB//rffC//
go_0006020_5	pgk//
