# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nrfD//
go_0000025_7	pykF//
go_0000027_7	sad//add//gadA//hisA//
go_0000028_7	hinT//
go_0000032_8	rlmD//
go_0000041_8	ribF//
go_0000050_5	cobC//suhB//ydfG//yccX//yahK//
go_0000053_5	nrdE//
go_0000096_5	malY//
go_0000101_6	bcsA//
go_0000103_5	uxaC//lpxL//
go_0000105_6	rfbC//dacC//curA//citC//garD//pldB//ydiB//
go_0000160_5	fumB//
go_0000162_7	uxaC//opgE//nth//rsmG//thrC//thiE//fucI//cmoB//cysK//
go_0000270_7	lgoD//solA//katE//dapF//sad//btuR//waaY//thiD//thiM//fes//
go_0000271_6	frdA//
go_0000302_5	pldB//
go_0000303_6	menA//dcm//
go_0000305_5	
go_0000372_11	
go_0000413_9	gnd//hypF//epmA//frlC//lsrK//ubiX//ulaF//
go_0000453_8	ycaO//rlmG//hycB//ribE//
go_0000455_9	aroC//nth//eptB//rffM//pheS//yjhH//glgP//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	fumC//
go_0000726_7	gnd//
go_0000731_7	patA//etk//
go_0000737_7	
go_0000738_7	trmJ//eptA//
go_0000746_4	
go_0000820_7	cysS//
go_0000902_5	
go_0000910_4	ldcA//eutB//iaaA//
go_0000917_6	
go_0000918_6	
go_0000920_3	fucK//
go_0000921_6	
go_0000967_10	ilvM//
go_0001101_4	cheB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	tyrS//
go_0001510_5	fucA//rlmI//
go_0001514_8	fbaA//
go_0001522_7	umpG//melA//folE//uidA//
go_0001558_5	
go_0001561_6	rsmG//
go_0001676_6	waaU//
go_0001680_11	acnB//
go_0001682_11	queC//patD//
go_0001731_7	
go_0001762_6	astC//
go_0001887_4	gluQ//apt//
go_0001896_5	dut//
go_0002047_6	cpdA//torZ//
go_0002097_8	rnb//
go_0002098_9	rsmJ//guaB//ispU//fumA//
go_0002099_9	yjjG//waaP//
go_0002100_9	pbpC//
go_0002101_9	tnaA//
go_0002128_7	rlmJ//
go_0002131_9	uxaA//
go_0002132_9	ydfG//
go_0002136_10	tyrB//
go_0002143_9	aceA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	puuE//
go_0002938_8	curA//
go_0002939_7	torA//
go_0002943_8	ycjU//
go_0002949_8	patA//kbaZ//codA//
go_0003333_7	ldtA//der//purL//araA//mepS//queA//phnH//paaH//nagZ//cysM//nemA//waaC//mocA//
go_0005975_4	opgB//clsC//torC//thrS//queA//fabD//speG//garD//yigL//garR//sufS//torZ//suhB//queC//insI-1//entA//
go_0005976_5	dmsB//
go_0005977_6	fruK//
go_0005978_7	cynT//hemH//rhaB//aspC//
go_0005980_7	gatY//idnD//thiG//
go_0005986_7	uxuA//
go_0005990_7	recG//
go_0005992_7	melA//cyoE//
go_0005993_7	rsmI//paaF//napA//
go_0005995_7	tdk//
go_0005998_7	phr//
go_0006000_6	pdxK//
go_0006001_7	eptA//otsA//
go_0006002_5	plsC//gltD//fbp//
go_0006006_6	dgcM//ppk//apt//coaE//ribC//
go_0006007_7	mltB//ansA//
go_0006011_5	sdhD//
go_0006012_6	gshB//
go_0006013_6	cynT//
go_0006014_6	rdgB//
go_0006015_7	hemC//cdd//
go_0006020_5	fucA//
go_0006044_7	cpsG//
go_0006046_8	btuR//lldD//
go_0006047_5	slyD//lpcA//
go_0006048_6	dnaE//ychF//pgpC//fdhF//
go_0006053_8	arsC//
go_0006062_8	gudD//
go_0006071_6	alr//waaU//
go_0006072_6	ubiH//
go_0006082_4	torY//
go_0006083_6	deoC//pfkA//cadA//
go_0006086_8	recJ//dmsB//
go_0006090_8	nemA//gcvH//caiB//tyrB//rutE//hemE//cynT//
go_0006094_7	entD//rlmE//speG//rbsK//mutH//azoR//lpxD//allB//ampD//
go_0006096_6	hisF//phnP//orn//ilvE//araD//pflB//aldB//glmM//gshA//narG//waaF//moeA//ubiG//
go_0006097_5	murA//fau//dapD//fruK//proC//
go_0006098_6	fumB//rsmF//allC//rihB//alkB//
go_0006099_4	hemN//slt//dam//asd//glyS//hisB//glyA//paoC//torA//yeaE//queG//nanE//hisF//
go_0006103_5	waaS//rfbC//abgA//lpxK//
go_0006104_6	ftnA//
go_0006105_5	psuG//
go_0006106_8	amiD//
go_0006107_8	
go_0006108_8	sodA//eptC//narG//maa//
go_0006113_5	umpG//dcd//
go_0006115_6	speC//
go_0006124_6	
go_0006144_6	
go_0006145_7	queC//
go_0006146_8	thiE//
go_0006148_9	aroE//
go_0006149_9	umpG//
go_0006150_9	xylA//
go_0006152_7	curA//folP//dapD//malQ//sdhC//
go_0006154_6	tatD//
go_0006161_9	rluC//
go_0006163_6	plsC//
go_0006164_7	ghrB//mobA//pdxY//bglA//
go_0006166_6	cobS//
go_0006168_7	mmuM//trmJ//
go_0006171_9	
go_0006172_9	cpsG//
go_0006177_9	fumC//
go_0006178_7	fadH//
go_0006183_9	gmhB//
go_0006189_10	narI//phr//
go_0006203_8	hcaC//carA//
go_0006206_6	ampD//prpC//rluD//
go_0006207_8	maa//glpC//pdxK//galK//tktB//
go_0006208_7	sgbE//cyoE//yfbR//speA//fucI//alaS//
go_0006209_6	idnO//
go_0006210_8	ymdB//
go_0006212_6	idi//codA//avtA//argF//folA//yciA//fbp//tktA//yigL//bacA//
go_0006217_9	murQ//
go_0006218_9	menI//
go_0006220_6	sufS//
go_0006221_7	pflB//apaH//pabA//
go_0006222_9	
go_0006225_9	gnd//
go_0006226_9	gstA//rpe//
go_0006227_9	pdxY//
go_0006231_9	paoC//
go_0006233_9	amyA//
go_0006235_9	pphA//
go_0006241_9	sthA//
go_0006259_5	prpB//cysI//mhpA//
go_0006260_6	yrfG//hisD//rph//aspS//aspS//birA//pphB//
go_0006261_7	pgi//hycB//fadE//
go_0006265_6	fabI//btuE//
go_0006266_6	gloB//ansA//gatD//
go_0006267_5	
go_0006268_9	yjiA//def//
go_0006269_6	yigL//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	thiD//pphA//
go_0006281_6	mltF//yagF//patD//menE//fbaA//nrdB//queA//murE//hemE//ubiX//yieF//rlmE//ydiO//fadE//phnO//cdh//mtlD//
go_0006283_8	
go_0006284_7	icd//polA//nadA//pgaD//mltA//mrdA//
