# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	waaH//
go_0000025_7	fkpA//
go_0000027_7	yfbR//mhpA//dcm//argK//
go_0000028_7	mutL//
go_0000032_8	dosP//
go_0000041_8	ilvB//
go_0000050_5	otsA//hemB//rsuA//fucI//paaF//
go_0000053_5	metB//
go_0000096_5	mnmC//
go_0000101_6	tadA//
go_0000103_5	speA//treF//
go_0000105_6	yagF//rihC//hyaC//fabB//acpT//speD//putA//
go_0000160_5	sseA//
go_0000162_7	proB//fkpB//ilvA//phnO//folE//polB//serA//alsE//ribC//
go_0000270_7	metC//phnG//mtn//sdhD//yagE//tnaA//recG//yciV//glgP//tmcA//
go_0000271_6	aroD//
go_0000302_5	uxaA//
go_0000303_6	asd//pagP//
go_0000305_5	
go_0000372_11	
go_0000413_9	leuB//ppiC//idnO//folM//nadA//yidA//rsmH//
go_0000453_8	menC//gltB//trpB//prpB//
go_0000455_9	waaC//gdhA//tmcA//paaG//lpcA//aroL//dcyD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	eno//
go_0000726_7	trpD//
go_0000731_7	trmD//hypB//
go_0000737_7	
go_0000738_7	kdsA//menD//
go_0000746_4	
go_0000820_7	queA//
go_0000902_5	
go_0000910_4	dnaE//rsmC//argG//
go_0000917_6	
go_0000918_6	
go_0000920_3	pykA//
go_0000921_6	
go_0000967_10	menD//
go_0001101_4	sdhA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	dhaL//
go_0001510_5	nanE//lyxK//
go_0001514_8	gudD//
go_0001522_7	folC//tmcA//cdd//menF//
go_0001558_5	
go_0001561_6	argF//
go_0001676_6	tsaB//
go_0001680_11	patD//
go_0001682_11	argK//gpsA//
go_0001731_7	
go_0001762_6	rhaM//
go_0001887_4	iscS//hisH//
go_0001896_5	rhaB//
go_0002047_6	dhaL//glpB//
go_0002097_8	rne//
go_0002098_9	hcaF//gpsA//malP//narZ//
go_0002099_9	gmhB//pdeR//
go_0002100_9	pabB//
go_0002101_9	paaC//
go_0002128_7	waaC//
go_0002131_9	ubiX//
go_0002132_9	ribE//
go_0002136_10	entA//
go_0002143_9	gnd//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	glpB//
go_0002938_8	bacA//
go_0002939_7	panC//
go_0002943_8	folE//
go_0002949_8	eda//ravA//amiD//
go_0003333_7	mutS//rimK//mnmG//sad//gabT//arnB//sthA//mrdA//rnpA//dkgB//puuD//alr//epmC//
go_0005975_4	gatD//sdhC//thiD//cysG//ansA//yeaE//dacA//torC//dnaQ//tesB//deoB//mrcA//uvrA//pabA//suhB//ulaG//
go_0005976_5	ubiA//
go_0005977_6	cysQ//
go_0005978_7	aldB//pyrH//ppiC//arnA//
go_0005980_7	ssuD//glpD//guaD//
go_0005986_7	astB//
go_0005990_7	cobT//
go_0005992_7	rlmB//gluQ//
go_0005993_7	idi//miaB//ubiX//
go_0005995_7	rnt//
go_0005998_7	pyrD//
go_0006000_6	rutE//
go_0006001_7	mtn//ruvC//
go_0006002_5	gcvT//eno//thiD//
go_0006006_6	ilvI//rsuA//ribC//phnG//sgbU//
go_0006007_7	gatY//nudF//
go_0006011_5	argD//
go_0006012_6	rlmD//
go_0006013_6	guaB//
go_0006014_6	waaJ//
go_0006015_7	clsC//prmC//
go_0006020_5	ldcC//
go_0006044_7	gpmM//
go_0006046_8	recJ//argA//
go_0006047_5	fabB//yfeX//
go_0006048_6	bioF//amyA//ubiA//prmC//
go_0006053_8	rsuA//
go_0006062_8	trmO//
go_0006071_6	tehB//miaB//
go_0006072_6	aroD//
go_0006082_4	coaE//
go_0006083_6	ilvD//sgbH//surA//
go_0006086_8	pdxB//ilvM//
go_0006090_8	pyrC//phnM//ghrB//yeiG//thrA//prmC//hemA//
go_0006094_7	rfbB//sgbE//yjiA//lysA//rffM//entB//kdsB//glpX//tdcB//
go_0006096_6	rluA//purA//aroL//glk//kduI//torY//folC//yjcS//fadB//uxaB//lplA//rsmE//pdeF//
go_0006097_5	rlmH//rpiA//uvrB//sodB//ampD//
go_0006098_6	def//metC//bglA//aspA//treF//
go_0006099_4	gmd//waaG//ndk//ppk//ldtE//mhpB//rluE//dosP//allB//spoT//ansA//frmB//frlB//
go_0006103_5	hflX//nanE//glcB//agp//
go_0006104_6	gloC//
go_0006105_5	mutY//
go_0006106_8	hemH//
go_0006107_8	
go_0006108_8	mtn//prs//glgC//dgoD//
go_0006113_5	fumB//polB//
go_0006115_6	nagB//
go_0006124_6	
go_0006144_6	
go_0006145_7	glk//
go_0006146_8	paaF//
go_0006148_9	patZ//
go_0006149_9	ldcC//
go_0006150_9	kefF//
go_0006152_7	ispH//gmd//fucO//sseA//ubiE//
go_0006154_6	rlmA//
go_0006161_9	azoR//
go_0006163_6	rsmC//
go_0006164_7	trmL//dgkA//hemD//lpoB//
go_0006166_6	aroB//
go_0006168_7	cynT//hyi//
go_0006171_9	
go_0006172_9	pdeR//
go_0006177_9	nemA//
go_0006178_7	dsdA//
go_0006183_9	slyD//
go_0006189_10	selA//paaC//
go_0006203_8	dmlA//serS//
go_0006206_6	cobB//fucO//cysM//
go_0006207_8	tdcG//hyaA//ansB//menE//def//
go_0006208_7	argE//ushA//pabA//sgbU//ligA//tatD//
go_0006209_6	umpG//
go_0006210_8	leuS//
go_0006212_6	tmcA//hisH//torY//fucI//frmB//phnI//guaC//rlmE//aceB//puuE//
go_0006217_9	ldtD//
go_0006218_9	tatD//
go_0006220_6	narZ//
go_0006221_7	fcl//paaJ//narI//
go_0006222_9	
go_0006225_9	ldtC//
go_0006226_9	waaS//lsrK//
go_0006227_9	frmB//
go_0006231_9	yfcF//
go_0006233_9	mtn//
go_0006235_9	ldtC//
go_0006241_9	rutC//
go_0006259_5	tyrA//rfe//mdh//
go_0006260_6	trmA//folA//ilvH//proA//trmL//hisH//pinE//
go_0006261_7	uidA//trpS//psuG//
go_0006265_6	eptA//hchA//
go_0006266_6	eptA//ybjI//hcaF//
go_0006267_5	
go_0006268_9	cysM//metF//
go_0006269_6	hchA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	ung//dnaQ//
go_0006281_6	ruvA//cysH//yhdH//moaE//ahpC//waaL//katG//phnI//gudD//rutA//talB//yihT//gutQ//ubiA//lsrG//ydiF//ugd//
go_0006283_8	
go_0006284_7	ruvA//lpoB//narY//dcyD//bglB//gutQ//
go_0006285_6	glgP//aroK//fucO//mepS//
go_0006288_8	menA//ybjG//
go_0006289_7	
go_0006298_7	nrfB//def//rluE//nrdF//
go_0006301_7	
go_0006302_7	bglA//queA//
go_0006307_8	ppc//iaaA//serC//fumB//thrA//
go_0006308_6	trmD//eptC//hisB//fabB//
go_0006310_6	thrS//dxs//metG//lpoB//abgB//
go_0006313_4	tig//
go_0006351_6	sodA//ispH//
go_0006352_7	
go_0006353_7	
go_0006354_7	thiC//
go_0006355_7	dut//
go_0006357_8	
go_0006364_9	folC//glpD//hflX//cysM//
go_0006378_8	folC//
go_0006396_7	adk//glcB//murG//ispF//guaA//
go_0006397_8	dmlA//
go_0006399_8	aspC//cysI//
go_0006400_7	lpxT//iaaA//gpsA//metL//ygeX//
go_0006401_6	ilvA//aroH//yajO//thiE//adeD//pck//
go_0006402_7	proS//valS//ycaO//hypF//ndh//hisA//dapA//
go_0006412_6	arnB//recG//tyrA//gcvP//fumB//
go_0006413_4	dxr//
go_0006414_6	
go_0006415_7	prpB//aroD//
go_0006417_7	mltF//hcaC//
go_0006418_7	rlmD//waaC//xdhB//paaB//cysH//rihB//hypF//bioB//ssuE//arnT//patZ//
go_0006419_8	abgA//
go_0006420_8	mcrA//
go_0006421_8	yeaG//
go_0006422_8	hemG//
go_0006423_8	murB//
go_0006424_8	rlmD//thiD//
go_0006425_8	lpxB//
go_0006427_8	ligB//
go_0006428_8	hycB//
go_0006429_8	udk//
go_0006430_8	thrB//ahpC//
go_0006431_8	opgB//
go_0006432_8	roxA//
go_0006433_8	ydfG//
go_0006434_8	fabG//
go_0006435_8	ydiO//
go_0006436_8	rsmF//
go_0006437_8	frdB//
go_0006438_8	leuC//
go_0006448_8	
go_0006450_4	cynS//nth//nadB//ravA//chbF//cysS//
go_0006457_3	rsmA//mltF//preT//rfaD//recG//rluF//sbcB//
go_0006458_4	
go_0006464_6	cmoB//pykF//rffT//betB//murI//pyrG//tktA//sdaA//
go_0006465_6	frdA//polA//aes//
go_0006468_7	fadH//
go_0006470_7	ampH//rbsD//ascB//otsA//nrdB//
go_0006473_8	aceA//
go_0006474_6	ubiE//aspS//rsmA//
go_0006476_8	frdC//
go_0006479_5	deoB//ogt//ruvB//ubiI//bglB//maa//
go_0006486_5	hisA//
go_0006490_5	carA//
go_0006508_5	yjhH//dacC//wzc//alkB//glyA//leuC//ltaE//purL//nth//truA//fumC//zwf//rnd//asd//ugd//sucB//tyrA//wecC//purU//chbF//fadD//xapA//acnB//frmB//dhaK//phnH//speB//ubiD//ugd//fabA//yihV//dkgB//epmB//
go_0006515_7	ispH//yqjH//speC//lysU//bioC//cdh//narY//
go_0006517_6	ddlA//fadI//
go_0006518_5	sgbH//dkgA//
go_0006523_8	preT//ulaG//
go_0006524_8	
go_0006526_8	hyi//cysE//yqjH//rutE//pnp//trpA//kbaY//
go_0006527_8	lpxM//gltB//cysK//guaC//allD//
go_0006529_7	tdcG//hemE//
go_0006530_7	mnmC//aroE//atoB//tmcA//
go_0006531_7	pgm//
go_0006532_8	thrS//sodA//hisC//
go_0006535_8	hyaB//pdeR//wzb//
go_0006537_8	gcd//
go_0006538_8	rffH//fes//
go_0006541_7	yihX//ssuE//insI-2//yihU//paoC//
go_0006542_8	menH//aroL//
go_0006543_8	
go_0006545_6	gntK//
go_0006546_6	fadK//gluQ//tdcB//
go_0006554_8	gshA//nagA//ung//
go_0006556_5	rimK//
go_0006559_6	umuC//
go_0006561_6	gpsA//glcE//
go_0006563_7	nirB//
go_0006564_8	dmlA//thrC//phnP//yfiC//
go_0006565_8	adhE//pabB//hflX//cof//ftnA//
go_0006566_7	dosP//
go_0006567_8	glmM//caiD//dnaE//fkpB//ldtC//ldtE//glgB//
go_0006569_7	uidA//
go_0006571_7	uvrB//rlmM//
go_0006593_7	ybjG//
go_0006598_8	yajO//trmL//kdgK//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	dgcM//thiG//
go_0006631_5	fre//yihT//thrB//hyaB//tatD//
go_0006633_6	rnb//adhP//gcd//btuE//gabT//nudC//nadK//ppx//dgoA//sucD//gshA//
go_0006635_6	ung//gloC//ribC//pheT//thiD//cyoE//tyrB//nadE//speD//nirD//rlmE//hemC//
go_0006636_7	
go_0006637_5	sucA//add//mocA//waaF//fadE//
go_0006646_7	
go_0006650_6	
go_0006654_7	mraY//
go_0006655_7	argC//cysH//
go_0006725_4	rsmG//
go_0006729_6	rsmB//araD//
go_0006730_4	purL//udk//uidA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	birA//cysK//ilvH//nadE//gntK//rsmF//mtlD//sseA//chbF//glcD//hyaC//panC//
go_0006749_5	kdsD//selD//
go_0006750_6	ldtA//btuR//
go_0006751_6	eptB//
go_0006757_5	kdsA//
go_0006760_5	paaC//
go_0006761_7	thiM//
go_0006771_5	hcaB//
go_0006772_6	pyrC//waaA//
go_0006777_5	fre//xylB//frdB//rfaE//rutE//
go_0006779_6	yjiA//dmsA//folD//hemL//mhpD//
go_0006780_7	ynfE//
go_0006782_7	rph//ribA//gabT//alsK//
go_0006783_5	aroK//fadI//sdaB//xylA//dapB//maeA//sdhC//
go_0006790_4	yihX//glyS//trmL//mutT//mraY//phoA//cynS//moeB//waaF//gcvP//
go_0006791_2	dcm//trpC//fkpA//
go_0006793_4	accB//prpD//
go_0006798_5	yjjX//
go_0006799_5	rsmH//
go_0006801_5	acnB//cobB//uxuB//
go_0006805_4	ruvB//phnI//rfbD//lipB//
go_0006807_3	hisB//tyrS//yfaU//
go_0006808_4	xylA//
go_0006810_4	coaD//gpmA//accA//rhaB//cysI//puuC//hchA//ldtA//puuA//treC//waaS//lipB//glyS//cpsG//polA//puuD//dgoK//fadA//recO//galT//yfiC//nadB//ilvI//treA//hcaF//suhB//alsK//purT//xylA//hcaB//yjiA//betB//rhaA//asnA//birA//glmU//ulaG//pldB//btuE//fabI//add//ybjI//puuE//dxs//asnB//thrC//valS//malP//entC//dgcM//ygeX//yigL//aroH//fumA//ycaO//phoA//gatZ//abgB//icd//purD//ydiB//rbn//yigB//aroC//yeaG//ansA//coaD//tktA//rbn//gmk//hchA//ugd//metL//tpiA//rhaD//argS//birA//
go_0006811_5	opgB//zwf//eptB//yfiC//fumB//glpX//thiE//rsmH//nemA//hypF//waaC//
go_0006812_6	hemB//rutD//
go_0006813_8	yahK//narY//recG//rutD//purL//srlD//uxuB//cadA//
go_0006814_8	amiD//tadA//rnd//preT//
go_0006817_8	deoA//
go_0006820_6	pyrD//ulaE//mpaA//yhdH//speE//
go_0006821_8	yfaU//
go_0006824_8	polA//glgX//puuE//pdxY//
go_0006825_9	panD//
go_0006826_9	nhoA//
go_0006828_9	astC//
go_0006829_9	hisD//dnaE//fadJ//rbn//phoA//
go_0006833_6	
go_0006835_8	gshB//ddlB//
go_0006847_8	gcvH//
go_0006855_6	ppsA//mhpD//wcaJ//fadI//rne//lsrK//serA//tyrB//eda//ilvN//rbsK//serC//rsgA//betB//
go_0006857_7	rdgB//kdsD//nadD//
go_0006863_7	yjhH//
go_0006865_6	galK//yqjH//hemB//ung//dhaM//ispB//hchA//purU//hcaB//dbpA//mngB//nanE//yagE//cueO//tcdA//ispA//torZ//glgB//hcaD//purD//cysK//
go_0006868_7	araD//
go_0006869_6	yjcS//
go_0006874_8	
go_0006876_8	mutY//
go_0006878_9	rhaD//
go_0006879_9	prpD//treC//
go_0006880_4	gnd//miaA//
go_0006882_8	abgB//
go_0006883_8	nadE//dxr//curA//
go_0006884_4	
go_0006885_9	prmC//
go_0006886_5	
go_0006928_3	rhaA//
go_0006935_4	gcvH//xapA//mutS//napA//waaJ//
go_0006970_4	btuE//paaJ//alkA//murE//panB//panB//
go_0006972_5	yajO//ybhA//murI//uxaA//gpp//
go_0006974_5	acpH//guaA//ribC//thiI//citC//dacC//puuA//selA//alaA//slyD//ilvH//yfdR//rihB//purF//tauD//cdh//yihX//hflX//purD//rihB//mcrB//dmsB//acpH//acnB//alaA//trpC//ulaD//cadA//lgoD//chbF//abgA//ttdB//rsuA//adk//bglB//frdD//azoR//sucC//fucA//rfbC//hyaB//yrfG//recF//rsuA//yfbR//leuD//ribE//hisB//alr//trmD//hcaC//dkgB//truC//pgk//thrB//rffH//metB//idnK//ynfE//yihV//fucI//yfeX//dam//hisI//dsdA//allC//putA//recJ//hchA//sucD//rrrD//ydiF//tmk//sdhD//lysA//metC//acpH//ackA//yieF//dhaL//prmC//glgP//tsaD//frdB//fadJ//cmk//nudC//frdA//prpB//pykF//araA//fabZ//rsmF//solA//ahr//
go_0006979_4	aspA//gcl//fdhF//tdk//hemC//pgpA//rfe//ulaF//fkpB//yjjX//wrbA//cysE//fbaA//yidA//fadJ//ilvI//leuA//yajO//tag//phoA//truD//malY//prs//queC//gpmA//sgbE//
go_0006986_5	fucK//
go_0006995_6	preT//fcl//
go_0007059_3	cysG//pgpB//
go_0007062_4	
go_0007155_3	idi//
go_0007165_3	uvrB//frlC//
go_0007234_5	
go_0007584_4	
go_0008033_9	accD//purL//atoB//mutM//cysS//rfbC//murF//ybiV//
go_0008104_4	
go_0008152_2	der//miaB//xdhB//pgpC//cueO//hemA//gudD//pdeR//ppiC//accD//adeD//psd//uvrB//cynT//pgaC//prpD//amiD//
go_0008156_8	
go_0008219_3	
go_0008272_6	waaB//mngB//
go_0008295_6	yfbR//thyA//argH//
go_0008299_5	fadD//
go_0008360_4	frdA//pykF//sucC//tatD//rfbC//rsmI//tdcE//sucD//rffT//cmoA//rnpA//
go_0008610_5	mutY//yahK//pdxY//speG//
go_0008615_6	dgoK//chbG//cobT//fucK//bacA//bfr//gshA//
go_0008616_8	puuC//metK//hisH//ugd//ilvE//bioD//
go_0008643_6	betA//clsC//cysQ//aroL//gmhB//ilvA//iscS//gcvT//fabB//ftnA//speE//kduI//fabZ//amyA//paaC//hypB//trpS//yihS//
go_0008652_5	hpt//miaA//ppsA//uxaC//fadK//fadD//ung//rihA//
go_0008653_5	
go_0008654_5	hcaE//metF//rsmI//ydiO//
go_0009050_6	coaE//caiD//
go_0009052_6	tdcG//bioD//hflX//katG//fabD//murG//
go_0009056_3	uxaC//
go_0009058_3	dcd//sgbE//purA//mgsA//
go_0009060_6	sucC//glcF//umuC//cysM//paaE//dadA//fadA//
go_0009061_6	rbn//sucC//mepS//malQ//waaL//argK//frc//alsE//glpD//argA//glcF//menI//yccX//cmoA//metK//rlmL//yjiA//glgC//nadA//tktA//dacC//
go_0009062_6	otsB//
go_0009063_5	dmsB//nadC//rrrD//
go_0009070_7	aroG//
go_0009073_6	puuC//purB//ddlA//tsaE//fumB//ynfF//preT//pyrG//talB//rfbD//fabG//
go_0009081_5	dgcT//aceB//
go_0009082_6	hcaF//ubiD//yeaG//tag//yeaG//rlmA//recF//
go_0009085_8	frdD//
go_0009086_7	sucB//speD//prpB//chbF//sgbE//
go_0009088_8	mrcB//thiE//
go_0009089_6	thiD//adiA//glyS//arnB//ascB//dcm//
go_0009090_8	tyrS//pdeF//thiC//speD//
go_0009092_7	prpB//
go_0009093_7	
go_0009094_6	miaA//ppx//yihS//
go_0009097_7	arnT//acnA//nadB//dacC//dadA//
go_0009098_7	yfeX//hypB//gatY//birA//fadJ//udp//
go_0009099_7	waaL//gloA//cobT//hyaA//yfdR//mug//aroA//
go_0009102_6	otsA//tyrB//rutA//tnaA//nfi//tnaA//rsmJ//purB//pykA//
go_0009103_6	bglB//pyrG//lgoD//uxuA//cfa//ileS//yegS//dfp//ribB//
go_0009106_5	ycjU//
go_0009107_6	melA//gltX//
go_0009108_6	thiM//
go_0009116_5	araB//coaD//
go_0009142_7	menI//
go_0009143_7	yqjH//
go_0009152_8	pfkA//
go_0009157_8	trpA//
go_0009166_7	queA//frlB//
go_0009168_9	tsaB//
go_0009220_8	pyrD//nhoA//
go_0009224_9	alaS//
go_0009226_6	lldD//aroA//
go_0009228_7	puuB//speF//pgpC//nadC//truC//hmp//pabB//plsB//pyrF//
go_0009229_6	rsmA//slt//
go_0009231_6	gabT//guaA//treA//hemB//moaE//paoC//argC//
go_0009234_7	prpD//gltB//pabC//glpC//yjjG//waaS//ribF//rsmA//glpD//
go_0009236_6	lysU//dgoK//ubiH//yieH//gmk//yjjX//
go_0009237_4	puuD//aroA//
go_0009239_6	pgaB//metF//fucO//gmd//leuB//mcrB//paaC//menF//
go_0009240_6	tktA//
go_0009242_6	mngB//glcD//trpS//uxaC//sdaA//rhaA//glyA//mltD//
go_0009243_7	prmB//
go_0009244_7	rsmA//dusB//yfbR//dkgB//abgB//dkgB//lysU//hyaA//nrfD//hyaB//hyaA//pdxK//dmsB//rsmD//ydfG//rbsD//coaA//rnt//pdxA//umpH//bglA//aroL//
go_0009245_6	eptB//pdxA//ldcC//yfbR//ppiA//ycaO//mrcA//sucC//moaA//
go_0009246_6	fadM//folP//truA//ndk//yghU//arnT//
go_0009249_6	yjcS//fruK//speC//
go_0009250_7	
go_0009251_7	truD//
go_0009252_7	nrdF//asnA//rsmD//entH//recJ//rlmL//hemF//waaQ//hcaE//rutA//glpB//idnD//yahK//der//cpsB//fabD//aroL//iaaA//cmoA//gshB//talB//puuB//cysM//waaO//recF//
go_0009253_8	ileS//sufS//ldtE//kdsC//hpt//rsmI//rph//glgP//dkgB//nhoA//
go_0009254_8	hyaC//frmB//yigL//lsrG//trmH//xdhB//rffG//ilvH//trpB//rnd//menB//
go_0009257_8	aroC//adhP//abgB//eptB//
go_0009263_6	ychF//tauD//
go_0009264_6	pck//phr//
go_0009265_7	def//
go_0009266_4	pncB//proB//waaB//tdcG//fucO//fdhF//
go_0009267_5	hcaF//dcd//
go_0009268_4	uxaB//
go_0009271_4	
go_0009273_5	
go_0009290_6	
go_0009294_5	lpxP//
go_0009297_6	
go_0009298_7	ubiI//luxS//yihX//
go_0009305_7	ascB//
go_0009306_4	
go_0009311_5	
go_0009314_4	alsE//lpcA//paaC//deoB//gcvT//rfbB//gatD//waaC//cmoA//acpT//yciV//dgoA//yjhH//galK//ravA//xapA//lpd//
go_0009372_5	trmO//hcaD//sdhC//
go_0009396_6	eptC//fabZ//
go_0009398_7	speF//
go_0009401_7	yieH//glnS//acpT//leuC//fumA//fumC//polB//sucB//nemA//rlmB//cysQ//pdxY//xylA//trpC//ynfE//etk//speF//nrdB//bacA//poxB//
go_0009403_5	
go_0009405_4	
go_0009407_3	ansB//
go_0009408_4	ulaF//nth//dgt//yidA//hycB//lldD//cobS//paoC//ruvB//btuE//murE//patD//aceB//ybiV//paaK//treF//hemN//mutY//mnaT//nfi//pgaC//malQ//ppc//clsC//ddlB//glk//
go_0009409_4	rfbB//waaP//
go_0009410_4	alr//
