# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	bcsA//
go_0000025_7	ppiA//
go_0000027_7	sdhD//rluA//dnaE//luxS//
go_0000028_7	dmsC//
go_0000032_8	ispG//
go_0000041_8	speA//
go_0000050_5	bglB//treC//rsmD//proA//mutT//
go_0000053_5	yjjG//
go_0000096_5	dadA//
go_0000101_6	yfaU//
go_0000103_5	thiH//argE//
go_0000105_6	etk//ilvA//thiG//fucO//prpB//lpoB//pbpC//
go_0000160_5	gstB//
go_0000162_7	fabG//sgbE//bglX//yrfG//guaB//pyrD//cueO//adeD//narH//
go_0000270_7	betA//murQ//rutC//feaB//rluF//ygjK//puuD//queC//rlmH//rbsD//
go_0000271_6	malS//
go_0000302_5	queA//
go_0000303_6	cdh//mngB//
go_0000305_5	
go_0000372_11	
go_0000413_9	gatZ//glxK//aes//cpdB//mltC//rnt//frlB//
go_0000453_8	speA//sthA//lpxH//kbaY//
go_0000455_9	otsA//thiM//pyrF//serS//phnL//hcp//mhpA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	speE//
go_0000726_7	ssuD//
go_0000731_7	carA//nhoA//
go_0000737_7	
go_0000738_7	otsA//ygeX//
go_0000746_4	
go_0000820_7	aroF//
go_0000902_5	
go_0000910_4	nrdE//cobS//fkpB//
go_0000917_6	
go_0000918_6	
go_0000920_3	guaB//
go_0000921_6	
go_0000967_10	apaH//
go_0001101_4	polB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	lpd//
go_0001510_5	dcd//sucD//
go_0001514_8	rlmB//
go_0001522_7	fucO//xylB//frmA//deoA//
go_0001558_5	
go_0001561_6	accB//
go_0001676_6	lsrG//
go_0001680_11	rsmG//
go_0001682_11	leuC//tyrA//
go_0001731_7	
go_0001762_6	gapA//
go_0001887_4	ampH//rsmI//
go_0001896_5	murC//
go_0002047_6	ldhA//rffT//
go_0002097_8	yegS//
go_0002098_9	azoR//malQ//metG//yfcF//
go_0002099_9	leuB//etp//
go_0002100_9	nrdB//
go_0002101_9	slyD//
go_0002128_7	dmlA//
go_0002131_9	kduI//
go_0002132_9	idnO//
go_0002136_10	gatY//
go_0002143_9	nrfC//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	yfaU//
go_0002938_8	mutH//
go_0002939_7	adhE//
go_0002943_8	asnA//
go_0002949_8	dcd//dgoA//yqaB//
go_0003333_7	dxr//gpp//adhE//pdxB//upp//thiC//hemH//leuB//ispU//gatY//pflB//nrfA//rpiB//
go_0005975_4	idnO//fes//yfaU//mltF//carB//nfsB//ahr//purC//hcaE//fbp//gnd//abgA//adhE//ldhA//paaE//gpmM//
go_0005976_5	lysC//
go_0005977_6	ileS//
go_0005978_7	nrdE//ybjI//truC//panC//
go_0005980_7	rhaA//dapF//bioA//
go_0005986_7	nrfD//
go_0005990_7	yahK//
go_0005992_7	yjjX//patA//
go_0005993_7	ilvD//lpxP//ubiF//
go_0005995_7	araB//
go_0005998_7	luxS//
go_0006000_6	dmlA//
go_0006001_7	hemL//mutH//
go_0006002_5	cmoA//thrB//wzc//
go_0006006_6	rbn//nanE//yieF//agp//sbcB//
go_0006007_7	slyD//guaD//
go_0006011_5	waaA//
go_0006012_6	galM//
go_0006013_6	argD//
go_0006014_6	lpxP//
go_0006015_7	trpS//lysC//
go_0006020_5	yegS//
go_0006044_7	bioD//
go_0006046_8	xdhB//talB//
go_0006047_5	tdcB//ppx//
go_0006048_6	mutM//ushA//asnB//dgcZ//
go_0006053_8	queC//
go_0006062_8	rlmC//
go_0006071_6	opgE//ada//
go_0006072_6	hcaE//
go_0006082_4	rsmH//
go_0006083_6	dfp//mdh//tyrB//
go_0006086_8	rluF//coaA//
go_0006090_8	nadC//pykF//uxaA//accA//galU//appA//yigL//
go_0006094_7	uvrB//malS//idi//hdhA//alkB//deoA//uvrA//asnS//hcaB//
go_0006096_6	slt//nth//trpA//waaH//maeA//patA//mdh//selA//speF//allC//lplA//patZ//sgbU//
go_0006097_5	lpxL//dhaM//uxaB//argB//rffM//
go_0006098_6	dxs//xylA//entB//ybiV//rpiB//
go_0006099_4	lsrG//fabH//pheA//hisI//hemC//polB//ynfE//arnT//frlC//aspA//preT//waaL//pdxK//
go_0006103_5	hemL//accC//deoB//entB//
go_0006104_6	cmk//
go_0006105_5	tdcG//
go_0006106_8	yqaB//
go_0006107_8	
go_0006108_8	glgC//roxA//guaD//torZ//
go_0006113_5	truB//ansA//
go_0006115_6	mutL//
go_0006124_6	
go_0006144_6	
go_0006145_7	hisB//
go_0006146_8	pyrB//
go_0006148_9	rffT//
go_0006149_9	talB//
go_0006150_9	ybjG//
go_0006152_7	hcaC//insI-2//sdhD//rnt//cmoB//
go_0006154_6	aroL//
go_0006161_9	cheR//
go_0006163_6	entB//
go_0006164_7	dut//mak//dmsA//hisI//
go_0006166_6	pgm//
go_0006168_7	yjiA//rpiB//
go_0006171_9	
go_0006172_9	mnmG//
go_0006177_9	ampD//
go_0006178_7	eutB//
go_0006183_9	ubiF//
go_0006189_10	ybhA//tsaD//
go_0006203_8	pphA//lipA//
go_0006206_6	gmhB//chbF//ilvH//
go_0006207_8	aroF//rnb//entH//fadB//argK//
go_0006208_7	proC//uvrA//nudG//truD//codA//hemC//
go_0006209_6	rhaM//
go_0006210_8	otsA//
go_0006212_6	tsaE//yfdR//zwf//aroA//thiG//yccX//fadK//azoR//opgE//ligB//
go_0006217_9	yjhG//
go_0006218_9	cysG//
go_0006220_6	tdh//
go_0006221_7	nrfB//fbaA//bglA//
go_0006222_9	
go_0006225_9	dgcZ//
