# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	gloC//
go_0000025_7	cmoB//
go_0000027_7	eptA//adhP//malZ//selB//
go_0000028_7	hemL//
go_0000032_8	tdcD//
go_0000041_8	galK//
go_0000050_5	nrdF//torC//prs//ycjU//paaG//
go_0000053_5	pheS//
go_0000096_5	aceF//
go_0000101_6	ubiX//
go_0000103_5	serS//pgk//
go_0000105_6	dgoK//rlmG//kduD//yeaG//dnaE//ldcA//mnmA//
go_0000160_5	ruvC//
go_0000162_7	napC//frdD//rbsK//rffH//purN//glnS//paaK//purC//cysS//
go_0000270_7	prs//cmoA//agp//citC//yghU//coaA//lgoD//menB//aroA//ribC//
go_0000271_6	yjjX//
go_0000302_5	clsC//
go_0000303_6	mnmG//lplA//
go_0000305_5	
go_0000372_11	
go_0000413_9	ubiA//speD//lysS//sbcB//wzc//thrB//leuC//
go_0000453_8	yigL//gpmA//fre//ubiI//
go_0000455_9	cysE//guaD//truB//add//srlD//mcrA//gmhB//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	folE//
go_0000726_7	rutC//
go_0000731_7	ygeX//pgk//
go_0000737_7	
go_0000738_7	moaA//glpK//
go_0000746_4	
go_0000820_7	mocA//
go_0000902_5	
go_0000910_4	waaF//dxr//tehB//
go_0000917_6	
go_0000918_6	
go_0000920_3	purA//
go_0000921_6	
go_0000967_10	ruvA//
go_0001101_4	uidA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	yfeX//
go_0001510_5	aceF//rbsK//
go_0001514_8	fau//
go_0001522_7	aroH//dcyD//rsmE//patZ//
go_0001558_5	
go_0001561_6	mraY//
go_0001676_6	carA//
go_0001680_11	rsmG//
go_0001682_11	cysE//ulaE//
go_0001731_7	
go_0001762_6	serC//
go_0001887_4	ldtA//metF//
go_0001896_5	cpdB//
go_0002047_6	adhP//gpmM//
go_0002097_8	gcvT//
go_0002098_9	rsmA//xylB//cysG//yqhD//
go_0002099_9	rlmM//murA//
go_0002100_9	mutY//
go_0002101_9	mnmA//
go_0002128_7	alaC//
go_0002131_9	pyrB//
go_0002132_9	glgP//
go_0002136_10	uxuA//
go_0002143_9	yqjH//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	coaE//
go_0002938_8	ribF//
go_0002939_7	mhpA//
go_0002943_8	nfi//
go_0002949_8	pyrB//ubiC//uxaC//
go_0003333_7	yghU//cheR//argB//serB//ssuD//mrdA//fau//nadK//aldA//aceF//hflX//ppx//uxuB//
go_0005975_4	pdxA//fucI//katG//metE//bglX//rutA//mutM//hpt//hemB//iscS//paaF//luxS//guaC//purF//sdhA//pheT//
go_0005976_5	lysA//
go_0005977_6	guaA//
go_0005978_7	katG//poxB//folD//gpmM//
go_0005980_7	nrdD//rfbD//wecB//
go_0005986_7	bioC//
go_0005990_7	nadB//
go_0005992_7	pncB//idi//
go_0005993_7	fkpB//xdhB//sdhB//
go_0005995_7	rfaE//
go_0005998_7	xapA//
go_0006000_6	mtgA//
go_0006001_7	hypF//rlmA//
go_0006002_5	manA//dxr//cdd//
go_0006006_6	lgoD//gadB//yahK//rutD//pnp//
go_0006007_7	yjiA//ygeX//
go_0006011_5	recF//
go_0006012_6	rnd//
go_0006013_6	gloA//
go_0006014_6	phnM//
go_0006015_7	dnaE//ligA//
go_0006020_5	tdh//
go_0006044_7	aroF//
go_0006046_8	sdaB//yjjG//
go_0006047_5	gpmA//speB//
go_0006048_6	frmB//yfaU//fucA//waaP//
go_0006053_8	metB//
go_0006062_8	tcdA//
go_0006071_6	trpD//kdsA//
go_0006072_6	bfr//
go_0006082_4	pyrB//
go_0006083_6	murE//bioB//rsmD//
go_0006086_8	mnmG//nrdD//
go_0006090_8	gpp//cmk//lpoA//mltA//mocA//hchA//pagP//
go_0006094_7	epmC//eutD//rnt//waaO//trpB//hmp//hchA//dbpA//thiD//
go_0006096_6	entB//ispG//mtgA//glyS//rsmD//dgcT//udk//phnM//dgoK//hisB//rsmE//phnG//gpp//
go_0006097_5	menC//bioA//phnO//bglB//murB//
go_0006098_6	glmS//gldA//yfaU//hemE//ansA//
go_0006099_4	kdsC//yfeW//purA//kdsC//sodA//adhP//betA//ppiA//kdsC//pgl//paaJ//ydiO//dadA//
go_0006103_5	citX//metG//opgE//azoR//
go_0006104_6	queD//
go_0006105_5	ybcF//
go_0006106_8	menE//
go_0006107_8	
go_0006108_8	kdsA//ushA//ttdA//pphB//
go_0006113_5	nth//sgbE//
go_0006115_6	trpD//
go_0006124_6	
go_0006144_6	
go_0006145_7	trmI//
go_0006146_8	tsaC//
go_0006148_9	nudG//
go_0006149_9	orn//
go_0006150_9	pphB//
go_0006152_7	dmsA//menB//cpdB//hcaF//lysU//
go_0006154_6	frdD//
go_0006161_9	yigB//
go_0006163_6	glk//
go_0006164_7	patA//fadK//gcvT//tgt//
go_0006166_6	coaD//
go_0006168_7	ynfH//hchA//
go_0006171_9	
go_0006172_9	etp//
go_0006177_9	dusB//
go_0006178_7	tadA//
go_0006183_9	opgB//
go_0006189_10	opgB//nagZ//
go_0006203_8	roxA//cheB//
go_0006206_6	ilvM//menD//aes//
go_0006207_8	pyrG//fruK//mltD//betB//entH//
go_0006208_7	patA//pgaB//gshA//allB//wrbA//frc//
go_0006209_6	moeB//
go_0006210_8	adhP//
go_0006212_6	ligA//yihS//dfp//gph//slt//ldtA//waaQ//hisF//argG//alsK//
go_0006217_9	murQ//
go_0006218_9	folA//
go_0006220_6	glgB//
go_0006221_7	uxaA//waaO//ydiO//
go_0006222_9	
go_0006225_9	garD//
go_0006226_9	cynT//mnmG//
go_0006227_9	slt//
go_0006231_9	sucC//
go_0006233_9	rpiB//
go_0006235_9	araA//
go_0006241_9	sseA//
go_0006259_5	ilvM//lpcA//dsdA//
go_0006260_6	leuB//ddlA//allD//phnI//eda//ldhA//citC//
go_0006261_7	mrdA//recO//fadD//
go_0006265_6	ldtB//murQ//
go_0006266_6	dhaK//phnN//cfa//
go_0006267_5	
go_0006268_9	citE//gapA//
go_0006269_6	paoC//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	argK//hyaA//
go_0006281_6	sucA//amyA//tktB//narY//paaG//gpmA//menA//fucK//ispH//slyD//gmhB//waaB//adiA//clsC//aroD//rsuA//udk//
go_0006283_8	
go_0006284_7	ruvA//sgbH//nadE//feaB//thiI//ndk//
go_0006285_6	uxuB//abgA//ahr//hcaF//
go_0006288_8	rlmG//betA//
go_0006289_7	
go_0006298_7	pyrG//yrfG//gpt//dfp//
go_0006301_7	
go_0006302_7	paaZ//tnaA//
go_0006307_8	iaaA//waaU//tdcB//ribA//patD//
go_0006308_6	yqjH//tnaA//hemG//ilvE//
go_0006310_6	xdhB//ackA//pinE//fadM//glcE//
go_0006313_4	sucA//
go_0006351_6	entD//eptB//
go_0006352_7	
go_0006353_7	
go_0006354_7	argE//
go_0006355_7	gmd//
go_0006357_8	
go_0006364_9	dut//lpxT//gstA//clsC//
go_0006378_8	citG//
go_0006396_7	hemL//yihS//yihV//mtlD//aldB//
go_0006397_8	nadK//
go_0006399_8	serC//trpA//
go_0006400_7	ldcA//sdhA//puuB//rnt//pdeH//
go_0006401_6	ppk//frlC//glxK//rutC//pta//fes//
go_0006402_7	rlmA//yciA//icd//melA//thiE//purT//dgt//
go_0006412_6	arnA//agp//hyi//puuB//purF//
go_0006413_4	tadA//
go_0006414_6	
go_0006415_7	epmC//luxS//
go_0006417_7	tynA//gudD//
go_0006418_7	tsaB//trmL//glyS//solA//frdA//murG//rpiB//patZ//pgk//codA//folE//
go_0006419_8	sdhA//
go_0006420_8	lysU//
go_0006421_8	yidA//
go_0006422_8	aceF//
go_0006423_8	treF//
go_0006424_8	yagF//gcl//
go_0006425_8	glyA//
go_0006427_8	pck//
go_0006428_8	csdA//
go_0006429_8	aroC//
go_0006430_8	tnaA//ppiA//
go_0006431_8	pgm//
go_0006432_8	fumA//
go_0006433_8	leuA//
go_0006434_8	sucC//
go_0006435_8	tdh//
go_0006436_8	bioC//
go_0006437_8	tsaC//
go_0006438_8	galU//
go_0006448_8	
go_0006450_4	waaY//hemC//glyS//torA//mhpC//uvrC//
go_0006457_3	phr//kdsD//dgkA//kdsD//rutA//ddlB//leuA//
go_0006458_4	
go_0006464_6	rluC//prmC//bioC//ttdB//rph//tdcD//ligA//pgaB//
go_0006465_6	kdsB//fadD//avtA//
go_0006468_7	allB//
go_0006470_7	nudG//accC//puuE//iaaA//nadB//
go_0006473_8	cobC//
go_0006474_6	lplA//accB//metC//
go_0006476_8	acpT//
go_0006479_5	maa//yfaU//galU//thrA//moeB//apaH//
go_0006486_5	hemN//
go_0006490_5	patZ//
