# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dhaL//
go_0000025_7	thiH//
go_0000027_7	dcd//hcaB//gpmM//wrbA//
go_0000028_7	rsmD//
go_0000032_8	atoB//
go_0000041_8	hcaC//
go_0000050_5	cpdA//adk//rutE//ydiB//nhoA//
go_0000053_5	abgA//
go_0000096_5	mnmC//
go_0000101_6	hisS//
go_0000103_5	uxaB//queC//
go_0000105_6	hcaB//dcyD//cysQ//pdeL//rrrD//citX//dosP//
go_0000160_5	proS//
go_0000162_7	kduD//amiD//dkgB//amyA//purF//pyrF//mtn//ilvN//lpxK//
go_0000270_7	gluQ//narY//thiI//dmsA//hycB//fadH//ribE//glyA//waaF//mltA//
go_0000271_6	gmk//
go_0000302_5	serA//
go_0000303_6	arnB//ligA//
go_0000305_5	
go_0000372_11	
go_0000413_9	pheS//uvrA//fadM//pphB//tyrB//paaK//eptA//
go_0000453_8	rluD//paaZ//prpB//gabD//
go_0000455_9	rluA//cysC//adk//purF//roxA//adhP//eptC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	lpxP//
go_0000726_7	entB//
go_0000731_7	nagA//ubiF//
go_0000737_7	
go_0000738_7	argB//scpB//
go_0000746_4	
go_0000820_7	dapD//
go_0000902_5	
go_0000910_4	mrcA//ldcA//ydiF//
go_0000917_6	
go_0000918_6	
go_0000920_3	hcaC//
go_0000921_6	
go_0000967_10	rffC//
go_0001101_4	curA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	ppx//
go_0001510_5	bacA//murD//
go_0001514_8	metB//
go_0001522_7	hypF//thrS//lldD//ynfF//
go_0001558_5	
go_0001561_6	eda//
go_0001676_6	murA//
go_0001680_11	pgi//
go_0001682_11	ubiX//ahpC//
go_0001731_7	
go_0001762_6	frmA//
go_0001887_4	yjcS//valS//
go_0001896_5	guaA//
go_0002047_6	tilS//ldcC//
go_0002097_8	amyA//
go_0002098_9	mug//hypB//thrS//lsrG//
go_0002099_9	phnI//yajO//
go_0002100_9	fbp//
go_0002101_9	rutD//
go_0002128_7	hycB//
go_0002131_9	idnO//
go_0002132_9	rluD//
go_0002136_10	idnK//
go_0002143_9	dacA//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	nrdF//
go_0002938_8	puuC//
go_0002939_7	gcvT//
go_0002943_8	cynT//
go_0002949_8	lyxK//waaG//wzb//
go_0003333_7	rnt//gph//scpB//miaA//eutD//narH//xapA//frmB//astB//codA//rffH//tilS//citC//
go_0005975_4	cheR//umpH//accC//asd//aroL//apaH//lpxK//acpS//dxr//gcd//glpC//waaU//nrdA//cobS//pheS//serB//
go_0005976_5	rluF//
go_0005977_6	fadK//
