# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	tsaD//
go_0000025_7	bioH//
go_0000027_7	hmp//def//gadB//slyD//
go_0000028_7	dmsB//
go_0000032_8	yihS//
go_0000041_8	argD//
go_0000050_5	btuE//kbaY//nrfC//eno//entF//
go_0000053_5	pheT//
go_0000096_5	paaA//
go_0000101_6	uidA//
go_0000103_5	glcD//cdh//
go_0000105_6	deoA//gstB//kdsB//ddlA//lpxD//wzb//dusB//
go_0000160_5	dut//
go_0000162_7	ldcA//rihA//thrA//folD//phnL//nanE//nadA//serC//fumA//
go_0000270_7	lpd//iscS//entA//cynS//slyD//fucA//ispU//yidA//aroL//fes//
go_0000271_6	bioD//
go_0000302_5	thyA//
go_0000303_6	gltX//waaF//
go_0000305_5	
go_0000372_11	
go_0000413_9	sucA//cdsA//moaD//rihC//eutB//dapB//rfe//
go_0000453_8	cysK//hemE//speB//leuS//
go_0000455_9	ppiA//gcvP//metF//pcm//hisA//fklB//guaD//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	udk//
go_0000726_7	fre//
go_0000731_7	ynfF//murB//
go_0000737_7	
go_0000738_7	pyrF//nadA//
go_0000746_4	
go_0000820_7	lpxL//
go_0000902_5	
go_0000910_4	pheA//yggF//nrdA//
go_0000917_6	
go_0000918_6	
go_0000920_3	ddlB//
go_0000921_6	
go_0000967_10	tnaA//
go_0001101_4	moaA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	galM//
go_0001510_5	fadK//proC//
go_0001514_8	fadE//
go_0001522_7	fucI//cobC//lpxT//aroL//
go_0001558_5	
go_0001561_6	dgcZ//
go_0001676_6	rnb//
go_0001680_11	add//
go_0001682_11	bioB//aroK//
go_0001731_7	
go_0001762_6	yfcG//
go_0001887_4	bioH//pgaD//
go_0001896_5	ybjI//
go_0002047_6	ycjU//sdhA//
go_0002097_8	thiD//
go_0002098_9	tmcA//ubiX//hemN//malY//
go_0002099_9	miaB//wrbA//
go_0002100_9	sgbH//
go_0002101_9	pfkA//
go_0002128_7	mltB//
go_0002131_9	ppc//
go_0002132_9	epmC//
go_0002136_10	mog//
go_0002143_9	nirB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	rlmH//
go_0002938_8	alr//
go_0002939_7	phr//
go_0002943_8	ynfF//
go_0002949_8	ydfG//nrdA//lsrK//
go_0003333_7	ydiB//rffT//mnmG//pabC//ychF//kdsB//epd//cmoB//epmC//recF//glpB//sdhA//thrC//
go_0005975_4	rlmA//mhpD//ribD//katG//garD//btuE//pgpC//hisS//slyD//gmd//kdsC//pgpC//moaA//hypB//metE//opgE//
go_0005976_5	ada//
go_0005977_6	fadH//
go_0005978_7	menF//kduD//yghU//yigB//
go_0005980_7	menA//rutE//talB//
go_0005986_7	leuS//
go_0005990_7	rutB//
go_0005992_7	cmoA//melA//
go_0005993_7	fadI//thiE//folC//
go_0005995_7	pdeF//
go_0005998_7	rsmA//
go_0006000_6	hchA//
go_0006001_7	nudG//cynS//
go_0006002_5	argA//glpX//kdsC//
go_0006006_6	cysI//hyaC//pyrF//pdeL//dcm//
go_0006007_7	mobA//waaS//
go_0006011_5	glgA//
go_0006012_6	rnt//
go_0006013_6	lysU//
go_0006014_6	hcaE//
go_0006015_7	rffM//lacZ//
go_0006020_5	rutB//
go_0006044_7	eutB//
go_0006046_8	yfaU//speC//
go_0006047_5	trpC//roxA//
go_0006048_6	ulaE//frdD//ilvA//rluF//
go_0006053_8	cmoB//
go_0006062_8	kduI//
go_0006071_6	ispA//gph//
go_0006072_6	ruvC//
go_0006082_4	mtgA//
go_0006083_6	mhpD//trpC//ddlA//
go_0006086_8	pdeF//waaS//
go_0006090_8	metH//ilvD//rph//dmlA//aspA//rnb//mazG//
go_0006094_7	miaB//menI//fabZ//fklB//ldtA//luxS//glpK//aroL//waaA//
go_0006096_6	ldtE//bglX//glgC//mug//rsmB//aldA//thiM//murQ//dgoK//add//ssuD//rutD//recG//
go_0006097_5	yfeX//pyrG//abgB//cobC//yggF//
go_0006098_6	curA//glmM//serA//plsC//truD//
go_0006099_4	acnB//folP//gloA//pyrG//ynfH//dcyD//alkA//proC//guaB//yrfG//maeA//umuD//pncB//
go_0006103_5	rluF//yfaU//ldtA//ldtD//
go_0006104_6	uxaC//
go_0006105_5	arsC//
go_0006106_8	pabC//
go_0006107_8	
go_0006108_8	bioB//yahK//mutY//miaB//
go_0006113_5	accC//argG//
go_0006115_6	pyrF//
go_0006124_6	
go_0006144_6	
go_0006145_7	gcd//
go_0006146_8	nfsB//
go_0006148_9	trpC//
go_0006149_9	garK//
go_0006150_9	ung//
go_0006152_7	paaJ//eptC//yfcF//aroH//trpA//
go_0006154_6	dosP//
go_0006161_9	hyi//
go_0006163_6	ygeX//
go_0006164_7	gcl//gor//yfiC//clsC//
go_0006166_6	ulaF//
go_0006168_7	ldcA//ribE//
go_0006171_9	
go_0006172_9	trmJ//
go_0006177_9	gntK//
go_0006178_7	pyrB//
go_0006183_9	otsA//
go_0006189_10	glgP//surA//
go_0006203_8	leuS//folA//
go_0006206_6	fadD//tag//dinB//
go_0006207_8	argI//trpA//mngB//hemN//etp//
go_0006208_7	btuE//proC//rhaA//rlmM//rfbC//kbaY//
go_0006209_6	tmcA//
go_0006210_8	glgA//
go_0006212_6	galM//rutE//asnB//orn//rsmE//pyrC//caiB//coaA//moeB//pgpC//
go_0006217_9	leuD//
go_0006218_9	hemN//
go_0006220_6	mltF//
go_0006221_7	recJ//ulaF//srlD//
go_0006222_9	
go_0006225_9	yieH//
go_0006226_9	rluF//trmO//
go_0006227_9	dcm//
go_0006231_9	glcF//
go_0006233_9	glgX//
go_0006235_9	paaA//
go_0006241_9	upp//
go_0006259_5	ilvE//cadA//torY//
go_0006260_6	thrB//fadJ//moeB//rnt//sad//pgaC//patA//
go_0006261_7	hemE//aceA//rffH//
go_0006265_6	asnA//lipB//
go_0006266_6	pykF//kdsB//arnA//
go_0006267_5	
go_0006268_9	pgk//argI//
go_0006269_6	ybiV//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	fabB//ycjU//
go_0006281_6	cysS//lplA//murB//phoA//nhoA//ydiF//tktB//leuD//selB//ansA//dxs//ascB//rlmE//dmsC//rlmM//mdh//leuD//
go_0006283_8	
go_0006284_7	treA//leuA//alsK//alaC//plsB//selB//
go_0006285_6	uxaC//slyD//cueO//dam//
go_0006288_8	talB//yhdJ//
go_0006289_7	
go_0006298_7	mutH//arsC//lpoB//cyoE//
go_0006301_7	
go_0006302_7	ubiG//mutM//
go_0006307_8	entE//rhaD//serS//gltB//mcrB//
go_0006308_6	rsmD//eda//galT//yqhD//
go_0006310_6	rfbB//prpB//recG//ruvC//fabA//
go_0006313_4	rlmA//
go_0006351_6	hisS//ddlA//
go_0006352_7	
go_0006353_7	
go_0006354_7	waaH//
go_0006355_7	ygjK//
go_0006357_8	
go_0006364_9	accC//eptA//napA//yajO//
go_0006378_8	caiD//
go_0006396_7	mug//mocA//idnO//nadA//mutS//
go_0006397_8	gudD//
go_0006399_8	yidA//glpK//
go_0006400_7	rihB//fruK//glnA//ruvB//phnL//
go_0006401_6	rdgB//hisC//ldcA//thrA//uxaA//trmA//
go_0006402_7	nanK//mutY//ahpC//ymdB//queA//ulaD//ycjU//
go_0006412_6	thiL//nadD//asnS//glcF//truD//
go_0006413_4	curA//
go_0006414_6	
go_0006415_7	pdxB//proA//
go_0006417_7	rlmL//coaA//
go_0006418_7	coaA//fucO//ribE//frdA//aroH//dgoK//rluC//aroF//rluD//pabB//pyrE//
go_0006419_8	tmcA//
go_0006420_8	bioC//
go_0006421_8	rpiB//
go_0006422_8	accC//
go_0006423_8	dusC//
go_0006424_8	metK//ttdA//
go_0006425_8	pgaC//
go_0006427_8	ssuE//
go_0006428_8	trmI//
go_0006429_8	fau//
go_0006430_8	lpd//aldA//
go_0006431_8	waaL//
go_0006432_8	ftnA//
go_0006433_8	pgk//
go_0006434_8	yahK//
go_0006435_8	rluD//
go_0006436_8	yhdJ//
go_0006437_8	ulaF//
go_0006438_8	polB//
go_0006448_8	
go_0006450_4	eno//pdxH//rsmC//xylB//entB//ispU//
go_0006457_3	cmk//rhaB//clsC//torC//alaA//ppc//cdd//
go_0006458_4	
go_0006464_6	glmU//treC//glnS//prpB//murQ//argB//folM//gcvH//
go_0006465_6	dacC//hcaF//uvrA//
go_0006468_7	rffM//
go_0006470_7	rne//add//ppc//rsgA//cobB//
go_0006473_8	dusC//
go_0006474_6	ribB//alaA//adk//
go_0006476_8	mltA//
go_0006479_5	mutH//metE//yciA//caiB//caiB//icd//
go_0006486_5	pck//
go_0006490_5	sdaA//
go_0006508_5	scpC//ruvA//tktB//trpB//argD//leuB//uxuA//bglA//bglA//nfsB//eptB//dgt//serS//add//nrdA//fabB//orn//menI//otsA//argS//paaZ//rlmH//aspC//uvrC//idnD//lpoA//gapA//dacC//entF//yihT//sbcB//ilvN//xthA//
go_0006515_7	amyA//yghU//upp//fadH//sucA//ldcC//recO//
go_0006517_6	argA//rrrD//
go_0006518_5	lysU//phnN//
go_0006523_8	mdh//ftnA//
go_0006524_8	
go_0006526_8	fklB//torY//hcaD//paaH//citX//astC//pldB//
go_0006527_8	prmC//opgB//rdgB//cdd//leuC//
go_0006529_7	uxuB//argD//
