# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	pgi//
go_0000025_7	moaD//
go_0000027_7	gudD//ribC//ftnA//glyA//
go_0000028_7	entE//
go_0000032_8	truC//
go_0000041_8	yciV//
go_0000050_5	gstA//epd//btuR//lpoA//polB//
go_0000053_5	der//
go_0000096_5	fadK//
go_0000101_6	nrfB//
go_0000103_5	alaS//dxs//
go_0000105_6	pck//purF//hcaB//dgcZ//gshA//pykA//aroE//
go_0000160_5	folE//
go_0000162_7	putA//rrrD//dsdA//pheA//paaZ//cysD//alaC//codA//mltB//
go_0000270_7	murG//manA//yghU//ubiF//menE//waaJ//fabZ//gpmA//purA//dsdA//
go_0000271_6	dld//
go_0000302_5	iaaA//
go_0000303_6	gapA//gpsA//
go_0000305_5	
go_0000372_11	
go_0000413_9	alkB//aroK//tig//metG//entC//menE//oxc//
go_0000453_8	lsrK//pyrC//napA//poxB//
go_0000455_9	yajO//idnK//cadA//xdhB//cheR//pinE//dxr//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	hmp//
go_0000726_7	murE//
go_0000731_7	aes//sdhC//
go_0000737_7	
go_0000738_7	paaK//trmO//
go_0000746_4	
go_0000820_7	rimK//
go_0000902_5	
go_0000910_4	prpB//torY//rluB//
go_0000917_6	
go_0000918_6	
go_0000920_3	entF//
go_0000921_6	
go_0000967_10	prpD//
go_0001101_4	ydiF//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	rfbB//
go_0001510_5	aspS//etk//
go_0001514_8	pnp//
go_0001522_7	frlB//ppiA//glcB//glk//
go_0001558_5	
go_0001561_6	gpp//
go_0001676_6	thiD//
go_0001680_11	prs//
go_0001682_11	proB//cfa//
go_0001731_7	
go_0001762_6	rbsK//
go_0001887_4	bacA//fruK//
go_0001896_5	dacA//
go_0002047_6	pgaD//ldtC//
go_0002097_8	galK//
go_0002098_9	entH//nadC//alsE//dam//
go_0002099_9	fkpB//hyi//
go_0002100_9	poxB//
go_0002101_9	moeB//
go_0002128_7	yqjH//
go_0002131_9	yahK//
go_0002132_9	rffC//
go_0002136_10	maeA//
go_0002143_9	hflX//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	etp//
go_0002938_8	hisS//
go_0002939_7	sdhA//
go_0002943_8	ada//
go_0002949_8	zwf//rhaA//mog//
go_0003333_7	rlmI//recO//trmO//sbcB//rluD//purU//adhP//idnO//pfkA//yigB//ascB//hemC//ispG//
go_0005975_4	gpt//kduD//tyrA//ygeX//kdsC//araB//leuA//sdhC//torA//panB//ppk//lysU//queC//waaZ//dapB//phnG//
go_0005976_5	acnA//
go_0005977_6	frlC//
go_0005978_7	codA//hemN//torZ//mtlD//
go_0005980_7	umpH//nadD//eutB//
go_0005986_7	tdcD//
go_0005990_7	glcF//
go_0005992_7	hchA//lysU//
go_0005993_7	glpA//folX//ubiF//
go_0005995_7	araD//
go_0005998_7	argC//
go_0006000_6	ldtD//
go_0006001_7	insI-2//paaF//
go_0006002_5	kdsB//glcB//glyA//
go_0006006_6	trpE//glpB//treF//moaA//fabD//
go_0006007_7	nadB//queF//
go_0006011_5	eutB//
go_0006012_6	glyS//
go_0006013_6	trmA//
go_0006014_6	ogt//
go_0006015_7	rsmE//dgoA//
go_0006020_5	sseA//
go_0006044_7	lpxB//
go_0006046_8	dld//pabA//
go_0006047_5	mhpB//ybjG//
go_0006048_6	ldtD//waaL//araA//dgcZ//
go_0006053_8	gor//
go_0006062_8	cysK//
go_0006071_6	paaJ//rffM//
go_0006072_6	opgE//
go_0006082_4	queA//
go_0006083_6	nirD//queF//cheB//
go_0006086_8	ydiB//slt//
go_0006090_8	ubiA//glmU//glgA//edd//ascB//dmsB//cysH//
go_0006094_7	dcm//fadK//deoD//malZ//betB//napA//rihB//rluF//menA//
go_0006096_6	pabA//thrA//deoA//dut//asd//phr//mutL//amyA//ghrB//prpD//cynT//betB//wecB//
go_0006097_5	speG//glmS//gatZ//dkgB//ynfH//
go_0006098_6	garD//frc//fcl//citE//argK//
go_0006099_4	dapA//aes//uxaC//pykA//nrdD//pgaB//rsmA//rffH//surA//ribA//nadA//rsmI//queC//
go_0006103_5	murG//ulaE//roxA//mhpB//
go_0006104_6	atoB//
go_0006105_5	mdh//
go_0006106_8	serC//
go_0006107_8	
go_0006108_8	lysU//wecC//gapA//napC//
go_0006113_5	aroE//preT//
go_0006115_6	ppx//
go_0006124_6	
go_0006144_6	
go_0006145_7	rne//
go_0006146_8	umpG//
go_0006148_9	pgaB//
go_0006149_9	orn//
go_0006150_9	nrdA//
go_0006152_7	csdA//dinB//kduI//rihB//torC//
go_0006154_6	mhpC//
go_0006161_9	hemN//
go_0006163_6	rnb//
go_0006164_7	rsmJ//fadB//panE//mrcA//
go_0006166_6	appA//
go_0006168_7	scpB//prpB//
go_0006171_9	
go_0006172_9	rbn//
go_0006177_9	rluA//
go_0006178_7	guaD//
go_0006183_9	ilvH//
go_0006189_10	selD//ilvD//
go_0006203_8	fabZ//tyrB//
go_0006206_6	ahpC//fruK//rfaE//
go_0006207_8	eno//gltD//glnS//purC//ppiA//
go_0006208_7	trpS//malQ//dam//bglA//puuB//kdsB//
go_0006209_6	ispA//
go_0006210_8	sucB//
go_0006212_6	fabI//panE//bglA//appA//ldtD//coaA//mhpB//recR//cobC//pdxJ//
go_0006217_9	tmk//
go_0006218_9	frlB//
go_0006220_6	lpxT//
go_0006221_7	rpiA//ddlA//cobB//
go_0006222_9	
go_0006225_9	amiD//
go_0006226_9	narG//fabD//
go_0006227_9	ada//
go_0006231_9	sseA//
go_0006233_9	asnB//
go_0006235_9	apaH//
go_0006241_9	ppk//
go_0006259_5	glgP//rph//chbG//
go_0006260_6	yqaB//murD//gutQ//ymdB//glxR//xylB//entC//
go_0006261_7	lpoB//moaA//ldhA//
go_0006265_6	ilvN//gpmA//
go_0006266_6	gloC//purF//sucA//
go_0006267_5	
go_0006268_9	alkB//mltB//
go_0006269_6	mpaA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	speG//ogt//
go_0006281_6	proC//dcyD//frmB//pncB//kdsC//allB//pdxB//bioD//arnA//preA//yfaU//der//trmA//gpsA//murD//pta//cobU//
go_0006283_8	
go_0006284_7	mltD//srlD//miaA//rpiB//narH//dgkA//
go_0006285_6	waaG//thiD//arnA//pgm//
go_0006288_8	mngB//truD//
go_0006289_7	
go_0006298_7	idi//idnK//fadK//nudB//
go_0006301_7	
go_0006302_7	glnA//dacD//
go_0006307_8	yihT//serB//aceF//lpxL//paaK//
go_0006308_6	hemC//waaS//puuD//murC//
go_0006310_6	mutT//uxuA//ydiO//yagF//tsaD//
go_0006313_4	mak//
go_0006351_6	trpA//ispA//
go_0006352_7	
go_0006353_7	
go_0006354_7	trmL//
go_0006355_7	glpB//
go_0006357_8	
go_0006364_9	hisA//alr//alaC//cysD//
go_0006378_8	alr//
go_0006396_7	rihA//trpB//kdsB//dbpA//udk//
go_0006397_8	dld//
go_0006399_8	frmB//aphA//
go_0006400_7	nagA//gor//aroB//hemL//pyrD//
go_0006401_6	lpxT//metC//ydiF//psuG//rsmE//mrcB//
go_0006402_7	asnB//fadB//rutB//serA//ybhA//rsmH//yegS//
go_0006412_6	sucD//prpD//metK//gmk//betB//
go_0006413_4	rutD//
go_0006414_6	
go_0006415_7	prpD//wrbA//
go_0006417_7	alr//trpC//
go_0006418_7	gatD//ybhA//hcaC//oxc//ldcC//tcdA//tyrS//dnaE//mutM//pgk//aroF//
go_0006419_8	idnD//
go_0006420_8	aldB//
go_0006421_8	coaD//
go_0006422_8	yeiG//
go_0006423_8	hisF//
go_0006424_8	mobA//recG//
go_0006425_8	waaP//
go_0006427_8	paaA//
go_0006428_8	ligA//
go_0006429_8	recO//
go_0006430_8	malS//gadA//
go_0006431_8	ribC//
go_0006432_8	dhaM//
go_0006433_8	abgA//
go_0006434_8	dgcZ//
go_0006435_8	pheS//
go_0006436_8	iaaA//
go_0006437_8	dacA//
go_0006438_8	speA//
go_0006448_8	
go_0006450_4	phnG//mltF//yqhD//hemG//yhdJ//purU//
go_0006457_3	gpt//pldB//waaY//speE//yjiA//rluC//hisF//
go_0006458_4	
go_0006464_6	solA//cdh//frdC//dacC//glgC//asnB//argI//hisB//
go_0006465_6	garD//lpxB//mnaT//
go_0006468_7	glgX//
go_0006470_7	mak//pdxB//glcE//serC//der//
go_0006473_8	murA//
go_0006474_6	ppsA//cysD//hycB//
go_0006476_8	preT//
go_0006479_5	glyS//cyoE//caiD//ligA//argI//miaA//
go_0006486_5	trmL//
go_0006490_5	cysQ//
go_0006508_5	narG//surA//ygjK//garR//iscS//yeaE//pagP//carB//dmsB//purB//cysG//csdA//gloB//glnA//recO//ppk//pdxY//nanK//ulaD//hemA//dmsA//insI-1//araA//tyrS//nadK//hemG//cof//menC//waaQ//phnM//puuD//aphA//bfr//
go_0006515_7	proB//glcB//ldhA//ycaO//phnJ//folM//sdhB//
go_0006517_6	hyaB//rluD//
go_0006518_5	nemA//cpsG//
go_0006523_8	pgsA//pgi//
go_0006524_8	
go_0006526_8	pyrF//torC//rhaB//nadC//glcE//frdB//hcaE//
go_0006527_8	lpxC//ubiX//lpxD//fucO//metK//
go_0006529_7	folP//prpC//
go_0006530_7	dapD//dapF//zwf//pabA//
go_0006531_7	selA//
go_0006532_8	gshA//rffM//nrfC//
go_0006535_8	sthA//narZ//astC//
go_0006537_8	idnO//
go_0006538_8	nudF//glgX//
go_0006541_7	dmlA//solA//fadH//fabI//tadA//
go_0006542_8	ltaE//queF//
go_0006543_8	
go_0006545_6	galU//
go_0006546_6	tktB//hchA//nemA//
go_0006554_8	dusB//nudC//plsB//
go_0006556_5	yqhD//
go_0006559_6	tyrB//
go_0006561_6	ttdB//galT//
go_0006563_7	gpsA//
go_0006564_8	truD//idi//waaU//azoR//
go_0006565_8	cheR//lpxT//guaD//aspA//nadD//
go_0006566_7	umpH//
go_0006567_8	kbaY//leuB//mltB//pabB//bioC//glpC//clsB//
go_0006569_7	queG//
go_0006571_7	yegS//pcm//
go_0006593_7	pgk//
go_0006598_8	bglA//ycaO//menD//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	mog//coaD//
go_0006631_5	gpmM//valS//cysD//ldtE//fabG//
go_0006633_6	alaA//metC//add//nrfC//frc//mutH//argH//ilvC//murA//tdcE//sucA//
go_0006635_6	dadA//dmsA//paaF//rsmD//purT//moeB//ligB//rffT//mutT//fabZ//malS//relA//
go_0006636_7	
go_0006637_5	gstB//ruvB//trmH//uvrA//idnK//
go_0006646_7	
go_0006650_6	
go_0006654_7	mltB//
go_0006655_7	pdxJ//eno//
go_0006725_4	dosP//
go_0006729_6	yagF//gnd//
go_0006730_4	yieF//plsB//mutM//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	azoR//dsdA//idnD//trpS//murC//hyaC//proB//dgt//thiE//ppk//entA//pfkB//
go_0006749_5	gcvH//waaH//
go_0006750_6	metL//metH//
go_0006751_6	mazG//
go_0006757_5	proB//
go_0006760_5	nanK//
go_0006761_7	pgpB//
go_0006771_5	clsC//
go_0006772_6	rsmB//cobC//
go_0006777_5	ppiC//menF//rffT//cpdA//psd//
go_0006779_6	yfbR//ubiG//ybhA//lysA//insI-1//
go_0006780_7	garR//
go_0006782_7	gabT//glpC//ispF//dmsB//
go_0006783_5	ttdB//clsA//menH//rhaA//hemA//waaL//narY//
go_0006790_4	murF//hemA//umpG//fabD//wrbA//tyrS//ulaG//entB//rsgA//cheB//
go_0006791_2	scpB//mmuM//gdhA//
go_0006793_4	roxA//sdhC//
go_0006798_5	alaS//
go_0006799_5	hemN//
go_0006801_5	surA//queA//ydiF//
go_0006805_4	dgoD//mcrB//nrfA//moeB//
go_0006807_3	leuS//citG//abgA//
go_0006808_4	nadK//
go_0006810_4	nagA//dgt//pgaB//mpaA//alsE//paaC//tesB//ogt//pyrG//clsB//miaB//hemC//mog//rpe//pnp//frdC//thrC//gmhB//cof//iaaA//aroF//yieH//moaA//rbsK//uxaB//cysC//hisB//rffM//purT//glpX//upp//ssuE//fabA//allC//wecC//sthA//cysM//gabT//speF//phnI//speB//rluC//rsmD//lldD//pyrD//gltX//murC//dgoK//pdeF//rsmF//mtlD//glgP//yjcS//adiA//fumC//ybjI//torY//dapF//serS//ruvB//cobT//sthA//paaK//aspA//dxs//ymdB//trpE//pldB//maeA//ribE//lplA//dhaL//fucO//moeA//entA//folE//tesB//
go_0006811_5	thiH//asnA//murG//caiD//luxS//yahK//btuR//mltA//glpC//speB//hdhA//
go_0006812_6	waaO//yrfG//
go_0006813_8	rluA//folE//fadI//ilvD//amyA//yeaG//lpxT//rnb//
go_0006814_8	gloB//yqaB//gloC//alaS//
go_0006817_8	dapB//
go_0006820_6	paaG//rlmJ//tmcA//proA//waaL//
go_0006821_8	lsrK//
go_0006824_8	psd//fkpA//recO//ispA//
go_0006825_9	ttdA//
go_0006826_9	luxS//
go_0006828_9	ribC//
go_0006829_9	ileS//ribB//tehB//dbpA//hyaC//
go_0006833_6	
go_0006835_8	araA//rlmG//
go_0006847_8	nagZ//
go_0006855_6	folM//metG//thyA//xapA//paaK//araA//alkB//dapA//ruvA//queC//ahpC//lpxL//ldcA//entC//
go_0006857_7	pabA//cysK//hemA//
go_0006863_7	yagF//
go_0006865_6	cdsA//hcaD//nanE//trpA//paaE//fumA//rsmH//ruvC//gntK//lysC//speA//lsrG//galU//thrA//sad//tadA//gstA//gluQ//fadH//rffT//coaA//
go_0006868_7	yfdR//
go_0006869_6	pdxH//
go_0006874_8	
go_0006876_8	folA//
go_0006878_9	ychF//
go_0006879_9	panB//rnb//
go_0006880_4	pflB//kefF//
go_0006882_8	recR//
go_0006883_8	ynfE//moeB//hcaE//
go_0006884_4	
go_0006885_9	rpiB//
go_0006886_5	
go_0006928_3	purB//
go_0006935_4	ilvC//hisA//rimK//gmhB//yggF//
go_0006970_4	aldA//glxK//prmB//maa//recR//fabG//
go_0006972_5	phnH//ymdB//waaF//dmsC//dgoD//
