#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct 10 15:03:56 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/datasets_bnumbers/gos_bnum.txt
GO_0000018_7	b0972//b1692//xisR//b2897//
GO_0000023_6	b3199//
GO_0000025_7	b1818//
GO_0000027_7	b4004//b3360//b1341//b2510//b1122//b2595//b3680//b0602//b2780//b2556//b1262//b3310//b3234//
GO_0000028_7	b1167//b2604//b1042//b0852//b3320//b1110//b2926//b3794//b4231//
GO_0000032_8	b1197//
GO_0000041_8	b3731//b2021//b3910//b3136//b4326//b2924//b0156//b4098//b4557//b0329//b1943//b0449//b3700//b0905//b1680//b1597//b3401//b2213//b3908//b0996//b0850//b2329//b0895//b2423//b2536//b0975//b2182//b0464//b3900//b3399//b4305//b2901//b0437//b2266//b0942//b1661//b1445//b3667//b3605//
GO_0000050_5	b1075//b3114//b0557//b0979//b1260//b0585//b4358//
GO_0000053_5	b0555//
GO_0000096_5	b2631//b1175//b2344//b3076//b4029//b4174//b1913//b3060//b1415//b0125//bioD1//b3785//b2129//b2521//b1737//b3441//b2934//b2871//b0376//b3627//b3195//
GO_0000097_6	b0365//b1714//b3822//b1165//b2531//b3849//b1807//b4191//b0524//b1710//b2201//b2893//b1118//b1916//
GO_0000098_6	b3980//b3809//b1226//b3115//b1336//
GO_0000101_6	b0007//b1552//b0509//b1661//b1654//b2456//b2004//b2370//b0226//b3130//b1639//b0315//b2918//b2388//b4311//
GO_0000103_5	b0634//b2066//b1282//
GO_0000105_6	b0215//b0880//b2762//b2597//b4349//b2673//b3026//b3535//
GO_0000154_7	b0738//b2506//b0629//b4290//b2168//b3178//b3725//b3863//b2560//b4235//b3667//b2053//b1363//b1445//b3621//b0318//b3728//b0572//b3035//b1324//b3503//b0933//b2140//b1158//b3594//b3175//b3749//b0440//b1522//b2734//glsA2//b1767//
GO_0000160_5	b3342//b1066//b0781//b0015//b1678//b1729//b0765//b3491//b3198//b3114//b1819//b3888//b1960//b0554//b0578//b2480//b4187//b3606//b3012//b3558//b0430//b0605//b2933//b3904//b1089//b2436//b1342//b4174//b2610//b0978//b2947//b2108//b0778//b0619//b2311//b0590//b3515//b0109//b0564//b3305//b3956//b4479//b2926//
GO_0000162_7	b3535//b4383//b4116//b2496//b3935//b0465//b2257//b3952//b2820//
GO_0000255_5	b1840//b2594//b3241//b3718//b1786//
GO_0000256_6	maoP//b3882//b2529//b2689//b0256//
GO_0000270_7	b3877//b3105//b0357//b2026//b4024//b3539//b1389//b3447//b1692//b0303//b3788//b3155//b2767//b0826//b2803//b4358//b0543//b2269//b1540//b2683//b2567//b3481//b4662//b0709//b3793//b3733//rpnA//b3408//b0652//b2528//b0405//b1815//b0621//b2559//b0263//b1104//b0933//b4148//b4266//b0220//b0281//b1103//b1988//b1263//b3885//b3901//b0557//b2240//b0340//b2949//b0876//b1278//b1473//b2024//b2029//b1927//b3442//b0612//b2673//b0046//b1274//b0642//b3590//
GO_0000271_6	b3135//b3368//b0427//b3910//b4064//b0878//b3404//b4602//b1289//b3752//b1871//b3885//b2486//b2491//b0928//b2706//b3766//b4177//b3626//b2901//b0353//b1049//b3025//b2704//b4014//b3313//b1112//b1772//b2347//b0614//b0479//b0025//b1335//b0096//b1118//b0081//b0935//b1333//b1649//b0532//b4230//b0532//b2370//b2379//b4190//b2125//b1515//b2169//b3616//b1539//
GO_0000272_6	b0125//b0935//b4015//b4201//b2962//b3774//
GO_0000302_5	b3179//b1390//b2252//b2735//b4082//b3512//b3847//b4356//b3788//b4297//b0765//b0852//b1853//b3067//b4138//b2458//b2989//b2828//b2266//b1167//b1481//b0398//b4113//b0771//b0554//b4359//b3770//b3196//b0313//b2539//b0511//
GO_0000303_6	b1723//b0757//
GO_0000305_5	b3639//b0613//b3478//
GO_0000372_11	b2387//
GO_0000375_9	b2405//
GO_0000376_10	b2425//
GO_0000413_9	b2202//b1487//b2757//b3635//b3633//b1715//b0840//b3264//
GO_0000451_7	b2246//b0878//b0908//b3307//b3517//
GO_0000453_8	b1091//b3684//b1323//b1047//b0102//
GO_0000455_9	b2021//b4376//b1778//b0314//b0945//b3521//b1774//
GO_0000462_11	b1922//b0886//
GO_0000469_8	b1079//
GO_0000470_10	b3577//
GO_0000478_9	b4035//
GO_0000715_6	b2734//
GO_0000716_7	b0185//
GO_0000724_8	b2785//
GO_0000725_7	b0464//b3972//b0622//b3703//b0514//b1955//
GO_0000726_7	b4136//
GO_0000731_7	b4261//b2841//b1743//b3959//b3096//b0662//b3985//
GO_0000737_7	b3835//
