# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	dgoK//
go_0000025_7	panD//
go_0000027_7	dbpA//rrrD//pyrG//codA//
go_0000028_7	eno//
go_0000032_8	fdhF//
go_0000041_8	alsE//
go_0000050_5	speG//torC//pyrH//murF//moaD//
go_0000053_5	tdcD//
go_0000096_5	yihS//
go_0000101_6	phnJ//
go_0000103_5	moaD//acnA//
go_0000105_6	gpsA//mltC//dxr//hemN//mutM//plsB//eptC//
go_0000160_5	add//
go_0000162_7	mnmG//pdxH//ansA//lpxD//rrrD//tsaE//mcrA//fdhF//moaD//
go_0000270_7	pgaC//avtA//mpaA//puuE//argF//udk//tdcB//yghU//cobC//purC//
go_0000271_6	thrC//
go_0000302_5	purB//
go_0000303_6	cysI//alaS//
go_0000305_5	
go_0000372_11	
go_0000413_9	rsmF//panE//proC//hdhA//lplA//yccX//sdhC//
go_0000453_8	pdeF//patZ//acpH//pyrH//
go_0000455_9	gcvH//fadM//aspC//pabA//ackA//phnI//roxA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	dxr//
go_0000726_7	murB//
go_0000731_7	lpcA//hemG//
go_0000737_7	
go_0000738_7	lpcA//mraY//
go_0000746_4	
go_0000820_7	fbp//
go_0000902_5	
go_0000910_4	leuC//slyD//ada//
go_0000917_6	
go_0000918_6	
go_0000920_3	alr//
go_0000921_6	
go_0000967_10	cysS//
go_0001101_4	waaC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	argB//
go_0001510_5	umuC//ravA//
go_0001514_8	gstA//
go_0001522_7	torC//mutS//ligB//paaG//
go_0001558_5	
go_0001561_6	mngB//
go_0001676_6	ssuE//
go_0001680_11	yagF//
go_0001682_11	cysN//fadK//
go_0001731_7	
go_0001762_6	hyaB//
go_0001887_4	pfkA//thiD//
go_0001896_5	ydiB//
go_0002047_6	ugd//prmB//
go_0002097_8	torC//
go_0002098_9	sufS//adhP//preA//yqjH//
go_0002099_9	cysE//fucO//
go_0002100_9	pyrG//
go_0002101_9	galT//
go_0002128_7	serA//
go_0002131_9	tdcG//
go_0002132_9	argI//
go_0002136_10	manA//
go_0002143_9	hyaB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	torY//
go_0002938_8	otsB//
go_0002939_7	ubiH//
go_0002943_8	allD//
go_0002949_8	spoT//fucA//waaB//
go_0003333_7	rlmH//phnI//talB//ybhA//lysA//coaD//ugd//mnaT//paoC//rffM//lpxK//rsmI//ubiF//
go_0005975_4	gloA//mngB//mnmE//tdcE//ruvC//nrfC//preA//proC//scpC//lipA//paaZ//yghU//fucO//fumC//tktA//kdsD//
go_0005976_5	kduD//
go_0005977_6	astC//
go_0005978_7	gpp//caiB//fadD//aspA//
go_0005980_7	frmB//rlmH//fklB//
go_0005986_7	ansB//
go_0005990_7	ushA//
go_0005992_7	speA//mobA//
go_0005993_7	frlB//wcaJ//phnG//
go_0005995_7	dld//
go_0005998_7	eutB//
go_0006000_6	araB//
go_0006001_7	lpoB//dusC//
go_0006002_5	scpB//nagB//asnA//
go_0006006_6	gdhA//rhaD//entA//thiD//waaL//
go_0006007_7	mtn//patD//
go_0006011_5	tgt//
go_0006012_6	malQ//
go_0006013_6	treA//
go_0006014_6	citX//
go_0006015_7	rihB//ribC//
go_0006020_5	tsaD//
go_0006044_7	yagE//
go_0006046_8	serA//dhaL//
go_0006047_5	deoB//recF//
go_0006048_6	atoB//cfa//aphA//queG//
go_0006053_8	yggF//
go_0006062_8	accB//
go_0006071_6	cfa//pyrG//
go_0006072_6	lysS//
go_0006082_4	sdhA//
go_0006083_6	umuD//nrdD//mutT//
go_0006086_8	lsrK//ldtB//
go_0006090_8	miaB//ilvD//pyrC//gloC//preT//treF//gcl//
go_0006094_7	yfdR//fre//cysN//rluE//gltX//galK//hemN//selB//aldA//
go_0006096_6	leuS//yfaU//insI-1//manA//panB//ldtB//napB//araA//gluQ//yfcF//fadK//slyD//rnd//
go_0006097_5	aceB//cpsB//rffG//nth//mtgA//
go_0006098_6	lipB//fadK//pgsA//purC//def//
go_0006099_4	trmI//trpA//nadB//moaE//cmoA//queG//ampH//upp//trpB//murB//lipA//nagA//menA//
go_0006103_5	galE//umuC//purL//rlmC//
go_0006104_6	plsB//
go_0006105_5	ubiH//
go_0006106_8	glpD//
go_0006107_8	
go_0006108_8	murI//nagA//feaB//yihT//
go_0006113_5	lpxC//glmM//
go_0006115_6	uxaB//
go_0006124_6	
go_0006144_6	
go_0006145_7	adk//
go_0006146_8	wzb//
go_0006148_9	wecB//
go_0006149_9	aroC//
go_0006150_9	rsmA//
go_0006152_7	narI//rihB//alkA//ldhA//thiL//
go_0006154_6	galT//
go_0006161_9	scpB//
go_0006163_6	hisH//
go_0006164_7	phnJ//pta//prs//entD//
go_0006166_6	folE//
go_0006168_7	dinB//eutD//
go_0006171_9	
go_0006172_9	rihA//
go_0006177_9	hemN//
go_0006178_7	purN//
go_0006183_9	thiM//
go_0006189_10	panB//queA//
go_0006203_8	waaJ//aphA//
go_0006206_6	miaB//alaA//treA//
go_0006207_8	cysG//rnb//ldhA//entE//tktB//
go_0006208_7	yfcF//tehB//rnpA//nrfA//yfiC//miaA//
go_0006209_6	amyA//
go_0006210_8	deoC//
go_0006212_6	nirD//ydfG//valS//trmI//ubiX//hisS//wcaJ//dkgB//purT//lgoD//
go_0006217_9	leuA//
go_0006218_9	umpH//
go_0006220_6	hisG//
go_0006221_7	trpD//napA//argG//
go_0006222_9	
go_0006225_9	dgt//
go_0006226_9	dld//araA//
go_0006227_9	clsC//
go_0006231_9	ynfF//
go_0006233_9	ilvD//
go_0006235_9	aroL//
go_0006241_9	ldtB//
go_0006259_5	folM//glgC//hmp//
go_0006260_6	ligB//lysC//nanK//hcp//amyA//tesB//rne//
go_0006261_7	uxuB//paaG//hchA//
go_0006265_6	yigB//opgE//
go_0006266_6	narH//deoA//sgbU//
go_0006267_5	
go_0006268_9	phnL//gdhA//
go_0006269_6	kbaY//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	torA//yihT//
go_0006281_6	ligB//pgaC//yfcG//ackA//mltA//uidA//fadI//waaP//xdhB//maa//ulaG//folE//galE//caiB//moaD//pgm//hcaC//
go_0006283_8	
go_0006284_7	gluQ//hisH//hyaB//ansB//mltF//rsmF//
go_0006285_6	relA//ispH//ilvA//eptC//
go_0006288_8	metC//nrdD//
go_0006289_7	
go_0006298_7	malZ//truA//fre//yidA//
go_0006301_7	
go_0006302_7	argA//gpmA//
go_0006307_8	sucD//phnM//fkpA//napC//sodC//
go_0006308_6	yfeW//rpiB//lpxM//rlmH//
go_0006310_6	ligB//sthA//deoA//gnd//ansB//
go_0006313_4	xapA//
go_0006351_6	phnL//murE//
go_0006352_7	
go_0006353_7	
go_0006354_7	rnt//
go_0006355_7	lysS//
go_0006357_8	
go_0006364_9	atoB//sucC//epd//sodB//
go_0006378_8	araA//
go_0006396_7	pdxY//adiA//katE//srlD//fabZ//
go_0006397_8	hyi//
go_0006399_8	mtn//ubiF//
go_0006400_7	sdhD//ampH//ppx//rlmL//purF//
go_0006401_6	nudB//mltD//cof//mazG//mnaT//wzc//
go_0006402_7	chbG//leuA//pgpA//rsmE//ilvD//aceA//cof//
go_0006412_6	pfkB//yegS//panC//cysK//sucA//
go_0006413_4	ppc//
go_0006414_6	
go_0006415_7	phnN//wzc//
go_0006417_7	thrS//dmsA//
go_0006418_7	rnt//paaF//fabG//glcF//lpxL//accB//dgoA//queG//der//torC//mltF//
go_0006419_8	metC//
go_0006420_8	dusB//
go_0006421_8	bglX//
go_0006422_8	tktA//
go_0006423_8	thrC//
go_0006424_8	caiD//phnN//
go_0006425_8	ybiV//
go_0006427_8	ribF//
go_0006428_8	ubiG//
go_0006429_8	lipA//
go_0006430_8	nadE//aldB//
go_0006431_8	ppk//
go_0006432_8	gor//
go_0006433_8	surA//
go_0006434_8	glcF//
go_0006435_8	purF//
go_0006436_8	rutC//
go_0006437_8	ygjK//
go_0006438_8	murC//
go_0006448_8	
go_0006450_4	menI//bioC//fes//yeiG//puuA//metC//
go_0006457_3	pagP//phnH//ldtB//aspA//trmL//waaL//hcaE//
go_0006458_4	
go_0006464_6	nfi//bacA//araB//lpxK//clsB//folX//tilS//cadA//
go_0006465_6	cobC//eptC//rffM//
go_0006468_7	narZ//
go_0006470_7	ynfH//frdB//metK//dfp//cobC//
go_0006473_8	argK//
go_0006474_6	rluA//spoT//gltD//
go_0006476_8	accB//
go_0006479_5	speE//nrfD//gadB//hemA//fdhF//yqjH//
go_0006486_5	pgk//
go_0006490_5	gnd//
go_0006508_5	galT//melA//fadM//hcaE//narY//gloA//ubiI//ppiC//atoB//dgoD//nirB//trpC//pepD//hmp//umuD//yjiA//hcp//mutM//glpC//aceA//nemA//epmA//truC//dusB//fumB//recR//rihA//etp//glgX//ribB//asnB//garR//umuD//
go_0006515_7	ldtE//rsmI//hisD//acpT//lpxP//rlmB//rpiB//
go_0006517_6	opgB//folD//
go_0006518_5	metH//fabZ//
go_0006523_8	yfeX//torC//
go_0006524_8	
go_0006526_8	torC//ycjU//gnd//ackA//hemE//argB//napA//
go_0006527_8	scpC//purA//cpsG//csdA//pbpC//
go_0006529_7	waaP//gph//
go_0006530_7	sthA//leuS//paaC//serA//
go_0006531_7	gshB//
go_0006532_8	scpB//dapB//ubiF//
go_0006535_8	yghU//mnmC//nagA//
go_0006537_8	bglX//
go_0006538_8	hdhA//polA//
go_0006541_7	treF//puuE//prpB//nirB//pdeF//
go_0006542_8	cpsG//tdcE//
go_0006543_8	
go_0006545_6	dapD//
go_0006546_6	pdeL//rfbD//psd//
go_0006554_8	rutA//nirB//mnmG//
go_0006556_5	fabD//
go_0006559_6	nfi//
go_0006561_6	argS//dam//
go_0006563_7	ilvH//
go_0006564_8	ispU//gapA//ubiG//phnP//
go_0006565_8	sdaA//dam//thiC//mmuM//bglX//
go_0006566_7	asnA//
go_0006567_8	aroE//ssuE//sdhC//fumC//dinB//mrcA//dnaQ//
go_0006569_7	nagB//
go_0006571_7	lacZ//treC//
go_0006593_7	fbp//
go_0006598_8	hyaB//hchA//serC//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	aceB//mnaT//
go_0006631_5	ulaE//nagK//yfeX//yccX//rutD//
go_0006633_6	frdD//proB//glmM//menD//nhoA//leuC//ddlB//murA//purB//rffG//eda//
go_0006635_6	appA//fucO//rph//truB//xylA//yihX//frdA//eutD//alsK//cysK//dusB//phnI//
go_0006636_7	
go_0006637_5	alkB//opgE//carA//gshB//dgcZ//
go_0006646_7	
go_0006650_6	
go_0006654_7	gabD//
go_0006655_7	rffT//acnA//
go_0006725_4	idnO//
go_0006729_6	udp//mutY//
go_0006730_4	cmoA//hcaC//gloB//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	patD//cysE//yigB//patD//umpG//sdaA//dsdA//idi//betA//yieF//kdgK//murF//
go_0006749_5	fkpB//rfaD//
go_0006750_6	araB//nrdB//
go_0006751_6	pgm//
go_0006757_5	pagP//
go_0006760_5	etk//
go_0006761_7	tauD//
go_0006771_5	tdh//
go_0006772_6	birA//gor//
go_0006777_5	nudG//tesB//dapD//yidA//hisF//
go_0006779_6	uvrB//ligB//pyrC//rlmE//ldtE//
go_0006780_7	rbn//
go_0006782_7	tyrS//opgB//dmsC//epd//
go_0006783_5	glcB//waaQ//dacD//napC//speF//lysC//ldcC//
go_0006790_4	treF//wzc//aroL//aroD//ymdB//glgP//mdh//nudF//frlB//entD//
go_0006791_2	ligA//gatZ//speF//
go_0006793_4	ybiV//nirD//
go_0006798_5	pdeL//
go_0006799_5	queF//
go_0006801_5	pheT//fadJ//thiL//
go_0006805_4	uxuB//hisB//yjiA//fabI//
go_0006807_3	paaA//rlmE//ribE//
go_0006808_4	aspS//
go_0006810_4	phnI//ubiA//ampD//tynA//mgsA//xthA//argH//betB//tauD//speG//mocA//mnmG//yjhH//ansB//aroH//ubiC//ogt//idnO//iscS//frlB//glcE//chbF//fdhF//uvrC//dsdA//hemF//proA//ulaD//ydiF//pyrD//rlmI//gudD//treC//sucC//argE//aroL//mmuM//hemF//wzc//dmsC//nrdD//pdeR//ogt//ilvB//menE//allD//slyD//serB//argS//lyxK//serS//ribD//entH//proB//dam//purA//psd//cpsB//purB//araB//bfr//preT//aroL//glxK//aroD//leuS//speE//otsB//rsmB//gpsA//rbsD//polB//waaQ//pldB//fcl//pnp//ybhA//
go_0006811_5	recG//yhdJ//clsB//rihB//nrdB//accA//dinB//ugd//waaQ//ubiH//deoA//
go_0006812_6	galU//putA//
go_0006813_8	wzc//menH//psuG//agp//katG//ulaE//fbaA//dacA//
go_0006814_8	katG//tilS//pagP//yfdR//
go_0006817_8	metF//
go_0006820_6	lpxC//trmA//dcd//serA//aroC//
go_0006821_8	rutD//
go_0006824_8	tatD//menH//hisG//idnD//
go_0006825_9	glcF//
go_0006826_9	lpcA//
go_0006828_9	galT//
go_0006829_9	dgoD//murQ//tdcD//dusC//spoT//
go_0006833_6	
go_0006835_8	phnL//cysS//
go_0006847_8	acs//
go_0006855_6	recF//ppsA//mog//malZ//epmA//nanK//nrdB//garD//yihU//ribF//patA//pcm//pphB//mnmE//
go_0006857_7	ndk//pgsA//trmJ//
go_0006863_7	folC//
go_0006865_6	polA//hcaF//puuB//tag//guaA//wecC//metL//torA//ldtE//trmO//metF//hisI//pgk//glmU//nudC//garR//ftnA//ldcA//suhB//acpS//pphA//
go_0006868_7	ruvC//
go_0006869_6	rutD//
go_0006874_8	
go_0006876_8	deoD//
go_0006878_9	mutM//
go_0006879_9	kbaZ//cysS//
go_0006880_4	rluA//clsC//
go_0006882_8	lpxD//
go_0006883_8	rne//murQ//hisA//
go_0006884_4	
go_0006885_9	pykA//
go_0006886_5	
go_0006928_3	panB//
go_0006935_4	yeiG//rffG//rpiA//idi//rlmM//
go_0006970_4	moaE//folM//argS//hcaE//phnO//waaY//
go_0006972_5	waaJ//glmM//yghU//astB//nirD//
go_0006974_5	argH//gabD//thrC//paaK//nanK//menI//allD//upp//gcl//ubiH//tauD//narZ//murB//abgB//tdk//torY//mnmE//paaG//gatD//thiG//cysH//pabC//queD//thiG//yfiC//selD//aphA//prs//ascB//alkA//tauD//aroG//entC//yjjG//ogt//rfbD//idnK//citE//mocA//fadM//ligA//nfi//nagK//miaB//pgaC//leuS//coaD//lpxK//tilS//gloC//yigL//panD//wecC//pdxB//glpD//yghU//frdB//ybjI//csdA//ampD//eda//lpoA//tyrA//frc//rfbD//pyrB//aroA//astC//ldtB//alkB//yqaB//insI-2//rluC//gloC//pfkB//yidA//gdhA//ribF//mug//fadE//pyrC//ubiF//yjjG//waaH//bglX//asnA//ycjU//rlmH//apaH//glpA//apaH//glmS//alkA//idi//maeA//
go_0006979_4	yigB//dinB//sad//yegS//add//narH//tktB//pgaB//cmk//ilvI//phnH//rutB//rutC//wzc//galK//pgk//rfbB//nhoA//sdhB//prpC//fcl//fumC//gpmM//adeD//dhaL//serC//
go_0006986_5	malP//
go_0006995_6	asnB//tdcD//
go_0007059_3	paaB//yeaE//
go_0007062_4	
go_0007155_3	ispF//
