# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	kdsC//
go_0000025_7	thiD//
go_0000027_7	bglX//phnN//sgbU//mak//
go_0000028_7	araA//
go_0000032_8	pflB//
go_0000041_8	glcF//
go_0000050_5	rihB//nudC//lysC//rlmC//murC//
go_0000053_5	glmU//
go_0000096_5	dapB//
go_0000101_6	aceB//
go_0000103_5	galM//thiG//
go_0000105_6	arnT//lpxM//ldtE//menA//thiE//btuE//cysC//
go_0000160_5	thiE//
go_0000162_7	tehB//mhpA//hcaE//nagA//mnaT//gadA//thiH//allB//sbcB//
go_0000270_7	uxaC//purC//tig//cdh//ispF//betB//yigL//murE//rlmL//mhpA//
go_0000271_6	purF//
go_0000302_5	def//
go_0000303_6	tag//astB//
go_0000305_5	
go_0000372_11	
go_0000413_9	rlmB//scpB//nirB//araB//hisH//fkpB//ispF//
go_0000453_8	thiI//aroH//azoR//gcvH//
go_0000455_9	pdxB//rluC//tdcG//glcF//yihV//nadC//cobS//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	pdeF//
go_0000726_7	fabD//
go_0000731_7	rfe//phnM//
go_0000737_7	
go_0000738_7	entC//yjhH//
go_0000746_4	
go_0000820_7	ppc//
go_0000902_5	
go_0000910_4	yfdR//chbG//pyrH//
go_0000917_6	
go_0000918_6	
go_0000920_3	rpe//
go_0000921_6	
go_0000967_10	kefF//
go_0001101_4	rfe//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	phnJ//
go_0001510_5	narZ//yigB//
go_0001514_8	puuC//
go_0001522_7	cdsA//lpoA//ampD//lysS//
go_0001558_5	
go_0001561_6	ubiC//
go_0001676_6	waaU//
go_0001680_11	cpsB//
go_0001682_11	nirD//dkgB//
go_0001731_7	
go_0001762_6	dinB//
go_0001887_4	rluD//uxaC//
go_0001896_5	gstA//
go_0002047_6	slyD//alr//
go_0002097_8	dusB//
go_0002098_9	pyrE//rsmJ//mug//galK//
go_0002099_9	napA//acs//
go_0002100_9	araA//
go_0002101_9	allC//
go_0002128_7	kdgK//
go_0002131_9	pyrE//
go_0002132_9	argC//
go_0002136_10	frdC//
go_0002143_9	epd//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	tgt//
go_0002938_8	hcaC//
go_0002939_7	pcm//
go_0002943_8	orn//
go_0002949_8	cynS//purT//pgaB//
go_0003333_7	glgX//mpaA//hycB//acnB//hinT//putA//aroA//mltD//fes//mak//lsrK//rph//gnd//
go_0005975_4	uxuA//trmL//proA//entF//hypF//eutB//malS//dgoK//caiD//fkpA//glmU//mrcA//frmB//narI//tgt//pyrH//
go_0005976_5	ygeX//
go_0005977_6	phnP//
go_0005978_7	bioB//tynA//fabH//pgpA//
go_0005980_7	torY//katE//nrfD//
go_0005986_7	ribC//
go_0005990_7	rluF//
go_0005992_7	valS//rluF//
go_0005993_7	truA//lpxH//fabI//
go_0005995_7	mcrA//
go_0005998_7	trpA//
go_0006000_6	ybcF//
go_0006001_7	rfaE//yieF//
go_0006002_5	pabC//lpxC//metB//
go_0006006_6	entC//phnL//waaH//narG//guaC//
go_0006007_7	rsmD//rhaA//
go_0006011_5	dadA//
go_0006012_6	uidA//
go_0006013_6	rffM//
go_0006014_6	dgkA//
go_0006015_7	hdhA//ybcF//
go_0006020_5	spoT//
go_0006044_7	pabB//
go_0006046_8	sucD//eptB//
go_0006047_5	lplA//pdeF//
go_0006048_6	mcrB//tag//def//cynS//
go_0006053_8	cobS//
go_0006062_8	melA//
go_0006071_6	fkpB//adhP//
go_0006072_6	prmC//
go_0006082_4	mutT//
go_0006083_6	gpt//mutM//argH//
go_0006086_8	dgoK//adk//
go_0006090_8	panE//alaS//sdhA//katE//yciV//paaC//ssuE//
go_0006094_7	puuD//hcaE//ispG//waaJ//ravA//glxK//murD//prmC//moeB//
go_0006096_6	trmL//glyS//coaA//sufS//hemB//tig//ftsI//cobU//gutQ//tauD//hcp//nudB//hyaC//
go_0006097_5	ygjK//birA//ychF//phnJ//hisA//
go_0006098_6	queC//waaQ//sbcB//moaA//pgaB//
go_0006099_4	ung//abgB//rluF//trmD//pdeH//tilS//waaQ//rsgA//lipA//dapF//nth//wzb//metF//
go_0006103_5	gcvH//bcsA//moeB//mcrB//
go_0006104_6	lplA//
go_0006105_5	sgbH//
go_0006106_8	paoC//
go_0006107_8	
go_0006108_8	lpxH//leuC//dhaK//rph//
go_0006113_5	ycjU//glgP//
go_0006115_6	thrA//
go_0006124_6	
go_0006144_6	
go_0006145_7	rlmM//
go_0006146_8	aceB//
go_0006148_9	rluD//
go_0006149_9	cobS//
go_0006150_9	amyA//
go_0006152_7	opgB//rlmL//phnO//appA//btuR//
go_0006154_6	nagA//
go_0006161_9	cdd//
go_0006163_6	udp//
go_0006164_7	dhaL//gmhB//gpmA//acpH//
go_0006166_6	sdhA//
go_0006168_7	tag//tpiA//
go_0006171_9	
go_0006172_9	rffT//
go_0006177_9	narY//
go_0006178_7	entF//
go_0006183_9	feaB//
go_0006189_10	malY//cpdB//
go_0006203_8	yihX//mutM//
go_0006206_6	thrS//birA//ligA//
go_0006207_8	truD//malY//hisC//rrrD//lysC//
go_0006208_7	yfcG//tsaC//nrfA//mhpC//cysS//queA//
go_0006209_6	glmM//
go_0006210_8	argC//
go_0006212_6	rutE//plsB//ilvB//argF//sdhB//lsrG//sucB//dmsB//rdgB//luxS//
go_0006217_9	rbsD//
go_0006218_9	dusC//
go_0006220_6	yieH//
go_0006221_7	speF//dacA//yjjX//
go_0006222_9	
go_0006225_9	fadK//
go_0006226_9	kdgK//yfcG//
go_0006227_9	aspS//
go_0006231_9	nagB//
go_0006233_9	trmD//
go_0006235_9	rutB//
go_0006241_9	recR//
go_0006259_5	rlmC//hisF//yqjH//
go_0006260_6	dmlA//umpH//idnK//nanA//dsdA//yihU//sucB//
go_0006261_7	uvrB//udk//waaU//
go_0006265_6	purA//katE//
go_0006266_6	ubiA//malY//yidA//
go_0006267_5	
go_0006268_9	glnS//metE//
go_0006269_6	maeA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	cobC//mhpB//
go_0006281_6	argD//prpC//ileS//hypB//pgpC//pyrE//rfbC//polA//ldcC//pabB//entH//hyaB//alkA//yfcF//galT//gcvP//frmB//
go_0006283_8	
go_0006284_7	nadB//yeaE//galE//lysU//pfkA//recO//
go_0006285_6	pagP//clsB//tmcA//rlmA//
go_0006288_8	pgaB//putA//
go_0006289_7	
go_0006298_7	acs//ribF//prmC//rfbB//
go_0006301_7	
go_0006302_7	dmlA//glpA//
go_0006307_8	aphA//entB//pncB//ruvC//paaK//
go_0006308_6	rsmB//gcvH//yagE//folX//
go_0006310_6	mog//pcm//yieF//rpe//prs//
go_0006313_4	bioB//
go_0006351_6	wrbA//rutC//
go_0006352_7	
go_0006353_7	
go_0006354_7	kdsD//
go_0006355_7	ycjU//
go_0006357_8	
go_0006364_9	mtn//hemA//waaB//tpiA//
go_0006378_8	hcaF//
go_0006396_7	tdk//astC//hisD//ansA//aldB//
go_0006397_8	lpd//
go_0006399_8	mgsA//metE//
go_0006400_7	yfdR//alsK//csdA//eutB//tdh//
go_0006401_6	bglX//ushA//fadM//pykF//orn//trmD//
go_0006402_7	idnO//proS//ileS//waaL//gloC//accB//rsmD//
go_0006412_6	mtgA//queF//kdgK//katG//rsmJ//
go_0006413_4	ppc//
go_0006414_6	
go_0006415_7	ychF//ribD//
go_0006417_7	dfp//tehB//
go_0006418_7	argB//manA//ubiD//bioD//alkB//yjjX//aroG//yfeX//cmk//trmL//ribB//
go_0006419_8	sdhA//
go_0006420_8	galK//
go_0006421_8	rluF//
go_0006422_8	rffM//
go_0006423_8	aroB//
go_0006424_8	gluQ//def//
go_0006425_8	nrdD//
go_0006427_8	hemB//
go_0006428_8	araD//
go_0006429_8	rlmB//
go_0006430_8	lpxB//hemE//
go_0006431_8	gadA//
go_0006432_8	uvrC//
go_0006433_8	rihB//
go_0006434_8	nadB//
go_0006435_8	accD//
go_0006436_8	waaA//
go_0006437_8	mtn//
go_0006438_8	bacA//
go_0006448_8	
go_0006450_4	solA//gcvH//gltD//mtlD//rlmA//pykA//
go_0006457_3	purT//leuC//mog//yfeX//sdhA//nadE//argC//
go_0006458_4	
go_0006464_6	murQ//trmO//recG//sucD//aspA//napC//glcE//add//
go_0006465_6	ubiE//eda//glk//
go_0006468_7	glnA//
go_0006470_7	frc//miaA//gnd//pcm//frdB//
go_0006473_8	cysH//
go_0006474_6	ispB//ghrB//ldtB//
go_0006476_8	pflB//
go_0006479_5	clsA//rffC//speF//dapB//speF//oxc//
go_0006486_5	glgB//
go_0006490_5	phoA//
go_0006508_5	ttdB//galE//menE//dmlA//rnb//galU//tig//psd//guaB//tesB//dapF//pcm//argF//mltB//der//waaO//selA//rluB//hisC//ligB//murQ//aspS//ybcF//yajO//yqjH//metL//menI//pdxK//bglX//coaE//apt//mcrA//lpxP//
go_0006515_7	lpxM//rluD//nirD//edd//rsmD//yciV//hcp//
go_0006517_6	def//eutD//
go_0006518_5	astB//nirD//
go_0006523_8	murA//fabB//
go_0006524_8	
go_0006526_8	mutT//mltC//ispG//nadK//folP//hcp//hemC//
go_0006527_8	asnS//mug//rfaE//proS//murG//
go_0006529_7	citG//trmJ//
go_0006530_7	mnmG//fabH//curA//purB//
go_0006531_7	rnb//
go_0006532_8	fadA//mcrB//apt//
go_0006535_8	mutT//orn//rihC//
go_0006537_8	glcE//
go_0006538_8	feaB//folM//
go_0006541_7	ruvB//dbpA//bglA//hcaC//purN//
go_0006542_8	tyrA//deoB//
go_0006543_8	
go_0006545_6	rutC//
go_0006546_6	trpE//waaO//malQ//
go_0006554_8	tdcE//murG//recR//
go_0006556_5	xthA//
go_0006559_6	garK//
go_0006561_6	maeA//gstA//
go_0006563_7	ogt//
go_0006564_8	nadC//phr//yfeW//kduI//
go_0006565_8	pdeR//nirD//moeA//ssuE//ybjG//
go_0006566_7	ppc//
go_0006567_8	waaG//rlmH//yqaB//etp//mnmC//recR//nemA//
go_0006569_7	rnpA//
go_0006571_7	thrC//dacA//
go_0006593_7	pdeL//
go_0006598_8	ldtE//mutL//arnA//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	accB//pfkA//
go_0006631_5	hypF//trpE//hyaB//tktA//fadD//
go_0006633_6	guaA//ribA//pykF//truB//citX//sbcB//aroD//gpmM//fbaA//curA//epmB//
go_0006635_6	pgl//paaE//ampD//gntK//rutD//pdeL//thiM//thiD//yahK//poxB//phnM//ilvD//
go_0006636_7	
go_0006637_5	rbsK//ilvH//garR//hisS//coaE//
go_0006646_7	
go_0006650_6	
go_0006654_7	tdcG//
go_0006655_7	waaL//rsmJ//
go_0006725_4	pgk//
go_0006729_6	yjhG//cobS//
go_0006730_4	accD//xthA//dut//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	rhaM//puuE//yqjH//dapF//ftnA//mutH//aroK//mltA//purF//cysI//fes//fabD//
go_0006749_5	tdcE//clsA//
go_0006750_6	ybiV//rlmA//
go_0006751_6	metB//
go_0006757_5	dacD//
go_0006760_5	ygjK//
go_0006761_7	cpdA//
go_0006771_5	fumA//
go_0006772_6	speC//ribA//
go_0006777_5	bioF//rutB//gatY//frc//ycjU//
go_0006779_6	gatZ//aroE//leuA//nadD//sdhC//
go_0006780_7	asnS//
go_0006782_7	gldA//ung//yigB//allB//
go_0006783_5	glgA//frc//nanK//citE//narH//serC//patA//
go_0006790_4	paaZ//rffT//ydiO//puuE//yqjH//mpaA//fumC//plsC//ynfH//uvrA//
go_0006791_2	icd//puuB//tcdA//
go_0006793_4	polA//entF//
go_0006798_5	pck//
go_0006799_5	yigB//
go_0006801_5	eptB//ppiC//ynfE//
go_0006805_4	fabI//yfeX//tktA//glpX//
go_0006807_3	ftnA//ahr//purU//
go_0006808_4	yigL//
go_0006810_4	plsC//phnN//glpD//gapA//otsA//bioC//hyaB//frdC//rbsD//mnmA//alkA//nudB//waaB//idnK//aroL//sdhD//pgpB//rnpA//glpD//rluB//hisA//thrC//purN//cysQ//ygjK//metE//pgpC//rnb//slyD//yeiG//rne//yeaE//malQ//cysQ//ycjU//clsB//sad//dmsA//gpmA//mnmE//proA//clsB//ligA//tsaE//ampH//selB//cysI//menF//rfe//folM//rffH//folX//dbpA//torZ//argE//truB//sufS//metF//treC//cobT//ispF//mazG//mutS//preT//metC//pdeL//deoC//polA//nanK//puuD//hcaF//ispF//metC//menI//proA//selA//sodA//
go_0006811_5	thiL//glxK//aspC//metE//cheB//moeB//udk//icd//glnS//dnaE//phnL//
go_0006812_6	hypB//purN//
go_0006813_8	tdcE//mltB//opgE//phnJ//yieH//tadA//gloB//frc//
go_0006814_8	ttdB//yigL//selA//azoR//
go_0006817_8	pykA//
go_0006820_6	dgoK//hemG//murE//tdh//argC//
go_0006821_8	eptA//
go_0006824_8	psuG//acpS//thiH//fklB//
go_0006825_9	ubiI//
go_0006826_9	trmH//
go_0006828_9	surA//
go_0006829_9	wzc//ynfH//acpH//dhaM//accA//
go_0006833_6	
go_0006835_8	waaJ//phnJ//
go_0006847_8	lsrK//
go_0006855_6	glxR//phnI//waaL//gpmA//ldcC//speB//waaQ//phnM//ltaE//glmS//coaA//panD//abgB//fes//
go_0006857_7	lysC//hisG//srlD//
go_0006863_7	plsB//
go_0006865_6	ispB//purT//mdh//speE//phnH//nagK//waaQ//dgoK//ndk//oxc//queC//kdsD//astC//dkgB//aroB//hisD//citC//murD//ltaE//yagF//polA//
go_0006868_7	guaA//
go_0006869_6	menF//
go_0006874_8	
go_0006876_8	narG//
go_0006878_9	deoC//
go_0006879_9	bioF//ansB//
go_0006880_4	uvrA//aroH//
go_0006882_8	ftsI//
go_0006883_8	phoA//melA//hflX//
go_0006884_4	
go_0006885_9	aroG//
go_0006886_5	
go_0006928_3	argH//
go_0006935_4	rihC//plsC//ribC//gstA//glcD//
go_0006970_4	dusB//hyi//mrcB//paaA//murB//pphB//
go_0006972_5	yieF//rfaD//coaD//argI//aroK//
