# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	nfi//
go_0000025_7	trmO//
go_0000027_7	lacZ//fkpB//ascB//mtn//
go_0000028_7	rlmE//
go_0000032_8	ushA//
go_0000041_8	dusC//
go_0000050_5	murI//pdeH//ahpC//uxuB//add//
go_0000053_5	idnO//
go_0000096_5	folC//
go_0000101_6	der//
go_0000103_5	folX//mmuM//
go_0000105_6	glgX//aceB//ldtD//argB//mtlD//sodC//pabB//
go_0000160_5	leuS//
go_0000162_7	ruvA//waaH//hemF//cysC//dacD//argI//cobC//fucI//rluA//
go_0000270_7	hemD//cmoB//mltB//lpxP//azoR//argF//umpG//chbF//pphB//pyrE//
go_0000271_6	kdsB//
go_0000302_5	nrdF//
go_0000303_6	tsaB//plsB//
go_0000305_5	
go_0000372_11	
go_0000413_9	polA//guaD//rfaD//dgcT//entB//ansB//fucA//
go_0000453_8	alr//mutT//sucA//rfaD//
go_0000455_9	uidA//fbp//dusC//folX//guaD//speC//rffC//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	mutM//
go_0000726_7	yggF//
go_0000731_7	lysC//glpB//
go_0000737_7	
go_0000738_7	hycB//pgk//
go_0000746_4	
go_0000820_7	rffH//
go_0000902_5	
go_0000910_4	hchA//fdhF//ldcA//
go_0000917_6	
go_0000918_6	
go_0000920_3	alaC//
go_0000921_6	
go_0000967_10	rutD//
go_0001101_4	dusB//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	pgaC//
go_0001510_5	hinT//pck//
go_0001514_8	ampH//
go_0001522_7	nrdE//ravA//pdxA//umuC//
go_0001558_5	
go_0001561_6	glgB//
go_0001676_6	narH//
go_0001680_11	trmJ//
go_0001682_11	acpH//fumA//
go_0001731_7	
go_0001762_6	rffC//
go_0001887_4	rfe//nrdA//
go_0001896_5	cysS//
go_0002047_6	frlB//gstB//
go_0002097_8	nrfB//
go_0002098_9	argA//wzc//fabB//truC//
go_0002099_9	hemC//bfr//
go_0002100_9	mltA//
go_0002101_9	hemB//
go_0002128_7	phnO//
go_0002131_9	paaJ//
go_0002132_9	tdcE//
go_0002136_10	phnJ//
go_0002143_9	udp//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	cof//
go_0002938_8	tdk//
go_0002939_7	trmJ//
go_0002943_8	glcE//
go_0002949_8	narY//waaA//tadA//
go_0003333_7	pdeL//rfe//sdaA//hisD//etk//paaE//asnA//metC//dgoK//phnP//frdD//lpoA//rluC//
go_0005975_4	thiH//trmO//mug//rimK//nemA//fucA//rfbC//recG//kdgK//nirB//gcvP//ahr//bglA//lacZ//sdhB//recF//
go_0005976_5	kdsA//
go_0005977_6	mltB//
go_0005978_7	mak//mtn//yfcG//coaE//
go_0005980_7	gpsA//rutE//cmk//
go_0005986_7	arnA//
go_0005990_7	ldtE//
go_0005992_7	maa//yfeX//
go_0005993_7	sucC//mug//rph//
go_0005995_7	ruvC//
go_0005998_7	mog//
go_0006000_6	ldhA//
go_0006001_7	fkpA//fkpA//
go_0006002_5	dmlA//glpD//cobB//
go_0006006_6	der//ugd//lpd//coaE//speF//
go_0006007_7	hcaB//tdcE//
go_0006011_5	glgP//
go_0006012_6	waaZ//
go_0006013_6	dadA//
go_0006014_6	fdhF//
go_0006015_7	phnN//dgoD//
go_0006020_5	ydiF//
go_0006044_7	rsmD//
go_0006046_8	scpC//yeiG//
go_0006047_5	waaC//fabZ//
go_0006048_6	gpsA//gnd//menD//ltaE//
go_0006053_8	cysS//
go_0006062_8	fumC//
go_0006071_6	glgB//glyS//
go_0006072_6	torC//
