# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	cpdA//
go_0000025_7	umpH//
go_0000027_7	surA//ltaE//preT//purF//
go_0000028_7	adeD//
go_0000032_8	truC//
go_0000041_8	yrfG//
go_0000050_5	acpS//thiD//caiB//cpdB//truD//
go_0000053_5	bglA//
go_0000096_5	yjiA//
go_0000101_6	fkpA//
go_0000103_5	rsmC//serB//
go_0000105_6	ansB//ydfG//hisG//pflB//mnmC//suhB//hemF//
go_0000160_5	aspC//
go_0000162_7	ribD//ruvC//yidA//ndk//ymdB//idnO//uvrA//ruvB//puuA//
go_0000270_7	rluA//ansB//frdC//acs//iscS//ribF//cpdA//frdC//fucI//mocA//
go_0000271_6	ispA//
go_0000302_5	adiA//
go_0000303_6	cysS//katE//
go_0000305_5	
go_0000372_11	
go_0000413_9	atoB//queA//tyrS//aroH//puuE//ampD//malP//
go_0000453_8	argE//ulaG//yfeW//aroD//
go_0000455_9	yeaG//hisB//entB//phr//dxs//rluA//miaA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	paaB//
go_0000726_7	moeB//
go_0000731_7	waaQ//paoC//
go_0000737_7	
go_0000738_7	waaF//kdsC//
go_0000746_4	
go_0000820_7	iscS//
go_0000902_5	
go_0000910_4	treA//ubiE//fadE//
go_0000917_6	
go_0000918_6	
go_0000920_3	xylA//
go_0000921_6	
go_0000967_10	gstB//
go_0001101_4	adhE//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	csdA//
go_0001510_5	ppk//narZ//
go_0001514_8	dxr//
go_0001522_7	rluF//prs//guaD//upp//
go_0001558_5	
go_0001561_6	pfkB//
go_0001676_6	hisA//
go_0001680_11	dxr//
go_0001682_11	bioC//plsB//
go_0001731_7	
go_0001762_6	rihB//
go_0001887_4	yfeW//speE//
go_0001896_5	mug//
go_0002047_6	lipA//rfbD//
go_0002097_8	insI-2//
go_0002098_9	gcvP//poxB//aldA//argS//
go_0002099_9	ldtD//bioB//
go_0002100_9	eptB//
go_0002101_9	sodB//
go_0002128_7	galT//
go_0002131_9	proB//
go_0002132_9	arnA//
go_0002136_10	dmsA//
go_0002143_9	argC//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	hisG//
go_0002938_8	ada//
go_0002939_7	lpoA//
go_0002943_8	mgsA//
go_0002949_8	ndk//tdcD//menD//
go_0003333_7	mltD//fabI//rihC//mnmC//accD//fadA//nudF//yfcF//murC//waaH//epd//uvrA//cobS//
go_0005975_4	ispU//gntK//preA//lsrG//argB//pcm//yqhD//thrB//hcp//bcsA//acpH//yfcF//mak//epd//dgcT//recF//
go_0005976_5	thiG//
go_0005977_6	pta//
go_0005978_7	malZ//edd//rrrD//gloB//
go_0005980_7	acnB//hisI//aroA//
go_0005986_7	pdxJ//
go_0005990_7	panB//
go_0005992_7	rsmG//acs//
go_0005993_7	ubiE//acs//uvrA//
go_0005995_7	pdxH//
go_0005998_7	lpxC//
go_0006000_6	thrA//
go_0006001_7	epmA//yihV//
go_0006002_5	yjiA//yfcF//mhpD//
go_0006006_6	narH//alsE//gabD//hcaD//hisG//
go_0006007_7	aroG//idnO//
go_0006011_5	bglB//
go_0006012_6	pnp//
go_0006013_6	mutM//
go_0006014_6	sodC//
go_0006015_7	rutC//ilvD//
go_0006020_5	narZ//
go_0006044_7	argK//
go_0006046_8	gldA//iaaA//
go_0006047_5	yhdH//acnA//
go_0006048_6	nemA//nrfA//gltB//entE//
go_0006053_8	fklB//
go_0006062_8	ppiA//
go_0006071_6	ycaO//mltC//
go_0006072_6	kbaZ//
go_0006082_4	cynT//
go_0006083_6	alkB//frc//bioF//
go_0006086_8	mutS//eda//
go_0006090_8	epmA//moaA//glmM//rihB//moeB//fabG//entC//
go_0006094_7	tsaC//nadK//glcD//phnJ//rpe//mltB//leuC//rhaA//rlmC//
