# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	cueO//
go_0000025_7	ldtA//
go_0000027_7	cof//rfbB//fadD//garR//
go_0000028_7	tyrS//
go_0000032_8	cobU//
go_0000041_8	epmA//
go_0000050_5	fadJ//idnK//citG//pdeL//guaB//
go_0000053_5	cmk//
go_0000096_5	cmoB//
go_0000101_6	arsC//
go_0000103_5	chbG//maeA//
go_0000105_6	rlmF//xthA//metK//trmL//thiH//purC//waaG//
go_0000160_5	epmB//
go_0000162_7	gloC//tdcG//pyrB//kdsD//kdsD//glyS//ilvD//dgcT//fabA//
go_0000270_7	hemE//pdxJ//yqjH//pck//pdeR//scpC//dmsC//cpsG//frlB//ychF//
go_0000271_6	rluF//
go_0000302_5	hdhA//
go_0000303_6	polA//phnM//
go_0000305_5	
go_0000372_11	
go_0000413_9	argE//malZ//pheA//ybcF//purD//plsB//tilS//
go_0000453_8	yghU//hcaD//sucA//rutC//
go_0000455_9	rsmF//yihS//bacA//menC//argS//gdhA//rsmI//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	serC//
go_0000726_7	yfaU//
go_0000731_7	tdcE//menF//
go_0000737_7	
go_0000738_7	rpe//speA//
go_0000746_4	
go_0000820_7	ybjI//
go_0000902_5	
go_0000910_4	yeaE//yjhH//recO//
go_0000917_6	
go_0000918_6	
go_0000920_3	paaA//
go_0000921_6	
go_0000967_10	xapA//
go_0001101_4	napA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	nadB//
go_0001510_5	acnA//fabD//
go_0001514_8	mdh//
go_0001522_7	mdh//yihT//glk//gatZ//
go_0001558_5	
go_0001561_6	uvrA//
go_0001676_6	adhP//
go_0001680_11	argK//
go_0001682_11	truC//azoR//
go_0001731_7	
go_0001762_6	moaD//
go_0001887_4	fau//hemC//
go_0001896_5	hcaB//
go_0002047_6	ppc//chbF//
go_0002097_8	poxB//
go_0002098_9	ribA//hisD//tadA//iscS//
go_0002099_9	sucA//glcB//
go_0002100_9	acpS//
go_0002101_9	citE//
go_0002128_7	ssuE//
