# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	yigB//
go_0000025_7	folE//
go_0000027_7	bglX//gatD//polB//acpT//
go_0000028_7	dcm//
go_0000032_8	rsuA//
go_0000041_8	rpiB//
go_0000050_5	moaE//aceA//eptA//ddlA//sdhA//
go_0000053_5	ubiG//
go_0000096_5	rluD//
go_0000101_6	rffT//
go_0000103_5	lgoD//poxB//
go_0000105_6	waaZ//atoB//yggF//kdsB//dxs//folA//katE//
go_0000160_5	gabT//
go_0000162_7	ilvN//sucB//hemF//citG//tynA//rnt//ansB//dacA//hyi//
go_0000270_7	torC//fadM//trmL//yihX//cheR//gph//iscS//rfaD//hmp//gntK//
go_0000271_6	rpe//
go_0000302_5	accB//
go_0000303_6	fadE//nagK//
go_0000305_5	
go_0000372_11	
go_0000413_9	putA//rhaA//phnG//ybjG//glyS//dacD//rihA//
go_0000453_8	waaY//asnS//fadA//lsrK//
go_0000455_9	selB//ispH//paaF//yeaE//hmp//prpD//nanA//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	murI//
go_0000726_7	rfaE//
go_0000731_7	csdA//rffM//
go_0000737_7	
go_0000738_7	accD//dinB//
go_0000746_4	
go_0000820_7	ispH//
go_0000902_5	
go_0000910_4	ltaE//yciV//dacC//
go_0000917_6	
go_0000918_6	
go_0000920_3	gabT//
go_0000921_6	
go_0000967_10	kdsB//
go_0001101_4	gldA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	folE//
go_0001510_5	mltD//astC//
go_0001514_8	epd//
go_0001522_7	truC//yccX//otsA//upp//
go_0001558_5	
go_0001561_6	yjjG//
go_0001676_6	rlmI//
go_0001680_11	fabH//
go_0001682_11	relA//gloA//
go_0001731_7	
go_0001762_6	tdh//
go_0001887_4	rsmC//sucD//
go_0001896_5	sdhB//
go_0002047_6	alkA//alaC//
go_0002097_8	sucA//
go_0002098_9	pheT//lpxM//bioB//treA//
go_0002099_9	udp//tyrB//
go_0002100_9	pnp//
go_0002101_9	murI//
go_0002128_7	fkpB//
go_0002131_9	ddlB//
go_0002132_9	ppiA//
go_0002136_10	argB//
go_0002143_9	pflB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
