# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	otsB//
go_0000025_7	tnaA//
go_0000027_7	argI//pdxH//codA//entD//
go_0000028_7	lpcA//
go_0000032_8	plsC//
go_0000041_8	ribD//
go_0000050_5	chbF//malZ//hisB//yfcG//cysQ//
go_0000053_5	ribC//
go_0000096_5	glnE//
go_0000101_6	ascB//
go_0000103_5	yccX//rhaA//
go_0000105_6	fucO//paaB//thrC//ldcC//dxr//tsaC//pdxJ//
go_0000160_5	entH//
go_0000162_7	nanK//dapD//yagE//yciA//treF//dgoD//puuC//pdxK//dhaK//
go_0000270_7	amiD//aroK//citC//cysM//yfdR//metC//ftsI//hdhA//tyrB//hemN//
go_0000271_6	yeaG//
go_0000302_5	trmJ//
go_0000303_6	speA//tilS//
go_0000305_5	
go_0000372_11	
go_0000413_9	aroF//pcm//mutM//aceF//allC//hisF//gcl//
go_0000453_8	aspA//gstB//cysE//ppk//
go_0000455_9	lplA//feaB//nrdB//allB//torC//cpsB//phr//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	trmA//
go_0000726_7	roxA//
go_0000731_7	mrcB//hchA//
go_0000737_7	
go_0000738_7	lysA//cyaA//
go_0000746_4	
go_0000820_7	roxA//
go_0000902_5	
go_0000910_4	tyrS//pdeH//uvrB//
go_0000917_6	
go_0000918_6	
go_0000920_3	asnS//
go_0000921_6	
go_0000967_10	yihV//
go_0001101_4	cysI//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mug//
go_0001510_5	trpA//rihB//
go_0001514_8	carA//
go_0001522_7	pfkA//truC//fucK//mutH//
go_0001558_5	
go_0001561_6	pykF//
go_0001676_6	fadH//
go_0001680_11	hisD//
go_0001682_11	cyoE//gcvT//
go_0001731_7	
go_0001762_6	rihA//
go_0001887_4	lplA//aroF//
go_0001896_5	queG//
go_0002047_6	rfaE//rlmD//
go_0002097_8	rluF//
go_0002098_9	pdxH//lpxH//srlD//pheT//
go_0002099_9	feaB//pyrE//
go_0002100_9	waaS//
go_0002101_9	curA//
go_0002128_7	thyA//
go_0002131_9	torZ//
go_0002132_9	slyD//
go_0002136_10	ppiC//
go_0002143_9	frmB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	queG//
go_0002938_8	bioA//
go_0002939_7	treC//
go_0002943_8	menH//
go_0002949_8	ybhA//glmS//mcrA//
go_0003333_7	pphA//murB//ldtD//asnA//mutT//ghrB//ubiG//opgB//yeaG//frdC//alkB//tatD//pgaC//
go_0005975_4	moaE//rfbB//ftsI//ldcC//avtA//alr//carA//malY//wecC//proS//yhdH//fabA//tyrS//ubiX//folX//truA//
go_0005976_5	phnM//
go_0005977_6	lpxD//
go_0005978_7	cheB//fkpA//sgbE//hisD//
go_0005980_7	tauD//nrfC//wrbA//
go_0005986_7	phr//
go_0005990_7	torC//
go_0005992_7	sucB//leuS//
go_0005993_7	apt//yagE//gpsA//
go_0005995_7	adhP//
go_0005998_7	nagZ//
go_0006000_6	rluC//
go_0006001_7	alaA//speB//
go_0006002_5	ybiV//rfaE//hcaD//
go_0006006_6	astB//glxK//dut//yfaU//cynS//
go_0006007_7	sseA//dmsA//
go_0006011_5	ravA//
go_0006012_6	hemF//
go_0006013_6	queC//
go_0006014_6	dgcZ//
go_0006015_7	pphA//lplA//
go_0006020_5	rfbB//
go_0006044_7	mutT//
go_0006046_8	aceA//asnA//
go_0006047_5	purA//fumC//
go_0006048_6	ychF//ddlB//nrfA//prmC//
go_0006053_8	caiB//
go_0006062_8	ulaD//
go_0006071_6	mtn//dnaQ//
go_0006072_6	lpxH//
go_0006082_4	queF//
go_0006083_6	cysD//rlmE//frmA//
go_0006086_8	rfbB//maeA//
go_0006090_8	fucA//caiD//pgm//ydiF//cynS//kduI//phnP//
go_0006094_7	fabH//dmsC//rbn//dmsA//ispG//rdgB//fadM//mcrA//acnB//
go_0006096_6	rlmE//metF//lysS//pykA//ansB//glpA//garR//mog//argK//nanE//argF//bioA//mepS//
go_0006097_5	hemD//cadA//amiD//yfbR//asnA//
go_0006098_6	ddlB//lyxK//ruvA//mltF//phnI//
go_0006099_4	galK//cysM//pgl//guaD//codA//ulaD//sgbE//ldtA//purB//glpD//gntK//frdC//patZ//
go_0006103_5	ddlB//tdh//glpC//eptB//
go_0006104_6	narV//
go_0006105_5	yidA//
go_0006106_8	ribE//
go_0006107_8	
go_0006108_8	yeaG//opgB//rutB//galU//
go_0006113_5	aceA//ribA//
go_0006115_6	purC//
go_0006124_6	
go_0006144_6	
go_0006145_7	aroK//
go_0006146_8	amyA//
go_0006148_9	ppsA//
go_0006149_9	rlmG//
go_0006150_9	csdA//
go_0006152_7	ulaF//metB//polA//yjiA//asnB//
go_0006154_6	purB//
go_0006161_9	dgt//
go_0006163_6	gudD//
go_0006164_7	glpD//ubiI//leuA//fucO//
go_0006166_6	frc//
go_0006168_7	adk//dosP//
go_0006171_9	
go_0006172_9	sseA//
go_0006177_9	puuA//
go_0006178_7	hcp//
go_0006183_9	allB//
go_0006189_10	yidA//ubiF//
go_0006203_8	yjcS//cysQ//
go_0006206_6	sodA//mltB//prpD//
go_0006207_8	nadE//ahpC//tsaC//mutH//rlmC//
go_0006208_7	ulaF//pdxK//thiM//gstB//pheS//argG//
go_0006209_6	yajO//
go_0006210_8	sucD//
go_0006212_6	deoD//lpxP//phnL//phnP//appA//lpd//hycB//rhaM//ulaD//glcF//
go_0006217_9	alkB//
go_0006218_9	dapB//
go_0006220_6	bfr//
go_0006221_7	cysE//pncB//dapD//
go_0006222_9	
go_0006225_9	mtlD//
go_0006226_9	rpiB//thiD//
go_0006227_9	menH//
go_0006231_9	rsmA//
go_0006233_9	hemE//
go_0006235_9	prpD//
go_0006241_9	mnmA//
go_0006259_5	rhaB//fabG//glnE//
