# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	argS//
go_0000025_7	glcB//
go_0000027_7	dmsA//aroC//lpcA//murB//
go_0000028_7	tmcA//
go_0000032_8	gatY//
go_0000041_8	pepD//
go_0000050_5	mnmA//lysU//hemH//mhpA//xdhB//
go_0000053_5	acpS//
go_0000096_5	dapA//
go_0000101_6	pyrG//
go_0000103_5	rnt//nagA//
go_0000105_6	tdcD//metK//phnH//ispA//birA//coaE//yihU//
go_0000160_5	rlmC//
go_0000162_7	sufS//garR//pdeL//speE//ulaD//ubiE//gcvP//folX//tmk//
go_0000270_7	mhpB//valS//gadB//mog//cysQ//rutD//yihX//rluE//patZ//citG//
go_0000271_6	ilvM//
go_0000302_5	murI//
go_0000303_6	yfcF//malQ//
go_0000305_5	
go_0000372_11	
go_0000413_9	agp//fadI//uvrB//ybhA//ribD//trmI//folA//
go_0000453_8	dkgA//sseA//dfp//murC//
go_0000455_9	dgt//clsB//napA//suhB//epmA//phoA//glmU//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	nrdF//
go_0000726_7	tilS//
go_0000731_7	narZ//arsC//
go_0000737_7	
go_0000738_7	rihC//gloA//
go_0000746_4	
go_0000820_7	kdsB//
go_0000902_5	
go_0000910_4	manA//puuC//ldcA//
go_0000917_6	
go_0000918_6	
go_0000920_3	thiL//
go_0000921_6	
go_0000967_10	rlmI//
go_0001101_4	mug//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	metK//
go_0001510_5	acpH//nudC//
go_0001514_8	serC//
go_0001522_7	scpC//fabG//hyi//rffT//
go_0001558_5	
go_0001561_6	nadE//
go_0001676_6	tmcA//
go_0001680_11	cysK//
go_0001682_11	fadI//hemB//
go_0001731_7	
go_0001762_6	paoC//
go_0001887_4	rlmF//rlmH//
go_0001896_5	tmcA//
go_0002047_6	eptB//lipB//
go_0002097_8	hisS//
go_0002098_9	rihA//tmk//rnd//kduD//
go_0002099_9	add//truC//
go_0002100_9	metL//
go_0002101_9	rluF//
go_0002128_7	rsuA//
go_0002131_9	bglX//
go_0002132_9	cysH//
go_0002136_10	rsmC//
go_0002143_9	glgC//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	ansA//
go_0002938_8	lpoB//
go_0002939_7	pflB//
go_0002943_8	xdhB//
go_0002949_8	argI//rsmG//eno//
go_0003333_7	waaH//rsmI//treA//malY//dapF//rsmH//gpt//tyrA//ackA//selD//moeB//katE//proA//
go_0005975_4	alaC//menE//purC//rlmI//lpxH//entA//rluF//entB//wecB//mutS//pgk//dacD//gloA//fadK//rlmI//phnL//
go_0005976_5	kdgK//
go_0005977_6	polB//
go_0005978_7	torZ//rsmF//pphB//dapA//
go_0005980_7	yfeW//bioC//cobU//
go_0005986_7	tynA//
go_0005990_7	speA//
go_0005992_7	dacD//thiC//
go_0005993_7	moaE//cysK//patA//
go_0005995_7	mhpD//
go_0005998_7	frdC//
go_0006000_6	gmhB//
go_0006001_7	polB//paoC//
go_0006002_5	recR//dam//moaA//
go_0006006_6	mhpB//ilvC//rpiB//dmsA//folD//
go_0006007_7	bioF//rsgA//
go_0006011_5	cheR//
go_0006012_6	kbaY//
go_0006013_6	tdcB//
go_0006014_6	rlmH//
go_0006015_7	lysS//mdh//
go_0006020_5	mmuM//
go_0006044_7	rpiA//
go_0006046_8	mltB//mltA//
go_0006047_5	udk//kdgK//
go_0006048_6	tpiA//citG//gldA//nadE//
go_0006053_8	pfkB//
go_0006062_8	rlmI//
go_0006071_6	rffT//alaC//
go_0006072_6	narY//
go_0006082_4	puuB//
go_0006083_6	ubiE//ppiA//gcvT//
go_0006086_8	psuG//fdhF//
go_0006090_8	kdsB//puuE//rsmJ//ppc//pdeF//pgaC//glcB//
go_0006094_7	ftnA//iscS//hcaC//narH//yqhD//glk//coaA//asnS//trpA//
go_0006096_6	coaE//cobS//slyD//rbsK//argS//rfaD//moaA//orn//tyrB//rsmB//gpt//cobU//gnd//
go_0006097_5	gph//yghU//cobB//fre//dcd//
go_0006098_6	murC//fabI//folX//pabC//tktA//
go_0006099_4	dkgB//speG//citC//clsC//panD//phnJ//upp//kdsB//iscS//sodB//paaF//hcaC//hemE//
go_0006103_5	prmC//rutD//argE//dacD//
go_0006104_6	pdxH//
go_0006105_5	mhpA//
go_0006106_8	xylB//
go_0006107_8	
go_0006108_8	hemN//puuD//narV//cysS//
go_0006113_5	tyrS//nanE//
go_0006115_6	nemA//
go_0006124_6	
go_0006144_6	
go_0006145_7	hisC//
go_0006146_8	rrrD//
go_0006148_9	hyi//
go_0006149_9	glpX//
go_0006150_9	pdxB//
go_0006152_7	sgbE//prpB//mtlD//ltaE//gloA//
go_0006154_6	gpt//
go_0006161_9	rdgB//
go_0006163_6	alaC//
go_0006164_7	speC//trmD//rnd//yihX//
go_0006166_6	wcaJ//
go_0006168_7	prs//ribF//
go_0006171_9	
go_0006172_9	puuB//
go_0006177_9	fkpA//
go_0006178_7	cysK//
go_0006183_9	nth//
go_0006189_10	sucA//citC//
go_0006203_8	ushA//trmJ//
go_0006206_6	ribE//ribD//fadH//
go_0006207_8	gluQ//pgpB//ulaF//nrfB//rlmI//
go_0006208_7	idnK//glcB//preA//metG//lpoA//pepD//
go_0006209_6	gstB//
go_0006210_8	rutD//
go_0006212_6	dhaK//nanK//dxr//aroA//mnmE//prpD//rhaB//deoD//pabB//yqjH//
go_0006217_9	waaB//
go_0006218_9	yieF//
go_0006220_6	frdC//
go_0006221_7	ileS//dacA//metE//
go_0006222_9	
go_0006225_9	selB//
go_0006226_9	sucC//pyrC//
go_0006227_9	metL//
go_0006231_9	moaD//
go_0006233_9	eutB//
go_0006235_9	lyxK//
go_0006241_9	ubiH//
go_0006259_5	lacZ//dacC//fabA//
go_0006260_6	ychF//glpX//ispB//gudD//ubiA//udp//selA//
go_0006261_7	wcaJ//menC//dcyD//
go_0006265_6	apaH//hcaD//
go_0006266_6	thrA//idnK//gatY//
go_0006267_5	
go_0006268_9	hyaB//ilvN//
go_0006269_6	sdhB//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	leuC//opgE//
go_0006281_6	ulaD//acnB//deoA//tyrS//menD//trpE//aroK//thiD//nagA//uxaC//talB//ribB//edd//hemD//dhaM//dam//kdgK//
go_0006283_8	
go_0006284_7	cdsA//sucD//rluD//nudG//phnP//hcaB//
go_0006285_6	mltA//cysQ//fumC//yhdJ//
go_0006288_8	allC//hisH//
go_0006289_7	
go_0006298_7	rsgA//dgcZ//selB//rffM//
go_0006301_7	
go_0006302_7	menH//waaJ//
go_0006307_8	coaA//coaD//cysG//curA//fumA//
go_0006308_6	waaU//prpC//ppx//trpC//
go_0006310_6	ybiV//pdxB//ubiI//thrS//yjcS//
go_0006313_4	aroD//
go_0006351_6	recG//pldB//
go_0006352_7	
go_0006353_7	
go_0006354_7	selD//
go_0006355_7	yjhH//
go_0006357_8	
go_0006364_9	rsmH//garK//amyA//rsuA//
go_0006378_8	hcaE//
go_0006396_7	pbpC//speB//purF//phoA//caiD//
go_0006397_8	gadB//
go_0006399_8	folX//uxaC//
go_0006400_7	murF//rnb//pgsA//dosP//cysE//
go_0006401_6	mtlD//rutD//glyS//yhdJ//ttdB//entH//
go_0006402_7	kduD//fadD//fucO//hcaF//thrC//csdA//phnM//
go_0006412_6	glcD//rluE//phnM//menE//tadA//
go_0006413_4	ygeX//
go_0006414_6	
go_0006415_7	kdsD//cheB//
go_0006417_7	cmk//rlmM//
go_0006418_7	entE//rihC//ynfH//paaE//trmI//argA//cysK//speA//ybjI//rhaA//fadA//
go_0006419_8	waaQ//
go_0006420_8	gatD//
go_0006421_8	ymdB//
go_0006422_8	ilvC//
go_0006423_8	menF//
go_0006424_8	glgB//trpA//
go_0006425_8	fre//
go_0006427_8	sad//
go_0006428_8	murF//
go_0006429_8	pdxK//
go_0006430_8	miaB//pdxK//
go_0006431_8	rhaA//
go_0006432_8	dkgB//
go_0006433_8	sucB//
go_0006434_8	thiL//
go_0006435_8	paaA//
go_0006436_8	valS//
go_0006437_8	entH//
go_0006438_8	kdsB//
go_0006448_8	
go_0006450_4	gloC//truC//rutA//ybjG//carA//dmsA//
go_0006457_3	accA//leuC//yfcG//hcp//spoT//prpB//dxr//
go_0006458_4	
go_0006464_6	rsmB//appA//ndk//nudC//proA//gpsA//trmO//pncB//
go_0006465_6	pphA//glcB//nfsB//
go_0006468_7	dnaQ//
go_0006470_7	hemE//pyrF//citG//glmU//pdxA//
go_0006473_8	nagB//
go_0006474_6	yegS//alsK//pyrH//
go_0006476_8	ribE//
go_0006479_5	gabD//dhaK//pgpC//deoD//dapD//dgoD//
go_0006486_5	alsK//
go_0006490_5	lpxP//
go_0006508_5	glcE//paaK//galU//citG//ftsI//hmp//fabD//rlmC//argA//coaE//pck//ddlB//pdxB//yihV//surA//yjjG//trmI//upp//pinE//entE//fadJ//puuD//cysE//ilvD//mgsA//acs//ftnA//ubiG//ispF//gloA//tgt//pyrF//plsB//
go_0006515_7	umpG//prpB//phnL//hcaE//gpsA//plsB//dmsC//
go_0006517_6	lpxB//cysN//
go_0006518_5	sufS//gstB//
go_0006523_8	proC//folM//
go_0006524_8	
go_0006526_8	alaC//queC//hemA//glnA//rluA//moeB//tdcD//
go_0006527_8	thiD//pgm//tsaE//paaB//torZ//
go_0006529_7	frdB//tdk//
go_0006530_7	srlD//nrdA//lldD//dkgB//
go_0006531_7	pyrG//
go_0006532_8	menE//gloC//tdk//
go_0006535_8	dgoK//cysS//sufS//
go_0006537_8	gpsA//
go_0006538_8	ftsI//queD//
go_0006541_7	gcd//ispF//bioC//gntK//entA//
go_0006542_8	yihX//lysU//
go_0006543_8	
go_0006545_6	gloC//
go_0006546_6	sodB//rlmM//fruK//
go_0006554_8	araA//kdsC//pncB//
go_0006556_5	acpS//
go_0006559_6	dhaM//
go_0006561_6	nemA//accA//
go_0006563_7	mnmG//
go_0006564_8	rlmL//der//glcD//thiD//
go_0006565_8	alsE//atoB//glgA//betA//ftnA//
go_0006566_7	ascB//
go_0006567_8	rsmH//lysA//gcd//dacA//pphA//rne//waaO//
go_0006569_7	aroH//
go_0006571_7	dgoD//rlmB//
go_0006593_7	trpA//
go_0006598_8	rdgB//gshB//accB//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	pncB//gcvT//
go_0006631_5	purB//dadA//dmsB//lpoA//paaF//
go_0006633_6	lpcA//gcl//dgt//pgpA//nhoA//tdk//pnp//icd//pgi//dusC//serB//
go_0006635_6	wcaJ//queA//wrbA//mltD//aceA//leuB//ispH//eno//tktB//cdh//hcaC//metB//
go_0006636_7	
go_0006637_5	appA//paaG//lsrK//purD//alsK//
go_0006646_7	
go_0006650_6	
go_0006654_7	ilvM//
go_0006655_7	hemE//nemA//
go_0006725_4	pdeL//
go_0006729_6	adeD//arnA//
go_0006730_4	sgbE//nhoA//ackA//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	tehB//tdh//cysS//gstB//mnmA//pinE//truA//allD//clsC//phnL//ssuE//alsE//
go_0006749_5	tynA//uxaA//
go_0006750_6	speD//phnJ//
go_0006751_6	fes//
go_0006757_5	paaJ//
go_0006760_5	arnA//
go_0006761_7	xylA//
go_0006771_5	gluQ//
go_0006772_6	pheT//tpiA//
go_0006777_5	queF//napA//guaC//yfdR//phnI//
go_0006779_6	yhdJ//prpB//ppiC//alaC//cdh//
go_0006780_7	gdhA//
go_0006782_7	rpiA//speD//rnpA//rffG//
go_0006783_5	apaH//ung//lpxD//cadA//pphB//lysA//trmL//
go_0006790_4	ispU//glcB//opgE//lpoB//fadB//prmB//lysA//dbpA//waaO//folD//
go_0006791_2	glpA//selA//ycjU//
go_0006793_4	galT//gutQ//
go_0006798_5	mak//
go_0006799_5	metG//
go_0006801_5	accB//fadE//tsaE//
go_0006805_4	murB//lpxC//glgA//ymdB//
go_0006807_3	dmsB//uxaC//aroB//
go_0006808_4	garL//
go_0006810_4	metH//mhpA//rsgA//yjjX//hcaD//menD//yfaU//purU//ahpC//appA//rihA//puuD//kdsB//rsmC//curA//hyi//cadA//hemN//ppiC//ybhA//dinB//rlmI//rfe//rihB//pgpA//ilvN//gluQ//atoB//yegS//nadA//manA//mnmA//ssuE//hemN//rlmM//rutB//carA//rimK//ligA//speF//pgl//gmhB//dut//waaF//lsrK//aroE//preT//moaE//thiE//fbp//lpoA//mhpC//waaP//phnL//uxuA//fumB//pagP//deoD//garR//panE//frlC//sdaA//pyrC//purA//guaC//insI-1//mug//insI-1//rnd//atoB//yigL//ltaE//yjiA//tsaD//waaF//bglA//argF//
go_0006811_5	ubiX//yfaU//mrcB//ftsI//kduI//ispG//purN//yihV//opgE//gmhB//sdhB//
go_0006812_6	xapA//dmsA//
go_0006813_8	ilvI//fklB//maa//recG//rlmH//dhaM//ycjU//tadA//
go_0006814_8	cysS//preT//ynfF//udk//
go_0006817_8	thiH//
go_0006820_6	dld//argE//kdsB//appA//aspC//
go_0006821_8	dld//
go_0006824_8	gatZ//dut//fes//kdsA//
go_0006825_9	trmI//
go_0006826_9	citX//
go_0006828_9	gcd//
go_0006829_9	surA//phnH//preA//mutH//pyrF//
go_0006833_6	
go_0006835_8	prpD//dsdA//
go_0006847_8	gldA//
go_0006855_6	sdhC//trpB//ileS//bioF//udp//ppc//dapB//gshB//psd//rfaE//tdcE//narI//allC//dam//
go_0006857_7	rlmI//puuE//yhdJ//
go_0006863_7	yagE//
go_0006865_6	pdeH//mngB//entF//lysS//puuD//eptB//waaG//guaC//lpxD//uidA//hemD//pheS//cpsG//ravA//codA//gldA//mltD//murC//nrdA//ulaE//katE//
go_0006868_7	yigB//
go_0006869_6	ruvA//
go_0006874_8	
go_0006876_8	asnS//
go_0006878_9	dgkA//
go_0006879_9	hyaA//coaE//
go_0006880_4	sthA//gmk//
go_0006882_8	ybcF//
go_0006883_8	moeA//pcm//dcm//
go_0006884_4	
go_0006885_9	kduD//
go_0006886_5	
go_0006928_3	hyaC//
go_0006935_4	paaH//glgX//tyrA//murB//adiA//
go_0006970_4	glgB//carA//lpxH//dgcZ//pepD//menE//
go_0006972_5	aspC//lsrG//entF//mltC//caiD//
go_0006974_5	hemG//arnT//rutC//ygeX//rfe//rhaB//kduD//wecC//mnmG//dfp//rlmH//rph//glcB//hcaD//ybjI//alsK//waaJ//folA//purC//paaA//glpA//fadI//nagZ//abgA//ilvD//ogt//rlmM//pgaB//fumA//hmp//preT//lysU//kduI//entD//caiD//manA//sseA//bioA//pheA//fabZ//dhaL//prmC//moaE//mnmA//frdC//speE//ddlB//spoT//tmk//solA//bfr//hdhA//glpX//dkgA//tauD//lpxP//mnmE//hisD//lpoA//folA//purA//apaH//adk//pheA//purD//pdxH//mhpA//cof//frdA//arsC//idnO//rsmE//ndh//glyA//speE//pabC//katE//cdsA//poxB//ydiO//gcl//cmoA//napC//ydiO//aceA//yfaU//trmA//guaC//mltC//rsuA//polA//glcF//araD//hchA//ldhA//
go_0006979_4	suhB//hemL//entF//patA//ilvN//gatY//napC//gabT//ampH//chbG//gadB//yfcG//lipA//ndh//acs//pgaD//leuC//ubiG//menC//srlD//dgcT//lpoB//mraY//yccX//metF//gadA//
go_0006986_5	wzb//
go_0006995_6	ubiC//hyi//
go_0007059_3	betA//murF//
go_0007062_4	
go_0007155_3	spoT//
go_0007165_3	uxuB//yieH//
go_0007234_5	
go_0007584_4	
go_0008033_9	aroE//cynT//rutB//ulaF//rffM//insI-2//ppiC//rlmL//
go_0008104_4	
go_0008152_2	serB//scpB//rnpA//gloC//lplA//sodA//ispH//thrA//lysU//tsaE//gstA//pta//mltB//menE//narI//paaG//ilvN//
go_0008156_8	
go_0008219_3	
go_0008272_6	ubiA//xylB//
go_0008295_6	rluC//napB//adiA//
go_0008299_5	epd//
go_0008360_4	murE//wzb//napB//yjcS//hemN//gloC//alr//gcvT//waaZ//phnO//glxR//
go_0008610_5	thrS//ldcC//ilvB//epd//
go_0008615_6	yfbR//garD//trmH//treF//katG//paaJ//hcp//
go_0008616_8	entH//ppx//truA//nanA//frlC//fadI//
go_0008643_6	prpD//xylB//tmk//dusC//lpxC//puuC//glcF//hcaB//gabD//waaS//recO//ppiA//nfi//hemC//mmuM//sgbH//glmU//rluD//
go_0008652_5	ilvC//panC//ssuD//alsE//thiC//selA//ruvA//ahr//
go_0008653_5	
go_0008654_5	gpmM//curA//amiD//rluB//
go_0009050_6	xthA//umpH//
go_0009052_6	mhpD//cysG//xapA//pfkB//mdh//entD//
go_0009056_3	mutY//
go_0009058_3	tdh//pdxA//tehB//aspC//
go_0009060_6	sbcB//rsmJ//puuB//thrS//rsmD//ilvN//glmS//
go_0009061_6	queF//ldtE//moaD//cobB//sucD//otsA//tauD//cysK//sbcB//rlmC//nadD//sucB//tehB//cyoE//leuC//polB//nth//puuA//mepS//ilvN//manA//
go_0009062_6	pfkA//
go_0009063_5	arnT//leuC//ulaF//
go_0009070_7	yjhG//
go_0009073_6	hycB//acpT//ilvH//dadA//aspS//pncB//fabG//cysH//mhpD//glcE//mobA//
go_0009081_5	dnaE//mnmG//
go_0009082_6	ybjI//pyrF//rluB//rluE//purN//frdD//hisB//
go_0009085_8	ybjG//
go_0009086_7	sdhC//asnS//aspA//ynfF//acpT//
go_0009088_8	mobA//acs//
go_0009089_6	rlmF//torA//lpd//moaE//trmL//speB//
go_0009090_8	gabT//hisF//murI//fadI//
go_0009092_7	gcl//
go_0009093_7	
go_0009094_6	frdD//dapA//opgB//
go_0009097_7	umpG//ruvC//iaaA//ansB//rlmG//
go_0009098_7	pgm//insI-1//der//gloC//ampH//abgA//
go_0009099_7	fadH//araD//yihS//abgA//fabB//pyrD//cdh//
go_0009102_6	ygjK//ydiF//rffM//polB//ansB//uxaA//surA//tsaB//maa//
go_0009103_6	nrfD//malZ//nrdF//glcB//guaC//nhoA//mltB//yigB//sthA//
go_0009106_5	fcl//
go_0009107_6	idnD//yihS//
go_0009108_6	coaA//
go_0009116_5	valS//glcE//
go_0009142_7	rluC//
go_0009143_7	fabG//
