# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	ansB//
go_0000025_7	glgA//
go_0000027_7	pgpC//coaA//ulaG//fabD//
go_0000028_7	pdxA//
go_0000032_8	dgcT//
go_0000041_8	aroD//
go_0000050_5	frdD//hemC//ilvC//yggF//speA//
go_0000053_5	aroB//
go_0000096_5	trpC//
go_0000101_6	csdA//
go_0000103_5	bioB//moaA//
go_0000105_6	tilS//speF//yeaG//metH//lpxC//nadD//queD//
go_0000160_5	nrdE//
go_0000162_7	rlmL//bioB//ubiA//citC//yegS//mltB//tdcD//nrdE//ydiF//
go_0000270_7	xylA//fabD//murG//putA//ygeX//coaA//murC//rlmH//cysK//nrdF//
go_0000271_6	rutE//
go_0000302_5	pphB//
go_0000303_6	aldB//entH//
go_0000305_5	
go_0000372_11	
go_0000413_9	ilvA//azoR//miaA//rluE//entF//tdcE//thiE//
go_0000453_8	etp//zwf//tdcG//hcaC//
go_0000455_9	orn//rsgA//citG//ubiD//truD//recF//rpe//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	ispA//
go_0000726_7	bglB//
go_0000731_7	folE//acnA//
go_0000737_7	
go_0000738_7	recG//murG//
go_0000746_4	
go_0000820_7	coaA//
go_0000902_5	
go_0000910_4	cysG//aroD//ogt//
go_0000917_6	
go_0000918_6	
go_0000920_3	pgsA//
go_0000921_6	
go_0000967_10	gluQ//
go_0001101_4	uxaC//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	gcvP//
go_0001510_5	gcd//ldtC//
go_0001514_8	birA//
go_0001522_7	cynT//add//acs//adhP//
go_0001558_5	
go_0001561_6	narH//
go_0001676_6	rfe//
go_0001680_11	chbF//
go_0001682_11	phnN//fabI//
go_0001731_7	
go_0001762_6	dgoA//
go_0001887_4	patZ//mobA//
go_0001896_5	rffT//
go_0002047_6	fumB//mcrA//
go_0002097_8	eutD//
go_0002098_9	phr//puuA//ilvN//cysG//
go_0002099_9	cpdA//paaK//
go_0002100_9	ribA//
go_0002101_9	panC//
go_0002128_7	ribD//
go_0002131_9	hisI//
go_0002132_9	queD//
go_0002136_10	mnmE//
go_0002143_9	gcl//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	mraY//
go_0002938_8	rutD//
go_0002939_7	rpe//
go_0002943_8	ppsA//
go_0002949_8	mnmC//gor//ruvB//
go_0003333_7	citX//fumB//kdsC//cysH//pyrF//rpiA//nanK//dnaQ//thiL//yigB//tpiA//nudB//panC//
go_0005975_4	cynS//nirD//proS//udk//miaB//tauD//katG//chbG//yfeW//patZ//der//aspS//allB//alkB//ubiA//lpxD//
go_0005976_5	napA//
go_0005977_6	sthA//
go_0005978_7	dsdA//trmL//dhaM//metC//
go_0005980_7	cdd//dhaL//rsmJ//
go_0005986_7	glpC//
go_0005990_7	prpD//
go_0005992_7	cysK//selB//
go_0005993_7	metF//malS//yagE//
go_0005995_7	add//
go_0005998_7	mepS//
go_0006000_6	rnd//
go_0006001_7	nanA//phnP//
go_0006002_5	puuC//trpC//puuE//
go_0006006_6	entA//pdeL//bioA//metH//rfbC//
go_0006007_7	argA//pgl//
go_0006011_5	serB//
go_0006012_6	metC//
go_0006013_6	rfaE//
go_0006014_6	wzb//
go_0006015_7	ldcC//recG//
go_0006020_5	fcl//
go_0006044_7	aroE//
go_0006046_8	nth//gloB//
go_0006047_5	ttdB//aphA//
go_0006048_6	purL//ulaF//psd//pphA//
go_0006053_8	glpK//
go_0006062_8	ddlB//
go_0006071_6	wzc//hemN//
go_0006072_6	mltD//
go_0006082_4	recJ//
go_0006083_6	mgsA//edd//yqhD//
go_0006086_8	entA//gltB//
go_0006090_8	scpB//glpD//gluQ//paoC//truC//ubiX//dgcM//
go_0006094_7	deoB//folX//purT//gcvT//otsA//ldtA//ybhA//galK//dosP//
go_0006096_6	tdcD//serA//hemG//lpxC//caiB//idnD//pdxA//tyrA//ynfF//eptA//puuC//ssuD//yjjG//
go_0006097_5	nrdF//purD//asnB//recO//glcF//
go_0006098_6	adk//ndh//clsB//mngB//pgl//
