# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:11:55 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/GOs/random_sets/gos_enzymes.txt
go_0000018_7	adeD//
go_0000025_7	lsrG//
go_0000027_7	mhpC//kduI//mgsA//aroF//
go_0000028_7	mraY//
go_0000032_8	bglX//
go_0000041_8	ydiF//
go_0000050_5	amyA//malZ//mhpC//ilvC//nrdF//
go_0000053_5	dinB//
go_0000096_5	garR//
go_0000101_6	coaD//
go_0000103_5	asnB//aroA//
go_0000105_6	cobT//glcF//rsmI//tktA//fadJ//pphB//tdh//
go_0000160_5	cobB//
go_0000162_7	glmU//tdcB//cheR//hyi//yajO//phnL//uxuB//nadC//paaH//
go_0000270_7	ybjI//cdd//paaE//galM//hisS//paaJ//deoD//uvrA//aphA//tsaC//
go_0000271_6	nrdA//
go_0000302_5	ldhA//
go_0000303_6	idnO//chbF//
go_0000305_5	
go_0000372_11	
go_0000413_9	rpe//fre//mutH//fabZ//fadI//dapB//ribE//
go_0000453_8	gmhB//paoC//nadK//waaY//
go_0000455_9	pheT//dut//fucK//lysC//paaJ//gntK//rnb//
go_0000462_11	
go_0000470_10	
go_0000478_9	
go_0000716_7	
go_0000724_8	
go_0000725_7	fadB//
go_0000726_7	gnd//
go_0000731_7	murE//deoC//
go_0000737_7	
go_0000738_7	gutQ//araD//
go_0000746_4	
go_0000820_7	gluQ//
go_0000902_5	
go_0000910_4	alaA//fre//hflX//
go_0000917_6	
go_0000918_6	
go_0000920_3	dxr//
go_0000921_6	
go_0000967_10	gloB//
go_0001101_4	dacA//
go_0001121_7	
go_0001123_8	
go_0001124_8	
go_0001407_7	mltA//
go_0001510_5	moaA//ahpC//
go_0001514_8	pldB//
go_0001522_7	kdgK//hinT//rluF//ribC//
go_0001558_5	
go_0001561_6	gatZ//
go_0001676_6	ydiF//
go_0001680_11	sodA//
go_0001682_11	menE//betA//
go_0001731_7	
go_0001762_6	ssuD//
go_0001887_4	cysD//astC//
go_0001896_5	waaY//
go_0002047_6	pgpC//torA//
go_0002097_8	ribE//
go_0002098_9	curA//tktA//dnaQ//uidA//
go_0002099_9	dgcM//guaB//
go_0002100_9	fumA//
go_0002101_9	narV//
go_0002128_7	mcrA//
go_0002131_9	dapF//
go_0002132_9	guaB//
go_0002136_10	rsmB//
go_0002143_9	mhpB//
go_0002181_7	
go_0002184_8	
go_0002188_6	
go_0002192_8	
go_0002937_9	aroG//
go_0002938_8	aldB//
go_0002939_7	paaZ//
go_0002943_8	hcaE//
go_0002949_8	pgi//dgoK//gcvP//
go_0003333_7	gltD//aroG//speD//tsaE//selA//mnaT//ugd//sucC//gntK//sbcB//narZ//ybjG//dgcZ//
go_0005975_4	yjcS//wzc//tnaA//zwf//der//mtlD//kbaY//ychF//birA//dadA//yidA//ispB//pfkB//yjhH//ulaE//cynS//
go_0005976_5	nfi//
go_0005977_6	thiL//
go_0005978_7	uxuB//rpiA//waaG//rutB//
go_0005980_7	mrcA//purC//hemE//
go_0005986_7	rfbD//
go_0005990_7	cysS//
go_0005992_7	paaE//hemD//
go_0005993_7	ung//hisD//eda//
go_0005995_7	nagK//
go_0005998_7	gloC//
go_0006000_6	citE//
go_0006001_7	fumA//cdh//
go_0006002_5	phnG//narH//relA//
go_0006006_6	mazG//paaG//csdA//lysC//dnaQ//
go_0006007_7	ahr//pagP//
go_0006011_5	ampH//
go_0006012_6	orn//
go_0006013_6	rlmG//
go_0006014_6	thiI//
go_0006015_7	deoA//dam//
go_0006020_5	trpA//
go_0006044_7	dhaL//
go_0006046_8	alsK//rutC//
go_0006047_5	truD//rlmB//
go_0006048_6	moeB//napA//tnaA//frdD//
go_0006053_8	purT//
go_0006062_8	kduI//
go_0006071_6	wzb//lsrK//
go_0006072_6	frmA//
go_0006082_4	yfbR//
go_0006083_6	treF//gatY//yjhG//
go_0006086_8	ddlB//metB//
go_0006090_8	trpB//trpC//ybcF//lsrK//mepS//aroG//nadE//
go_0006094_7	clsA//mgsA//gatD//acpH//dapF//rlmA//mhpA//dapD//trmO//
go_0006096_6	hycB//adhP//hypB//ddlA//ydiB//alaC//adiA//sdaB//rsmF//pdxK//btuR//aroK//rfbC//
go_0006097_5	pdxY//ulaE//rnpA//waaA//nadB//
go_0006098_6	pyrC//fre//lpxK//glgX//glpX//
go_0006099_4	gpmA//ung//ycjU//guaC//dgkA//rnpA//napC//paaB//rutD//mpaA//ubiE//cynS//mrdA//
go_0006103_5	narI//coaA//lpxC//phr//
go_0006104_6	yfbR//
go_0006105_5	citC//
go_0006106_8	clsC//
go_0006107_8	
go_0006108_8	clsA//gstA//nanK//leuC//
go_0006113_5	allC//alsK//
go_0006115_6	gntK//
go_0006124_6	
go_0006144_6	
go_0006145_7	hisH//
go_0006146_8	clsA//
go_0006148_9	apt//
go_0006149_9	glpX//
go_0006150_9	ynfH//
go_0006152_7	psd//trmI//eutB//yjjX//pyrG//
go_0006154_6	pgpB//
go_0006161_9	aroB//
go_0006163_6	fre//
go_0006164_7	nrdB//thiE//tauD//allD//
go_0006166_6	hisF//
go_0006168_7	glxK//cheB//
go_0006171_9	
go_0006172_9	slyD//
go_0006177_9	mhpC//
go_0006178_7	accB//
go_0006183_9	rutA//
go_0006189_10	rsuA//ilvH//
go_0006203_8	gluQ//cpdA//
go_0006206_6	csdA//eptA//caiB//
go_0006207_8	csdA//yagE//entB//preA//citE//
go_0006208_7	pepD//clsC//kdsD//glk//cobU//feaB//
go_0006209_6	speD//
go_0006210_8	mdh//
go_0006212_6	ldtC//manA//adhE//adeD//rrrD//tatD//pdeR//lgoD//glnS//aroE//
go_0006217_9	truB//
go_0006218_9	mepS//
go_0006220_6	ppx//
go_0006221_7	ssuE//rlmL//mobA//
go_0006222_9	
go_0006225_9	fadA//
go_0006226_9	dmlA//yigL//
go_0006227_9	fau//
go_0006231_9	ada//
go_0006233_9	amyA//
go_0006235_9	wecC//
go_0006241_9	frdA//
go_0006259_5	ydfG//hycB//ribD//
go_0006260_6	entE//mak//gmk//mobA//metH//ydiO//yqjH//
go_0006261_7	aes//glyS//trpB//
go_0006265_6	kdsA//nagZ//
go_0006266_6	der//hflX//leuB//
go_0006267_5	
go_0006268_9	epmC//menA//
go_0006269_6	putA//
go_0006270_6	
go_0006271_7	
go_0006274_6	
go_0006275_7	
go_0006276_3	cysH//frdC//
go_0006281_6	arsC//mrdA//ubiH//proC//metF//ubiC//ftsI//ftsI//alsE//rlmH//ubiG//gatY//pykA//maeA//rdgB//kdsD//ftsI//
go_0006283_8	
go_0006284_7	glpX//mhpD//gpp//gntK//ravA//waaH//
go_0006285_6	galT//phr//nrdB//yfiC//
go_0006288_8	cysN//nagB//
go_0006289_7	
go_0006298_7	ispF//ydiO//nudG//argB//
go_0006301_7	
go_0006302_7	putA//pldB//
go_0006307_8	murG//thrB//lplA//pabC//trpE//
go_0006308_6	yhdH//dmsC//tktA//bioA//
go_0006310_6	udk//galU//waaC//hdhA//tag//
go_0006313_4	rihB//
go_0006351_6	ispB//bcsA//
go_0006352_7	
go_0006353_7	
go_0006354_7	mhpC//
go_0006355_7	ilvE//
go_0006357_8	
go_0006364_9	mutY//aroK//metF//leuC//
go_0006378_8	nrdE//
go_0006396_7	ldtB//nudG//codA//argC//mltF//
go_0006397_8	garD//
go_0006399_8	cysG//rne//
go_0006400_7	sthA//tyrB//dut//pepD//hemE//
go_0006401_6	prpB//lyxK//allD//yjjG//rlmG//trpD//
go_0006402_7	galU//bacA//sdhA//yfiC//ndh//ampH//rihA//
go_0006412_6	ybhA//lpxM//queF//moaA//tsaC//
go_0006413_4	rsmC//
go_0006414_6	
go_0006415_7	solA//truB//
go_0006417_7	tehB//rihC//
go_0006418_7	fucI//pgpC//otsA//rrrD//phnN//entB//der//murI//leuC//ribF//gshA//
go_0006419_8	gapA//
go_0006420_8	pldB//
go_0006421_8	rutE//
go_0006422_8	entA//
go_0006423_8	queD//
go_0006424_8	hinT//ubiE//
go_0006425_8	pgpB//
go_0006427_8	xdhB//
go_0006428_8	argH//
go_0006429_8	aroG//
go_0006430_8	ydfG//ubiD//
go_0006431_8	dut//
go_0006432_8	tauD//
go_0006433_8	thyA//
go_0006434_8	acs//
go_0006435_8	kdsB//
go_0006436_8	hcaB//
go_0006437_8	dgcT//
go_0006438_8	cdh//
go_0006448_8	
go_0006450_4	lysC//amiD//folP//yieH//ygjK//rnpA//
go_0006457_3	metK//metF//argG//pdeL//mtgA//rfbD//rsmI//
go_0006458_4	
go_0006464_6	maa//idnD//rffG//add//rnt//folM//paaK//pgsA//
go_0006465_6	proA//psd//argS//
go_0006468_7	bioB//
go_0006470_7	murG//guaA//argC//yeiG//ydfG//
go_0006473_8	galT//
go_0006474_6	pflB//hdhA//gstB//
go_0006476_8	ilvE//
go_0006479_5	entA//carB//hisD//cobB//gloB//thiD//
go_0006486_5	waaH//
go_0006490_5	rihB//
go_0006508_5	mepS//fumA//bglB//fadH//ribC//ubiI//paaA//pbpC//tdh//rfbC//spoT//ygeX//luxS//rbn//lplA//folE//dmsA//purA//atoB//speG//rsmD//pgsA//prmC//sodA//prs//accD//cpdA//gmk//tcdA//cobS//arnT//rimK//ldtA//
go_0006515_7	lpxK//narI//cynS//paoC//hypB//pdxB//nudF//
go_0006517_6	solA//glk//
go_0006518_5	hemH//polA//
go_0006523_8	eutB//mhpD//
go_0006524_8	
go_0006526_8	paaB//menC//hypB//phnL//pgi//puuD//menD//
go_0006527_8	glpB//truB//rrrD//asnA//kdsC//
go_0006529_7	adhE//codA//
go_0006530_7	relA//puuB//mnmC//cdd//
go_0006531_7	gmd//
go_0006532_8	dnaE//edd//pagP//
go_0006535_8	yihV//lpxL//ahpC//
go_0006537_8	ileS//
go_0006538_8	lipA//rfe//
go_0006541_7	mnmE//nadA//ligB//ispA//rsmB//
go_0006542_8	betB//ddlA//
go_0006543_8	
go_0006545_6	rne//
go_0006546_6	sgbE//dfp//mnmA//
go_0006554_8	eutD//pykA//sthA//
go_0006556_5	ttdB//
go_0006559_6	ybhA//
go_0006561_6	recR//menA//
go_0006563_7	thiM//
go_0006564_8	trpS//dmsB//entA//eno//
go_0006565_8	nudB//puuC//uvrA//astC//mug//
go_0006566_7	rsmJ//
go_0006567_8	queF//tynA//mltA//mug//cpdA//ribA//wzc//
go_0006569_7	kdsD//
go_0006571_7	cmoA//pnp//
go_0006593_7	ygjK//
go_0006598_8	hisD//ppc//dgoD//
go_0006605_6	
go_0006612_6	
go_0006614_8	
go_0006616_7	
go_0006629_4	ispG//mug//
go_0006631_5	hycB//truB//cobB//sgbE//ddlA//
go_0006633_6	ubiE//lpcA//yciA//bioC//pgaC//menD//lpxD//citG//aspS//rfbD//lysS//
go_0006635_6	aldA//nhoA//dcm//dnaQ//waaG//alaC//luxS//pabB//clsC//glmS//dcyD//mobA//
go_0006636_7	
go_0006637_5	asnB//mnmE//malS//rluD//rutA//
go_0006646_7	
go_0006650_6	
go_0006654_7	rlmD//
go_0006655_7	treA//codA//
go_0006725_4	idnK//
go_0006729_6	proS//phnO//
go_0006730_4	yihV//rffH//glxR//
go_0006734_9	
go_0006740_4	
go_0006741_9	
go_0006742_8	
go_0006744_7	pabA//slt//der//astB//acnA//dapD//pcm//uxuA//plsC//pfkA//narH//gmd//
go_0006749_5	ung//recR//
go_0006750_6	waaC//menB//
go_0006751_6	sseA//
go_0006757_5	betA//
go_0006760_5	murG//
go_0006761_7	argA//
go_0006771_5	rhaD//
go_0006772_6	wrbA//ydfG//
go_0006777_5	torA//thiD//ahr//phnO//tag//
go_0006779_6	pdxY//paaE//rfbB//pgsA//asnB//
go_0006780_7	tynA//
go_0006782_7	trmD//rffC//pgaD//rlmA//
go_0006783_5	mug//ldtE//rnpA//frmB//prpD//folC//gudD//
go_0006790_4	ldtE//uvrC//panB//mrcA//edd//speD//ispH//cynT//coaA//gatZ//
go_0006791_2	fcl//csdA//pgk//
go_0006793_4	ftsI//recR//
go_0006798_5	paaJ//
go_0006799_5	citG//
go_0006801_5	rpe//waaU//relA//
go_0006805_4	tsaC//pphA//sodB//ftsI//
go_0006807_3	araB//ilvE//murQ//
go_0006808_4	rluA//
go_0006810_4	ydiF//lplA//folC//ubiD//puuA//bglB//suhB//prs//citC//gcvP//tmcA//xdhB//folP//rsgA//entA//mngB//alsK//coaD//nudG//dgcT//trmH//yfcF//caiB//lpxH//waaU//dgoA//dcm//apt//entD//dapA//ppiC//miaB//rfaE//ruvB//yieF//pgpA//glgB//glnE//glxK//aceB//yegS//pgaB//aroB//udp//mazG//ushA//atoB//mcrB//aspC//pykA//ravA//mutY//speC//rluC//pinE//phnM//dusC//ahr//yghU//cobB//lysC//insI-1//adeD//dxr//panC//araA//waaU//fabA//ilvE//nagA//ydiF//aroB//glgC//katE//speG//mutT//xapA//
