# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lpxD//guaA//
Ada-Methylated_pos	ampD//caiB//alkA//fadA//
AlaS-L-alanine_neg	tdh//
AllS-allantoin_pos	mutL//malY//atoD//
AraC-L-arabinose_neg	melA//lysU//nanA//deoC//purB//
AraC-L-arabinose_pos	aceB//moaA//ilvE//idnK//rutA//
ArcA-Phosphorylated_neg	astE//truB//ilvH//fabZ//yqjH//sucC//gapA//ubiC//ldtC//cadA//tauD//umpH//hyaC//chbF//frdB//sucB//glcE//ybjG//bioD//purN//ilvH//deoD//talA//cysK//malS//melA//cysD//preT//serA//glgP//tdcG//citF//fadH//dgcZ//uxaB//gltB//malP//tdcD//fadH//ansB//nagB//fadE//rutC//sdaA//gpmA//acs//trmD//metA//glgB//bioF//idnD//astA//zwf//malP//alkA//paaZ//gapA//dsdA//lpxA//ilvC//napC//citF//recF//serA//pta//cueO//melA//araA//
ArcA-Phosphorylated_pos	caiB//phnG//xylA//ogt//gutQ//aroL//paaG//sodA//fucK//hycE//cysK//fucK//folA//mhpB//pyrD//cysG//pflB//fadE//xdhA//entH//aldA//alkB//acs//gapA//aroG//nrfC//phnL//preA//argA//glcE//mtlD//glpD//pheT//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	metA//pncB//ackA//sufS//entC//fadE//moaA//fucA//citX//preT//tnaA//
ArgR-L-arginine_neg	allE//nrdA//cyoE//nanK//napH//dsdA//entC//bioD//glcB//phnP//mpl//prpB//trpB//udp//agp//purE//paaZ//speA//
ArgR-L-arginine_pos	metH//deoC//trpA//purH//alaS//
AtoC-phosphorylated_pos	phnJ//cyaA//pnp//
BaeR-Phosphorylated_pos	icd//ilvN//
BirA-bio-5-AMP_neg	araB//serA//betB//napH//nirD//
CRP-cAMP_neg	gadB//aldB//xylA//feaB//gnd//mutY//argH//sufS//glgC//thrS//purC//sucC//puuC//argB//ubiA//ynfH//rhaD//ulaF//metE//gltD//chbG//serA//ispE//fumB//uxaA//gcvP//bioD//guaB//tyrA//hycE//paaC//ilvI//entH//trpE//ogt//citD//citX//malY//phnP//gatD//recF//appA//sucB//acnB//fau//cysH//dkgB//mhpD//sucB//aldB//miaA//gutQ//purB//idnD//pck//garK//ilvI//tsaE//paaZ//bioC//aroG//phnP//fucO//xylA//hycB//dusB//sucC//tam//gcvP//purE//idnK//glpC//trpC//tdcE//chbG//ppiA//frdC//dapB//
CRP-cAMP_pos	glyA//argE//sufS//ahpC//mdh//astE//polA//betB//miaA//bcsB//tehB//zwf//cheR//patZ//phnJ//folE//ubiA//hycB//torA//bioC//garK//gutQ//ppiA//citX//metK//malY//glpA//cysK//metE//purA//fucU//dmsC//pdeF//citE//napC//trpE//nanK//rutA//phnG//iscS//malP//bioD//appA//waaH//lysA//frdA//dmsB//ackA//tdcB//trpE//tehB//fucK//melA//yeaE//pncB//napB//truB//acnA//rhaB//entE//avtA//gcvH//ppiA//dmsB//prs//purF//tadA//bioD//phnG//hyaC//acnA//cysN//glgA//xdhC//glpK//ndh//ogt//lsrF//pheS//fadE//pnp//moaD//psd//nrfA//gpsA//hycB//argB//malS//glpA//xdhC//rutA//argB//guaB//pgaD//metL//glpQ//uxuA//trpA//cysN//bioA//alaS//narH//bglB//xylA//aroA//gcvH//atoB//codA//bcsA//deoC//nirB//sdaA//ubiA//udp//epd//pgaD//polA//metB//nrdD//talA//sdhA//paaB//purN//lsrK//paaJ//guaA//carA//pagP//gabD//nagA//lysA//aceB//ilvB//prpE//metH//ilvG_2//rhaB//frc//mhpB//argB//aspA//gltA//rbsD//galM//murQ//aceB//miaA//galM//fucI//purE//bacA//mutY//ispE//napH//abgA//fadJ//pagP//ldtB//nanM//metF//purB//aceF//hycD//hflX//metL//xdhC//rhaA//lsrG//alkA//frdC//caiC//sdhC//prpC//metL//mhpA//napG//rhaD//phnJ//nrdD//guaB//metK//thrS//gapA//truB//ulaD//ssuD//dapD//astA//sdaA//ada//manA//paaA//chbG//frdD//uxaA//sdhA//malQ//rhaA//thrS//phnG//trpE//purE//narI//fucO//entB//ogt//gcvH//nanA//xdhB//prs//glcE//gcvT//puuE//purE//pncB//bioA//dmsC//ftnA//hypF//manA//ilvC//speB//yfeW//nanE//upp//glnA//tktB//cdd//aldA//mhpA//trpC//patZ//dmsC//torA//tdcE//atoD//argE//aceA//metF//paaK//galM//udp//astE//
ChbR-Monoacetylchitobiose-6P_neg	puuC//glgC//trpE//
ChbR-Monoacetylchitobiose-6P_pos	waaH//dnaE//metF//
CpxR-Phosphorylated_neg	metH//hycE//citC//
