# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	nagB//paaA//
Ada-Methylated_pos	narG//torC//sucA//uxaB//
AlaS-L-alanine_neg	phnN//
AllS-allantoin_pos	glpB//adhE//napH//
AraC-L-arabinose_neg	yeaE//mpl//argB//glnA//nirD//
AraC-L-arabinose_pos	paaC//idnK//sdhC//gabD//yfbR//
ArcA-Phosphorylated_neg	speC//galK//serC//ascB//speA//gltD//ispE//acs//aroL//ampD//glcF//glnA//deoB//ampD//hemL//miaA//serC//miaA//purF//trpD//prmC//rnpB//yjeF//pta//hypF//recF//folE//cpdB//malY//dapD//hemL//citC//feaB//cysH//dadA//prpD//tyrA//cynT//yfeW//ampD//cyoE//ubiX//glpA//gatY//uidA//aceE//ilvA//metB//prpE//caiC//betB//pagP//ackA//manA//paaZ//glpD//serA//kbl//hycD//agp//metF//bcsA//cdd//aceF//purE//ada//tadA//ilvN//
ArcA-Phosphorylated_pos	malQ//nagB//tdcG//rutC//ispE//cysG//uxuB//argC//glnA//ilvE//fabZ//glpB//araB//pheS//trpB//argA//bioD//glgP//purA//pyrC//xapA//glnA//speB//pck//gabD//pyrD//xylB//serA//caiA//rhaA//cysM//sucD//argC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	sdhB//ascB//entF//prpB//betA//hycF//aspC//fadD//tadA//paaZ//nrfA//
ArgR-L-arginine_neg	pdeF//gadB//folA//allD//gltA//yfeW//cadA//rnpB//katE//garR//pyrD//bioF//bioA//glpX//entE//nrfC//fucU//entC//
ArgR-L-arginine_pos	preT//glnA//ulaE//bacA//rutB//
AtoC-phosphorylated_pos	rutE//ndh//xapA//
BaeR-Phosphorylated_pos	argC//gatD//
BirA-bio-5-AMP_neg	ynfF//gpmA//tehB//garR//glpD//
CRP-cAMP_neg	mdh//tdcB//gcvT//glyA//feaB//cysG//eda//mutY//yfbR//eda//ubiX//argD//appA//sucC//ada//lpxB//ssuE//citX//speB//frc//purC//ugpQ//aroG//ilvI//acnA//caiB//glcE//citF//paaB//mhpE//ubiC//purF//astE//treC//hyaB//purK//dmsC//fbaA//rutA//aceA//paaF//atoB//aceF//alkA//xdhC//paaJ//allE//tyrA//cysD//purN//lacZ//gatZ//tnaA//gntK//sdhA//gcvH//guaA//aceA//sucB//allE//dkgB//nrdB//caiA//entA//gabD//fadJ//cpdB//napA//aceF//aldB//paaA//phnG//slt//glpQ//ulaD//trpA//purM//aroA//
CRP-cAMP_pos	gnd//malY//ada//purN//xdhA//sucB//purH//frdB//gadB//bcsZ//fumA//paaA//moeB//bacA//dgcZ//bioA//tadA//glcF//fbaA//lysC//prpD//fdhF//mhpA//ilvH//tsaE//citE//gcvT//ung//ldtB//kbaZ//nrdE//adhE//aceE//lsrG//hcp//gcd//araA//trmD//paaA//yfdE//cynS//betB//eda//phnN//mdh//betA//glpB//ilvA//truB//uxaA//allD//hyaB//entA//appA//metA//nrfC//bglB//ybjG//phnH//tehB//argD//entH//araA//frdA//ilvN//dsdA//fdhF//lysC//tdcB//entB//cynT//napH//rutB//idnD//astE//gdhA//mhpE//prpC//paaG//lysA//murQ//lpd//argD//hemA//trpE//glcE//citC//bglB//glcD//aceA//tadA//aroA//purD//phnJ//metA//galM//gdhA//napC//paaH//sodA//pyrC//sufS//fadA//paaC//gatD//fau//idnD//cpdB//allC//lysU//nrdE//cdd//torA//trmD//ynfG//ulaE//nrdA//tyrB//pheS//cysI//allC//manA//glpB//entD//dadX//pck//torC//nanE//galE//pagP//sufS//mhpC//purA//gnd//argH//appA//ubiX//araD//alkB//aspA//gpmA//xylA//serC//cpdB//lysC//phnO//pncB//bioF//lacZ//sucB//uxuB//napA//hmp//pdeF//rutC//ulaE//tsaE//cysI//speA//yfbR//speB//fumB//rhaD//purL//mhpD//uxaC//thrS//pheS//moaE//bioD//nanA//fadI//frdA//garL//mhpA//nanA//ynfE//astA//araA//araA//ilvB//hemA//fumA//carA//sdhB//lacZ//malQ//rhaB//astD//ftnA//araB//sucD//napC//ansB//preT//argE//nrdF//truB//ftnA//betA//nrfB//trpC//preT//trpA//ulaE//bglB//pyrD//pgaB//waaH//glpB//hpt//waaH//paaI//ubiA//ynfF//citD//deoA//mhpF//lldD//gdhA//paaK//argF//argE//pgk//uidA//ulaF//lsrG//metK//adhE//prpC//tdcE//fabZ//idnK//ssuD//moaA//argD//dadX//aceB//dmsB//glgC//napB//gcvH//gltA//
ChbR-Monoacetylchitobiose-6P_neg	paaJ//umpH//glyA//
ChbR-Monoacetylchitobiose-6P_pos	lacZ//frc//folA//
CpxR-Phosphorylated_neg	aspA//uxaC//yfeW//
