# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	dapB//pnp//
Ada-Methylated_pos	metE//ldtB//cynS//zwf//
AlaS-L-alanine_neg	metB//
AllS-allantoin_pos	fes//speC//dnaE//
AraC-L-arabinose_neg	nanM//argC//metC//betA//sucA//
AraC-L-arabinose_pos	puuB//glpA//ppiA//cyaA//ilvM//
ArcA-Phosphorylated_neg	rbsK//alaA//entB//araA//rhaA//rutA//gatZ//argD//mhpE//phnI//rutD//cysK//pheT//argG//dnaE//paaB//paaG//sodA//bioF//betB//pnp//alkA//sucA//fadI//allD//ynfG//citD//nanK//glyA//nrfB//gcd//amn//ilvG_2//citE//pagP//aroA//fucA//yjeF//puuB//glyA//bioA//hemL//glyA//paaF//glyA//betA//bioC//prs//frdC//prs//eda//bglB//feaB//narG//thrS//polA//ilvH//astA//frdC//puuB//sodB//ftnA//purK//ahpF//cysI//napH//gatY//dadA//
ArcA-Phosphorylated_pos	tsaE//cueO//srlD//phnM//upp//bcsB//trpB//gdhA//nrdA//tsaE//aceF//psd//melA//aroG//dapD//uxaB//pheS//citC//nrdE//hypB//ilvG_1//sucA//idnK//ynfH//purD//metA//sodA//araB//caiC//uidA//astC//dgcZ//metA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	lacZ//cheR//napC//katG//srlD//bioA//entB//phoA//slt//phnN//dapB//
ArgR-L-arginine_neg	feaB//ilvB//preA//yfeW//codA//nrfA//ilvG_1//carB//napA//cynS//edd//fau//gutQ//aldA//gcvP//cysH//tsaE//xylA//
ArgR-L-arginine_pos	yjeF//sodA//frdC//hyaA//uvrA//
AtoC-phosphorylated_pos	purK//napB//ilvG_2//
BaeR-Phosphorylated_pos	lpxD//argG//
BirA-bio-5-AMP_neg	sodB//nrdB//hyaA//ilvN//aroA//
CRP-cAMP_neg	ispE//abgB//pdeF//sdhA//avtA//rutC//citC//acs//argH//ndh//gatD//fucA//phnJ//narI//prpD//xapA//glgP//ilvG_1//astC//serA//xdhA//glcF//pta//katE//purH//nrfD//adhE//mpl//waaH//fucA//recF//zwf//ahpC//tsaE//glpE//folE//cheR//tsaE//nanK//aroH//paaA//cpdB//nirB//aroG//pgk//moeB//fadJ//cysC//napA//chbG//metL//bacA//entD//mutL//phnP//idnK//phnN//pgpC//gpmA//entF//moaE//phnL//miaA//moaE//ada//aspC//mhpE//yfeW//adhE//yqjH//mdh//bcsZ//paaI//sdhB//epd//mhpA//araA//mhpC//
