# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	tadA//mhpE//
Ada-Methylated_pos	pdeF//citF//trmD//gcvH//
AlaS-L-alanine_neg	astE//
AllS-allantoin_pos	ahpC//sodA//entC//
AraC-L-arabinose_neg	glcD//tdcB//gapA//moeB//yjeF//
AraC-L-arabinose_pos	pagP//gatY//lpd//folA//fadH//
ArcA-Phosphorylated_neg	ssuE//pagP//puuA//atoD//fumA//narH//alkA//purB//hflX//argA//ada//pdeF//fumA//argA//speA//udp//prmC//dadA//nanM//gcvT//fdhF//gpsA//gatD//trpC//purA//psd//upp//napH//garK//xylA//metL//metL//napA//ssuE//narG//fadA//idnD//fucU//amn//ilvG_1//tsaE//uxaC//astB//ansB//pgk//hycF//xylB//mhpB//tadA//cadA//astB//aroF//preA//bcsB//fucU//fadB//citG//glpA//ilvH//narH//gapA//moaD//nanK//pgaB//paaK//acnB//cyaA//aroA//
ArcA-Phosphorylated_pos	puuE//sdaA//torC//sdaA//yqjH//gatD//xylA//araA//slt//fumA//paaB//sucC//hcp//cpdB//rutB//preA//deoC//pgaD//nrdA//icd//gapA//argA//tauD//mutL//gltA//glgC//metC//ilvG_2//rutA//katE//rutB//ybjG//entF//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	polA//citC//ynfF//fucO//speC//lpxB//fadE//nrfA//aspA//ahpC//cysG//
ArgR-L-arginine_neg	pagP//mhpD//gapA//hycF//narI//hyaA//purA//mhpF//katE//aceE//paaA//fadI//trpD//yqjH//ldtB//alaS//tyrA//gcd//
ArgR-L-arginine_pos	fadJ//phnP//hyaB//phnI//araB//
AtoC-phosphorylated_pos	rhaA//ubiG//dsdA//
BaeR-Phosphorylated_pos	fucA//glcE//
BirA-bio-5-AMP_neg	ldtB//cysJ//ynfG//tyrB//lldD//
CRP-cAMP_neg	lsrF//bcsA//ppiA//atoB//lpxD//metE//trmD//ilvN//kbl//cynS//xdhC//hflX//bioF//phoA//yfeW//avtA//entC//malQ//malY//rnpB//guaB//malZ//cadA//prpE//glgP//atoB//slt//purM//tadA//uxaB//gcvT//tyrB//preA//rutA//entF//sodB//ilvM//acnB//paaZ//tadA//dapB//lhgO//hyaC//ilvM//hypB//glgX//tsaE//gltB//cysN//cysD//glpC//moeB//cheB//oxc//fumC//argA//galE//mutY//allE//ilvI//udp//metF//ppiA//hflX//pck//fabZ//araB//ldtB//mhpD//cysM//cysK//trpE//rhaD//thrS//mdh//frc//murQ//pdeF//
