# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rbsD//tdcB//
Ada-Methylated_pos	abgB//atoD//preA//gabD//
AlaS-L-alanine_neg	bioA//
AllS-allantoin_pos	ilvC//upp//trpD//
AraC-L-arabinose_neg	glgA//bioD//fumB//fucU//cysK//
AraC-L-arabinose_pos	purB//metB//glcF//ackA//murQ//
ArcA-Phosphorylated_neg	gutQ//bcsB//allE//ilvM//sodB//pta//pnp//recF//fadH//yjeF//hycB//glpX//tdcB//gltB//mhpA//dadA//melA//fucU//fadH//gltD//cyoE//ppiA//kbaZ//aroG//ahpF//frdB//ybjG//recF//cysG//prmC//ilvG_2//nirB//cysG//nanA//phnG//sodB//preA//glpC//metB//cheR//tdh//dapB//idnK//dmsC//speB//torC//ynfF//bcsB//ilvM//pgaC//icd//ssuD//dkgB//moaA//ynfE//truB//tauD//frdA//ilvG_1//fumA//frc//dgcZ//phnJ//allE//cysC//malQ//ndh//xdhB//
ArcA-Phosphorylated_pos	frdA//fucU//tehB//nanA//rhaD//ulaD//phnG//tdcE//lsrF//dnaE//rnpB//hemL//ascB//nrdA//malP//phnM//guaA//mtlD//glpB//citC//tdcE//gpmA//rutB//gltB//garK//hycF//nanM//purL//sodB//mpl//dmsB//yfbR//uxaA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	gatD//paaF//dapB//aldB//trpE//aceE//tdcE//puuC//gatD//nrdA//sdaA//
ArgR-L-arginine_neg	carA//dsdA//chbG//entA//yfbR//ahpF//tam//rutD//hmp//ilvD//citF//gabT//ackA//bioF//yeaE//pflB//ilvI//purN//
ArgR-L-arginine_pos	umpH//icd//citD//hemL//glgP//
AtoC-phosphorylated_pos	purN//carB//gatY//
BaeR-Phosphorylated_pos	melA//nrdA//
BirA-bio-5-AMP_neg	trpE//bioB//argI//tktB//idnK//
CRP-cAMP_neg	gadB//cysC//entB//puuE//cysN//nrdF//nadC//dgcZ//pdeF//nrfD//caiA//paaA//frc//pck//allC//citE//astB//astD//udp//dkgB//metF//ilvI//sdhC//lsrF//phnN//trpB//ugpQ//nrfC//tdh//fadH//argH//garR//narH//lsrF//mhpF//ilvG_1//cynT//glcE//astA//paaH//agp//ndh//mutY//nirB//aceB//betB//carA//ulaF//chbG//aspA//aroG//lacA//mhpC//napC//glgP//ansB//katE//ilvM//paaK//aspA//dsdA//aceA//metA//pgaB//pyrD//pgpC//citE//agp//iscS//citD//fadH//melA//dadX//kbl//galK//argD//moaA//idnK//
CRP-cAMP_pos	idnK//mhpD//ilvI//nanA//mhpE//gapA//betB//gutQ//citG//cysJ//paaG//talA//ilvD//bcsB//glpX//argI//trpB//gatZ//lpxD//ilvE//fes//gutQ//psd//nrdB//dgcZ//gcvH//pgk//fadJ//ulaD//fau//puuE//tyrB//deoA//paaZ//fes//upp//malP//purF//tdh//gatZ//ilvD//ulaE//entF//puuA//fumA//dmsA//uxuA//torA//abgA//glpB//allD//ubiC//hyaA//fabZ//prpD//glpC//puuD//icd//sdhA//katE//glgA//bioF//malY//glcD//glcF//melA//deoD//galM//ilvI//rhaD//sdaA//gltD//uxuA//mpl//lacZ//glpK//gnd//gntK//gpmA//galT//fdhF//mpl//fumB//metL//ilvM//aceA//puuB//glpQ//bioC//lsrF//mdh//tktB//galE//cysJ//uvrA//glgX//narG//hemA//rhaB//nagB//cynS//xdhB//dusB//entF//treC//napG//fadI//mhpA//phnH//tsaE//paaB//hpt//tdcD//bioD//hypB//phnM//allD//cyaA//galM//glpQ//tauD//paaG//ynfH//treC//gabD//deoC//mhpE//lysU//aroG//gcd//galK//zwf//ilvH//hycG//ilvD//lpxA//phoA//nagB//mtlD//rutA//entB//napH//napC//glnA//paaJ//codA//pgk//xapA//nanK//tauD//tdcD//appA//mhpA//entA//miaA//lsrG//bioD//napG//paaF//atoD//cysN//ulaD//caiB//hycF//ogt//phoA//cpdB//appA//puuE//pgaB//bioB//fabZ//acnA//malS//mhpB//argA//mhpC//paaE//katE//nrdE//glpC//glpA//sucB//pflB//glpA//adhE//ulaD//citX//fucI//yjeF//ilvM//fucA//nrfD//ulaF//cynS//purE//dapB//nrdF//rhaA//galT//nrdD//rhaD//frdC//thrS//pheT//gltA//trmD//cpdB//bioB//gltA//tnaA//trpE//sdhC//nrdA//allD//trpE//astA//mhpE//aspC//uxuB//paaF//bcsB//phnH//nanA//truB//entA//nanM//acs//chbG//napG//cheB//ilvB//citE//trpB//codA//uxuB//idnO//speB//lysC//bioC//hycC//rutB//ynfH//
ChbR-Monoacetylchitobiose-6P_neg	fadH//purL//puuB//
ChbR-Monoacetylchitobiose-6P_pos	allE//lpxD//purC//
CpxR-Phosphorylated_neg	pyrC//rutB//murQ//
CpxR-Phosphorylated_pos	tsaE//tam//nirD//metC//xdhC//feaB//truB//phnN//fbaA//preT//bcsA//malP//rbsD//nrdA//tyrB//preA//galE//idnD//tsaE//
CreB-Phosphorylated_neg	guaA//
CreB-Phosphorylated_pos	adhE//dmsB//
CueR-Ag_neg	galT//gpmA//
CueR-Ag_pos	bioA//uvrA//
CueR-Cu+_neg	lpd//nanE//
CueR-Cu+_pos	uidA//napB//
CuerR-Au_neg	ilvN//tdcD//
CuerR-Au_pos	aldB//cysD//
CusR-Pasp_pos	ilvD//nrfC//purC//
CynR-Cyanate_neg	
CynR-Cyanate_pos	argE//mutY//fes//
CysB-N-acetyl-L-serine_neg	mhpF//ilvN//miaA//
CysB-N-acetyl-L-serine_pos	zwf//nadC//bioB//citG//argI//entB//purE//sdhA//metA//sdaA//rnpB//pyrC//mutY//
CysB-O-acetyl-L-serine_neg	agp//glpB//lsrK//
CysB-O-acetyl-L-serine_pos	gpmA//argF//ilvC//araA//ynfG//galK//metA//pflB//lsrK//murQ//trpB//metK//trpD//lpxB//
DcuR-Phosphorylated_pos	slt//citE//lpxA//hycC//
DnaA-ATP_neg	hycB//thrS//hpt//lpxB//gutQ//
DnaA-ATP_pos	trpE//cpdB//glpB//
DpiA-Pasp_neg	
DpiA-Pasp_pos	pgaD//acs//garL//gatY//ndh//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pyrD//nrdD//
EvgA-Phosphorylated_pos	mpl//gcvP//malZ//moeB//xdhA//
FNR-Fe_neg	polA//gatD//hycF//paaH//miaA//serA//abgA//glcF//recF//ynfG//purC//dnaE//trpC//glgB//sucD//napA//argA//fucO//carB//aldB//amn//purM//dkgB//prpC//tehB//allD//lacZ//citE//ndh//tdcG//waaH//melA//trmD//puuD//iscS//lysC//uxaB//guaB//purD//eda//ppiA//pyrD//ansB//fadI//gcd//pgaD//purB//
