# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lacZ//ynfH//
Ada-Methylated_pos	napA//purM//gnd//dkgB//
AlaS-L-alanine_neg	nrfA//
AllS-allantoin_pos	lacZ//frdD//ahpF//
AraC-L-arabinose_neg	lsrK//caiA//nirB//bcsZ//prpD//
AraC-L-arabinose_pos	ilvG_1//bcsB//uxaC//glpE//trpE//
ArcA-Phosphorylated_neg	cysI//prpE//phnM//allE//dmsC//tyrB//yqjH//fumC//tdcE//hypF//caiA//uvrA//moaD//tktB//purB//phnJ//deoD//galM//speB//lacA//nagB//malQ//manA//hycF//hycB//glpC//ubiX//preA//nrdD//fadJ//cynS//pflB//hycE//avtA//agp//thrS//ynfF//lacZ//phnM//ldtB//fbaA//appA//aspC//rhaA//glgA//citF//ilvM//trmD//ilvA//fucI//preA//hycD//gltB//cpdB//speA//entC//argI//cheB//pdeF//betB//mltC//sufS//nrdD//aceB//hpt//ubiA//lysU//prpB//
ArcA-Phosphorylated_pos	malY//fadE//gnd//mutL//yqjH//phnO//avtA//trmD//fabZ//glpD//gnd//garK//narH//frdD//gltA//aroL//glpB//frdB//dmsB//lacZ//atoA//glpC//gatZ//argC//nrfA//prpD//sdaA//lpxB//ynfH//mdh//ahpC//phnJ//galT//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	ilvA//ulaE//garL//ogt//glpB//guaA//sucC//ulaF//hemL//pheT//entH//
ArgR-L-arginine_neg	ugpQ//hyaC//prmC//caiB//glgX//bcsZ//paaF//citE//sucD//lpxD//prpD//argD//trpB//murQ//xylA//cysN//melA//galT//
ArgR-L-arginine_pos	araD//epd//hemL//hycG//phnI//
AtoC-phosphorylated_pos	ahpC//glgA//glcB//
BaeR-Phosphorylated_pos	araA//gdhA//
BirA-bio-5-AMP_neg	argA//fadB//araD//gnd//cysN//
CRP-cAMP_neg	prmC//araD//hycC//trpA//ascB//phnG//fadE//speA//napB//entC//gadB//phnI//bioF//puuC//citD//entD//citC//katG//avtA//bacA//fadE//paaJ//trpC//fadH//gcvT//nagA//murQ//nrdA//dadX//prpE//psd//glpC//cysH//prs//agp//cynS//hcp//nanA//citX//uxaC//ansB//sdhB//ilvH//patZ//ugpQ//frdB//astB//glpD//caiB//gadB//torA//betA//rdoA//torC//prmC//glcB//hycF//ubiC//tdcE//katE//aceE//argC//ung//lysC//rnpB//mhpD//speC//nrdD//nanE//fadE//uxaC//entD//ynfG//trpD//fucI//pdeF//chbF//phnJ//
