# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	manA//nadC//
Ada-Methylated_pos	nrdA//fadE//ybjG//entF//
AlaS-L-alanine_neg	zwf//
AllS-allantoin_pos	paaI//nanA//cysH//
AraC-L-arabinose_neg	entF//ampD//astE//cyaA//aspA//
AraC-L-arabinose_pos	phnN//moeB//adhE//astB//rhaB//
ArcA-Phosphorylated_neg	garK//dadA//xdhB//astE//xylB//hpt//sodA//yfeW//preA//puuA//ubiX//glcD//lacA//patZ//trpC//nagA//adhE//napG//yfeW//cysJ//fbaA//aroH//metA//umpH//katE//moeB//tdcE//metB//gcvT//cysN//citF//astA//citF//recF//malP//cysD//cpdB//fadH//preA//garK//allE//lhgO//bcsA//cysD//katG//cysD//puuD//nrdF//yfbR//folA//torC//deoD//aspC//aspC//miaA//garK//napG//dusB//preA//gapA//paaA//mhpD//sdhB//galK//purK//bcsA//xdhA//ampD//
ArcA-Phosphorylated_pos	argI//ppiA//lsrK//gatZ//purK//gcvP//speB//citE//torA//hycG//agp//sodA//fadJ//caiB//ogt//trpA//speA//folA//uxaC//alkB//yjeF//mhpD//gabD//glcF//argG//pdeF//acnB//prpD//yqjH//galK//tam//glcD//phnI//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	xapA//fucI//gntK//galE//rdoA//idnO//sdhD//mdh//appA//astB//fadI//
ArgR-L-arginine_neg	fadJ//pheT//psd//puuB//mhpE//glpC//sodA//purK//frc//hycB//tam//nrfC//fadD//lsrK//sodA//lsrK//citG//sodB//
ArgR-L-arginine_pos	nrdB//frdB//chbG//gatD//moeA//
AtoC-phosphorylated_pos	gutQ//ahpC//yfdE//
BaeR-Phosphorylated_pos	ansB//bacA//
BirA-bio-5-AMP_neg	tdcD//sucD//alkA//rutA//ubiX//
CRP-cAMP_neg	cheB//cysK//lsrF//dadX//hyaA//purM//metA//uxuA//napA//aroA//pnp//gpsA//serC//bioD//purH//mtlD//cysK//aroF//dapD//sdaA//trpD//frdC//gltB//ascB//deoC//lsrF//hycB//phnM//napB//dmsC//tadA//adhE//tyrB//zwf//trpC//citE//epd//glnA//moeB//pncB//ilvE//guaB//nagA//galE//glpD//xylA//metK//hycC//cheB//uxaC//glpC//phoA//fumA//deoA//dapD//fadE//napH//garL//cysN//psd//gadB//paaF//xdhB//cynT//nanA//glgX//ftnA//uxuA//ilvD//napC//pgaB//aceE//mhpC//argH//entC//ynfF//bioC//garL//
CRP-cAMP_pos	cyaA//mutY//moeB//amn//cysD//gcvH//garL//metB//icd//atoD//metF//glgA//preA//deoC//epd//cheB//glcF//alkB//nanE//kbl//puuB//ilvC//sdhD//fadJ//cysJ//paaJ//lacA//bioD//gpsA//yfbR//glpC//puuD//idnD//ilvC//tdcE//cysI//tdcD//lpd//gatZ//galT//yfbR//metB//bioF//sucD//pagP//phnN//paaB//ilvG_1//napB//ilvG_2//fes//nirD//hycD//hycF//folE//malY//araD//nrdE//mhpC//upp//aroH//upp//alaA//treC//mtlD//prmC//tdh//chbG//yfdE//ilvG_1//napA//puuC//ssuD//citC//deoC//nrfC//srlD//garL//galT//fumA//fadI//glpB//recF//fumB//gabT//dnaE//phnL//purC//ahpF//oxc//gntK//purB//argA//nanE//caiD//carB//fes//speC//aceF//frdC//glgA//nagA//mtlD//phnL//puuB//lysU//lpd//paaH//mtlD//sodB//gcd//gadB//glgB//fabZ//phnJ//hycF//napC//phnN//uxaC//ynfF//argB//cynT//pgaC//mhpA//hycD//glpC//lpd//nrfC//uxaA//preT//dmsC//gatY//ilvG_2//gabT//hypB//mpl//purM//hcp//sucD//napH//yfbR//aldB//glpQ//frdB//carA//hflX//pncB//yqjH//slt//avtA//zwf//phnI//moeA//xylB//gatZ//ung//murQ//garL//yfdE//gatZ//pheS//aspA//mhpD//paaF//allD//malS//entB//xdhA//malY//aroF//pdeF//argH//aldB//ampD//narH//ilvH//cyoE//paaC//aroL//metF//cpdB//gcvT//cysM//fadJ//chbF//argE//ynfE//allC//aspC//ilvM//fadD//garR//ftnA//frc//rhaD//mhpC//aspC//moaA//napG//rutE//astE//glpX//ilvN//hycD//cyoE//hypB//fucA//mutL//tehB//manA//puuE//cysG//hyaA//tdcD//gabD//aspC//metB//hycC//paaZ//aldA//glpA//pheT//dkgB//sufS//aroH//tdcG//galK//cynT//gatD//mhpB//fadA//cheR//paaF//adhE//gatZ//gatZ//alkB//hmp//glcF//katG//deoD//gdhA//fucA//
ChbR-Monoacetylchitobiose-6P_neg	rutC//ubiX//entA//
ChbR-Monoacetylchitobiose-6P_pos	rnpB//argF//sdaA//
CpxR-Phosphorylated_neg	bcsZ//cynT//lacA//
CpxR-Phosphorylated_pos	nanM//frdB//moaD//thrS//phnJ//argB//tauD//ilvC//purA//frc//dmsC//cysN//nanE//gltB//lpxA//cysM//ftnA//ubiA//purE//
CreB-Phosphorylated_neg	pgk//
CreB-Phosphorylated_pos	glgA//idnK//
CueR-Ag_neg	yeaE//fucO//
CueR-Ag_pos	pncB//gatD//
CueR-Cu+_neg	araB//citG//
CueR-Cu+_pos	lysC//serC//
CuerR-Au_neg	cdd//astD//
CuerR-Au_pos	paaK//preA//
CusR-Pasp_pos	entC//psd//lpxB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	bioD//astD//yfbR//
CysB-N-acetyl-L-serine_neg	pta//gntK//ada//
CysB-N-acetyl-L-serine_pos	tadA//trpA//ubiC//citG//araA//moaD//gltA//ynfH//pyrC//lysA//cysJ//ynfF//sdaA//
CysB-O-acetyl-L-serine_neg	aceA//sucB//nrfD//
CysB-O-acetyl-L-serine_pos	prpC//allE//gadB//acnA//aroG//argF//amn//rhaA//pheS//sdhA//astA//pyrC//prpB//sdhD//
DcuR-Phosphorylated_pos	purK//ftnA//frc//hemL//
DnaA-ATP_neg	rbsK//trpC//cysH//sucA//sucC//
DnaA-ATP_pos	araA//nrdD//caiD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sucB//sufS//deoC//speA//alaS//
DsdC-D-serine_neg	
DsdC-D-serine_pos	sucC//tktB//
EvgA-Phosphorylated_pos	moaD//srlD//lpxB//nrfC//gabT//
FNR-Fe_neg	fadI//bioD//cheB//pdeF//prpC//lysA//mhpA//pyrD//sdhC//gpmA//hemL//phnJ//cysK//gntK//pck//malS//argD//ahpF//dmsB//araD//pta//cdd//gatD//metK//fucA//guaA//gcvH//thrS//galK//murQ//sdhB//patZ//garL//sdaA//psd//ilvN//puuB//frdD//ulaE//agp//dnaE//paaG//agp//glpD//glgC//glcB//miaA//
FNR-Fe_pos	speC//argC//bioF//argH//citC//astD//fadA//bioC//aroG//appA//purL//dkgB//phnO//gabT//slt//trpD//nirD//paaG//argH//rbsK//argI//araA//mhpA//galK//gapA//garK//glcF//yfbR//allC//ahpF//dmsB//prpB//ilvG_2//mtlD//lysU//ybjG//cysJ//caiA//kbl//phnP//glpC//caiD//ampD//tdcG//metL//tdcE//hycG//lysC//nanE//rdoA//galM//frdB//rutE//entC//fucU//ispE//codA//caiC//malP//glpX//manA//phnJ//araA//cysD//pdeF//entF//alaA//cynS//allC//ogt//phnL//aceB//uxuB//ubiX//moaE//trmD//phnP//allE//xylB//purM//xylA//garR//slt//aroL//tdcE//lpd//paaA//nanK//paaC//phnL//glpK//entD//
FhlA-Formate_pos	epd//frdD//fau//hycE//prpD//mhpB//argC//
FucR-L-fuculose-1-phosphate_pos	abgA//entC//lacA//gabT//pgaC//pgk//
Fur-Fe2+_neg	murQ//cysN//napG//mhpB//alaA//purD//nrdD//bcsB//prpC//cdd//sufS//glpQ//galT//paaG//hcp//argB//nrfC//fucU//icd//entF//ogt//bioB//pheS//sdhD//trpB//treC//edd//lsrF//tdcB//thrS//rutE//treC//bcsZ//pheT//rhaB//sucA//cdd//fumC//aroH//galK//glgC//paaG//aspA//tdcG//fumA//gadB//icd//xdhA//paaK//malQ//dapB//melA//alkB//nanK//folA//yjeF//glpE//nrdB//argG//
Fur-Fe2+_pos	argI//speA//gutQ//galT//prs//slt//betB//trmD//caiC//bioC//hycE//tdcB//aceF//nrdE//fadJ//chbG//feaB//malP//pck//puuA//
Fur-Mn2+_neg	paaF//yfdE//napA//caiD//puuA//ansB//cysD//glpX//ilvD//preA//eda//purH//phnM//nadC//ackA//hcp//pheS//moaA//aceB//cysC//hflX//lpxA//xylA//eda//cdd//ahpC//garR//fbaA//ilvA//ada//ssuE//purH//purF//phnO//guaB//aldA//katG//gltA//lysA//lpxA//nanA//speC//nrfD//napH//abgB//caiB//fumB//ilvI//malY//argI//ascB//ilvI//garK//uidA//narG//hpt//citG//purE//uxaA//
Fur-Mn2+_pos	tdh//fadE//pflB//metF//kbl//cueO//adhE//truB//waaH//citF//metF//aceE//glgB//pgaD//napA//xdhC//torC//yjeF//frdA//torA//
GlcC-Acetate_neg	
GlcC-Acetate_pos	recF//glpK//mutY//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	pagP//aroG//ansB//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	hflX//napH//deoA//
IdnR-5-ketogluconate_neg	paaC//malS//
IdnR-5-ketogluconate_pos	ilvN//rnpB//cysG//caiD//
IdnR-Idonate_neg	acnA//cueO//
IdnR-Idonate_pos	ssuD//cysH//malS//metK//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	prs//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	udp//
IscR-2Fe_neg	ilvH//kbl//rbsK//talA//nirD//
IscR-2Fe_pos	purK//pta//
LldR-L-lactate_neg	speB//dgcZ//
LldR-L-lactate_pos	aceF//caiD//
Lrp-Leucine_neg	gabT//purK//nanA//ynfE//tdh//frc//mhpC//ilvN//rutD//pck//fucK//entA//pheT//metK//tktB//hycE//mpl//tdcE//nanK//dnaE//tyrB//patZ//paaZ//prmC//
Lrp-Leucine_pos	pyrD//tdcD//abgA//pheS//pyrD//pta//pgpC//moaD//purF//lysA//cysI//trpB//betB//rutD//araA//malY//paaH//pflB//
LsrR_neg	nanA//frc//tdcD//fumC//garL//
MalT-ADP-Maltotriose_pos	napC//sdhB//phnL//purM//gpmA//paaZ//
MalT-Maltotriose-ATP_pos	argB//lsrF//aceB//carB//polA//yeaE//
MelR-Melibiose_neg	bioF//astE//
MelR-Melibiose_pos	dkgB//trpA//
MetJ-S-adenosylmethionine_neg	upp//entB//citX//speA//galE//kbaZ//uxuB//aldB//treC//argA//
MetR-L-homocysteine_neg	araB//
MetR-L-homocysteine_pos	citX//polA//napC//tdcG//
MhpR-3-DHPP_pos	lldD//acnB//moaD//lpxA//paaF//sdhA//
MhpR-3HPP_pos	cysH//carA//preA//phnH//dapB//rutC//
MntR-Cd2+_neg	gntK//
MntR-Cd2+_pos	fucO//
ModE-MoO42-_neg	folE//fumC//fadI//glcB//lpxA//ilvI//lldD//recF//
ModE-MoO42-_pos	katE//astC//ldtC//deoD//metL//kbl//
