# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	sucA//moeB//
Ada-Methylated_pos	umpH//tsaE//fucI//icd//
AlaS-L-alanine_neg	pgaC//
AllS-allantoin_pos	prs//hycG//dusB//
AraC-L-arabinose_neg	nrfD//glpE//lhgO//amn//ppiA//
AraC-L-arabinose_pos	amn//garK//tktB//trmD//fadA//
ArcA-Phosphorylated_neg	upp//bioA//acnB//fau//araD//recF//icd//gatZ//acnB//argH//phnP//cynT//argG//prmC//metL//ilvD//puuE//caiB//fucK//fdhF//citG//tnaA//xdhA//sdhA//ada//paaA//pheT//yjeF//gatY//acnA//rhaD//fucA//mutY//deoB//purA//dmsC//aroL//yfbR//aceA//ilvG_1//phnH//nrfD//fucA//moaA//glpB//ilvM//nrfC//ilvB//gutQ//deoB//ynfG//entA//argA//glpX//lsrG//gltB//frdC//ilvH//pagP//paaE//thrS//fau//hyaC//fes//cyoE//alkB//glpQ//glpC//
ArcA-Phosphorylated_pos	hflX//nanK//ynfE//fumA//prpE//gcvT//gcvP//malS//glpX//aldA//deoC//napG//acnB//puuD//gabD//bioA//yjeF//nanM//dapB//guaB//lldD//cheR//ssuD//tnaA//narH//allE//araA//fadJ//astE//nrdB//metE//treC//dusB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	mhpC//xdhB//agp//trpC//fucI//carA//ahpF//zwf//moaA//argA//dkgB//
ArgR-L-arginine_neg	rhaB//nrdA//lysA//deoC//garR//glgX//pgk//paaZ//pflB//ogt//puuD//codA//galT//frdC//citD//cysN//ilvI//lpd//
ArgR-L-arginine_pos	avtA//purA//cysD//glcF//aroG//
AtoC-phosphorylated_pos	uxuB//betB//fdhF//
BaeR-Phosphorylated_pos	garL//paaH//
BirA-bio-5-AMP_neg	ogt//aroH//gcvP//feaB//garR//
CRP-cAMP_neg	rhaB//mpl//trpE//aspA//hycC//cpdB//aroG//hyaB//araA//uvrA//trmD//ubiG//bioB//cdd//iscS//aroH//metL//nrdE//ackA//bioA//dmsC//ahpF//fbaA//purC//fadD//metA//dnaE//zwf//purN//pncB//alaS//allC//ynfF//rhaA//glcB//nagA//ynfF//deoA//folE//purM//hypF//fadH//atoA//entE//tehB//frdB//recF//mdh//garR//deoD//hycB//glpC//glpC//cysC//fes//cynT//sucC//slt//rbsK//yeaE//prpB//argH//hyaB//hflX//hemA//paaG//ada//malQ//gabT//bioA//serC//mpl//purK//prpB//entA//ilvI//ppiA//treC//
CRP-cAMP_pos	preA//agp//hyaC//pgk//ubiX//serA//metB//appA//ahpC//nadC//hycG//cheR//mutL//argD//ilvG_1//ubiC//argA//narI//phnG//codA//dnaE//metH//sdhD//dapB//deoB//ahpC//ldtB//argE//ilvE//katG//ybjG//ldtC//xapA//cdd//eda//hycE//pgk//moaD//ung//pgaC//ada//xdhB//moeA//fadJ//cadA//aceA//kbaZ//thrS//deoA//miaA//pdeF//tsaE//dusB//talA//argH//pdeF//citE//gabD//argG//idnK//ulaE//moaD//aroH//xdhA//lacZ//nrdD//purF//atoD//lysU//caiA//araB//moeA//murQ//trpD//hycD//lpxB//cheR//lysC//nagA//rbsK//gpsA//yfbR//galM//malZ//glnA//ahpF//aceB//lldD//tdh//pyrD//feaB//gltD//metF//fadA//serA//nrfA//nagB//paaJ//aldA//ada//avtA//ubiG//ahpC//purC//gabT//amn//galK//napB//argE//metF//paaC//araD//trpD//lysC//ispE//tdcE//ahpF//metC//narG//argF//narH//lpd//tdcE//purE//aspA//purE//ilvC//astE//araA//prs//ackA//nirD//mltC//metE//napG//ilvI//paaA//fucA//ansB//dnaE//glpB//nagA//idnO//trpD//srlD//citX//nrdD//purM//paaK//fes//gutQ//hyaA//deoC//dapD//nagA//xylB//dmsB//uidA//treC//alkB//fumB//cynT//narG//ulaE//gcvH//tsaE//avtA//mhpA//prpD//ispE//acnB//rutC//pck//entH//napG//cynT//purB//malZ//folA//gcvP//trpE//fbaA//fes//rhaD//phnG//carB//sufS//metC//trpC//allC//hyaB//aroA//narG//ogt//glpX//melA//galT//hypB//idnK//bioA//purL//glpC//frdA//hypF//trpB//phnP//malY//phnO//ascB//gatD//nrfC//hycE//gatD//torA//citE//ilvB//lacA//hmp//napG//serA//eda//lpxA//fadJ//mpl//ssuE//fumC//ftnA//gdhA//metE//moeA//puuE//icd//abgA//waaH//lpxD//chbG//nagB//ilvA//nrdB//glnA//nrdB//acnA//dkgB//
ChbR-Monoacetylchitobiose-6P_neg	phnH//tadA//fadB//
ChbR-Monoacetylchitobiose-6P_pos	astE//pck//purL//
CpxR-Phosphorylated_neg	ldtC//miaA//torA//
CpxR-Phosphorylated_pos	gpsA//cysC//narH//fadA//atoD//cueO//slt//argC//tyrB//uxuB//nirD//sdhC//mhpB//mhpB//phnL//katE//ssuD//fadB//upp//
CreB-Phosphorylated_neg	entB//
CreB-Phosphorylated_pos	metC//glcB//
CueR-Ag_neg	guaB//gabD//
CueR-Ag_pos	pheT//garR//
CueR-Cu+_neg	cyoE//pflB//
CueR-Cu+_pos	malZ//fabZ//
CuerR-Au_neg	nanM//ubiG//
CuerR-Au_pos	tdcE//ung//
CusR-Pasp_pos	cueO//frdD//glcE//
CynR-Cyanate_neg	
CynR-Cyanate_pos	ilvA//hycB//paaI//
CysB-N-acetyl-L-serine_neg	tnaA//paaI//araB//
CysB-N-acetyl-L-serine_pos	aroH//fdhF//dmsC//edd//aldB//atoD//pgaB//cysD//udp//purC//ilvE//aroF//rhaD//
CysB-O-acetyl-L-serine_neg	citX//rnpB//agp//
CysB-O-acetyl-L-serine_pos	hmp//eda//nirD//mhpF//sucC//ispE//lacA//xapA//napH//citF//purF//glgC//prs//ung//
DcuR-Phosphorylated_pos	ubiG//preT//tsaE//cdd//
DnaA-ATP_neg	cysI//uxuA//argG//galM//garR//
DnaA-ATP_pos	astB//paaH//appA//
DpiA-Pasp_neg	
DpiA-Pasp_pos	fumA//glpX//deoC//gdhA//nrfA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	abgA//phnP//
EvgA-Phosphorylated_pos	caiB//glpK//uvrA//tdcG//torA//
FNR-Fe_neg	glpC//metA//dnaE//caiD//hycC//cysD//phnN//srlD//gcvP//betA//hycD//uxaC//mtlD//paaH//hyaB//glpQ//tam//cysG//amn//paaA//hyaA//udp//abgB//hyaA//xdhA//paaC//metC//rnpB//pyrD//uvrA//galT//ilvB//paaG//moeB//hmp//argI//narH//purK//deoC//frdB//citX//aceB//trpE//galK//ackA//glcE//acnA//
