# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	mutY//malP//
Ada-Methylated_pos	trpB//phnH//hypB//moaA//
AlaS-L-alanine_neg	aroG//
AllS-allantoin_pos	moeB//ilvC//agp//
AraC-L-arabinose_neg	hycG//astE//oxc//cheR//ldtC//
AraC-L-arabinose_pos	allE//paaK//alaS//argI//ilvE//
ArcA-Phosphorylated_neg	tnaA//phnG//kbaZ//cysM//dgcZ//phnO//hycG//lsrF//entH//bioD//narH//uxaA//ulaE//idnD//tyrA//glpA//gabD//cyoE//tdcD//ulaD//rhaD//ansB//gcvH//entD//cueO//nrdD//ubiA//purK//lsrF//metH//puuD//rutE//lsrK//ldtC//puuD//ftnA//idnK//ilvI//prpE//codA//prpE//guaB//alaA//folE//glgC//entF//garR//phnH//dmsB//betA//avtA//torA//rhaB//hpt//gpmA//xdhB//nanA//hmp//glcE//thrS//purL//astB//yfbR//lsrG//galE//atoB//dmsC//mhpD//
ArcA-Phosphorylated_pos	glpE//ynfH//gatY//entF//lhgO//adhE//metK//nanA//gltB//pgpC//xdhA//citF//tdcG//ogt//sufS//iscS//lpxA//slt//cyoE//gcvH//hflX//prpD//aroG//pck//betA//moeB//rbsD//tyrB//lsrG//nrdD//puuC//garL//glgX//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	trpE//fumA//uvrA//tdcG//entB//fadA//cheB//gcvT//paaJ//fucU//paaG//
ArgR-L-arginine_neg	tnaA//tyrB//cpdB//aceE//fadB//glcD//aceF//paaC//uxuA//rutC//preT//xylA//cheB//tyrA//tdcE//deoB//atoD//hpt//
ArgR-L-arginine_pos	ilvC//allE//napC//cheB//feaB//
AtoC-phosphorylated_pos	fadJ//uidA//dsdA//
BaeR-Phosphorylated_pos	yqjH//tktB//
BirA-bio-5-AMP_neg	tehB//idnD//hyaA//alkB//purB//
CRP-cAMP_neg	bacA//atoA//fumC//metF//aroA//rutA//gabD//cynT//paaJ//pdeF//aroF//ispE//codA//ilvG_2//dkgB//glyA//citC//trpE//phnO//purK//deoA//truB//argB//treC//citD//metA//tdcE//nirD//metE//alkB//xdhC//bioC//gapA//frdA//dgcZ//citC//bioF//uxuA//metE//mhpE//sdhC//cheB//serA//citX//preT//narH//acs//ilvD//pgaB//cysD//purF//carA//gntK//allD//phoA//ilvD//entB//hyaC//cysJ//entE//mutL//mhpF//dkgB//sufS//dkgB//dapB//moaE//fabZ//prpD//ndh//moeB//fadI//cysH//aldA//acnB//malQ//metL//bcsA//
