# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	phnM//puuE//
Ada-Methylated_pos	metK//malY//citX//tyrB//
AlaS-L-alanine_neg	ispE//
AllS-allantoin_pos	ilvI//gabT//mltC//
AraC-L-arabinose_neg	entD//cdd//bioF//rutA//paaC//
AraC-L-arabinose_pos	dsdA//tyrB//bcsZ//pnp//idnK//
ArcA-Phosphorylated_neg	cysD//moeA//gabT//astD//sdhD//pagP//garK//ispE//lhgO//ubiG//iscS//moeA//uxuA//mdh//yqjH//sdhD//bacA//malZ//hmp//glcF//purC//yeaE//malP//entH//phnJ//garR//gatZ//dmsC//moaA//uvrA//aceA//appA//xdhC//fadE//serA//nanA//ahpC//feaB//bcsB//yeaE//idnO//mdh//fumC//phoA//gutQ//ahpC//phnP//rutA//puuA//napC//metE//xdhC//phnI//ampD//katG//glgC//gpsA//prpB//cheB//uvrA//phnG//tam//dadX//pheS//alaS//astA//gatD//ogt//
ArcA-Phosphorylated_pos	acnB//oxc//gcvP//betA//sufS//hemA//waaH//tdcG//katG//deoA//dusB//metL//aroH//rutA//paaF//treC//srlD//ackA//caiC//tauD//citC//fadH//psd//nrdE//dmsA//allD//dnaE//nrdE//citX//fadD//deoA//trmD//miaA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	upp//metB//gcvP//pgaC//fumB//ackA//yeaE//ung//ilvD//hyaC//astB//
ArgR-L-arginine_neg	purC//alkA//xdhB//katE//garL//lpd//srlD//paaK//ynfH//ansB//carA//ascB//glnA//oxc//paaC//torA//gpmA//patZ//
ArgR-L-arginine_pos	hycC//malQ//phnL//metB//glgC//
AtoC-phosphorylated_pos	hycG//folA//ilvN//
BaeR-Phosphorylated_pos	paaB//pflB//
BirA-bio-5-AMP_neg	sucD//citX//paaA//narI//phnO//
CRP-cAMP_neg	citD//lpxB//xylA//yeaE//nrdB//lldD//fumA//cysK//hyaA//aceE//yfbR//adhE//upp//ldtC//hmp//alkA//torC//fadE//malS//moaE//phnJ//deoC//gltA//fadE//frdC//napA//acnA//adhE//abgA//lysA//deoC//ackA//puuA//gatD//phnL//yeaE//nanM//pflB//aceB//gabT//metE//tyrB//pgaC//abgB//dmsB//melA//cpdB//metK//paaF//ssuD//cysG//purE//dapB//paaZ//narH//glpX//sufS//glpE//gcvH//tyrB//nagB//sucC//malZ//galT//astC//dkgB//ulaD//phnI//bglB//cysD//ybjG//rutA//gpmA//ispE//tdh//speB//entD//trpA//
