# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	trpD//sucD//
Ada-Methylated_pos	xdhA//aspA//pta//zwf//
AlaS-L-alanine_neg	allE//
AllS-allantoin_pos	fucK//tyrB//phnI//
AraC-L-arabinose_neg	gcvP//gltB//sucA//fadD//acs//
AraC-L-arabinose_pos	prpD//hypF//manA//sufS//cheR//
ArcA-Phosphorylated_neg	udp//sucC//kbl//dsdA//paaH//fumA//fucI//tadA//rhaA//metB//aroA//dusB//trpA//tam//ndh//phnH//sodA//thrS//cynS//uidA//preA//malY//glpD//glpE//fdhF//araA//trpE//entB//gadB//tyrA//xylB//gabT//rutD//napB//polA//gatD//prpB//lpxD//cysI//pgk//paaA//nrfC//pgk//ascB//fbaA//purN//recF//preA//ilvG_2//fucO//torA//aldA//trmD//lpxD//fucO//guaA//caiB//ampD//acs//cynS//ilvN//tyrA//lldD//citE//aroL//tnaA//atoA//cyoE//
ArcA-Phosphorylated_pos	gapA//gabD//nrfD//bacA//nagB//narI//gpsA//cyaA//purL//mhpB//gabD//yeaE//rbsK//mpl//serA//gltB//gcvH//gapA//yfeW//zwf//entA//pta//galT//nrdA//upp//lsrK//metC//amn//purM//fumC//folE//pyrC//dadA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	paaI//alkA//glcE//napH//speB//tdcB//frdD//preT//argA//garK//mtlD//
ArgR-L-arginine_neg	abgA//dsdA//caiC//preA//deoB//napC//hycB//metC//glpK//pgaC//ynfE//alkB//prmC//trpD//mltC//entC//gnd//bioC//
ArgR-L-arginine_pos	ilvD//rbsK//gutQ//frdA//lpxD//
AtoC-phosphorylated_pos	ilvH//atoB//amn//
BaeR-Phosphorylated_pos	ilvG_1//srlD//
BirA-bio-5-AMP_neg	alaA//argC//ansB//katG//glyA//
CRP-cAMP_neg	abgA//glpX//hpt//mhpD//astC//pflB//atoB//hemA//alaS//napB//fumA//nanE//fbaA//purL//codA//rbsK//cysD//serC//gutQ//mltC//purB//caiB//dgcZ//mhpD//ilvN//betB//torA//rutD//agp//astA//ung//cadA//lldD//nirB//glcB//serA//mtlD//glgB//acs//ulaE//eda//pta//alkB//mhpB//codA//hyaA//lacA//galE//xdhA//nanA//gatD//hyaB//deoA//yfeW//purL//fucK//uxaA//guaA//pgk//mutL//yfdE//purA//fadI//galK//ilvG_1//sucD//hycG//aceA//feaB//uxaC//cheB//cysG//paaG//glpC//frdA//glpK//entD//moaE//
CRP-cAMP_pos	glpK//allD//narG//rbsK//sdhC//aroH//mhpA//patZ//betB//glcB//trpB//lacA//ubiG//lacZ//tdcE//ssuE//puuD//hycC//entE//tauD//pgpC//fadB//ansB//ilvM//trpC//sdaA//xylA//gatD//pyrD//xdhB//nadC//citG//metK//glcD//narH//glpE//malP//trpB//rbsD//ybjG//phnH//garR//glnA//kbl//nrdD//entB//pdeF//metE//astD//pgaB//aceF//cadA//astC//ispE//upp//allD//hyaC//rutB//paaJ//ilvM//cadA//frc//hyaB//uxaC//nirB//gltD//lysC//aroA//gatY//ahpF//frdB//puuD//gadB//deoD//astB//bglB//allC//caiB//metF//cysD//bcsZ//citX//fadD//glpE//tam//dapB//argH//uxaC//dadA//guaB//nagB//citG//hycC//aceB//fucI//fadA//hmp//avtA//frdB//gatY//aceB//lsrG//narG//aroF//phnM//entE//fucA//fucI//fucI//guaA//nrdF//ansB//purL//lsrF//pheS//pdeF//napC//hycG//ilvB//glgC//rutD//gcvH//aroG//cysC//iscS//ynfG//miaA//paaK//phnP//frdD//manA//pgaD//fadI//dnaE//glgP//mhpE//argC//acnB//glcE//trpA//paaI//aceB//tdcG//phnL//mdh//acs//xdhA//trpD//fumC//moaE//napC//hycB//cysM//aspC//lhgO//phnP//cyoE//nrdF//ugpQ//argD//lpxB//cysI//argB//nagA//mutL//frdC//ulaF//fadD//pheS//ubiX//ulaF//bioF//trpC//hycE//paaE//rutB//dkgB//trmD//paaJ//zwf//tadA//kbaZ//aroH//srlD//deoB//hycD//paaK//kbl//serC//lysU//fucU//ahpF//lysA//hycF//entC//hyaB//glpQ//pagP//ulaE//narI//gabT//sodA//prpB//argI//nirD//cynT//sufS//tyrB//aceA//deoA//srlD//trpB//nrfC//iscS//gltA//malP//gatD//recF//idnO//nrfB//yeaE//waaH//puuC//malY//cysD//betA//glpD//treC//metK//cyoE//metE//yfbR//pflB//nrfA//araD//cyoE//aceA//lpxA//astB//fadE//ogt//mhpE//allE//
ChbR-Monoacetylchitobiose-6P_neg	caiA//lsrK//agp//
ChbR-Monoacetylchitobiose-6P_pos	carB//metE//tnaA//
CpxR-Phosphorylated_neg	dapD//purE//rhaD//
CpxR-Phosphorylated_pos	ackA//mutL//gatY//speC//fadB//mhpC//cheR//trpC//uxuB//allE//idnK//murQ//ulaF//chbF//gabT//purL//malZ//dusB//trpA//
CreB-Phosphorylated_neg	puuC//
CreB-Phosphorylated_pos	puuD//caiD//
CueR-Ag_neg	aceE//lpxB//
CueR-Ag_pos	ackA//dsdA//
CueR-Cu+_neg	hcp//yfdE//
CueR-Cu+_pos	mutY//ilvB//
CuerR-Au_neg	avtA//bcsB//
CuerR-Au_pos	cysM//glnA//
CusR-Pasp_pos	deoA//ldtC//alaS//
CynR-Cyanate_neg	
CynR-Cyanate_pos	fucO//paaH//hyaB//
CysB-N-acetyl-L-serine_neg	mtlD//hemA//rutC//
CysB-N-acetyl-L-serine_pos	cpdB//rutE//argB//citD//phnJ//hycG//pgpC//gutQ//purN//ppiA//dusB//galM//serC//
CysB-O-acetyl-L-serine_neg	fucU//hyaC//edd//
CysB-O-acetyl-L-serine_pos	pgaC//bglB//bcsZ//aceB//fucA//lpxD//ubiG//purD//rhaD//bioB//hemL//zwf//nrfB//rbsD//
DcuR-Phosphorylated_pos	astC//ascB//napC//xapA//
DnaA-ATP_neg	talA//gatD//ubiX//purC//pgaB//
DnaA-ATP_pos	rutC//dgcZ//purN//
DpiA-Pasp_neg	
DpiA-Pasp_pos	phnH//galT//ansB//yeaE//rutE//
DsdC-D-serine_neg	
DsdC-D-serine_pos	hyaB//ilvN//
EvgA-Phosphorylated_pos	ilvI//fbaA//argD//sdhC//purA//
