# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	alaA//rutA//
Ada-Methylated_pos	astC//glpC//hyaA//galT//
AlaS-L-alanine_neg	sdhA//
AllS-allantoin_pos	phnG//cysH//napC//
AraC-L-arabinose_neg	talA//metF//citG//cysH//phnJ//
AraC-L-arabinose_pos	lysC//ynfH//hyaC//fadH//aceA//
ArcA-Phosphorylated_neg	nirB//entD//dsdA//ppiA//ahpC//avtA//ndh//cueO//uxuA//ndh//sodA//entC//galK//galT//rbsK//ilvM//ldtC//argH//aroG//sdhA//ahpC//mhpA//alaS//paaK//guaA//glpE//lpxB//sdaA//cysJ//gdhA//citD//glpD//dkgB//sdhB//entH//ansB//malQ//citD//entA//nanE//ung//sucA//ssuD//upp//abgA//glgA//argG//moeB//aceE//ada//cynT//gltB//sucB//hmp//puuB//alaA//ubiG//glgB//ada//hflX//guaB//lysA//abgB//ftnA//pnp//trpD//araD//nanA//
ArcA-Phosphorylated_pos	tam//oxc//cheR//fbaA//atoD//waaH//mhpF//preT//glpK//phoA//glcE//psd//trpE//rdoA//yqjH//napC//hpt//tsaE//bioB//gltD//aceB//metB//tdcG//gcd//alaS//appA//sdhA//ispE//nanM//galM//pgaB//carA//tyrA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	rutD//pagP//rbsK//moeA//nrdF//idnO//paaB//frc//lpxA//agp//glpQ//
ArgR-L-arginine_neg	idnO//ulaE//metE//metE//mdh//pck//glpD//polA//entE//metB//dsdA//caiA//citX//narG//sdhA//gatZ//pheT//mhpF//
ArgR-L-arginine_pos	ynfH//phnH//kbl//cpdB//nrfC//
AtoC-phosphorylated_pos	caiA//ynfF//glnA//
BaeR-Phosphorylated_pos	ulaD//sdhA//
BirA-bio-5-AMP_neg	moaA//rnpB//katG//sodA//deoA//
CRP-cAMP_neg	moaD//ubiG//pdeF//cueO//gltA//hyaB//fumC//mhpC//epd//galT//bioC//pncB//tdcE//aroH//fadH//citG//paaB//lysA//glcB//rutC//fadI//fumB//upp//dgcZ//prpC//rutA//entF//nrdA//dusB//argH//ogt//fucO//tdcD//lpxB//pgpC//hypB//ilvG_1//gatY//xdhC//gpmA//astD//araA//gdhA//argF//carA//xylB//hemL//paaA//agp//ahpF//dmsA//chbG//cysG//citD//preA//sucD//cyaA//manA//purL//glpK//dgcZ//araB//betB//yfdE//prpC//ogt//galT//astE//ldtB//oxc//citD//sdhB//tdcE//codA//lhgO//glgX//glpC//fadE//
CRP-cAMP_pos	glgX//ackA//fau//napA//ada//napB//phnM//speC//pgk//nrfD//aceF//pflB//pflB//malP//thrS//truB//iscS//nrfD//paaB//pgpC//melA//aroG//ubiC//carA//hpt//narG//citX//sdhA//atoB//ispE//glpQ//nrfA//glpC//caiA//betB//umpH//tsaE//ada//galM//paaA//malS//speB//entA//alaS//gltA//puuA//glnA//uidA//miaA//paaA//mhpA//argA//allC//cdd//allC//iscS//malY//rutB//yfeW//sodA//hycB//aceA//carA//nrdE//idnO//lldD//cynT//mltC//ahpF//serA//ubiA//ynfG//hycE//pheS//citE//ugpQ//nrfC//tdh//mhpC//glpD//glpE//eda//gltB//paaJ//fumB//yfeW//puuE//zwf//ilvD//purN//aceE//trpA//fucK//fbaA//ftnA//lsrF//gabT//fucI//carB//iscS//torA//tnaA//guaB//nrfD//prs//atoB//rutB//fucI//uidA//tauD//metE//tsaE//hcp//frdA//moeB//mltC//rbsD//glpC//allD//fadH//araA//ynfF//prs//lysC//rutB//lysU//lsrF//acs//lpxA//glpK//aspA//rhaA//rnpB//gadB//hyaA//cyoE//argC//pyrD//avtA//ynfG//trpB//galM//prpE//waaH//lpxB//dadA//gntK//ulaD//sucD//nrfB//oxc//patZ//nagB//uxaB//pnp//tdcD//rdoA//feaB//citG//pnp//prs//purA//gutQ//fumC//feaB//kbaZ//icd//gdhA//ldtB//ilvM//hycD//gltD//nanK//manA//gutQ//moeB//moaE//citC//xylB//ulaD//napB//glpA//frdA//appA//xapA//argF//phnO//ubiG//icd//cysG//cysC//gltD//araD//moaE//metF//citG//malQ//uidA//fucA//cynT//purE//ssuE//rutC//rutC//prpB//narI//aroH//aroG//sdhD//glpK//phnO//phnG//yfdE//phnJ//dkgB//codA//aceA//glyA//glgC//phnG//iscS//purK//bcsA//mhpE//xylA//aspA//aceE//nirB//ilvG_2//speC//ndh//sucB//mutL//hycB//phnJ//rbsK//lysC//fucK//cpdB//caiB//ulaE//pheT//cysJ//
ChbR-Monoacetylchitobiose-6P_neg	tdh//fumB//ascB//
ChbR-Monoacetylchitobiose-6P_pos	tdcB//paaB//frdD//
CpxR-Phosphorylated_neg	prpD//serC//pyrC//
CpxR-Phosphorylated_pos	tdh//prpD//katG//dadX//ansB//fucA//argG//appA//gatZ//hycE//upp//cheB//gltA//caiD//hemA//sodA//eda//nanE//bioA//
CreB-Phosphorylated_neg	gcvT//
CreB-Phosphorylated_pos	kbaZ//ynfF//
CueR-Ag_neg	trpC//galT//
CueR-Ag_pos	cysI//sdhB//
CueR-Cu+_neg	puuC//speA//
CueR-Cu+_pos	gltD//sdhC//
CuerR-Au_neg	bioC//aroF//
CuerR-Au_pos	fadE//hcp//
CusR-Pasp_pos	ppiA//xdhC//icd//
CynR-Cyanate_neg	
CynR-Cyanate_pos	lacZ//cyoE//polA//
CysB-N-acetyl-L-serine_neg	xdhB//entF//glpB//
CysB-N-acetyl-L-serine_pos	argB//citG//pheS//ilvG_2//paaG//fabZ//glgC//aceB//dgcZ//hypB//sufS//cadA//phnN//
CysB-O-acetyl-L-serine_neg	entA//pyrD//speC//
CysB-O-acetyl-L-serine_pos	ilvG_2//pgaD//fadI//speC//dgcZ//acs//epd//sdhC//nanA//slt//sdhC//sodA//sucD//hycF//
DcuR-Phosphorylated_pos	napG//hmp//garR//cueO//
DnaA-ATP_neg	yfbR//rhaD//glpQ//bglB//ilvM//
DnaA-ATP_pos	caiB//paaZ//glcD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	glpA//fdhF//betB//cysI//ansB//
DsdC-D-serine_neg	
DsdC-D-serine_pos	fau//cysK//
EvgA-Phosphorylated_pos	rhaA//mpl//fumB//ilvB//fumC//
FNR-Fe_neg	gpmA//murQ//ulaE//glpD//aceB//fau//deoB//ubiG//adhE//paaC//aroG//murQ//argD//entB//paaJ//pflB//citE//guaA//fucI//hyaC//ndh//mdh//lpxB//sdhA//bioD//ampD//miaA//hyaB//gcvH//treC//xylB//cysN//rhaB//abgB//paaA//fadA//xapA//allE//abgB//allC//pyrC//cysN//galK//bioD//torC//fadJ//phnG//
FNR-Fe_pos	pflB//puuD//xylB//entA//cynS//ynfH//aroF//dusB//pgaC//mhpB//psd//alaA//malP//cysJ//ulaE//metH//paaE//phnN//cyoE//yeaE//aspA//cpdB//ulaD//gcvT//fadA//aceB//ilvM//entA//mhpE//cyoE//garL//glgA//narG//trpE//moeA//phnM//hemL//acnA//udp//trpE//treC//alaS//rhaB//cysK//kbaZ//purA//lysA//rdoA//cysN//entB//torC//tdcD//garK//yqjH//lpd//fadA//mhpF//cdd//ynfG//recF//dgcZ//galM//ilvM//glpA//fabZ//ulaE//manA//ilvC//speA//fucI//glpC//rhaA//fdhF//mpl//glgC//nrfB//cpdB//cysN//pagP//paaK//caiA//argE//hemL//glgA//aldA//atoB//lpd//fadJ//sucA//acnB//narH//ilvG_1//
FhlA-Formate_pos	amn//malY//ilvH//tam//cyoE//moeB//cysC//
FucR-L-fuculose-1-phosphate_pos	aroL//aroH//pta//phnI//paaZ//glgA//
Fur-Fe2+_neg	prpE//garL//gntK//entC//katE//dmsB//malS//garR//miaA//ldtB//puuA//fbaA//cysM//phnO//bioF//uxaB//citX//pdeF//pyrD//cyaA//kbl//lldD//cysN//lacA//hypF//uxuA//upp//aroA//uxuB//entA//hmp//dsdA//lysU//lysC//glgB//oxc//nanM//citC//argI//glgC//prpB//gcd//mutL//gapA//argE//bioC//nrfD//deoB//frdB//prpD//aroG//pgk//tdcG//avtA//argF//garR//pta//pncB//prs//
Fur-Fe2+_pos	moaE//metK//gnd//citE//thrS//bcsA//xdhA//aceB//fucU//xdhA//phnP//udp//ssuD//glyA//xylB//nirB//metF//argA//carA//aceE//
Fur-Mn2+_neg	hypB//ndh//dadX//prmC//murQ//galM//tdcG//lacZ//dusB//malZ//talA//idnO//mpl//aceF//purE//argB//acnA//aldB//dkgB//pgaB//trpB//phnM//chbF//rbsD//glpD//hycC//mhpD//gatZ//pgaC//napB//ansB//nrdB//nrfA//ldtC//fes//tadA//hypB//cysM//atoA//prs//fucU//speC//phnI//paaA//paaI//frc//pgaB//glgX//tauD//gdhA//serA//metH//polA//dadX//alkB//gabD//dmsC//pgaB//uvrA//
Fur-Mn2+_pos	puuC//aceB//bcsB//prpC//argH//fadJ//deoB//hypB//gapA//paaG//alkA//entC//nrdA//entA//narI//sdhD//nanA//atoA//tdcB//caiC//
GlcC-Acetate_neg	
GlcC-Acetate_pos	kbaZ//ung//carA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	torC//cysH//pck//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	nrdE//aroA//garK//
IdnR-5-ketogluconate_neg	glpA//bioA//
IdnR-5-ketogluconate_pos	glyA//trmD//mtlD//paaA//
IdnR-Idonate_neg	tktB//puuD//
IdnR-Idonate_pos	rhaB//glcB//umpH//napH//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	atoB//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	purF//
IscR-2Fe_neg	ulaF//mutL//metA//pgk//nrdB//
