# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rnpB//pyrC//
Ada-Methylated_pos	pgk//nrfD//feaB//napB//
AlaS-L-alanine_neg	ilvD//
AllS-allantoin_pos	purL//glcB//talA//
AraC-L-arabinose_neg	mhpF//ascB//citD//xdhC//phoA//
AraC-L-arabinose_pos	prpC//araA//fumB//malZ//nrfC//
ArcA-Phosphorylated_neg	ubiX//bacA//lpxA//paaG//astE//pheT//ulaF//araB//cyaA//atoB//dnaE//nirB//metF//ilvN//fabZ//yfdE//idnO//trpC//citD//tehB//zwf//gapA//glpQ//fdhF//glpD//hycB//dgcZ//dadA//gatZ//kbaZ//purA//sucD//argH//agp//caiC//phnG//hemL//tnaA//betA//acnA//ahpC//entB//argI//hflX//lpxA//ulaF//bioB//aceA//ilvI//speA//frdD//ilvI//nanE//cheR//dsdA//paaF//malQ//hycC//xdhB//trmD//malS//miaA//pgk//ansB//bioA//araA//entC//uxaB//
ArcA-Phosphorylated_pos	atoB//tktB//ftnA//zwf//yfdE//alaA//lysU//fadI//xdhB//dmsA//nirD//araA//ispE//pgaB//fumA//moaE//gltA//glcD//patZ//torA//cyaA//fadB//paaJ//lacZ//ilvG_1//paaJ//hemA//atoA//kbaZ//malY//atoB//feaB//cysH//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	rutC//guaB//prpC//idnK//frdB//puuB//pdeF//hypB//aspC//dapB//fucA//
ArgR-L-arginine_neg	prmC//fumC//pncB//aceA//garK//allE//aceB//phnJ//nanE//purC//treC//ldtB//purC//ppiA//metL//paaI//puuC//nirB//
ArgR-L-arginine_pos	mpl//garL//fau//puuD//rhaB//
AtoC-phosphorylated_pos	yfdE//argC//rutD//
BaeR-Phosphorylated_pos	aldB//tsaE//
BirA-bio-5-AMP_neg	iscS//ssuE//udp//cysI//metA//
CRP-cAMP_neg	ulaF//astC//talA//ubiC//caiA//alaA//malZ//ftnA//rbsK//ascB//ubiA//purK//treC//hyaC//purD//lpxB//aspA//alkB//sdhC//ynfH//ahpC//glpA//moeA//glpE//cysC//moaD//narI//metA//hpt//argE//uxuB//moaA//pheS//preA//prpD//fabZ//allE//icd//metB//sdhA//nrfC//dapD//argH//pheS//xdhB//glgP//lpxA//mhpB//sdhA//yeaE//rhaA//metE//citG//pheT//thrS//glcE//sdhD//fumA//argG//purA//upp//purH//puuB//pncB//metE//cysD//atoA//bcsB//pyrC//nagA//tnaA//ilvE//lysC//hycC//carB//aspC//hflX//rhaA//
CRP-cAMP_pos	katE//metL//lacA//udp//dadA//tam//gadB//atoA//ynfH//nagA//nrfD//purE//lpxB//purC//icd//carA//napC//fadA//katE//aceA//puuA//argI//fadH//dmsB//allC//yqjH//purN//ilvA//astD//purF//cysJ//ilvB//nirB//fucU//ilvB//kbl//phnO//gdhA//alaA//kbl//nrdF//puuA//paaE//nagA//cysG//paaJ//mhpD//caiA//aroF//cynS//tnaA//uxaA//gadB//preT//codA//nagA//aroL//polA//rhaD//argC//phnI//idnD//xapA//pgaC//dapB//moeA//dsdA//aroF//tnaA//rbsK//melA//torC//dgcZ//purD//rutB//cheR//cysM//napC//prpB//hmp//pck//fau//mhpE//cpdB//mutY//bcsB//nirD//glyA//garL//lpxA//polA//pncB//bioD//glpK//ynfE//tdcG//fucA//dusB//adhE//pncB//yfeW//lsrG//uxaA//pncB//ilvD//mdh//argG//paaJ//ung//argH//iscS//mutY//rhaB//fadI//citF//glpK//ugpQ//rhaA//lsrK//ilvI//preT//glgX//icd//argE//fadJ//ilvC//aroH//purH//lacZ//hycG//eda//cyoE//ubiX//torA//rutE//sucC//astE//gpsA//cheB//purB//cueO//prpB//phnM//citF//entA//paaC//ubiG//lpd//metL//speB//phnL//rbsK//yfdE//speA//garL//waaH//guaB//mhpB//ubiX//zwf//astC//frdD//gcvT//paaA//mpl//dnaE//torC//phnN//fabZ//epd//cdd//hycG//citF//ynfE//sdhD//galE//fadD//uxaA//uxaB//bioC//folA//mpl//nanM//malZ//eda//alkB//hmp//sucB//entA//dgcZ//araB//cynT//lsrF//tauD//citG//nrdA//argE//waaH//paaG//lacZ//uidA//metF//codA//phnL//carB//xylB//frdB//codA//mdh//pgaB//glpD//eda//metF//codA//speA//glgB//glpC//prpC//rutC//rnpB//fumA//udp//galM//nrfA//aceB//ilvB//narI//gcvP//gatY//deoB//bcsZ//nadC//galE//ubiG//trpD//lpd//argB//bcsA//pgk//entD//malY//aroH//mhpD//
ChbR-Monoacetylchitobiose-6P_neg	fbaA//gpmA//allD//
ChbR-Monoacetylchitobiose-6P_pos	manA//allC//sucA//
CpxR-Phosphorylated_neg	bglB//cpdB//alaA//
CpxR-Phosphorylated_pos	ssuD//argI//atoB//araD//truB//nanE//phnL//hmp//treC//ubiA//trpA//alkB//argB//trpE//nrfB//aroL//dadA//allD//cysM//
CreB-Phosphorylated_neg	dgcZ//
CreB-Phosphorylated_pos	caiD//dgcZ//
CueR-Ag_neg	sdaA//tsaE//
CueR-Ag_pos	aroA//metK//
CueR-Cu+_neg	nadC//rnpB//
CueR-Cu+_pos	yjeF//phnJ//
CuerR-Au_neg	talA//malQ//
CuerR-Au_pos	ybjG//deoB//
CusR-Pasp_pos	bioD//gpsA//hcp//
CynR-Cyanate_neg	
CynR-Cyanate_pos	hycG//mhpB//citE//
CysB-N-acetyl-L-serine_neg	epd//astC//chbG//
CysB-N-acetyl-L-serine_pos	glcF//ilvB//aldA//gatZ//purD//lysA//pnp//entD//trpD//abgA//dmsC//sodA//caiB//
CysB-O-acetyl-L-serine_neg	bcsB//astA//pnp//
CysB-O-acetyl-L-serine_pos	ftnA//glpD//phoA//glcE//fabZ//preT//ynfF//cysJ//ugpQ//pta//oxc//ulaD//pgaB//phnN//
DcuR-Phosphorylated_pos	fucI//bioB//glcB//cyoE//
DnaA-ATP_neg	caiB//yfbR//tyrA//caiA//metF//
DnaA-ATP_pos	waaH//tktB//garL//
DpiA-Pasp_neg	
DpiA-Pasp_pos	idnD//gcvT//gatZ//caiA//fbaA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	katG//lysA//
EvgA-Phosphorylated_pos	trpC//patZ//fucA//argD//chbG//
FNR-Fe_neg	mhpF//slt//hycE//gcvT//cdd//pheT//hycG//allE//cheR//gpsA//prs//lpxB//ubiC//glcD//eda//cysD//tyrB//lsrK//hycD//glcD//paaJ//bcsZ//paaE//dkgB//glcF//paaI//mhpC//phnP//argE//pflB//galE//serC//pck//tnaA//phnP//sdhD//fumB//fucO//citX//nrfD//hypB//ulaE//edd//argG//srlD//torA//fucK//
FNR-Fe_pos	cynT//ilvG_1//ubiG//aroF//metH//nrdE//epd//icd//sdhB//pgaB//nagB//treC//gltA//rhaA//glpA//dmsA//fucO//hmp//ubiG//carB//preA//caiB//hpt//fucA//nagA//gabD//phnH//avtA//citX//lsrK//acnA//ilvG_1//moaD//puuB//cpdB//fadA//gcvT//entH//cysN//phnO//hyaB//aceF//trpB//allD//preT//gcvP//umpH//ampD//nanE//glpK//cynS//fucO//acs//purM//gatD//lysC//pheT//cysG//yjeF//uxuA//hypF//phnM//betB//nrdF//folE//ulaE//lsrG//ilvD//puuA//metF//ldtB//xdhB//adhE//puuA//nirD//miaA//malQ//speB//tnaA//chbF//puuE//glcE//cynS//yqjH//yfbR//prmC//prs//ilvN//mhpC//trpC//hypB//xdhC//
FhlA-Formate_pos	entF//bcsZ//bioC//napC//guaA//speB//pdeF//
FucR-L-fuculose-1-phosphate_pos	glpA//cpdB//glcF//napC//ilvC//sdhC//
Fur-Fe2+_neg	glgC//garR//ssuD//garR//ftnA//dnaE//rdoA//bioD//betA//cpdB//fucO//moeA//torA//phnH//dapD//aspC//sdhA//araB//aldA//edd//ulaF//waaH//betB//gdhA//napC//caiB//lsrK//ispE//mutY//pnp//moaE//fadD//rutE//aceB//adhE//aceE//paaB//purE//araD//garL//fucI//mtlD//lsrF//cyoE//bioA//xdhB//lacA//malP//bcsZ//bioB//ybjG//puuC//deoA//lpxD//ndh//atoA//atoA//prpB//uidA//
Fur-Fe2+_pos	glpB//gcvH//frdD//carB//paaF//phnG//uxaC//glcD//ung//trmD//hyaB//gdhA//araA//chbF//mltC//allD//gapA//pyrC//prmC//argG//
