# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	purN//paaJ//
Ada-Methylated_pos	purB//ybjG//garR//melA//
AlaS-L-alanine_neg	purF//
AllS-allantoin_pos	astB//fadE//dnaE//
AraC-L-arabinose_neg	cdd//aceF//rutC//fucK//nanK//
AraC-L-arabinose_pos	gnd//mtlD//yfeW//bcsZ//rutE//
ArcA-Phosphorylated_neg	cynT//pyrD//malZ//glpA//carA//paaI//dadA//entC//galE//deoD//epd//gabD//epd//betA//ahpF//malY//fbaA//guaA//ogt//nanK//gpsA//uidA//uxuB//upp//hycG//abgB//purE//sucB//glyA//cysJ//entE//argD//nagA//astB//mdh//nanK//uxuA//pgaB//aroG//malP//speC//xdhB//entH//fucI//deoB//phnP//aroH//galM//atoD//rutD//phoA//lpxA//phoA//bcsA//folA//gcvT//aroL//cynS//glpD//sodA//deoD//gdhA//lpxB//uvrA//argD//polA//napB//entF//
ArcA-Phosphorylated_pos	folA//pdeF//moeB//pnp//alkA//tnaA//hemA//aldA//ogt//bacA//ilvC//nagB//glpQ//ispE//cueO//mpl//dmsC//pgk//phnO//mpl//allC//citF//napB//edd//argB//fadD//xylB//fadD//purC//hycG//mhpC//pflB//glcF//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	phnO//hycG//iscS//entA//nrdD//alkB//idnO//avtA//prmC//nrdD//phnN//
ArgR-L-arginine_neg	uxuA//gltD//deoD//tyrA//ilvE//purL//avtA//nirB//mhpF//ilvN//ispE//amn//nrfB//pyrC//puuD//entE//treC//rutE//
ArgR-L-arginine_pos	alaS//tktB//malP//chbG//lpd//
AtoC-phosphorylated_pos	moeA//phnI//tdcE//
BaeR-Phosphorylated_pos	psd//gatZ//
BirA-bio-5-AMP_neg	bioD//glpB//prmC//epd//dmsB//
CRP-cAMP_neg	phnO//purF//rhaD//psd//gapA//nrfD//serA//pgaD//garL//paaH//rnpB//metA//metL//fbaA//gatZ//nanA//cysC//metB//rnpB//atoD//cysG//tnaA//katG//ilvG_2//glpC//ilvG_1//metC//alaS//trpA//fes//deoB//dusB//bioA//moeB//ansB//lldD//rbsK//prpB//nrfB//bioC//phnI//tyrA//citC//mltC//betA//tehB//cheR//feaB//paaZ//pck//hypF//garL//prpE//nrdB//deoA//epd//fumA//argC//cheR//gatZ//tdcE//hycD//aroL//gutQ//hflX//aceB//avtA//ilvG_2//fadE//uvrA//cadA//fadI//aspC//lysA//malZ//fucU//lysC//galT//
CRP-cAMP_pos	fau//malS//hycE//preT//puuE//polA//recF//puuB//nrdE//purH//aldB//argI//argD//araB//sufS//galE//glcD//argC//pncB//mutL//nanM//ilvM//sucC//glpA//phnO//amn//lpxA//dmsB//sodB//paaJ//tauD//melA//rnpB//ybjG//caiD//speC//napG//paaI//pdeF//sdaA//fucO//paaB//ynfF//nrdD//ahpF//argF//entB//malQ//argF//sdhA//aceB//eda//mltC//argD//lpxD//phnP//paaC//treC//ascB//tsaE//ilvC//lacZ//lpxA//hemL//hmp//gcvH//caiB//lysA//gabT//yfdE//malS//rnpB//aceE//paaJ//lysC//gnd//adhE//fucA//tehB//pgaB//glcD//nrfD//alkB//rutA//frdB//folE//fadI//fes//lsrF//adhE//aceB//sodA//nrdF//ahpC//xapA//kbaZ//lpxD//melA//astC//mhpF//chbG//gpmA//fadH//phnI//araB//astD//puuC//lpd//lpxD//rutA//moeB//prpC//purB//abgA//prpE//entD//fes//uxaC//rhaA//ubiX//serA//caiA//astE//katG//idnO//fbaA//mutL//uxaC//astB//trpC//paaJ//sdhB//metL//prmC//truB//cysG//citD//nanM//mutY//lsrK//lacA//pheS//nagB//uxaC//sdhC//pyrC//paaF//sdhA//pflB//malP//fucU//garR//pgaB//astD//bglB//ilvG_2//ung//fadJ//oxc//cysM//ubiC//cysJ//phoA//rutC//entC//sdhB//puuB//guaA//tehB//ftnA//ahpC//napH//ulaF//bioF//metF//nrdB//serC//cpdB//astD//araA//gcvT//caiA//phnP//ilvB//astE//uxaA//gapA//astA//bcsA//melA//gcd//entD//trpD//amn//rhaA//tdh//xylA//gabT//katE//gatY//glgA//purN//dgcZ//xylB//rbsD//appA//ahpF//acs//ynfG//sufS//phnM//pyrC//metE//paaH//gcvP//fabZ//melA//phnI//glpB//glpB//malP//lsrK//manA//aroA//polA//citC//sodB//ybjG//lysA//dmsC//cysJ//argC//gatY//cysC//aroF//nrdB//cynT//sucB//galE//gadB//glgX//cysD//lysC//
ChbR-Monoacetylchitobiose-6P_neg	sdaA//dapB//cynT//
ChbR-Monoacetylchitobiose-6P_pos	napG//prpD//rhaD//
CpxR-Phosphorylated_neg	lsrK//moeB//frdD//
CpxR-Phosphorylated_pos	nadC//melA//umpH//nanM//entA//gnd//ynfH//aldA//purN//nrfB//narH//abgB//cysC//preA//purE//entD//araA//purH//cheR//
CreB-Phosphorylated_neg	puuC//
CreB-Phosphorylated_pos	mdh//aldB//
CueR-Ag_neg	narG//dsdA//
CueR-Ag_pos	paaI//abgB//
CueR-Cu+_neg	atoD//idnO//
CueR-Cu+_pos	glgC//aspA//
CuerR-Au_neg	aceF//cysN//
CuerR-Au_pos	aceE//ilvA//
CusR-Pasp_pos	mutL//gdhA//pgaD//
CynR-Cyanate_neg	
CynR-Cyanate_pos	preA//lhgO//citE//
CysB-N-acetyl-L-serine_neg	cysG//malS//gutQ//
CysB-N-acetyl-L-serine_pos	phnI//moeB//rutD//puuA//caiC//betA//argH//idnO//serC//carA//nanA//cysI//gcd//
CysB-O-acetyl-L-serine_neg	rutE//cpdB//moeB//
CysB-O-acetyl-L-serine_pos	gatY//astD//hycD//psd//chbG//glpX//fucK//sdhD//ahpC//ilvN//glgB//paaE//moaD//sucA//
DcuR-Phosphorylated_pos	bioD//rhaA//fabZ//yfdE//
DnaA-ATP_neg	idnO//pck//dmsB//cueO//dgcZ//
DnaA-ATP_pos	tsaE//ppiA//lsrK//
DpiA-Pasp_neg	
DpiA-Pasp_pos	idnD//aceE//galE//deoB//mtlD//
DsdC-D-serine_neg	
DsdC-D-serine_pos	glpQ//prs//
EvgA-Phosphorylated_pos	chbG//bioD//mhpD//bglB//fbaA//
FNR-Fe_neg	aspC//ampD//chbF//gutQ//malQ//purK//metA//aldB//gatD//frc//aceF//nrfB//mutY//mhpC//lpxD//paaB//pgaB//agp//aroG//fdhF//glgA//dmsB//garR//moeB//epd//purN//phnN//glpB//astC//ilvB//waaH//frdC//treC//nanE//purD//ugpQ//oxc//bioB//hcp//caiD//entB//ubiX//purE//galT//rutC//deoC//mtlD//
FNR-Fe_pos	ulaE//alaS//lsrG//sodA//glpB//glpE//sodA//ndh//hflX//dmsB//appA//tdcE//preA//cpdB//glnA//nagA//yjeF//glcB//nrdF//aceB//purL//dusB//ada//yjeF//purM//argD//aldA//cheB//moaE//allD//garR//gapA//pck//mpl//mhpC//nrfB//upp//alaS//pgaD//hypF//nrfC//ybjG//cynS//nrdF//mhpC//gcvH//mutY//guaA//atoA//bioD//ubiG//alaS//guaB//dapB//malS//gabT//phnL//uxaC//paaB//yfeW//gcd//sucC//purC//gutQ//garL//moaA//astE//chbF//nanK//ilvB//hflX//glgC//entH//acnA//trmD//alaS//paaG//codA//napH//bioD//gutQ//gnd//fucU//glpB//abgA//nrfC//hyaA//lpd//galK//gcvT//cysH//dmsB//
FhlA-Formate_pos	rhaB//nrdB//hyaB//iscS//glcF//moaA//purB//
FucR-L-fuculose-1-phosphate_pos	ndh//hmp//pgpC//aroA//entA//bioB//
