# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	argE//gutQ//
Ada-Methylated_pos	slt//pnp//galE//cysH//
AlaS-L-alanine_neg	argB//
AllS-allantoin_pos	purD//phnL//aceA//
AraC-L-arabinose_neg	citF//trpB//hypB//ilvD//dnaE//
AraC-L-arabinose_pos	miaA//ybjG//gcvH//tdcD//paaF//
ArcA-Phosphorylated_neg	hemA//rbsD//ubiC//lsrK//fes//mtlD//ahpF//napB//napH//abgA//gpmA//hycC//nrfA//purH//ftnA//abgB//nirB//pgaC//pta//galE//purC//acnA//ynfF//chbG//argG//uxaB//lldD//fadH//miaA//chbG//glyA//cheR//glgA//gcvT//idnD//metK//malQ//alkB//alkB//ulaF//atoD//glgC//nirB//narH//chbF//sdaA//umpH//purD//dapB//entE//citG//allC//cpdB//ilvE//dusB//narH//paaC//xylB//puuD//nagA//ilvD//uvrA//lysA//entD//prpD//aspC//fadD//dmsA//
ArcA-Phosphorylated_pos	fadD//tdcD//entF//mtlD//purE//pncB//ilvG_2//caiD//lysC//pflB//lpxB//cysC//astC//folE//trpE//cheR//galM//sucB//purA//acs//betB//galT//glpB//moaA//sucA//lacZ//garL//murQ//gltA//paaK//trpC//phnH//cynS//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	garK//ndh//pck//napG//phnL//polA//mdh//metK//aroL//glgP//bacA//
ArgR-L-arginine_neg	ampD//gcd//aceA//aroF//guaB//nanA//malP//carA//bacA//napC//mltC//sufS//ilvD//atoD//fumA//phnG//metH//ybjG//
ArgR-L-arginine_pos	hypF//ulaF//rhaA//bcsZ//ung//
AtoC-phosphorylated_pos	alkB//phnH//gabT//
BaeR-Phosphorylated_pos	nrdE//sdhC//
BirA-bio-5-AMP_neg	ahpF//ugpQ//lpd//purM//mhpF//
CRP-cAMP_neg	astD//miaA//cheR//phoA//fadI//cysM//lsrF//lpxA//rutA//recF//ldtC//recF//cysH//cysI//fadB//xylB//dkgB//kbl//rbsD//purE//frdB//ackA//fes//cysJ//dapB//yfbR//glgX//garK//gapA//hypB//uidA//caiA//prs//cysC//citC//nirB//dmsB//betB//rhaB//fadE//ispE//recF//mhpA//frc//rdoA//pgaB//galE//nrdA//xylB//tdh//pdeF//ilvI//nirD//citF//trmD//paaB//gpsA//uxaB//ilvN//aroL//cynS//caiB//argH//fau//yqjH//moaE//torA//pagP//uxaC//ynfH//garL//gabD//lsrF//icd//ilvE//paaE//paaH//dmsB//
