# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	aceB//manA//
Ada-Methylated_pos	mhpA//dsdA//tyrB//cynT//
AlaS-L-alanine_neg	kbaZ//
AllS-allantoin_pos	entF//phnM//hyaA//
AraC-L-arabinose_neg	argI//sufS//hyaC//nrfC//deoA//
AraC-L-arabinose_pos	napH//idnK//dadX//gltD//gpsA//
ArcA-Phosphorylated_neg	yfeW//hyaC//argG//hycB//cdd//psd//caiA//cysM//phnP//napG//ansB//gcvH//tsaE//mhpF//aroF//tadA//xylB//ilvC//tdcG//citX//ahpF//epd//lpxB//talA//nrdA//phnH//glpD//nanA//uxuA//malQ//dmsB//fadD//puuC//upp//entC//fucA//glgC//napA//pgaC//udp//cysK//frdC//oxc//dusB//eda//nrdA//hmp//malY//glpX//purF//upp//rbsD//aceF//cynT//metF//abgA//alkB//rhaA//thrS//lacA//fucK//hycF//ilvI//kbl//phnO//deoB//napC//puuD//
ArcA-Phosphorylated_pos	ulaF//citC//sodA//nrfD//aroL//pncB//aroG//nrdE//nanK//napB//citD//purM//kbl//gltB//treC//purC//nanM//ahpF//mhpB//uxuA//citC//lpxA//hflX//hflX//glpC//rhaA//narH//codA//aroH//ulaE//pgaD//paaI//astA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	ogt//lhgO//narI//idnK//phnL//cysC//gltB//glpX//fucK//aroL//torA//
ArgR-L-arginine_neg	prmC//cysH//gltA//fumC//ftnA//glpB//glpK//trpC//purC//garR//caiD//ilvG_2//trpB//puuE//ascB//xdhC//katE//mtlD//
ArgR-L-arginine_pos	sodA//mdh//gcd//malQ//eda//
AtoC-phosphorylated_pos	rhaB//frdA//xdhB//
BaeR-Phosphorylated_pos	glpE//gntK//
BirA-bio-5-AMP_neg	hyaA//hyaC//ldtB//chbF//glgB//
