# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	gabD//prmC//
Ada-Methylated_pos	speB//sufS//nrdD//hpt//
AlaS-L-alanine_neg	trpB//
AllS-allantoin_pos	lacZ//citX//metE//
AraC-L-arabinose_neg	purD//metF//purK//ilvB//cysK//
AraC-L-arabinose_pos	yfbR//mhpD//purC//aspA//hyaA//
ArcA-Phosphorylated_neg	glnA//trpE//gabD//aceB//rhaD//glgB//yqjH//dapB//glnA//entH//fau//codA//nagB//hycE//uvrA//dusB//metF//purH//cynT//gapA//rhaA//caiD//fumA//cheB//purF//uxaB//ilvC//moaD//purB//argA//bglB//bioB//araD//psd//dnaE//frdD//narG//mhpA//edd//aldA//waaH//ilvI//moaA//frdC//speA//bglB//frdC//araD//glpE//frdA//idnD//tnaA//lysC//fadJ//nrdE//pgk//pgaC//ung//malQ//rhaA//phnH//puuD//ybjG//glpX//hypF//yfeW//pck//glcF//
ArcA-Phosphorylated_pos	dgcZ//ldtB//atoA//gcvP//caiD//gcvH//ulaE//glgX//argA//aroL//trpA//glpB//astA//aceE//pheT//xylA//miaA//allE//fabZ//serA//murQ//lacA//malZ//dmsC//paaJ//betB//gltB//xdhA//lysC//bioA//fucA//uidA//bioB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	sdhD//ynfE//cdd//gabT//sdaA//fucK//cynS//hyaA//truB//xylA//araD//
ArgR-L-arginine_neg	rhaD//dgcZ//pyrC//glcF//paaA//glpC//nrdA//ilvI//moeA//entC//mpl//pagP//bcsZ//paaB//trpB//phnJ//acs//hypF//
ArgR-L-arginine_pos	moaD//mdh//puuA//gdhA//aroA//
AtoC-phosphorylated_pos	metB//glcF//trpC//
BaeR-Phosphorylated_pos	ackA//speC//
BirA-bio-5-AMP_neg	moaD//puuB//tam//lpxD//treC//
CRP-cAMP_neg	atoB//glpK//sucD//aroG//mhpB//tdcE//bglB//agp//araA//iscS//garL//glpA//glnA//entE//lpxB//deoD//nrfB//ilvG_2//fucI//aceE//purA//paaA//trpC//aspA//nrdF//gntK//bioF//eda//malS//nirD//purL//sdaA//cysD//xapA//frdC//feaB//gltB//ubiG//carB//paaJ//fadB//argG//gabT//caiC//ilvE//xylA//recF//cysH//adhE//chbG//paaG//sdaA//sodB//serC//ubiG//cysD//nrdF//aroG//phnH//tnaA//rutA//xdhC//citF//gnd//glpE//gcvH//xylB//ugpQ//xdhA//fucO//sufS//frdD//chbG//ynfG//aroL//pyrC//fucA//fadB//
CRP-cAMP_pos	alkB//metB//glgP//gabD//fadB//aceB//araD//fadE//fbaA//polA//astE//glpA//bcsZ//aldB//gatZ//zwf//nrdE//metC//hyaC//argG//eda//alkA//dmsB//ilvE//folA//phoA//mhpD//hycB//fadE//citD//nanK//ugpQ//eda//cyaA//pgpC//ilvI//tyrB//phnO//aldA//aroG//lysA//glpQ//dmsC//gcvP//rhaB//phnN//pdeF//sodA//yfdE//paaC//lysA//fucA//nrdA//ung//garR//ilvE//lpxD//patZ//hemL//fumC//entH//mpl//torC//paaK//ybjG//gatD//aldA//tdcE//gutQ//speA//glpB//glcF//sucB//atoB//mhpA//fadE//betB//dmsA//talA//prpE//dsdA//puuC//rdoA//yfdE//bioD//truB//purA//trpB//folA//tadA//tdcB//ascB//pyrD//purF//alaA//ulaD//xylB//nanE//citF//kbaZ//psd//mhpE//gutQ//ilvG_2//katG//fumC//pgpC//pnp//malQ//fucO//ilvE//sodB//tdcG//pyrD//argG//argI//treC//lacA//yeaE//purE//hpt//katG//cysJ//fumB//pgk//gltD//prpB//frdB//icd//udp//sdhD//paaC//hycF//caiC//moeA//gatD//torC//sodB//hmp//glpE//sdhB//thrS//gpsA//phnO//hycE//argD//xdhC//ldtB//bacA//cpdB//astB//gnd//pta//glpB//fdhF//recF//frc//gcvT//yfdE//aceF//metA//amn//napH//torC//glpQ//guaA//frdD//cynT//malP//cheR//sdhC//kbl//hycD//abgA//narG//lacZ//talA//nanK//aceF//entC//aldB//cysM//cdd//mhpB//alkA//hemL//fadE//caiA//lpxD//murQ//argF//narG//entB//phnN//phoA//fucO//alkB//nrdB//lldD//puuD//entA//argB//uxaB//bcsB//deoC//mhpF//paaA//sdhC//aroG//preA//pdeF//metB//ldtC//narG//argB//xdhA//hyaC//purH//mhpB//cysH//prpD//fadA//entH//pyrC//ahpF//lacZ//mhpB//hycB//caiB//frdD//rhaA//lysC//entB//trpA//tadA//ilvC//yfeW//mhpA//gatD//cheB//hyaA//gabT//ilvM//
ChbR-Monoacetylchitobiose-6P_neg	mhpE//lpd//glcB//
ChbR-Monoacetylchitobiose-6P_pos	purL//lysU//abgB//
CpxR-Phosphorylated_neg	moaA//abgA//sodA//
CpxR-Phosphorylated_pos	dmsC//tam//dapD//speC//polA//prpE//idnD//ssuE//aldA//caiB//bglB//paaK//sdaA//argG//tyrA//torC//rutE//pagP//hycD//
CreB-Phosphorylated_neg	prs//
CreB-Phosphorylated_pos	acnB//astC//
CueR-Ag_neg	gcvT//nirB//
CueR-Ag_pos	deoC//paaH//
CueR-Cu+_neg	nrfB//aspA//
CueR-Cu+_pos	fucK//tadA//
CuerR-Au_neg	metB//citC//
CuerR-Au_pos	dmsA//caiA//
CusR-Pasp_pos	gatY//dadA//lpxA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	pta//trpE//nrfB//
CysB-N-acetyl-L-serine_neg	pta//paaJ//lsrG//
CysB-N-acetyl-L-serine_pos	ubiX//aroA//fumA//phnN//pagP//entA//rutC//ynfH//metK//entF//rutD//mutL//carA//
CysB-O-acetyl-L-serine_neg	dnaE//narG//mhpE//
CysB-O-acetyl-L-serine_pos	metB//ubiG//moaE//torC//feaB//citG//acs//mhpC//ldtB//sucD//cynT//lsrK//gltD//uxuA//
DcuR-Phosphorylated_pos	tnaA//rutD//alaA//sucB//
DnaA-ATP_neg	ilvG_1//aroH//glgP//gltB//malQ//
DnaA-ATP_pos	mhpF//yfeW//phnH//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sucB//dmsC//allE//rdoA//ilvA//
DsdC-D-serine_neg	
DsdC-D-serine_pos	nagB//nrdB//
EvgA-Phosphorylated_pos	uvrA//rutB//argE//sucD//ulaF//
