# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lacA//murQ//
Ada-Methylated_pos	narI//phnG//cynT//fadI//
AlaS-L-alanine_neg	lysA//
AllS-allantoin_pos	uvrA//fadI//sucB//
AraC-L-arabinose_neg	rhaA//metF//ilvG_1//deoD//gntK//
AraC-L-arabinose_pos	chbF//moeB//aceA//metK//glcB//
ArcA-Phosphorylated_neg	napC//bioC//yfbR//pyrC//rhaD//puuC//paaI//phoA//malQ//mhpA//pgaD//trpC//entC//paaF//ftnA//cheB//paaK//cueO//garR//frdB//pgk//cyaA//astA//preT//gnd//betA//argH//speA//mhpE//fadA//bioB//hyaB//lldD//polA//metH//cysJ//paaB//glpK//trpC//argE//purL//atoB//bioB//uxaC//carA//rutD//fabZ//atoA//mpl//glpK//alaS//allD//rutE//bcsB//fadD//preT//puuE//mutL//acnA//paaF//citE//aceB//sodA//paaK//atoB//phnI//gltA//pgaD//
ArcA-Phosphorylated_pos	deoC//gltA//caiB//nrfD//purH//lpxA//pgaC//hemL//rhaB//ispE//nirD//glgA//ppiA//citD//chbF//purB//ilvB//cysG//ubiG//aceB//argA//cysM//paaZ//purA//paaZ//treC//aroF//trpD//trpD//trmD//pagP//nagA//astB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	hycE//sufS//pgaC//glpB//ugpQ//galK//uxaC//allE//tyrB//glyA//puuC//
ArgR-L-arginine_neg	serC//lysA//xdhB//ssuD//gdhA//yjeF//lpxD//speC//aldA//bioB//tyrA//cheB//epd//metE//trpB//metE//nrdB//gcvP//
ArgR-L-arginine_pos	galE//sodA//galK//melA//guaA//
AtoC-phosphorylated_pos	pyrC//trpC//dgcZ//
BaeR-Phosphorylated_pos	purB//ynfF//
BirA-bio-5-AMP_neg	pncB//ansB//fadA//hflX//gcvH//
CRP-cAMP_neg	purE//lldD//argD//fucO//citC//speA//mtlD//manA//mltC//tdh//paaJ//glpE//entE//ynfG//entE//phnG//gcvT//thrS//preT//rbsK//purL//hycC//metC//gcvP//trpE//gapA//tauD//truB//dadA//argC//sucD//fumA//mutY//citX//hycB//malS//paaG//citX//narH//rdoA//gpmA//aceF//metC//purC//bcsA//pgaD//alkA//waaH//aldB//argE//mhpF//phnP//cpdB//xdhA//gabT//tadA//ugpQ//citG//murQ//ilvB//gapA//ada//trpB//entB//udp//amn//tdcB//mutY//gutQ//alaA//paaI//pgaC//nrdD//cynT//dmsB//lacZ//tdh//ackA//
