# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	ispE//argB//
Ada-Methylated_pos	phnL//gatZ//psd//gabD//
AlaS-L-alanine_neg	purD//
AllS-allantoin_pos	nanA//idnO//nrfD//
AraC-L-arabinose_neg	pflB//trpC//hflX//mhpD//tdcB//
AraC-L-arabinose_pos	lldD//kbaZ//gcvP//dsdA//chbG//
ArcA-Phosphorylated_neg	xdhA//waaH//hflX//entD//waaH//glpX//glgB//icd//pgaC//hypB//gcvP//uxaC//lsrK//lpxB//cpdB//ilvH//nrfD//glpA//manA//puuD//moaA//nrfC//nanA//nirB//icd//moaA//nanK//ugpQ//hypB//serC//nrdD//hycG//fadH//ldtC//argG//hemA//aroF//malQ//alaS//frdD//codA//oxc//ahpC//paaG//frdC//mutL//araA//astE//manA//kbaZ//nrdB//phnG//eda//uvrA//dmsA//feaB//aspA//upp//lysU//tadA//hycG//alaS//glgC//gntK//rbsD//glyA//citX//dadX//
ArcA-Phosphorylated_pos	metE//idnO//glgA//lacZ//tsaE//ppiA//mtlD//dusB//paaI//caiB//malQ//ynfH//fadA//lldD//idnD//ulaF//argF//deoC//lsrG//glgC//araA//ndh//ssuE//nrfB//lacZ//glpA//fadH//garK//paaK//sucD//adhE//glcD//deoC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	bcsZ//lysC//glnA//ilvH//ilvM//serA//dusB//purF//phnG//chbG//puuC//
ArgR-L-arginine_neg	ilvC//bcsB//ilvC//paaC//aldB//cysC//citD//phnL//cysN//ampD//phnI//glcE//upp//ynfG//hypB//yfdE//aroG//fdhF//
ArgR-L-arginine_pos	ilvB//araD//frdB//ubiA//lpxB//
AtoC-phosphorylated_pos	araA//narI//acnA//
BaeR-Phosphorylated_pos	trpC//ilvM//
BirA-bio-5-AMP_neg	napB//pncB//mhpB//lysA//pgaD//
CRP-cAMP_neg	phnJ//waaH//paaC//aldB//phnG//betB//patZ//ubiC//ilvN//rhaA//nrfC//truB//citC//nrfD//fadI//gpsA//prmC//pflB//ulaF//pck//nrfC//rnpB//fes//pdeF//lacA//ilvD//sdhC//moaE//entF//metL//idnK//tdcG//frdD//metH//bglB//ynfG//fabZ//phnM//ilvM//purD//puuC//citD//glpQ//fau//allC//sucA//sucB//adhE//argA//lpxD//narG//ubiX//paaC//rhaD//ulaD//gltD//uidA//galM//chbG//dadA//ldtC//pheS//glpC//xapA//purA//ubiC//garR//ilvA//truB//talA//ubiX//glpX//rhaD//dmsC//hycG//fadJ//hypF//rhaA//
