# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lysU//nagB//
Ada-Methylated_pos	tyrA//ilvD//glpX//ilvH//
AlaS-L-alanine_neg	bacA//
AllS-allantoin_pos	xdhA//dnaE//narI//
AraC-L-arabinose_neg	ampD//hypB//yeaE//acnA//oxc//
AraC-L-arabinose_pos	kbl//ilvI//sdaA//astB//nrdE//
ArcA-Phosphorylated_neg	nrfC//gutQ//speC//nanE//ubiC//purF//argB//ilvD//edd//nrfA//entA//bioB//waaH//araB//ilvA//gntK//gltD//rbsD//aroF//mutY//phnI//trpA//glyA//tadA//argC//paaK//icd//pnp//glgB//ynfG//rutB//trpE//allC//idnO//upp//fucI//frdA//uvrA//cyoE//ynfH//alkA//lpxA//preA//nanK//acs//rbsK//serA//lsrK//xdhA//hycF//citG//galK//prpE//ldtB//napG//torA//pgaB//paaJ//dkgB//hycG//glcE//ybjG//entC//phnM//puuA//caiC//prpC//cysG//
ArcA-Phosphorylated_pos	mltC//puuA//fucI//narI//tdcE//ogt//hpt//argD//metH//frdB//slt//sucD//moeB//bioD//torA//lacZ//hcp//nrdB//nanA//uidA//katE//zwf//paaC//astE//bcsZ//uxaB//glpQ//ubiX//yfeW//melA//sdhC//puuB//hflX//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	ilvM//bioF//fadI//glgC//ldtC//yfbR//idnD//lhgO//lacA//dkgB//entD//
ArgR-L-arginine_neg	phnH//purF//prpC//tadA//glpB//glcF//cheB//purA//puuC//hyaB//narI//gltB//cysJ//lpxD//phnO//sdhC//caiB//purN//
ArgR-L-arginine_pos	prmC//gdhA//cyoE//fumB//entD//
AtoC-phosphorylated_pos	cysJ//iscS//atoD//
BaeR-Phosphorylated_pos	cpdB//nrfD//
BirA-bio-5-AMP_neg	ftnA//ilvG_1//prmC//dmsB//betB//
CRP-cAMP_neg	kbl//acs//nirD//purH//mtlD//prpB//astE//fucI//fes//paaG//fadJ//cheB//deoC//uvrA//argI//mhpD//uxaB//paaZ//moeA//ispE//appA//paaC//aceA//puuA//xdhC//atoA//paaF//prs//mhpA//tyrA//rhaD//purM//fadD//astB//sdhD//fdhF//bcsZ//miaA//idnO//aroL//caiB//pagP//lysA//bcsA//bcsA//pgk//chbF//guaB//metA//speA//aldA//lacZ//galM//fadD//nrdF//mhpA//phnM//epd//acs//pck//nirB//narH//phnG//ispE//glgX//alaA//hycG//lacA//purN//entB//gabD//rbsK//avtA//moaE//hmp//fumB//tnaA//fadB//
