# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	hyaB//cysM//
Ada-Methylated_pos	lpxB//gntK//lsrG//rutA//
AlaS-L-alanine_neg	truB//
AllS-allantoin_pos	hyaB//napB//agp//
AraC-L-arabinose_neg	eda//aldB//prpD//aroG//katE//
AraC-L-arabinose_pos	speC//glyA//ansB//narH//paaK//
ArcA-Phosphorylated_neg	katG//mutL//deoA//bcsA//slt//icd//argG//glcD//dmsC//fabZ//entF//pyrC//acs//gcvH//metC//entF//aroH//rbsD//avtA//phnG//prpC//frdC//citX//puuA//sodB//speC//uxuA//hyaA//uxaA//gntK//sucC//glcE//deoB//napC//idnD//pgk//xdhB//aroG//lpxD//hycE//sdhC//narH//gutQ//pgpC//idnD//aceA//fumA//glpQ//trmD//metF//entA//prpC//ftnA//cysC//idnD//aroL//gpsA//ulaF//aroL//trpB//puuB//yfdE//nagA//kbl//araB//ilvI//polA//nrdB//
ArcA-Phosphorylated_pos	astC//gcvP//xylA//moaA//edd//nrdF//lsrG//astA//lsrK//malZ//aroF//carA//iscS//gapA//rutA//fabZ//mhpD//glgA//puuC//prpB//phnM//napH//gpmA//acs//entA//kbaZ//trpA//phnI//ogt//nrdF//yfdE//gabD//bglB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	aldA//cysM//atoB//pdeF//alkB//fadI//gabT//entD//paaK//ulaD//umpH//
ArgR-L-arginine_neg	bioB//prpE//avtA//appA//nadC//mhpA//acs//katG//ulaE//paaF//metL//moeB//hypF//ogt//aroH//ispE//adhE//preT//
ArgR-L-arginine_pos	moeA//serA//talA//speB//glpC//
AtoC-phosphorylated_pos	bioF//bcsB//pyrD//
BaeR-Phosphorylated_pos	frc//hypB//
BirA-bio-5-AMP_neg	phnN//pgaD//mhpE//ldtC//galE//
CRP-cAMP_neg	malY//ubiA//yeaE//dapB//pgpC//malZ//fdhF//xylA//hypB//nrdD//purB//fucU//hycB//metH//fucA//waaH//yjeF//patZ//lacZ//frdB//astE//bcsZ//cysM//ansB//caiA//paaE//fumB//tyrB//sdaA//gnd//paaA//puuA//mtlD//sdaA//aldB//deoD//tyrB//phnH//moaE//purH//avtA//fes//nrfD//allD//pgaD//citG//hycG//aroA//malQ//cysK//purN//patZ//paaH//mpl//ilvB//glpC//speC//idnK//malS//speC//purL//fucU//caiB//garR//aroG//amn//paaE//ilvG_2//citE//ynfF//adhE//serC//cysJ//trpC//sodA//bcsZ//treC//malP//
