# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glgP//nrdB//
Ada-Methylated_pos	astC//citC//purK//trpD//
AlaS-L-alanine_neg	gltA//
AllS-allantoin_pos	dapB//yqjH//cynT//
AraC-L-arabinose_neg	purM//guaA//sucC//yqjH//phnG//
AraC-L-arabinose_pos	truB//nirD//fadD//nagA//sdhC//
ArcA-Phosphorylated_neg	entF//glgX//rhaB//fucU//glgX//sdhA//eda//metF//trpB//xylB//ynfE//astB//folA//trpC//deoB//xylA//ftnA//mpl//nrdF//ada//pflB//paaI//purA//cynS//icd//paaA//araD//glgC//astA//ahpC//araD//rutB//fadD//amn//pyrC//nagB//prmC//icd//slt//murQ//prs//glgX//garK//sucC//deoD//rbsK//gatZ//hcp//glpE//malZ//purB//glcF//ilvN//mtlD//bioD//aroL//xdhC//aldA//aldB//pgaC//puuC//codA//ilvM//mutY//nanA//dadA//hycF//gpsA//
ArcA-Phosphorylated_pos	cysI//entB//rhaD//slt//ilvN//glgX//nanE//preA//tehB//cyaA//ilvN//citX//aceF//bioD//allC//rutD//guaA//purA//gcvT//aldA//katE//icd//prmC//moeA//prpB//ahpF//ilvM//ubiG//deoD//deoB//serA//puuE//ubiC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	glyA//sdhA//ansB//malZ//deoD//ynfE//aceE//sucB//idnD//mhpF//moeB//
ArgR-L-arginine_neg	uvrA//rhaD//acs//metC//bglB//metA//ilvG_1//murQ//ldtC//cysM//bglB//gatY//ubiX//cysJ//glpA//pck//purB//trpC//
ArgR-L-arginine_pos	purA//ilvN//kbaZ//araA//carB//
AtoC-phosphorylated_pos	preA//xdhB//gltA//
BaeR-Phosphorylated_pos	ulaF//aceB//
BirA-bio-5-AMP_neg	dusB//alaS//pheS//puuD//mtlD//
