# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	metC//bioD//
Ada-Methylated_pos	mhpA//aldA//pgk//allC//
AlaS-L-alanine_neg	rutA//
AllS-allantoin_pos	napB//sucA//phoA//
AraC-L-arabinose_neg	gcvH//gltA//hpt//prs//glgB//
AraC-L-arabinose_pos	ilvI//cysI//guaA//metC//recF//
ArcA-Phosphorylated_neg	entH//narG//pgaC//pnp//garK//narI//tktB//nagA//malY//fdhF//rdoA//pdeF//pgpC//pgaD//lpxA//folE//xapA//nagB//rhaA//aceF//folA//nrdA//glcD//aceE//lpxD//ilvG_1//lsrK//chbG//uxuA//edd//sdhC//trpC//mhpC//galT//dsdA//tehB//malY//kbaZ//ynfF//deoA//abgB//tyrA//puuC//ilvD//caiA//phnH//aspC//lysC//gntK//gapA//napH//xdhA//ppiA//paaZ//pnp//uxaA//gabT//adhE//moaE//iscS//mdh//agp//puuE//lpd//talA//paaZ//ispE//dusB//
ArcA-Phosphorylated_pos	pheS//lacA//preA//polA//alkA//entH//astB//purL//cadA//astE//argF//pgpC//mutL//lpxB//ubiC//phnL//codA//phnI//glcF//tnaA//bioC//hflX//entA//fumA//ahpC//tyrB//glgP//polA//glpA//hflX//glcF//cysD//pgaD//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	cysC//gatY//nrfD//fadJ//glpC//prmC//purE//moeB//speC//lacZ//bioA//
ArgR-L-arginine_neg	citG//sodA//mutY//ssuE//nrdB//pta//fadB//uidA//cynT//gntK//bioB//alaS//gapA//cysC//rhaD//cadA//phnJ//fadI//
ArgR-L-arginine_pos	uvrA//ilvG_1//ilvE//moaA//treC//
AtoC-phosphorylated_pos	tyrA//xdhB//aceA//
BaeR-Phosphorylated_pos	sdhA//purC//
BirA-bio-5-AMP_neg	thrS//cysH//cyaA//argD//fumA//
