# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	recF//torA//
Ada-Methylated_pos	fadH//sucB//rhaA//gcvP//
AlaS-L-alanine_neg	gltA//
AllS-allantoin_pos	aceA//gcvT//metA//
AraC-L-arabinose_neg	uxaC//nirB//ubiX//malQ//mhpC//
AraC-L-arabinose_pos	rhaD//dadA//mutL//metF//ahpF//
ArcA-Phosphorylated_neg	ilvC//deoC//waaH//idnO//sodB//citD//hyaA//ssuE//ynfH//gatD//treC//adhE//argI//prpE//phnH//ada//citE//trmD//guaA//fadE//moaE//epd//ilvM//ppiA//glgA//carA//katE//nanM//glcB//aldA//nanA//lsrF//prpC//fau//napC//cysH//argI//purC//citD//astA//nagB//metB//dapB//gpsA//purC//mutY//psd//ulaD//glgC//cynS//ppiA//tyrA//dadX//nrfC//cysN//astC//argG//psd//argA//argD//ascB//prpC//frdD//puuB//rutE//deoD//ldtB//feaB//
ArcA-Phosphorylated_pos	fumC//pagP//rutB//paaE//hycG//speA//uxuA//ndh//hpt//prpE//mpl//preA//mutY//gcvH//citD//mhpE//gutQ//pck//lldD//cysM//deoD//ynfF//uxaB//lacA//acs//ldtB//sodA//astC//ilvM//upp//fumC//nanM//puuB//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	tehB//gatZ//ackA//ilvH//cynT//entA//trmD//gatD//pgpC//caiB//napH//
ArgR-L-arginine_neg	lsrG//caiC//zwf//nanE//garK//appA//napG//metL//ldtB//fadE//lsrK//ada//purL//metH//rbsD//nanK//folA//aceA//
ArgR-L-arginine_pos	abgA//betA//nagA//cynS//lysU//
AtoC-phosphorylated_pos	narI//citD//aspC//
BaeR-Phosphorylated_pos	aspC//ispE//
BirA-bio-5-AMP_neg	pagP//glyA//tdh//galT//pgk//
CRP-cAMP_neg	xylA//lacZ//manA//idnD//caiA//rhaD//cadA//cysH//fumA//ynfE//gabT//astB//malQ//gnd//abgB//dadX//purA//acnA//abgA//pgpC//tdcB//sdhA//pagP//gltA//pgk//entF//fadA//paaG//pgaC//glcE//torC//malZ//xapA//ilvC//dmsC//frdC//trpC//fadH//codA//preT//guaB//deoC//guaA//dmsC//glpE//pheT//aldA//folE//tdcD//citE//agp//uidA//phnJ//pagP//malP//rdoA//puuE//dnaE//paaC//abgB//hmp//ulaF//rutE//uxaB//sodB//glpQ//mutY//ilvH//ispE//sucA//argA//nanM//dapD//xdhA//garK//hemL//aspC//aroL//
