# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	cysH//yjeF//
Ada-Methylated_pos	kbaZ//frdB//kbaZ//mhpF//
AlaS-L-alanine_neg	argI//
AllS-allantoin_pos	glpA//mutL//tdcG//
AraC-L-arabinose_neg	glpQ//yfdE//prmC//prmC//frdB//
AraC-L-arabinose_pos	fumB//gdhA//pheS//sodB//phnL//
ArcA-Phosphorylated_neg	mhpD//argD//nanM//fadI//nrfA//pheT//napH//prpE//lhgO//icd//phnH//deoA//hcp//trmD//ubiC//narH//metL//garR//prmC//nrfA//tdcB//edd//yqjH//astA//trpB//malQ//ynfH//napH//fucI//fau//argI//mhpC//lpxD//aldA//citX//srlD//mhpB//rnpB//icd//purL//pgaD//argI//garR//bcsB//gatD//rutD//purD//gltD//mhpF//entH//speB//hycD//paaB//abgA//dmsC//ldtC//hpt//mpl//sucB//nirB//napG//ulaD//gapA//allE//gatD//glcB//aspA//rhaD//
ArcA-Phosphorylated_pos	ogt//cysK//dmsA//purN//trpE//fumC//lacA//rdoA//hflX//hemL//nanK//hyaC//codA//sucB//napG//xylA//napC//prs//purE//hcp//ada//chbF//ubiX//murQ//purH//purE//aceA//araB//caiA//dmsC//tauD//gdhA//glpQ//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	umpH//citE//dadX//gabD//talA//ulaF//prpB//fumB//garK//entH//speC//
ArgR-L-arginine_neg	frdB//sucA//pncB//aceB//purF//paaB//fucO//fadI//tktB//fdhF//adhE//fucU//xapA//puuE//preA//zwf//cheR//gatD//
ArgR-L-arginine_pos	fumC//sucA//araB//bioB//prmC//
AtoC-phosphorylated_pos	lldD//betB//fucK//
BaeR-Phosphorylated_pos	glcF//nrfC//
BirA-bio-5-AMP_neg	gadB//dadX//alkA//argE//caiD//
CRP-cAMP_neg	gcd//folE//phnG//malS//moaD//paaZ//glcB//rhaA//abgB//hypB//allC//ugpQ//bioD//frdD//mutY//nrdA//argF//cheR//paaG//idnO//rnpB//dgcZ//astA//hycD//thrS//nrdA//rutA//hypF//mhpB//caiA//mhpC//epd//phnL//rutE//serA//acnB//nrdB//entC//yqjH//citC//rhaA//cysK//purF//entD//ubiA//ynfG//fucI//hemL//bioA//entC//nrdA//hyaC//idnD//ugpQ//argI//paaC//ung//gdhA//sdhA//lldD//ackA//garR//cysD//purD//icd//nrdA//phnG//glpD//oxc//glpX//glcF//torA//frdB//katE//frdB//entH//yfeW//rhaA//
CRP-cAMP_pos	tdcG//dmsC//glcF//pgaD//cysN//sdhA//fadJ//preA//fes//aceE//malS//guaB//glpB//glgC//purB//napA//ada//trpE//ubiA//aroF//guaB//purM//ssuE//dmsB//pyrC//lysU//aceA//carB//phnM//pheT//moaE//argH//ilvE//phnJ//ldtB//aceB//purA//fadA//fucA//napH//glgC//ogt//cysH//sdaA//entE//ilvM//nirB//fbaA//fadB//gabT//fdhF//deoD//xylA//nrfC//dkgB//entD//sdhD//glpB//mhpA//yfbR//ugpQ//napG//cysG//ilvN//carB//pgaB//upp//purM//metE//adhE//dmsA//dmsB//argA//caiC//citF//icd//gapA//atoA//citG//nrfC//yfbR//purE//cyoE//tktB//ilvC//ubiX//glpC//frc//fau//napC//sdhD//torA//glcD//hmp//phnG//mhpF//cheR//hyaA//sucC//narI//atoA//frc//dnaE//pflB//aspC//ubiA//ilvG_2//phnM//nrdE//glpD//mtlD//nirD//betB//pyrD//phnO//nadC//cadA//ndh//fabZ//argE//ubiA//chbF//nrdA//codA//purN//napB//gadB//umpH//gltB//argH//narG//udp//treC//phnJ//rutC//uxaC//fadD//ubiG//fadI//ulaE//lsrF//ackA//ahpF//caiB//paaI//phnL//ubiA//ilvE//gltA//caiD//trpA//sdhB//purN//gnd//narH//gltD//idnK//aceF//serC//ilvH//ubiC//cynS//murQ//phnN//nanA//xylB//garR//ubiA//yfdE//ulaD//xylA//chbF//feaB//purH//rhaB//pgaD//ada//iscS//epd//frdC//argD//citG//allE//rnpB//pgaB//cyaA//moaD//yeaE//puuD//hflX//aldB//cynT//napB//rhaB//gadB//hpt//fes//hycB//puuE//xapA//allD//ilvG_2//appA//phnN//mhpF//uxuB//paaH//hycD//nrfD//sucA//cysK//mhpC//udp//torA//moeB//tam//lysU//aroG//sdhB//purA//araA//paaH//ubiG//frc//purD//aspC//bglB//frdD//argB//xapA//nrdB//tauD//ampD//hycB//dsdA//glpB//paaB//xdhB//upp//glpA//glgP//entE//torC//
ChbR-Monoacetylchitobiose-6P_neg	pta//phnH//xdhC//
ChbR-Monoacetylchitobiose-6P_pos	argD//gcvH//lpxA//
CpxR-Phosphorylated_neg	thrS//sucC//speA//
CpxR-Phosphorylated_pos	mtlD//ilvA//argI//tadA//garK//gabD//trmD//nirD//mutL//ubiA//glpA//speC//chbF//uxaC//hycD//cysI//glcB//glpK//hyaA//
