# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	rhaD//dgcZ//
Ada-Methylated_pos	paaA//caiC//alkB//abgB//
AlaS-L-alanine_neg	dapB//
AllS-allantoin_pos	tyrA//rbsK//malZ//
AraC-L-arabinose_neg	nrdE//avtA//ilvH//araB//malY//
AraC-L-arabinose_pos	fadE//tyrA//yeaE//phnH//napA//
ArcA-Phosphorylated_neg	gutQ//araA//nirD//polA//uidA//dkgB//sodB//ulaF//rutC//cheR//rutA//iscS//pflB//cheB//malY//hypB//cysH//polA//aldB//speB//abgB//bcsB//araD//cynT//prmC//ogt//paaJ//dnaE//tsaE//rhaA//icd//lsrF//xapA//patZ//gpmA//rhaD//dapD//paaE//bcsB//rhaD//paaE//xylA//napB//napG//lpxD//dadX//cyaA//prpC//aroL//tehB//entH//nirB//fucI//araA//folE//citC//slt//trpD//cpdB//citX//glpA//paaG//metC//guaA//frdC//miaA//metE//phnO//
ArcA-Phosphorylated_pos	truB//bcsZ//fumC//frdD//glpB//allD//gnd//tyrB//eda//cysG//bioA//tdcG//zwf//nrdE//sucB//deoB//uxaB//rutE//dusB//phnL//pnp//paaB//malZ//fumB//sdhA//mutY//mltC//serA//ispE//iscS//paaB//nirD//uxaC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	pck//nrfC//tehB//aroA//polA//folE//idnK//araB//pta//fumB//upp//
ArgR-L-arginine_neg	lsrK//argB//alkB//pheS//prpD//moaE//cdd//sucA//metB//tdcD//entH//tdcG//fabZ//ilvM//gltD//bacA//hmp//astB//
ArgR-L-arginine_pos	caiD//mutL//cysH//rutC//recF//
AtoC-phosphorylated_pos	yeaE//mhpB//fadA//
BaeR-Phosphorylated_pos	purM//argH//
BirA-bio-5-AMP_neg	prpB//codA//acnB//puuD//patZ//
