# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	dmsC//ada//
Ada-Methylated_pos	dadA//metL//napA//pgk//
AlaS-L-alanine_neg	gapA//
AllS-allantoin_pos	gnd//katG//speB//
AraC-L-arabinose_neg	nrfA//paaB//trpC//lsrG//dmsC//
AraC-L-arabinose_pos	gltD//caiA//sdaA//psd//mdh//
ArcA-Phosphorylated_neg	purL//fucI//recF//ahpC//tdcG//lpxB//recF//torA//oxc//purK//uxuA//gltB//citC//phnL//ynfG//metF//ahpC//aldB//rutC//phnN//atoD//mltC//cysI//slt//fucA//udp//trpA//fabZ//cyaA//hypB//glcE//dusB//tktB//phnM//acs//torA//citF//ybjG//trpC//cadA//cysI//gatD//garL//entD//argI//glgX//tadA//nrdF//psd//entF//cadA//lpxB//cynS//prmC//frdA//uvrA//cynS//gltA//trpE//moaA//citD//phnH//frdD//ndh//idnD//xylB//xylB//napG//
ArcA-Phosphorylated_pos	mhpB//ilvB//phoA//hycB//puuE//hycF//nirD//gatD//nirD//cadA//prmC//fdhF//fadE//aroG//garR//speA//trmD//ppiA//codA//uxaA//lhgO//fadJ//folE//galE//idnD//kbaZ//thrS//frdB//aceB//avtA//ilvC//guaB//ubiG//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	trpA//rutC//nirD//citF//metK//deoB//yfdE//cyaA//gcvH//metL//ilvH//
ArgR-L-arginine_neg	phnL//entF//purC//rutB//sdhA//ahpF//idnK//betB//glgA//glgA//gcd//caiA//rnpB//gnd//purD//yeaE//ada//glpC//
ArgR-L-arginine_pos	phnL//argD//astC//glpC//sdaA//
AtoC-phosphorylated_pos	galM//acs//phnO//
BaeR-Phosphorylated_pos	prmC//phnG//
BirA-bio-5-AMP_neg	mltC//garR//fadD//uvrA//ulaE//
CRP-cAMP_neg	gnd//dmsA//nrdE//purC//cpdB//gatZ//pheT//uxaA//lhgO//bioA//nagA//aldA//aspA//xapA//lsrG//lpxD//cysI//hycD//pgaC//gutQ//phnO//hemA//phnJ//nirD//lpd//yqjH//uxaB//argD//purK//idnD//melA//ilvI//lysC//purF//glyA//metA//nanA//fbaA//polA//metC//tehB//pagP//cysC//pdeF//hyaA//cyaA//lldD//ilvD//slt//uxuB//thrS//bioB//galE//glcE//lpxD//mutL//gltD//mpl//cyoE//prpE//iscS//pgpC//pck//yfbR//pgaD//dadA//ilvM//argG//nrfC//dnaE//polA//kbaZ//gdhA//fadB//tsaE//pnp//chbF//moaE//
CRP-cAMP_pos	gatZ//purM//deoA//pck//ilvN//garL//mltC//aroL//cysG//phoA//paaB//entA//dapD//umpH//bcsZ//lysU//nrfB//lysA//yjeF//argH//nanM//dadA//caiA//rbsD//ubiC//ulaD//cpdB//glpD//purH//ilvA//fadA//ilvE//melA//eda//sdhB//phnH//feaB//talA//gpsA//ung//xylB//ilvG_2//zwf//truB//xdhB//citF//fadA//alaS//glcB//astC//ubiG//lpxB//ansB//gadB//uxuB//uxuB//puuD//acnB//thrS//hypB//xylB//uidA//argG//nrfA//citG//melA//ilvN//paaA//tdcD//xapA//ilvI//prmC//puuB//codA//rutE//polA//mhpB//narI//nanE//speC//ilvE//abgB//ilvM//rdoA//malP//lpxA//paaI//lpxB//argF//acnA//tyrA//hycC//mutY//glyA//lsrK//atoA//deoB//glgP//gltA//phoA//ulaD//dmsA//lacA//bioB//dapB//gdhA//cysM//purD//prpD//tdcE//caiC//atoD//prmC//fadI//ugpQ//acnA//ilvG_1//prmC//entF//guaB//serA//rbsK//rutB//truB//yfeW//truB//purM//avtA//idnD//feaB//lysU//sufS//paaH//frdA//amn//gcd//trpC//argB//fbaA//chbF//pgaD//napB//xapA//nrdE//phnL//metK//cdd//chbG//xdhB//lpxD//entA//citX//tnaA//napB//argI//cpdB//gabT//ansB//garL//malZ//napA//citD//gapA//cynS//rutC//ldtC//lysA//melA//tsaE//fucK//malS//napH//dapD//lacZ//speA//hycE//glcD//uxaC//glcB//astB//rutE//feaB//ldtB//glpX//tyrB//cysJ//mutL//glpA//glpX//dapB//carA//sucA//gpsA//ulaE//purB//glpC//puuB//glpD//prpE//codA//dmsB//moaE//nagB//sucC//tsaE//ndh//atoB//atoD//nanE//rutB//purM//hemA//ldtB//mhpD//ldtC//rhaB//abgB//citD//thrS//acnA//idnK//abgB//treC//gcvP//nrfB//uxuB//citE//araD//hycB//purN//prpD//deoC//metH//fadD//rhaB//uxuB//hcp//argF//tdcD//lysU//tdcD//hycD//dkgB//
ChbR-Monoacetylchitobiose-6P_neg	glpC//glpK//chbG//
ChbR-Monoacetylchitobiose-6P_pos	nirB//astB//galT//
CpxR-Phosphorylated_neg	dadA//gntK//bioD//
CpxR-Phosphorylated_pos	acnA//pnp//glyA//pgaB//katG//trpA//rhaD//trpB//nrdE//purL//lldD//purK//allD//moaE//citG//gcvH//gabT//chbF//galE//
CreB-Phosphorylated_neg	phnG//
CreB-Phosphorylated_pos	cysD//prmC//
CueR-Ag_neg	cueO//rhaD//
CueR-Ag_pos	miaA//sucC//
CueR-Cu+_neg	rbsD//nirD//
CueR-Cu+_pos	adhE//moaA//
CuerR-Au_neg	phnO//purA//
CuerR-Au_pos	acs//srlD//
CusR-Pasp_pos	fumB//prmC//atoD//
CynR-Cyanate_neg	
CynR-Cyanate_pos	malP//glpC//mhpA//
CysB-N-acetyl-L-serine_neg	rnpB//dmsB//entE//
CysB-N-acetyl-L-serine_pos	rhaA//glcD//fumA//narH//slt//guaB//astE//glgC//rnpB//hycD//rutE//ldtC//lpd//
CysB-O-acetyl-L-serine_neg	fucA//pheS//nanA//
CysB-O-acetyl-L-serine_pos	argB//phnL//pflB//cysD//argF//hemA//phnL//paaI//paaH//xdhB//mpl//cadA//argF//prpC//
DcuR-Phosphorylated_pos	abgA//dgcZ//tsaE//gpmA//
DnaA-ATP_neg	gutQ//prpC//rbsD//malZ//nrdE//
DnaA-ATP_pos	cysG//rdoA//idnD//
DpiA-Pasp_neg	
DpiA-Pasp_pos	chbF//moaA//edd//galM//argF//
DsdC-D-serine_neg	
DsdC-D-serine_pos	pheS//ubiG//
EvgA-Phosphorylated_pos	hyaB//sodA//yjeF//ldtC//rhaA//
FNR-Fe_neg	glpA//dadX//ubiX//entB//citC//astA//mtlD//sdhA//chbG//fumA//lsrG//ynfE//astA//argG//ynfE//moaA//pncB//glgX//glnA//lacZ//ahpF//amn//bacA//miaA//pgaD//ilvG_1//entD//gcvH//puuA//paaH//ubiX//kbl//cysH//glcB//nirB//ung//gpmA//trpC//tadA//entH//phoA//ilvC//aroF//rbsD//hypF//ldtB//hycE//
FNR-Fe_pos	ynfG//ilvN//tyrA//paaE//cheB//tyrB//ssuD//lysU//hflX//cadA//aroG//gltB//srlD//uxuA//polA//hcp//rhaB//nrfA//gutQ//paaK//aceF//gapA//puuC//caiD//gabT//paaK//trpE//deoA//mhpA//prpE//argF//gatZ//nrfD//tadA//adhE//paaB//fadA//frdD//paaC//gadB//trpA//edd//paaB//gabD//iscS//dmsB//astB//folA//nanE//bioC//nrdF//rnpB//napG//narI//gdhA//idnK//lpxD//mhpF//yfbR//moaA//rnpB//hmp//citG//galE//ppiA//gatY//cheB//bioB//galT//acnA//kbaZ//hycG//nanE//gcd//mpl//lpxA//ssuD//ynfG//astB//phnM//gntK//glcB//allC//xdhB//ampD//ilvE//entF//ilvA//citD//nagB//argE//xdhB//
FhlA-Formate_pos	glcE//ada//astE//preA//glpK//yqjH//tyrA//
FucR-L-fuculose-1-phosphate_pos	tdcG//fadB//argE//uidA//xylA//ynfG//
Fur-Fe2+_neg	purB//umpH//eda//adhE//rnpB//polA//alaA//uidA//metL//napG//xdhC//paaB//cdd//nrfC//pgaB//paaG//uxaA//lpxD//mpl//tdcB//ilvE//fumB//torC//malS//pdeF//upp//agp//ynfE//cysM//fadB//pgk//deoC//dapD//polA//ppiA//gcvH//cysC//galE//purF//ilvA//folE//xdhB//xdhB//sodB//napA//alaS//ubiA//caiB//puuC//adhE//tdh//phnH//rhaD//lhgO//ansB//ubiA//malY//dmsA//hemL//
Fur-Fe2+_pos	phnL//puuB//lsrK//aroH//folA//glgP//puuC//cheB//hycG//moeB//mhpD//mhpA//speA//ubiC//mutY//mtlD//chbF//aroH//cynS//tdcD//
Fur-Mn2+_neg	allC//pgaC//citD//pyrC//nrfD//ilvG_1//paaA//puuE//nrfD//puuD//dmsB//cheR//katE//malP//metA//dapD//dusB//phoA//ynfF//ilvM//prpE//moaA//argG//trpD//katE//mdh//astA//fucU//phnI//gatY//yfeW//katG//phnN//sdhC//paaK//yqjH//nrdF//alkB//tdcE//malY//paaG//cysN//alkB//purN//ulaE//gutQ//ynfG//phnM//hflX//frdB//argC//napA//galE//aceE//katE//hypF//paaH//ispE//puuE//
Fur-Mn2+_pos	tktB//frc//serC//napB//phnG//fadI//glgC//guaA//hyaA//purM//epd//fucI//paaB//cysD//argB//ampD//torC//narH//ftnA//umpH//
GlcC-Acetate_neg	
GlcC-Acetate_pos	sdhB//psd//sdhA//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	chbF//speA//fucA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	caiA//paaZ//mpl//
IdnR-5-ketogluconate_neg	uxaA//hemA//
IdnR-5-ketogluconate_pos	mhpF//bcsZ//entH//yeaE//
IdnR-Idonate_neg	ilvC//uxuB//
IdnR-Idonate_pos	paaC//sucA//agp//truB//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	speA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	guaB//
IscR-2Fe_neg	gpsA//aceE//lacA//citC//deoD//
IscR-2Fe_pos	purA//araB//
LldR-L-lactate_neg	ilvN//ascB//
LldR-L-lactate_pos	aspC//rdoA//
Lrp-Leucine_neg	hycF//garK//araB//bioC//glpK//melA//manA//napA//nagA//hemL//nrdF//aroL//prpB//lpxD//metL//araA//prpC//narG//appA//astC//pnp//ilvC//phnJ//nrdF//
Lrp-Leucine_pos	nagB//argB//purE//tyrA//hycE//pck//appA//nanE//acnA//dmsC//cysH//puuD//argB//fadI//gatY//gltB//metK//aspC//
LsrR_neg	cysM//glpK//glcD//yjeF//ulaD//
MalT-ADP-Maltotriose_pos	glpD//nanM//argI//metB//rutA//ogt//
MalT-Maltotriose-ATP_pos	alkB//tyrA//galM//glgA//srlD//pyrD//
MelR-Melibiose_neg	tsaE//deoD//
MelR-Melibiose_pos	mdh//purM//
MetJ-S-adenosylmethionine_neg	ubiX//katG//uxuA//trpD//glnA//metK//mhpF//guaB//fucK//agp//
MetR-L-homocysteine_neg	sucD//
MetR-L-homocysteine_pos	aldA//nirB//napG//nrfA//
MhpR-3-DHPP_pos	nagA//xdhC//dnaE//fabZ//murQ//mhpD//
MhpR-3HPP_pos	abgB//metL//dapB//cysK//gadB//caiB//
MntR-Cd2+_neg	chbF//
MntR-Cd2+_pos	rutA//
ModE-MoO42-_neg	nrfD//hcp//lsrG//narH//mutY//nirD//bioF//moeB//
ModE-MoO42-_pos	metL//garK//ilvI//dadA//mhpE//torA//
NarL-Phosphorylated_neg	galM//metB//deoD//glgC//paaJ//fumC//hycG//fbaA//cdd//ldtC//pncB//pyrD//nanE//glgA//aceA//dsdA//metK//bioA//thrS//cysK//frdD//yqjH//narG//puuD//
NarL-Phosphorylated_pos	ynfH//ilvN//pyrD//cdd//deoD//moaD//gatZ//ppiA//sodA//cpdB//xdhC//paaK//dnaE//pncB//sodA//
NarP-Phosphorylated_neg	hycC//gdhA//hyaC//
NarP-Phosphorylated_pos	codA//frdC//bioB//gltB//preT//deoB//trpE//purD//glpX//argG//
NhaR-Na+_pos	glpA//phnN//sdhC//sdaA//
NikR-Cd2+_neg	puuB//
NikR-Co2+_neg	lacZ//
NikR-Cu2+_neg	glpX//
NikR-Ni2+_neg	tdcB//
NikR-Zn2+_neg	fes//
NrdR-ATP_neg	argH//narH//yqjH//uxaC//
NrdR-Zn2+_neg	malZ//argH//phnI//dapD//
NrdR-dATP_neg	fabZ//nagB//hypB//narG//
NsrR-2Fe_neg	malY//alkB//rutD//nagA//trpE//frdB//pgk//dapB//nanK//citF//srlD//moaE//tyrA//glcE//frdD//ssuE//purM//bioC//gadB//paaI//puuA//paaK//fdhF//citE//nrfD//hpt//rhaB//trpB//mhpD//mdh//
PhoB-Phosphorylated_neg	phnL//hflX//entD//nrfB//garK//
PhoB-Phosphorylated_pos	aldB//lhgO//mhpA//rbsD//ulaF//mhpE//uxaC//atoD//puuD//gdhA//trpE//oxc//napC//narH//gpsA//katE//trpB//
PhoP-Phosphorylated_neg	citF//ilvG_1//puuC//
PhoP-Phosphorylated_pos	pagP//glcE//aldB//uxuA//idnD//cyoE//hyaC//ulaD//acnB//lpxA//codA//napH//ulaF//aldA//fadB//dapB//preA//argA//paaF//malS//glcE//metE//tyrA//mltC//ilvN//carA//citD//metF//paaK//mhpD//yfbR//rutD//deoD//narI//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	argA//gadB//gatD//prpD//
PurR-Guanine_neg	agp//entC//pagP//phnM//mhpA//phnN//cysM//puuA//fumB//malY//moeA//pgaC//lhgO//lpxB//chbF//torC//edd//astB//glgX//phnO//caiD//hypB//nanA//avtA//cynT//adhE//cysG//
PurR-Hypoxanthine_neg	glpK//pnp//tyrB//fdhF//glpQ//ybjG//galK//allE//ubiA//serA//acs//gltA//purH//eda//dkgB//carA//rhaA//purF//alkB//paaI//galT//hflX//gabD//fabZ//tktB//xapA//fucI//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	hyaB//xylB//galM//
RstA-Phosphorylated_neg	pheS//citF//
RstA-Phosphorylated_pos	nrdD//
SoxR-2Fe_neg	
