# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	glgA//xapA//
Ada-Methylated_pos	folA//glyA//metE//rbsD//
AlaS-L-alanine_neg	moaE//
AllS-allantoin_pos	citG//purA//cheB//
AraC-L-arabinose_neg	deoC//metB//lacZ//aroA//serC//
AraC-L-arabinose_pos	ackA//sucD//paaB//ynfE//deoC//
ArcA-Phosphorylated_neg	chbG//yfbR//pdeF//rhaD//polA//paaA//pyrD//nrdA//miaA//phnN//alkB//napH//gabD//glpC//lsrG//lacA//ulaE//ilvD//patZ//ilvH//hycF//bioA//ampD//glpQ//alaA//mtlD//pdeF//cdd//nrfB//hypB//edd//melA//fucO//cheB//preT//caiB//gcvP//yjeF//phnP//rutA//gpsA//rbsD//pheT//paaG//hycD//sdhA//tam//ugpQ//purA//tdcB//talA//xdhC//puuA//nrdE//citC//glgP//truB//frdC//xylA//pck//napC//ampD//sdhA//trpD//paaH//hemL//dmsA//metC//
ArcA-Phosphorylated_pos	metH//fdhF//hycC//pflB//frdD//gadB//lsrF//udp//serA//bioC//pflB//metL//cysN//argB//hycG//hycE//ilvB//recF//chbG//ilvE//pgk//aldB//glgC//hflX//zwf//cysD//hycD//ilvG_1//metE//narI//argA//codA//glgP//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	tdcG//lhgO//yjeF//hycC//edd//citF//purM//aldA//paaH//tdcE//dadA//
ArgR-L-arginine_neg	moeB//argI//waaH//purH//treC//dapB//pta//phnI//purM//galK//prpC//idnO//lacA//deoA//dmsB//atoB//pta//appA//
ArgR-L-arginine_pos	fadI//rdoA//entA//gcvT//trpB//
AtoC-phosphorylated_pos	aldA//serA//pgaD//
BaeR-Phosphorylated_pos	napA//aroF//
BirA-bio-5-AMP_neg	frdC//moeB//garR//cysG//ilvB//
CRP-cAMP_neg	mpl//paaI//argH//napC//preT//cadA//hflX//amn//pyrD//bacA//fadD//lacZ//yjeF//moaE//entE//guaB//paaC//nagB//pgaC//feaB//garL//purL//metH//hcp//murQ//citX//pck//phnG//caiC//abgB//hpt//pgaB//hcp//aroG//sodB//edd//dapD//gnd//aldB//ispE//phoA//argA//ilvC//ynfE//chbF//moeA//trpA//frc//glpX//lsrK//entH//sdhD//tnaA//mutY//purA//mltC//malS//cysC//allE//preA//xapA//lsrG//glcF//abgA//pheT//guaB//dapD//fes//hycB//kbaZ//entA//tdh//phnH//xapA//gatY//sucA//ogt//fadB//
