# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	pnp//pheS//
Ada-Methylated_pos	agp//allC//gutQ//ilvN//
AlaS-L-alanine_neg	hyaA//
AllS-allantoin_pos	frdA//yeaE//torC//
AraC-L-arabinose_neg	cysC//sucB//tdcG//dadX//lacZ//
AraC-L-arabinose_pos	ilvI//nirB//fadE//bioC//hycF//
ArcA-Phosphorylated_neg	manA//napC//ilvG_2//galK//bioD//cysC//cysD//cynT//umpH//ubiX//cheR//pck//cysM//gapA//cyaA//prpC//cyaA//cysC//ilvE//galK//tdcE//puuB//ssuE//paaZ//trpA//cysN//atoA//gcvH//fucA//puuE//glnA//entE//pdeF//pgaC//adhE//gpsA//caiC//metE//fumA//napA//ilvD//lpxA//mutY//garL//speB//galK//glcD//allC//dnaE//trmD//glpQ//citG//uidA//carA//rutA//melA//narH//citF//nagB//ada//malP//yeaE//galE//astE//metL//guaB//nagA//lsrG//
ArcA-Phosphorylated_pos	katG//astA//fdhF//entE//cysK//dkgB//kbl//cynS//cysI//ubiC//fbaA//fbaA//argC//ilvM//umpH//paaJ//narH//citX//cynS//ilvG_1//rutB//astA//fucK//sucB//malS//ssuD//glcE//eda//allC//fucO//purE//puuD//purM//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	dapB//entH//metH//uidA//nrdE//epd//glpB//mltC//atoA//bioA//alaS//
ArgR-L-arginine_neg	fumC//nrfA//hycD//mltC//paaH//gapA//allC//talA//nanM//trpE//lpd//phnL//dusB//dsdA//lsrF//allE//astA//astB//
ArgR-L-arginine_pos	ilvI//phnO//uxaC//phnJ//mdh//
AtoC-phosphorylated_pos	galK//yfdE//dapD//
BaeR-Phosphorylated_pos	pflB//moeB//
BirA-bio-5-AMP_neg	kbl//tauD//bioD//paaI//cysK//
CRP-cAMP_neg	mhpF//carA//ilvM//glpQ//pnp//ubiA//rhaB//dmsA//xapA//entD//yeaE//hyaB//astB//iscS//gltB//metK//ampD//gatD//fadI//napA//bioB//prmC//guaB//caiA//sucB//xylB//galM//ilvE//argC//paaG//fadB//ispE//cyaA//katG//ilvI//gadB//puuE//manA//nanA//argH//aceE//trpA//amn//fbaA//paaA//ynfH//deoD//mutL//hyaB//fadA//purB//ilvE//torC//phnH//caiB//fumA//fau//purD//trpB//rhaD//purC//rnpB//sucC//caiC//glpA//cheR//rutB//cueO//miaA//nirD//ilvC//slt//purH//cysH//ynfH//cynS//hmp//citX//
