# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	araB//upp//
Ada-Methylated_pos	glgX//aceA//ilvM//dmsB//
AlaS-L-alanine_neg	dnaE//
AllS-allantoin_pos	lysC//upp//nirB//
AraC-L-arabinose_neg	chbF//sucD//cynT//metH//aroA//
AraC-L-arabinose_pos	narG//argH//alaS//yfbR//cysC//
ArcA-Phosphorylated_neg	gltA//nrdD//cysJ//alkA//lsrK//garR//ubiC//trpC//ssuD//ybjG//rbsK//pncB//napG//betA//treC//sodB//sucC//gabD//ulaD//gnd//uxaB//ubiX//paaZ//nirD//nrfB//caiC//glpE//malZ//citG//amn//eda//ahpF//ung//citD//puuB//cysM//ascB//puuE//ogt//yeaE//hflX//tyrB//gntK//mltC//ahpF//nrdB//argA//araD//recF//cysG//aceB//agp//sucB//trpD//sucB//pgaD//dsdA//ssuE//argI//pta//purH//frdA//aldB//ahpC//ugpQ//purD//phnI//ung//
ArcA-Phosphorylated_pos	gcvP//trpB//cyoE//hemA//paaB//uxuB//aroG//bcsA//metC//tdcD//ilvA//ppiA//fucK//pgaB//purK//ascB//chbF//frc//gcvH//purK//aceA//hpt//ilvD//fucU//sucC//cysH//frdC//dnaE//lacZ//idnD//fucA//bacA//kbl//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	prpC//phoA//glpX//acs//nrfA//icd//mhpF//fucU//tdcB//aldB//fumC//
ArgR-L-arginine_neg	aspA//entD//moeB//astA//dsdA//talA//mutY//aroA//astD//ilvE//hyaC//glpA//glpQ//bcsZ//malZ//fumC//ilvE//prpB//
ArgR-L-arginine_pos	psd//prpC//lpxD//treC//serA//
AtoC-phosphorylated_pos	hcp//hcp//pheT//
BaeR-Phosphorylated_pos	ulaF//metF//
BirA-bio-5-AMP_neg	paaF//ubiG//paaK//deoA//aroF//
CRP-cAMP_neg	idnK//ilvG_1//eda//rbsD//purF//glgB//nrdF//pheT//glpE//mdh//atoB//trpB//hemL//tam//pgpC//guaB//phnL//hycC//sucB//ung//tdcB//tam//glpQ//dnaE//frdA//fadE//hypB//galT//cysI//yeaE//uidA//glyA//pyrD//prpB//pck//acs//frdA//purA//frdA//alaS//astD//ynfH//phnJ//nanE//malP//folE//dgcZ//bioB//purE//allD//icd//pdeF//ahpC//uxuB//dnaE//metF//dmsB//frdC//paaF//pgaC//talA//metE//deoC//tyrB//araB//phnP//galK//trmD//nadC//gltB//entB//cheR//argG//aldA//malP//aceA//metC//sucA//
CRP-cAMP_pos	yfeW//lacA//oxc//galT//caiC//pgpC//ilvD//entB//atoB//prpB//eda//yeaE//entC//alaA//cysD//citC//lsrG//metH//prmC//napC//purD//fucK//sdhD//sucB//sdhB//carB//dapB//nanA//idnK//fadI//pgaB//gpsA//gabD//entH//aceB//torA//srlD//tdcD//cysK//nrdB//treC//pheT//metL//frdC//dapD//fucO//phnM//ilvA//rdoA//fucI//fes//yfbR//glcE//malS//cdd//puuE//aspC//glpX//dsdA//uxaA//phnG//ynfG//glcE//frdC//garR//hycC//pflB//prpB//mltC//malY//torC//hycD//nrfA//tktB//serA//alaS//tam//serA//nagA//ldtC//metB//fdhF//purN//dnaE//gcvP//patZ//manA//pheS//galE//hycE//nanA//frdC//purA//citD//hycC//paaJ//gutQ//torC//fadA//purB//pgaB//speA//prpC//aspC//ulaF//metH//aldA//fucA//dusB//carA//ndh//dusB//sodB//purF//chbF//yfeW//bcsZ//amn//phnI//slt//paaF//gatY//tnaA//bacA//aroF//mtlD//nrfC//entH//ynfG//idnK//puuB//pflB//napH//purH//thrS//ispE//metB//sucB//mutY//folA//torA//entH//upp//pheS//adhE//alkA//lysU//thrS//nrfA//carB//paaE//epd//ubiX//ubiA//melA//ldtC//frc//entD//purD//fadD//puuC//lldD//hypF//nrdF//moaA//sufS//tyrB//narG//atoB//glpD//nrdD//moeB//idnK//idnO//aceB//tdcE//frc//purN//rutC//guaB//lacZ//argB//ilvN//cheB//aceB//purF//napB//argA//aspA//uxaC//paaZ//cadA//hpt//moeB//abgB//ppiA//argH//deoB//argE//glcB//cyaA//fucA//deoD//gatY//xylA//upp//codA//metK//rbsD//uxuA//fadI//puuA//iscS//gatY//malQ//ldtC//speB//prpD//cysD//cysI//speB//citG//dsdA//glpE//rutD//purN//uxaB//yjeF//glgA//thrS//hyaA//lysA//prpC//bioB//dadA//sdaA//fucI//sucA//tam//rbsD//gabD//kbaZ//glgP//
ChbR-Monoacetylchitobiose-6P_neg	srlD//gatZ//argH//
ChbR-Monoacetylchitobiose-6P_pos	fadE//tdh//glcB//
CpxR-Phosphorylated_neg	citX//glcF//metF//
CpxR-Phosphorylated_pos	mpl//gcd//pta//prmC//lacZ//sodB//cpdB//aspC//dapB//sdhB//astD//purK//gcvH//frdA//yqjH//argE//gcvT//fadH//metC//
CreB-Phosphorylated_neg	argB//
CreB-Phosphorylated_pos	sodB//fucA//
CueR-Ag_neg	aceF//gadB//
CueR-Ag_pos	codA//lacA//
CueR-Cu+_neg	purC//sdhD//
CueR-Cu+_pos	deoA//ubiC//
CuerR-Au_neg	speA//gdhA//
CuerR-Au_pos	purN//katG//
CusR-Pasp_pos	purH//trpC//fumB//
CynR-Cyanate_neg	
CynR-Cyanate_pos	cpdB//napH//xdhC//
CysB-N-acetyl-L-serine_neg	frc//katG//malY//
CysB-N-acetyl-L-serine_pos	uxaC//guaB//nirD//kbl//prpD//prpD//ldtC//pflB//metC//fadH//dmsC//araA//katE//
