# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	serA//dadX//
Ada-Methylated_pos	ackA//purC//dapB//iscS//
AlaS-L-alanine_neg	xapA//
AllS-allantoin_pos	truB//lpxD//alaA//
AraC-L-arabinose_neg	entA//cysD//aroG//bcsB//rhaD//
AraC-L-arabinose_pos	gabD//prs//pck//sdhC//gcd//
ArcA-Phosphorylated_neg	glcE//paaZ//amn//amn//fumC//bioC//narH//ascB//argE//pyrC//paaJ//hemL//astB//dadA//oxc//ilvI//katG//uidA//hemA//argF//bioB//yfbR//cysI//guaB//ubiX//tam//puuC//gatY//sdhA//puuB//metH//tdcB//bioA//trmD//paaH//ubiC//napC//preT//ilvG_2//prs//fucA//lpxA//astE//tehB//nanA//pgaC//glpA//ilvG_2//mhpC//kbl//argA//cheR//aceA//miaA//purM//alkA//purD//pdeF//sucD//paaB//ilvN//gatD//bioF//phnJ//ulaE//garR//cynT//chbG//
ArcA-Phosphorylated_pos	ppiA//yfdE//glcD//katE//glgX//yfeW//xdhC//mpl//cpdB//speC//mtlD//metC//dadX//mutL//cysI//puuA//paaJ//rbsD//guaB//cynS//aroL//paaA//ubiC//hycE//deoC//cdd//amn//hycE//gapA//moaE//allE//gutQ//melA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	citX//puuE//metL//malY//fes//mhpF//entB//ilvH//glpC//torA//glcF//
ArgR-L-arginine_neg	frc//hmp//sufS//cadA//edd//malY//narH//atoD//nrdF//garK//bioD//srlD//gcvT//gabT//guaA//bcsA//agp//acnA//
ArgR-L-arginine_pos	dapD//atoA//purH//mhpC//hypF//
AtoC-phosphorylated_pos	phnJ//edd//paaC//
BaeR-Phosphorylated_pos	metB//malZ//
BirA-bio-5-AMP_neg	glgB//ilvD//uxuB//argA//gcvH//
CRP-cAMP_neg	bcsZ//frdB//ulaF//serA//nrfB//avtA//ugpQ//glgP//psd//xylA//napC//epd//fes//slt//napB//cyaA//gabD//argB//agp//phnI//frdB//acnB//chbG//abgB//napA//citD//malY//napA//ilvN//avtA//pyrC//caiC//mutL//nrfA//hmp//udp//uxuB//bioD//entD//tktB//ilvM//hycD//uxuB//mpl//napB//bcsB//glpC//katG//hflX//ilvB//ssuE//sucB//melA//napC//glpE//astC//guaB//rnpB//ynfE//rutE//nrdD//idnO//nrdF//purE//sucA//xdhA//dapD//lhgO//glcE//gabT//prpD//argG//hycB//nadC//garR//araB//entB//icd//
