# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	malZ//ubiA//
Ada-Methylated_pos	hycF//glyA//astE//bioA//
AlaS-L-alanine_neg	dmsB//
AllS-allantoin_pos	hemA//slt//srlD//
AraC-L-arabinose_neg	tnaA//fumB//cpdB//dgcZ//pyrC//
AraC-L-arabinose_pos	ilvG_1//glpA//rhaB//rnpB//cadA//
ArcA-Phosphorylated_neg	purM//xylA//bioF//dusB//caiB//argB//atoA//deoA//idnK//phnG//glpK//ung//lysC//malQ//malZ//ulaF//edd//nirD//hpt//waaH//ulaE//fbaA//astA//idnD//aroG//ndh//ansB//mhpF//edd//ulaD//nagA//napC//mltC//katE//aroA//ilvG_2//entD//frc//cyoE//amn//xdhA//nrdA//prmC//entE//waaH//phnP//frdA//cynS//entD//rbsD//hpt//purF//hycD//torC//phnG//metL//ilvA//ulaD//rhaD//argF//tam//pgpC//udp//pnp//adhE//glgC//serA//serA//
ArcA-Phosphorylated_pos	glgX//aspA//paaI//rutE//tdh//nrdF//entF//moaD//ilvB//ascB//patZ//paaJ//glcF//aroL//argA//hycE//hyaC//lysU//dkgB//sucA//fucO//ndh//ahpF//ilvB//pgpC//prmC//galE//ynfH//kbl//gdhA//pheS//nrfC//ahpC//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	paaJ//ilvC//yjeF//prpB//garR//uxaC//rhaA//purE//idnO//betB//bcsB//
ArgR-L-arginine_neg	ldtB//abgA//ynfH//trpB//gnd//deoB//entF//alaS//hycF//acnB//malY//paaF//ynfH//fucO//puuB//trpA//glyA//dkgB//
ArgR-L-arginine_pos	hypF//glpK//allC//trpD//bioC//
AtoC-phosphorylated_pos	epd//gntK//phoA//
BaeR-Phosphorylated_pos	glgB//ugpQ//
BirA-bio-5-AMP_neg	rhaD//tdcD//galE//ilvH//hypB//
