# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	lpxD//entH//
Ada-Methylated_pos	lldD//chbF//glcE//pgk//
AlaS-L-alanine_neg	ulaE//
AllS-allantoin_pos	mhpC//argE//deoA//
AraC-L-arabinose_neg	allE//tyrA//purH//ulaF//abgA//
AraC-L-arabinose_pos	dkgB//argB//fbaA//cyoE//pgaD//
ArcA-Phosphorylated_neg	recF//trpD//kbl//malP//bioF//hemA//cdd//bglB//miaA//ahpF//ssuE//polA//aceB//moaE//codA//purL//sodB//deoB//hmp//truB//mhpB//fumB//idnK//ndh//metC//abgB//paaG//rhaA//gpsA//preT//puuA//nagB//metH//astD//metH//hyaC//katG//yqjH//dapD//citX//iscS//tdcB//sdhB//torC//psd//napA//tadA//ilvM//gntK//pgaC//xylA//talA//nadC//folE//ahpC//dapD//argF//ynfG//frdD//idnO//gcd//sodA//cysG//tauD//puuC//cysJ//napA//hyaB//
ArcA-Phosphorylated_pos	nagB//xylA//nrdE//glcD//dmsA//paaK//argB//nanA//cysD//lhgO//zwf//tam//lsrG//cysN//gabT//betB//malP//malS//nagB//idnO//araA//gdhA//aldB//xylA//ssuE//polA//deoA//bacA//nrfB//pyrC//astC//glpQ//phnP//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	fucU//glpB//ilvA//napG//hflX//recF//tdcG//nrdA//metK//paaC//ilvA//
ArgR-L-arginine_neg	cysI//codA//mhpB//udp//hycB//nagB//ilvD//nanK//tdcE//icd//tdcB//malQ//ulaF//puuA//gutQ//lacA//oxc//chbF//
ArgR-L-arginine_pos	yjeF//guaA//purE//idnO//dapD//
AtoC-phosphorylated_pos	phnP//sodA//prpC//
BaeR-Phosphorylated_pos	pheT//lsrK//
BirA-bio-5-AMP_neg	gapA//tam//pgaB//melA//ilvN//
CRP-cAMP_neg	cyoE//fucU//gltA//epd//hcp//frdB//nrfC//mutY//ulaF//malP//pheS//abgA//betB//moaE//lhgO//metB//tauD//talA//astD//metE//hycF//sucD//hpt//metL//glpC//ansB//phoA//truB//ilvG_2//phnI//araA//tdcD//aroH//pdeF//deoB//talA//gadB//ldtC//talA//fabZ//mutL//prpB//sucB//paaB//paaF//phnL//nanM//katG//purC//deoD//paaE//uidA//ampD//serA//paaC//betA//ascB//glgC//glpA//galT//napC//galE//glpE//nagA//araA//frdA//dapB//paaA//sdhA//glpC//prpD//cyaA//dadA//glpA//idnO//fucI//gdhA//prs//
