# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:03:04 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/conformation_effect/random_sets/conf_effect_enzymes.txt
Ada-Methylated_neg	ftnA//guaA//
Ada-Methylated_pos	hemA//cysM//paaZ//glcD//
AlaS-L-alanine_neg	phnM//
AllS-allantoin_pos	allC//fumA//ubiA//
AraC-L-arabinose_neg	ubiX//paaZ//xylB//gadB//nagA//
AraC-L-arabinose_pos	paaB//sdhA//cysH//ubiG//paaA//
ArcA-Phosphorylated_neg	tyrB//hyaB//rutB//nirB//caiA//fucU//fucK//cysC//gatD//nrdD//acnB//lsrF//ilvE//chbF//patZ//tdcB//citF//glnA//puuD//dmsB//ybjG//yfeW//dmsC//feaB//caiC//sodB//argB//glcE//upp//pyrD//paaH//idnO//chbG//carB//allC//deoC//puuD//pnp//uxaB//metK//aroL//gcvH//sodB//dnaE//carA//edd//ynfF//treC//lsrG//ubiX//moeB//codA//malQ//caiB//nanM//frdA//yfeW//hyaA//ubiX//glpA//mtlD//cyoE//tdcG//glcE//kbl//dusB//rdoA//mutY//
ArcA-Phosphorylated_pos	metA//frdB//rhaB//udp//gltA//bioF//glgP//folA//fumC//argF//sodA//folE//purN//rnpB//entF//ulaF//rbsD//moeA//srlD//glgB//recF//purH//fucO//alaS//deoC//aldB//speB//hycE//nrfC//srlD//preA//cheB//glnA//
ArgP-L-arginine_neg	
ArgP-L-arginine_pos	tehB//lpxD//malQ//metL//acs//upp//tadA//pnp//cysC//citE//frdC//
ArgR-L-arginine_neg	araB//ampD//yjeF//cheR//nanE//argC//phnL//nirB//yqjH//preA//sodA//tdh//glpK//aldB//paaJ//phnJ//lpxB//frdA//
ArgR-L-arginine_pos	truB//manA//bacA//dusB//nrfC//
AtoC-phosphorylated_pos	trmD//ampD//yqjH//
BaeR-Phosphorylated_pos	ubiA//gabD//
BirA-bio-5-AMP_neg	adhE//fucO//gatD//deoD//tdcD//
CRP-cAMP_neg	glpB//sdhB//astC//cheR//paaG//pyrC//ilvD//mhpC//abgB//dadX//caiD//prpC//metC//metF//deoA//dsdA//metE//purH//glgB//frdD//lacA//glgA//fadA//bioD//rutE//hmp//purH//purM//avtA//miaA//gatZ//ynfH//mltC//gltA//gpmA//rutE//fucK//murQ//mhpA//narH//cysG//psd//gpmA//udp//argD//gutQ//gatD//prpE//puuA//rutE//glgX//agp//edd//srlD//hyaA//lpd//yqjH//glgB//citF//fadE//abgB//abgB//citF//rhaD//glgC//ulaE//nrdE//cysI//bioD//sodB//caiC//tdcB//lpd//srlD//ssuD//cysM//pgaD//entD//
CRP-cAMP_pos	dmsA//recF//lacZ//gltA//codA//bglB//mhpF//prpC//caiC//paaG//frdA//chbF//dapB//ilvM//hycD//fau//purL//cysH//purF//manA//paaH//lacZ//ascB//sodB//ilvN//argF//bacA//nrfD//astE//gabT//lpxB//entA//purB//moaD//gcd//paaI//ynfH//ssuE//serA//fadJ//uxaA//ampD//phnJ//ilvH//entC//bioA//manA//aroA//gpsA//lysA//tauD//xylA//trmD//amn//yfeW//narG//xylA//guaA//yeaE//cynT//nrdA//pyrD//srlD//citG//dapD//dapB//hyaA//folE//fadI//mhpE//xylB//aroH//lldD//glpB//feaB//nirB//ilvI//rutA//frdB//tdh//xdhC//mdh//phnN//lsrF//rutE//uidA//malS//fadI//metH//tauD//ulaD//glpB//trpD//pheS//nagA//lpxA//tsaE//yfdE//paaA//cysD//tehB//ynfG//ftnA//paaJ//hyaC//cysN//narI//cysC//alkA//argD//caiC//fadA//ssuE//gdhA//waaH//epd//pyrD//galK//paaZ//entC//tam//katE//dapB//aceA//gatZ//katE//dmsC//cyoE//aroL//patZ//fucK//deoC//rutA//guaA//nrfD//garK//nagB//purB//napB//glcD//paaZ//serA//metF//rutC//ynfE//paaB//rutB//aspA//lsrG//pgk//ada//rutE//argE//tyrA//deoA//xapA//citX//xapA//cynS//prpD//hemA//galM//tam//glpD//tyrA//citE//rnpB//serA//oxc//bioB//hflX//gcvP//sdaA//phnG//ugpQ//ybjG//rutB//tyrA//ndh//garL//sucA//sucA//gutQ//eda//lpxA//hypF//citD//mhpD//bglB//acnA//ilvE//fdhF//metK//purN//bioF//pheT//purB//moeA//nagB//allC//tyrB//gltB//hypF//uxaC//caiC//astB//tam//metH//lhgO//purC//ppiA//glnA//rhaA//gltB//glcF//gcvH//paaZ//xapA//frdB//fadE//gutQ//uxaB//gltB//epd//glcE//lhgO//aspA//lsrF//srlD//napC//gcvP//ilvA//adhE//uxaC//nrfD//metH//upp//cysK//ilvC//mhpA//bacA//guaB//pagP//
ChbR-Monoacetylchitobiose-6P_neg	paaB//puuB//sodB//
ChbR-Monoacetylchitobiose-6P_pos	astD//lpxA//aroH//
CpxR-Phosphorylated_neg	galK//gabD//aroF//
CpxR-Phosphorylated_pos	caiA//rutB//atoA//tnaA//citC//ilvM//tehB//speC//argG//upp//idnK//rnpB//ynfG//pgaD//alaA//polA//bcsA//uxaA//purF//
CreB-Phosphorylated_neg	alkB//
CreB-Phosphorylated_pos	fadA//uxuA//
CueR-Ag_neg	lpxD//gdhA//
CueR-Ag_pos	purM//purF//
CueR-Cu+_neg	glcB//srlD//
CueR-Cu+_pos	acnA//aceE//
CuerR-Au_neg	gcd//tadA//
CuerR-Au_pos	thrS//trpA//
CusR-Pasp_pos	aceF//tadA//talA//
CynR-Cyanate_neg	
CynR-Cyanate_pos	phnG//ilvC//fadB//
CysB-N-acetyl-L-serine_neg	glpA//entB//betA//
CysB-N-acetyl-L-serine_pos	gutQ//lhgO//ppiA//galK//eda//gcvH//thrS//aroL//udp//mltC//nagA//puuE//amn//
CysB-O-acetyl-L-serine_neg	citF//bglB//xdhA//
CysB-O-acetyl-L-serine_pos	napG//fucA//rutE//ppiA//ubiX//icd//argG//trpD//fdhF//mdh//glcD//ilvA//aroG//glgC//
DcuR-Phosphorylated_pos	nadC//trpB//lacZ//agp//
DnaA-ATP_neg	malY//cheR//aspC//gatD//ndh//
DnaA-ATP_pos	ansB//agp//sufS//
DpiA-Pasp_neg	
DpiA-Pasp_pos	sufS//cysC//hpt//ilvE//yqjH//
DsdC-D-serine_neg	
DsdC-D-serine_pos	gatD//ung//
EvgA-Phosphorylated_pos	fumC//metC//ynfH//nrfB//feaB//
FNR-Fe_neg	betA//lsrF//aspA//rutC//gadB//cysG//codA//cadA//acnA//acs//epd//ybjG//waaH//paaB//uxaB//malZ//argF//entF//paaK//argG//frdC//bcsZ//glyA//rbsD//mutY//lacA//fau//uxuA//hycG//bioC//hypB//nagB//rutE//mutL//rdoA//phnP//ynfG//cynT//hycD//yfeW//pck//ndh//ulaD//preA//tdcB//yjeF//trpC//
FNR-Fe_pos	ilvH//cysM//paaZ//ssuE//pgk//glpQ//aspA//cysN//purE//napB//frdD//paaK//glcB//tdcB//bioA//sucB//ispE//abgB//sodB//aceF//narI//metB//mpl//purK//acs//ubiC//metE//rhaA//dkgB//puuA//glpK//astD//fucI//paaZ//metH//acnB//gltB//chbF//ilvA//ilvH//torA//gltB//cynT//pyrD//citX//caiD//ilvH//pyrC//metB//puuE//phnL//sodB//trpB//fumA//argI//nagA//gntK//thrS//allE//fabZ//paaZ//sucC//melA//frdA//sufS//xapA//nrdA//speB//hycE//nirD//puuD//melA//dgcZ//glcD//ilvG_1//prpC//purA//cysC//purM//hycE//uxaB//purB//nrfD//purE//acnA//uidA//tyrA//psd//trpA//moeA//fumB//alaA//
FhlA-Formate_pos	bioF//alaS//icd//umpH//hycF//epd//trmD//
FucR-L-fuculose-1-phosphate_pos	avtA//entF//ybjG//glnA//fadD//abgA//
Fur-Fe2+_neg	gatD//gpsA//caiB//agp//glgX//carA//cheR//lysA//pgaC//ppiA//bioD//phnG//umpH//mhpF//eda//guaB//fbaA//metA//malY//rhaA//lldD//fadJ//tktB//lacA//sodA//ldtB//mtlD//ilvD//lpd//uxaC//ynfG//idnD//puuD//yfbR//cysK//prpD//yeaE//fdhF//fadH//dusB//phnI//hycF//rutC//ilvD//astD//folA//fes//xapA//purB//ahpC//entB//sdhC//glgX//rhaB//gltA//gltA//aroA//puuA//trpA//
Fur-Fe2+_pos	serA//mutL//dusB//gpsA//gcd//deoA//kbaZ//argE//frdB//tdcE//atoA//lsrF//atoB//bglB//trpB//aldB//dgcZ//cysG//fadI//fes//
Fur-Mn2+_neg	phnJ//appA//ybjG//ulaE//nrfA//tsaE//atoD//nirB//fumA//tsaE//fadI//glpA//citC//caiB//rbsK//ansB//miaA//icd//paaE//purK//gltB//prpE//fau//mpl//glyA//lysA//sucA//dsdA//prs//metK//betA//oxc//astE//glpK//glgB//chbG//idnK//paaI//fumC//frdA//zwf//pheS//folE//miaA//ilvE//dgcZ//rutE//purK//katE//fdhF//astC//tdcE//ynfH//prmC//nadC//tnaA//xapA//hycE//cyaA//
Fur-Mn2+_pos	phnP//uvrA//dkgB//purH//ilvN//alaS//malZ//tyrB//pgaD//ogt//nrdA//dnaE//tdh//phnM//ldtC//cynS//tdcE//caiC//guaA//dmsB//
GlcC-Acetate_neg	
GlcC-Acetate_pos	sucD//waaH//nanK//
GlcC-Glycolate_neg	
GlcC-Glycolate_pos	aroH//ascB//napA//
GlrR-Pasp56_pos	
IclR-pyruvate_neg	psd//lldD//paaF//
IdnR-5-ketogluconate_neg	paaJ//nirB//
IdnR-5-ketogluconate_pos	lsrK//moaE//nrfC//fadJ//
IdnR-Idonate_neg	glgA//ilvD//
IdnR-Idonate_pos	garK//alkA//allE//yqjH//
IlvY-2-acetolactate_neg	
IlvY-2-acetolactate_pos	argA//
IlvY-Alfa-acetohydroxybutirate_neg	
IlvY-Alfa-acetohydroxybutirate_pos	ahpF//
IscR-2Fe_neg	bioB//paaC//paaF//paaA//fucU//
IscR-2Fe_pos	glcE//cysG//
LldR-L-lactate_neg	prpB//prpE//
LldR-L-lactate_pos	torC//glgP//
Lrp-Leucine_neg	feaB//sucB//pflB//gcvP//torA//nirB//cheB//fadE//sucA//glgA//atoB//napB//glgC//carB//nrdA//tsaE//astD//ansB//ynfG//agp//entB//acs//idnD//atoD//
Lrp-Leucine_pos	nrdB//betA//uidA//glcF//rutD//phnN//ftnA//nirD//sodA//paaC//pncB//dmsB//bioA//malZ//aroH//trpB//cysD//bglB//
LsrR_neg	tadA//paaB//ybjG//bioB//gutQ//
MalT-ADP-Maltotriose_pos	pck//preA//uxuB//phnN//moaD//puuE//
MalT-Maltotriose-ATP_pos	ilvD//uxaB//trpC//ulaF//astC//glgC//
MelR-Melibiose_neg	bacA//prs//
MelR-Melibiose_pos	aspA//deoB//
MetJ-S-adenosylmethionine_neg	deoC//purD//napB//astA//ubiX//prpC//hycB//puuA//recF//gntK//
MetR-L-homocysteine_neg	hypF//
MetR-L-homocysteine_pos	tdcB//serA//katE//glnA//
MhpR-3-DHPP_pos	rnpB//argE//gutQ//hycC//caiD//nrfD//
MhpR-3HPP_pos	ubiA//ndh//nrfC//pgaD//hycE//yfbR//
MntR-Cd2+_neg	sodA//
MntR-Cd2+_pos	lsrK//
ModE-MoO42-_neg	cyoE//metE//patZ//gcd//acs//aroF//pdeF//fadB//
ModE-MoO42-_pos	rhaD//nagA//icd//phnO//galK//cheR//
NarL-Phosphorylated_neg	prpD//nrdD//pnp//pflB//lhgO//tyrB//atoB//phnJ//metK//bglB//rbsD//entB//ada//gcvH//epd//paaC//ackA//ssuE//xdhB//metB//glpA//dnaE//ulaE//cysD//
NarL-Phosphorylated_pos	ynfH//citD//ilvG_1//fdhF//deoA//purL//purE//ilvA//fumC//ilvN//prpE//prs//xapA//phnN//ahpF//
NarP-Phosphorylated_neg	trpC//phnO//lysU//
NarP-Phosphorylated_pos	ubiC//napH//ilvE//dmsB//miaA//fes//betB//hyaC//yfbR//entE//
NhaR-Na+_pos	glpX//gadB//gcvT//glcB//
NikR-Cd2+_neg	nrdF//
NikR-Co2+_neg	fucU//
NikR-Cu2+_neg	sdhD//
NikR-Ni2+_neg	cdd//
NikR-Zn2+_neg	glcE//
NrdR-ATP_neg	rhaA//gcvP//aceF//polA//
NrdR-Zn2+_neg	citE//ilvM//chbF//aroA//
NrdR-dATP_neg	fadD//rhaB//hypF//folE//
NsrR-2Fe_neg	tyrB//hycG//mltC//hcp//ansB//gltB//lacA//phnL//prpB//ung//ynfE//sufS//entF//prs//gpsA//argE//paaA//acs//gltB//preT//nrfC//frdD//lysU//prpD//araA//fucK//phnM//purF//trpC//gltD//
PhoB-Phosphorylated_neg	upp//rutD//tdcD//argI//katE//
PhoB-Phosphorylated_pos	citG//cysC//moeB//mhpD//mhpC//glcD//cysI//entF//glgP//aceA//araB//paaI//fbaA//aldA//trpC//murQ//ubiC//
PhoP-Phosphorylated_neg	rutC//tdh//aroA//
PhoP-Phosphorylated_pos	prpC//ubiX//caiD//aroG//ssuE//hycG//fucI//lsrF//napB//gltA//caiC//acnA//glpA//argD//nrfB//cysM//ynfE//lpxD//abgA//glcE//gcvH//recF//nrfA//paaF//agp//cyoE//nrfC//bioC//chbF//hycF//codA//pdeF//dapB//tehB//
PrpR-2-methylcitrate_neg	
PrpR-2-methylcitrate_pos	glpC//fucO//dmsC//dadX//
PurR-Guanine_neg	fucO//codA//hycG//bioB//caiC//pta//entF//hyaB//pncB//yfdE//guaA//pncB//abgA//speB//nanK//argH//xylB//cysG//tadA//talA//lacA//sdhA//lsrF//phnL//metC//caiC//cynT//
PurR-Hypoxanthine_neg	atoB//carB//mhpC//argG//gcvP//hmp//garR//napA//frc//napC//argC//psd//upp//fadH//glgP//phnM//gpmA//zwf//moaE//alaS//argE//folA//alaS//nagA//mhpB//rdoA//sdhC//
QseB-Phosphorylated_pos	
RhaR-L-rhamnose_pos	
RhaS-L-rhamnose_pos	xylA//prpB//psd//
RstA-Phosphorylated_neg	hypB//torA//
RstA-Phosphorylated_pos	mhpA//
SoxR-2Fe_neg	
SoxR-2Fe_pos	ubiC//narI//
TorR-Phosphorylated_neg	
TorR-Phosphorylated_pos	sodB//bglB//nagA//
TrpR-Tryptophan_neg	aroA//fau//nrdB//mhpE//lacA//sucB//fucA//tdcD//hycF//
TyrR-L-tryptophan_neg	ansB//bioC//nagB//lysC//paaF//allC//aroA//
TyrR-L-tryptophan_pos	pyrD//argI//ndh//
TyrR-Phenylalanine_neg	cysG//gcvT//ilvG_2//serC//idnD//rbsD//cysG//
TyrR-Phenylalanine_pos	tdcD//rutE//dapD//
TyrR-Tyrosine_neg	tam//cheB//glcE//treC//gcvP//metK//phnM//
TyrR-Tyrosine_pos	uidA//malS//gdhA//
UhpA-Phosphorylated_pos	hyaA//
XapR-xanthosine_pos	guaA//patZ//
XylR-Xylose_pos	polA//murQ//tauD//
ZntR-Cd2+_pos	purK//
ZntR-Hg_pos	citE//
ZntR-Zn2+_pos	fucU//
ZraR-Phosphorylated_pos	
Zur-Zn2+_neg	prs//
