# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	paaE//pgaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	eda//sdhA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	pgk//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	truB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gatY//gatY//
AdiY_H-NS_IHF	pyrC//
AgaR_CRP	malS//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	recF//glpD//
AraC_CRP	gnd//zwf//paaK//sucB//ulaD//
AraC_CRP_XylR	argG//paaZ//
AraC_NagC	
ArcA_BetI_Cra	fumA//ftnA//ulaE//
ArcA_CRP_CaiF_FNR_H-NS	lsrG//hyaB//srlD//gltB//nrfC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	tauD//fumC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	purM//tnaA//katG//gcvP//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	metH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	hyaB//mhpA//lysA//
ArcA_CRP_Cra_Fis	atoB//
ArcA_CRP_Cra_IHF_IclR	dgcZ//pflB//ddlB//
ArcA_CRP_DcuR	gnd//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	paaC//
ArcA_CRP_DnaA_FNR	glgA//
ArcA_CRP_DpiA_FNR_NarL	entD//ilvG_1//nagB//
ArcA_CRP_DpiA_FlhDC	purA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	entD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	glcB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	sgbH//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	fabB//deoD//fucK//astD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	moaE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mhpC//
ArcA_CRP_FNR_IHF_NarL	dmsB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	cysH//
ArcA_CRP_FadR_HipB	uxaB//
ArcA_CRP_FadR_OmpR_PhoP	rbsD//
ArcA_CRP_Fis_Mlc_SoxS	mhpC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	galM//aroL//murF//
