# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	mdh//gutQ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	deoA//entF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	tdcG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ascB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fabB//galT//
AdiY_H-NS_IHF	gltA//
AgaR_CRP	gltD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	purM//entA//
AraC_CRP	patA//serC//ilvD//nanE//entD//
AraC_CRP_XylR	puuA//waaH//
AraC_NagC	
ArcA_BetI_Cra	yiaK//hypB//waaY//
ArcA_CRP_CaiF_FNR_H-NS	moaE//cysG//ilvG_1//mpl//hcp//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	kbaZ//acs//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvH//gntK//glpQ//astD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gapA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	deoA//tdcD//appA//
ArcA_CRP_Cra_Fis	gadB//
ArcA_CRP_Cra_IHF_IclR	serC//srlD//fbaA//
ArcA_CRP_DcuR	glcB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	purH//
ArcA_CRP_DnaA_FNR	srlD//
ArcA_CRP_DpiA_FNR_NarL	narI//rutA//fadB//
ArcA_CRP_DpiA_FlhDC	uvrA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	frdB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	araD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	narH//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	paaG//pdeR//tam//nrdA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tauD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	moaA//
ArcA_CRP_FNR_IHF_NarL	lldD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	aceA//
ArcA_CRP_FadR_HipB	pgaC//
ArcA_CRP_FadR_OmpR_PhoP	ansB//
ArcA_CRP_Fis_Mlc_SoxS	hycE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	lpxC//rimK//sdhC//
ArcA_CRP_GlpR	nirD//
