# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	gntK//guaA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	lysA//nrdE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	pyrD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fadB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	mhpB//serC//
AdiY_H-NS_IHF	fucO//
AgaR_CRP	codA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	sucC//galT//
AraC_CRP	chbF//dmsC//cdd//sgbH//metE//
AraC_CRP_XylR	caiB//purA//
AraC_NagC	
ArcA_BetI_Cra	nanE//ubiC//lpxA//
ArcA_CRP_CaiF_FNR_H-NS	gltB//caiB//frdB//napH//fucK//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	prpD//uxaC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fucK//hcp//fadB//uxuA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nrfD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	citF//fabZ//srlD//
ArcA_CRP_Cra_Fis	lpxD//
ArcA_CRP_Cra_IHF_IclR	pdeR//paaZ//lhgO//
ArcA_CRP_DcuR	nfsA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hmp//
ArcA_CRP_DnaA_FNR	rutE//
ArcA_CRP_DpiA_FNR_NarL	fadD//nagB//hycB//
ArcA_CRP_DpiA_FlhDC	torC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	argG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gabD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ynfE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	entA//ulaG//cdd//paaZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tdcE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	metB//
ArcA_CRP_FNR_IHF_NarL	cdd//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	astB//
ArcA_CRP_FadR_HipB	aceA//
ArcA_CRP_FadR_OmpR_PhoP	glcE//
ArcA_CRP_Fis_Mlc_SoxS	gntK//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	accC//pgaD//nanM//
ArcA_CRP_GlpR	chbF//
