# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	yqjH//ddlB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	paaK//mnmG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	betB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gapA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sdhA//gabT//
AdiY_H-NS_IHF	mhpC//
AgaR_CRP	moaD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	codA//frdC//
AraC_CRP	prpB//purD//rutA//aspC//gcvH//
AraC_CRP_XylR	galM//rhaD//
AraC_NagC	
ArcA_BetI_Cra	srlD//prpD//murC//
ArcA_CRP_CaiF_FNR_H-NS	tdcG//lsrG//pyrD//rutD//purA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hcp//gnd//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	araD//waaZ//ilvA//zwf//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	tdcB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	guaB//fabZ//caiB//
ArcA_CRP_Cra_Fis	lysA//
ArcA_CRP_Cra_IHF_IclR	nanA//gcd//fes//
ArcA_CRP_DcuR	glnA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	codA//
ArcA_CRP_DnaA_FNR	galT//
ArcA_CRP_DpiA_FNR_NarL	caiB//nanA//narI//
ArcA_CRP_DpiA_FlhDC	dmsA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nfsB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	poxB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	melA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	murC//gcvH//araA//hycC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ynfF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	gadA//
ArcA_CRP_FNR_IHF_NarL	fucO//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	fabB//
ArcA_CRP_FadR_HipB	rimK//
ArcA_CRP_FadR_OmpR_PhoP	ulaD//
ArcA_CRP_Fis_Mlc_SoxS	patA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	waaH//pgaB//ynfF//
ArcA_CRP_GlpR	sdhB//
