# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	moaA//rimK//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sdhC//gadA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	puuE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	mazG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	paaZ//garR//
AdiY_H-NS_IHF	torA//
AgaR_CRP	ascB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	moaA//hypB//
AraC_CRP	ilvD//puuE//bglB//malS//hycB//
AraC_CRP_XylR	torC//hycD//
AraC_NagC	
ArcA_BetI_Cra	tdcB//fadJ//ilvD//
ArcA_CRP_CaiF_FNR_H-NS	uxaB//nirD//puuD//rutB//ugpQ//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	astE//caiB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	torC//pnp//sgbE//rnpB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	aroA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	sodB//fadD//deoA//
ArcA_CRP_Cra_Fis	aldB//
ArcA_CRP_Cra_IHF_IclR	nanM//gltD//rhaA//
ArcA_CRP_DcuR	ftnA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gatD//
ArcA_CRP_DnaA_FNR	ilvA//
ArcA_CRP_DpiA_FNR_NarL	appA//nrdB//fucI//
ArcA_CRP_DpiA_FlhDC	epd//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	napH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yqjH//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	patA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nrdA//ynfE//waaH//prpB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fucI//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	fadI//
ArcA_CRP_FNR_IHF_NarL	eda//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	adhE//
ArcA_CRP_FadR_HipB	aldB//
ArcA_CRP_FadR_OmpR_PhoP	accB//
ArcA_CRP_Fis_Mlc_SoxS	galT//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	sufS//dmsC//citE//
ArcA_CRP_GlpR	mpl//
