# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	pyrC//putA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	metL//nrdE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	atoD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	lpxD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	astA//glgC//
AdiY_H-NS_IHF	hycC//
AgaR_CRP	nrfA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	aspA//srlD//
AraC_CRP	lacA//ftnA//rbsK//waaY//narG//
AraC_CRP_XylR	poxB//purN//
AraC_NagC	
ArcA_BetI_Cra	edd//glgA//puuA//
ArcA_CRP_CaiF_FNR_H-NS	ahpC//kbaZ//relA//betA//ynfG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	paaJ//feaB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glcB//prpC//ubiA//frdC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	murG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nrdE//astC//napH//
ArcA_CRP_Cra_Fis	mtlD//
ArcA_CRP_Cra_IHF_IclR	galK//ssuD//hycE//
ArcA_CRP_DcuR	garR//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gltB//
ArcA_CRP_DnaA_FNR	appA//
ArcA_CRP_DpiA_FNR_NarL	cyoE//fadH//paaJ//
ArcA_CRP_DpiA_FlhDC	uxuB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	fadH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	paaF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	caiC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	deoD//sdhA//torC//lldD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	prpB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hycD//
ArcA_CRP_FNR_IHF_NarL	paaA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	dgcZ//
ArcA_CRP_FadR_HipB	srlD//
ArcA_CRP_FadR_OmpR_PhoP	lacZ//
ArcA_CRP_Fis_Mlc_SoxS	ssuE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	yiaK//deoB//mnmG//
